Date,US-ENERGY
2013-07-02 00:00:00+00:00,0.00063226
2013-07-03 00:00:00+00:00,-0.00012773
2013-07-05 00:00:00+00:00,0.00860865
2013-07-08 00:00:00+00:00,0.01054355
2013-07-09 00:00:00+00:00,0.00981247
2013-07-10 00:00:00+00:00,-0.00615195
2013-07-11 00:00:00+00:00,0.01188153
2013-07-12 00:00:00+00:00,0.00122219
2013-07-15 00:00:00+00:00,0.00073192
2013-07-16 00:00:00+00:00,-0.00805875
2013-07-17 00:00:00+00:00,0.00479908
2013-07-18 00:00:00+00:00,0.01102316
2013-07-19 00:00:00+00:00,0.01405309
2013-07-22 00:00:00+00:00,-0.00322679
2013-07-23 00:00:00+00:00,0.00203686
2013-07-24 00:00:00+00:00,-0.01124472
2013-07-25 00:00:00+00:00,0.00604817
2013-07-26 00:00:00+00:00,-0.00192457
2013-07-29 00:00:00+00:00,-0.00807313
2013-07-30 00:00:00+00:00,-0.00121561
2013-07-31 00:00:00+00:00,0.00182310
2013-08-01 00:00:00+00:00,0.01650773
2013-08-02 00:00:00+00:00,-0.00836019
2013-08-05 00:00:00+00:00,-0.00072381
2013-08-06 00:00:00+00:00,-0.00361674
2013-08-07 00:00:00+00:00,-0.00362971
2013-08-08 00:00:00+00:00,0.00546108
2013-08-09 00:00:00+00:00,-0.00326117
2013-08-12 00:00:00+00:00,-0.00411984
2013-08-13 00:00:00+00:00,0.00170120
2013-08-14 00:00:00+00:00,-0.00400821
2013-08-15 00:00:00+00:00,-0.00548721
2013-08-16 00:00:00+00:00,-0.00502701
2013-08-19 00:00:00+00:00,-0.01614052
2013-08-20 00:00:00+00:00,0.00838820
2013-08-21 00:00:00+00:00,-0.00695520
2013-08-22 00:00:00+00:00,0.03801327
2013-08-23 00:00:00+00:00,0.00390374
2013-08-26 00:00:00+00:00,0.00600010
2013-08-27 00:00:00+00:00,-0.00640055
2013-08-28 00:00:00+00:00,0.01688757
2013-08-29 00:00:00+00:00,-0.01236598
2013-08-30 00:00:00+00:00,-0.00073717
2013-09-03 00:00:00+00:00,0.00822924
2013-09-04 00:00:00+00:00,0.00523816
2013-09-05 00:00:00+00:00,0.00714995
2013-09-06 00:00:00+00:00,0.00036045
2013-09-09 00:00:00+00:00,0.00769808
2013-09-10 00:00:00+00:00,-0.00083619
2013-09-11 00:00:00+00:00,0.00537564
2013-09-12 00:00:00+00:00,0.02400412
2013-09-16 00:00:00+00:00,0.00295551
2013-09-17 00:00:00+00:00,0.00119048
2013-09-18 00:00:00+00:00,0.00999021
2013-09-19 00:00:00+00:00,-0.00306199
2013-09-20 00:00:00+00:00,-0.00803255
2013-09-23 00:00:00+00:00,-0.00333469
2013-09-24 00:00:00+00:00,0.00250826
2013-09-25 00:00:00+00:00,-0.00238407
2013-09-26 00:00:00+00:00,-0.00286718
2013-09-27 00:00:00+00:00,-0.00012037
2013-09-30 00:00:00+00:00,-0.00742913
2013-10-01 00:00:00+00:00,0.00724203
2013-10-02 00:00:00+00:00,0.00023892
2013-10-03 00:00:00+00:00,-0.00503320
2013-10-04 00:00:00+00:00,0.00734508
2013-10-07 00:00:00+00:00,-0.00167463
2013-10-08 00:00:00+00:00,-0.01616728
2013-10-09 00:00:00+00:00,-0.00036641
2013-10-10 00:00:00+00:00,0.01278313
2013-10-11 00:00:00+00:00,0.01298199
2013-10-14 00:00:00+00:00,0.00450795
