Date,HOUSE-US
2021-11-15 00:00:00+00:00,0.00000000
2021-11-16 00:00:00+00:00,0.00000000
2021-11-17 00:00:00+00:00,0.00000000
2021-11-18 00:00:00+00:00,0.00000000
2021-11-19 00:00:00+00:00,0.00000000
2021-11-22 00:00:00+00:00,0.00000000
2021-11-23 00:00:00+00:00,0.00000000
2021-11-24 00:00:00+00:00,0.00000000
2021-11-26 00:00:00+00:00,0.00000000
2021-11-29 00:00:00+00:00,0.00000000
2021-11-30 00:00:00+00:00,0.00000000
2021-12-01 00:00:00+00:00,0.00000000
2021-12-02 00:00:00+00:00,0.00000000
2021-12-03 00:00:00+00:00,0.00000000
2021-12-06 00:00:00+00:00,0.00136705
2021-12-07 00:00:00+00:00,0.00000000
2021-12-08 00:00:00+00:00,0.00068259
2021-12-09 00:00:00+00:00,0.00000000
2021-12-10 00:00:00+00:00,0.00000000
2021-12-13 00:00:00+00:00,0.00000000
2021-12-14 00:00:00+00:00,0.00000000
2021-12-15 00:00:00+00:00,0.00000000
2021-12-16 00:00:00+00:00,0.00000000
2021-12-17 00:00:00+00:00,0.00000000
2021-12-20 00:00:00+00:00,0.00000000
2021-12-21 00:00:00+00:00,0.00000000
2021-12-22 00:00:00+00:00,0.00000000
2021-12-23 00:00:00+00:00,0.00000000
2021-12-27 00:00:00+00:00,0.00000000
2021-12-28 00:00:00+00:00,0.00613915
2021-12-29 00:00:00+00:00,0.00000000
2021-12-30 00:00:00+00:00,0.00000000
2021-12-31 00:00:00+00:00,0.00000000
2022-01-03 00:00:00+00:00,0.00000000
2022-01-04 00:00:00+00:00,0.00000000
2022-01-05 00:00:00+00:00,0.00000000
2022-01-06 00:00:00+00:00,0.00000000
2022-01-07 00:00:00+00:00,0.00000000
2022-01-10 00:00:00+00:00,0.00000000
2022-01-11 00:00:00+00:00,0.00000000
2022-01-12 00:00:00+00:00,0.00000000
2022-01-13 00:00:00+00:00,0.00000000
2022-01-14 00:00:00+00:00,0.00135593
2022-01-18 00:00:00+00:00,0.00000000
2022-01-19 00:00:00+00:00,0.00000000
2022-01-20 00:00:00+00:00,0.00000000
2022-01-21 00:00:00+00:00,0.00000000
2022-01-24 00:00:00+00:00,0.00000000
2022-01-25 00:00:00+00:00,0.00000000
2022-01-26 00:00:00+00:00,0.00000000
2022-01-27 00:00:00+00:00,0.00203114
2022-01-28 00:00:00+00:00,0.00000000
2022-01-31 00:00:00+00:00,0.00000000
