Date,BUXL
2016-05-25 00:00:00+00:00,0.00718219
2016-05-26 00:00:00+00:00,0.00142619
2016-05-27 00:00:00+00:00,-0.00059440
2016-05-30 00:00:00+00:00,-0.00593754
2016-05-31 00:00:00+00:00,0.00525624
2016-06-01 00:00:00+00:00,0.00392157
2016-06-02 00:00:00+00:00,0.00497159
2016-06-03 00:00:00+00:00,0.06784452
2016-06-06 00:00:00+00:00,-0.00044121
2016-06-07 00:00:00+00:00,0.00982123
2016-06-08 00:00:00+00:00,0.00371544
2016-06-09 00:00:00+00:00,0.00968971
2016-06-10 00:00:00+00:00,0.00938107
2016-06-13 00:00:00+00:00,-0.00833244
2016-06-14 00:00:00+00:00,0.01529678
2016-06-15 00:00:00+00:00,0.00031830
2016-06-16 00:00:00+00:00,0.01071277
2016-06-17 00:00:00+00:00,-0.01584636
2016-06-20 00:00:00+00:00,-0.01364897
2016-06-21 00:00:00+00:00,0.00216216
2016-06-22 00:00:00+00:00,-0.00302050
2016-06-23 00:00:00+00:00,-0.01027916
2016-06-24 00:00:00+00:00,0.04602602
2016-06-27 00:00:00+00:00,0.01808110
2016-06-28 00:00:00+00:00,-0.00277179
2016-06-29 00:00:00+00:00,0.00597076
2016-06-30 00:00:00+00:00,0.00409333
2016-07-01 00:00:00+00:00,-0.00805137
2016-07-04 00:00:00+00:00,-0.00184938
2016-07-05 00:00:00+00:00,0.01348430
2016-07-06 00:00:00+00:00,-0.00162503
2016-07-07 00:00:00+00:00,-0.00579858
2016-07-08 00:00:00+00:00,0.00378594
2016-07-11 00:00:00+00:00,-0.00366972
2016-07-12 00:00:00+00:00,-0.01810927
2016-07-13 00:00:00+00:00,0.01062832
2016-07-14 00:00:00+00:00,-0.01257862
2016-07-15 00:00:00+00:00,-0.01002402
2016-07-18 00:00:00+00:00,0.00200401
2016-07-19 00:00:00+00:00,0.00326316
2016-07-20 00:00:00+00:00,-0.00524604
2016-07-21 00:00:00+00:00,0.00147664
2016-07-22 00:00:00+00:00,0.00505529
2016-07-25 00:00:00+00:00,0.00901184
2016-07-26 00:00:00+00:00,-0.00186935
2016-07-27 00:00:00+00:00,0.01560712
2016-07-28 00:00:00+00:00,0.00327835
2016-07-29 00:00:00+00:00,0.00602471
2016-08-01 00:00:00+00:00,-0.00456760
2016-08-02 00:00:00+00:00,-0.01539717
2016-08-03 00:00:00+00:00,-0.00041425
2016-08-04 00:00:00+00:00,0.01139660
2016-08-05 00:00:00+00:00,-0.00901455
2016-08-08 00:00:00+00:00,-0.00320447
2016-08-09 00:00:00+00:00,0.00611843
2016-08-10 00:00:00+00:00,0.00752422
2016-08-11 00:00:00+00:00,-0.00583120
2016-08-12 00:00:00+00:00,0.00133772
2016-08-15 00:00:00+00:00,-0.00667968
2016-08-16 00:00:00+00:00,-0.00827643
2016-08-17 00:00:00+00:00,0.00500730
2016-08-18 00:00:00+00:00,0.00820012
2016-08-19 00:00:00+00:00,-0.00803047
2016-08-22 00:00:00+00:00,0.00996367
2016-08-23 00:00:00+00:00,0.00164423
2016-08-24 00:00:00+00:00,-0.00359085
2016-08-25 00:00:00+00:00,-0.00391269
2016-08-26 00:00:00+00:00,0.00268762
2016-08-29 00:00:00+00:00,-0.00443399
2016-08-30 00:00:00+00:00,0.00559180
2016-08-31 00:00:00+00:00,-0.00628154
2016-09-01 00:00:00+00:00,-0.00404145
2016-09-02 00:00:00+00:00,-0.01248569
2016-09-05 00:00:00+00:00,-0.00516279
2016-09-06 00:00:00+00:00,0.01514510
2016-09-07 00:00:00+00:00,0.00751174
2016-09-08 00:00:00+00:00,-0.01718960
2016-09-09 00:00:00+00:00,-0.02317985
2016-09-12 00:00:00+00:00,-0.00097077
2016-09-13 00:00:00+00:00,-0.00032390
2016-09-14 00:00:00+00:00,0.00097203
2016-09-15 00:00:00+00:00,-0.00636599
2016-09-16 00:00:00+00:00,0.00586383
2016-09-19 00:00:00+00:00,-0.00053978
2016-09-20 00:00:00+00:00,0.01220566
2016-09-21 00:00:00+00:00,-0.00480205
2016-09-22 00:00:00+00:00,0.02444778
2016-09-23 00:00:00+00:00,-0.00094201
2016-09-26 00:00:00+00:00,0.00020953
2016-09-27 00:00:00+00:00,0.01036975
2016-09-28 00:00:00+00:00,0.00300643
2016-09-29 00:00:00+00:00,-0.00651163
2016-09-30 00:00:00+00:00,-0.00104037
2016-10-03 00:00:00+00:00,-0.00531139
2016-10-04 00:00:00+00:00,-0.00387394
2016-10-05 00:00:00+00:00,-0.01965524
2016-10-06 00:00:00+00:00,-0.00439584
2016-10-07 00:00:00+00:00,-0.00538445
2016-10-10 00:00:00+00:00,-0.00844521
2016-10-11 00:00:00+00:00,0.00655165
2016-10-12 00:00:00+00:00,-0.00694294
2016-10-13 00:00:00+00:00,0.00950404
2016-10-14 00:00:00+00:00,-0.00670923
2016-10-17 00:00:00+00:00,-0.00108944
2016-10-18 00:00:00+00:00,0.00534409
2016-10-19 00:00:00+00:00,0.00195270
2016-10-20 00:00:00+00:00,0.01104374
2016-10-21 00:00:00+00:00,-0.00214179
2016-10-24 00:00:00+00:00,-0.00880017
2016-10-25 00:00:00+00:00,0.00129926
2016-10-26 00:00:00+00:00,-0.01600346
2016-10-27 00:00:00+00:00,-0.01978022
2016-10-28 00:00:00+00:00,0.00493274
2016-10-31 00:00:00+00:00,0.00334672
2016-11-01 00:00:00+00:00,-0.00300200
2016-11-02 00:00:00+00:00,0.01126352
2016-11-03 00:00:00+00:00,-0.00584473
2016-11-04 00:00:00+00:00,0.00920688
2016-11-07 00:00:00+00:00,-0.00318751
2016-11-08 00:00:00+00:00,-0.00716727
2016-11-09 00:00:00+00:00,-0.00011106
2016-11-10 00:00:00+00:00,-0.02388093
2016-11-11 00:00:00+00:00,-0.00489304
2016-11-14 00:00:00+00:00,-0.00708977
2016-11-15 00:00:00+00:00,0.01209259
2016-11-16 00:00:00+00:00,-0.00034137
2016-11-17 00:00:00+00:00,0.00535003
2016-11-18 00:00:00+00:00,-0.00124547
2016-11-21 00:00:00+00:00,0.00022673
2016-11-22 00:00:00+00:00,0.00578035
2016-11-23 00:00:00+00:00,-0.00777552
2016-11-24 00:00:00+00:00,-0.00090857
2016-11-25 00:00:00+00:00,0.00477435
2016-11-28 00:00:00+00:00,0.01119936
2016-11-29 00:00:00+00:00,-0.00962184
2016-11-30 00:00:00+00:00,-0.01061907
2016-12-01 00:00:00+00:00,-0.02386390
2016-12-02 00:00:00+00:00,0.04491753
2016-12-05 00:00:00+00:00,-0.02065099
2016-12-06 00:00:00+00:00,-0.00806075
2016-12-07 00:00:00+00:00,0.00494641
2016-12-08 00:00:00+00:00,-0.02191492
2016-12-09 00:00:00+00:00,-0.00083873
2016-12-12 00:00:00+00:00,-0.01463005
2016-12-13 00:00:00+00:00,0.01350858
2016-12-14 00:00:00+00:00,0.01476945
