Date,SEK
2002-12-09 00:00:00+00:00,-0.00165145
2002-12-10 00:00:00+00:00,-0.00255172
2002-12-11 00:00:00+00:00,-0.00327543
2002-12-12 00:00:00+00:00,0.01782892
2002-12-13 00:00:00+00:00,-0.00092719
2002-12-16 00:00:00+00:00,0.00023475
2002-12-17 00:00:00+00:00,0.00515357
2002-12-18 00:00:00+00:00,-0.00056686
2002-12-19 00:00:00+00:00,-0.00332663
2002-12-20 00:00:00+00:00,-0.00646335
2002-12-23 00:00:00+00:00,0.00401244
2002-12-24 00:00:00+00:00,0.00354852
2002-12-26 00:00:00+00:00,0.00603379
2002-12-27 00:00:00+00:00,0.00342639
2002-12-30 00:00:00+00:00,0.00579860
2002-12-31 00:00:00+00:00,0.00760964
2003-01-02 00:00:00+00:00,-0.01311093
2003-01-03 00:00:00+00:00,0.00606207
2003-01-06 00:00:00+00:00,0.00637664
2003-01-07 00:00:00+00:00,-0.00282433
2003-01-08 00:00:00+00:00,0.00346706
2003-01-09 00:00:00+00:00,-0.00273548
2003-01-10 00:00:00+00:00,0.00363887
2003-01-13 00:00:00+00:00,-0.00212347
2003-01-14 00:00:00+00:00,0.00223685
2003-01-15 00:00:00+00:00,-0.00212282
2003-01-16 00:00:00+00:00,0.00555291
2003-01-17 00:00:00+00:00,0.00144309
2003-01-21 00:00:00+00:00,0.00126733
2003-01-22 00:00:00+00:00,-0.00150317
2003-01-23 00:00:00+00:00,0.00239482
2003-01-24 00:00:00+00:00,0.01146756
2003-01-27 00:00:00+00:00,0.00013901
2003-01-28 00:00:00+00:00,-0.00302342
2003-01-29 00:00:00+00:00,0.00571096
2003-01-30 00:00:00+00:00,-0.00011745
2003-01-31 00:00:00+00:00,-0.01102779
2003-02-03 00:00:00+00:00,0.00324279
2003-02-04 00:00:00+00:00,0.00855866
2003-02-05 00:00:00+00:00,-0.00676078
2003-02-06 00:00:00+00:00,0.00837142
2003-02-07 00:00:00+00:00,0.00192384
2003-02-10 00:00:00+00:00,-0.00792467
2003-02-11 00:00:00+00:00,-0.00045966
2003-02-12 00:00:00+00:00,-0.00037454
2003-02-13 00:00:00+00:00,0.01640487
2003-02-14 00:00:00+00:00,-0.00651766
2003-02-18 00:00:00+00:00,-0.00952697
2003-02-19 00:00:00+00:00,0.00886870
2003-02-20 00:00:00+00:00,0.00446360
2003-02-21 00:00:00+00:00,-0.00569094
2003-02-24 00:00:00+00:00,0.00276987
2003-02-25 00:00:00+00:00,-0.00130335
2003-02-26 00:00:00+00:00,0.00471634
2003-02-27 00:00:00+00:00,-0.00568788
2003-02-28 00:00:00+00:00,-0.00215498
2003-03-03 00:00:00+00:00,0.05704446
2003-03-04 00:00:00+00:00,0.00725378
2003-03-05 00:00:00+00:00,0.01465614
2003-03-06 00:00:00+00:00,-0.00170811
2003-03-07 00:00:00+00:00,0.00131125
2003-03-10 00:00:00+00:00,0.00013818
2003-03-11 00:00:00+00:00,-0.01444474
2003-03-12 00:00:00+00:00,-0.00273078
2003-03-13 00:00:00+00:00,-0.02386881
2003-03-14 00:00:00+00:00,-0.00858603
2003-03-17 00:00:00+00:00,-0.00935043
2003-03-18 00:00:00+00:00,-0.00316728
2003-03-19 00:00:00+00:00,-0.00134228
2003-03-20 00:00:00+00:00,0.00731741
2003-03-21 00:00:00+00:00,-0.00845675
2003-03-24 00:00:00+00:00,0.00671211
2003-03-25 00:00:00+00:00,-0.00281628
2003-03-26 00:00:00+00:00,0.00293410
2003-03-27 00:00:00+00:00,0.00101231
2003-03-28 00:00:00+00:00,0.01109186
2003-03-31 00:00:00+00:00,0.00968096
2003-04-01 00:00:00+00:00,-0.00283944
2003-04-02 00:00:00+00:00,-0.01155340
2003-04-03 00:00:00+00:00,0.00178304
2003-04-04 00:00:00+00:00,0.00048701
2003-04-07 00:00:00+00:00,-0.00416675
2003-04-08 00:00:00+00:00,0.00853235
2003-04-09 00:00:00+00:00,0.00460078
2003-04-10 00:00:00+00:00,0.00142013
2003-04-11 00:00:00+00:00,-0.00241913
2003-04-14 00:00:00+00:00,0.00338586
2003-04-15 00:00:00+00:00,0.00098975
2003-04-16 00:00:00+00:00,0.00983704
2003-04-17 00:00:00+00:00,-0.00239111
2003-04-21 00:00:00+00:00,0.00055876
2003-04-22 00:00:00+00:00,0.00992656
2003-04-23 00:00:00+00:00,0.00189029
2003-04-24 00:00:00+00:00,0.00614028
2003-04-25 00:00:00+00:00,-0.00110884
2003-04-28 00:00:00+00:00,-0.00766533
2003-04-29 00:00:00+00:00,0.01058809
2003-04-30 00:00:00+00:00,0.01089103
2003-05-01 00:00:00+00:00,0.00422588
2003-05-02 00:00:00+00:00,0.00485928
2003-05-05 00:00:00+00:00,0.00386239
2003-05-06 00:00:00+00:00,0.01168322
2003-05-07 00:00:00+00:00,-0.00554028
2003-05-08 00:00:00+00:00,0.00799955
2003-05-09 00:00:00+00:00,-0.00488915
2003-05-12 00:00:00+00:00,0.00621364
2003-05-13 00:00:00+00:00,-0.00289346
2003-05-14 00:00:00+00:00,-0.00178370
2003-05-15 00:00:00+00:00,-0.00818041
2003-05-16 00:00:00+00:00,0.01592539
2003-05-19 00:00:00+00:00,0.00639509
2003-05-20 00:00:00+00:00,0.00257242
2003-05-21 00:00:00+00:00,-0.00026552
2003-05-22 00:00:00+00:00,0.00248628
2003-05-23 00:00:00+00:00,0.00608724
2003-05-27 00:00:00+00:00,0.00488051
2003-05-28 00:00:00+00:00,-0.00305518
2003-05-29 00:00:00+00:00,0.00736056
2003-05-30 00:00:00+00:00,-0.00396894
2003-06-02 00:00:00+00:00,0.09068090
2003-06-03 00:00:00+00:00,0.00028068
2003-06-04 00:00:00+00:00,-0.01136680
2003-06-05 00:00:00+00:00,0.02699419
2003-06-06 00:00:00+00:00,-0.01960184
2003-06-09 00:00:00+00:00,0.00183965
2003-06-10 00:00:00+00:00,-0.00686853
2003-06-11 00:00:00+00:00,0.01354896
2003-06-12 00:00:00+00:00,0.00911888
2003-06-13 00:00:00+00:00,0.01478691
2003-06-16 00:00:00+00:00,-0.00599605
2003-06-17 00:00:00+00:00,-0.00064068
2003-06-18 00:00:00+00:00,-0.00904220
2003-06-19 00:00:00+00:00,-0.00111126
2003-06-20 00:00:00+00:00,-0.01014488
2003-06-23 00:00:00+00:00,-0.00796740
2003-06-24 00:00:00+00:00,-0.00866520
2003-06-25 00:00:00+00:00,0.00277419
2003-06-26 00:00:00+00:00,-0.00879763
2003-06-27 00:00:00+00:00,-0.00292043
2003-06-30 00:00:00+00:00,0.00457627
2003-07-01 00:00:00+00:00,0.00471489
2003-07-02 00:00:00+00:00,0.00117562
2003-07-03 00:00:00+00:00,-0.00321773
2003-07-07 00:00:00+00:00,-0.01949050
2003-07-08 00:00:00+00:00,0.00561253
2003-07-09 00:00:00+00:00,0.00379404
2003-07-10 00:00:00+00:00,0.00442697
2003-07-11 00:00:00+00:00,-0.00792053
2003-07-14 00:00:00+00:00,-0.00043052
2003-07-15 00:00:00+00:00,-0.00814980
2003-07-16 00:00:00+00:00,-0.00248227
2003-07-17 00:00:00+00:00,0.01130733
2003-07-18 00:00:00+00:00,-0.01269089
2003-07-21 00:00:00+00:00,0.00244238
2003-07-22 00:00:00+00:00,-0.00018935
2003-07-23 00:00:00+00:00,0.01761516
2003-07-24 00:00:00+00:00,-0.00252440
2003-07-25 00:00:00+00:00,0.00991653
2003-07-28 00:00:00+00:00,0.00069404
2003-07-29 00:00:00+00:00,-0.00418561
2003-07-30 00:00:00+00:00,-0.00853922
2003-07-31 00:00:00+00:00,-0.01549629
2003-08-01 00:00:00+00:00,-0.00068386
2003-08-04 00:00:00+00:00,0.01026422
2003-08-05 00:00:00+00:00,0.00127739
2003-08-06 00:00:00+00:00,-0.00157192
2003-08-07 00:00:00+00:00,0.00396811
2003-08-08 00:00:00+00:00,-0.00473495
2003-08-11 00:00:00+00:00,-0.00190171
2003-08-12 00:00:00+00:00,0.00013733
2003-08-13 00:00:00+00:00,0.00740914
2003-08-14 00:00:00+00:00,-0.01259708
2003-08-15 00:00:00+00:00,-0.00232563
2003-08-18 00:00:00+00:00,-0.01114011
2003-08-19 00:00:00+00:00,-0.00244064
2003-08-20 00:00:00+00:00,0.00331195
2003-08-21 00:00:00+00:00,-0.01408278
2003-08-22 00:00:00+00:00,-0.00694416
2003-08-25 00:00:00+00:00,-0.00223585
2003-08-26 00:00:00+00:00,-0.00275183
2003-08-27 00:00:00+00:00,0.00347272
2003-08-28 00:00:00+00:00,0.00312079
2003-08-29 00:00:00+00:00,0.01150658
2003-09-02 00:00:00+00:00,-0.05921865
2003-09-03 00:00:00+00:00,0.01303179
2003-09-04 00:00:00+00:00,0.01581199
2003-09-05 00:00:00+00:00,0.03507948
2003-09-08 00:00:00+00:00,-0.00331180
2003-09-09 00:00:00+00:00,0.01593440
2003-09-10 00:00:00+00:00,0.00209571
2003-09-11 00:00:00+00:00,0.00926877
2003-09-12 00:00:00+00:00,0.01101119
2003-09-15 00:00:00+00:00,-0.00785473
2003-09-16 00:00:00+00:00,-0.00547665
2003-09-17 00:00:00+00:00,0.01821371
2003-09-18 00:00:00+00:00,-0.00556859
2003-09-19 00:00:00+00:00,0.01136323
2003-09-22 00:00:00+00:00,0.01083592
2003-09-23 00:00:00+00:00,0.00882303
2003-09-24 00:00:00+00:00,0.00772760
2003-09-25 00:00:00+00:00,-0.00181294
2003-09-26 00:00:00+00:00,-0.00687675
2003-09-29 00:00:00+00:00,0.01447615
2003-09-30 00:00:00+00:00,-0.00620726
2003-10-01 00:00:00+00:00,0.00370609
2003-10-02 00:00:00+00:00,0.00454482
2003-10-03 00:00:00+00:00,-0.01174567
2003-10-06 00:00:00+00:00,0.01674918
2003-10-07 00:00:00+00:00,0.00503918
2003-10-08 00:00:00+00:00,0.00119684
2003-10-09 00:00:00+00:00,-0.00627744
2003-10-10 00:00:00+00:00,0.00335158
2003-10-14 00:00:00+00:00,-0.00170747
2003-10-15 00:00:00+00:00,-0.00538748
2003-10-16 00:00:00+00:00,-0.00610955
2003-10-17 00:00:00+00:00,-0.00064533
2003-10-20 00:00:00+00:00,-0.00514289
2003-10-21 00:00:00+00:00,0.00433832
2003-10-22 00:00:00+00:00,0.01432958
2003-10-23 00:00:00+00:00,-0.00775241
2003-10-24 00:00:00+00:00,0.00136174
2003-10-27 00:00:00+00:00,-0.00595434
2003-10-28 00:00:00+00:00,-0.00010384
2003-10-29 00:00:00+00:00,0.00160041
2003-10-30 00:00:00+00:00,-0.00721744
2003-10-31 00:00:00+00:00,-0.00976193
2003-11-03 00:00:00+00:00,-0.00710423
2003-11-04 00:00:00+00:00,0.00662774
2003-11-05 00:00:00+00:00,-0.00474741
2003-11-06 00:00:00+00:00,0.00076467
2003-11-07 00:00:00+00:00,0.01364100
2003-11-10 00:00:00+00:00,0.00090912
2003-11-12 00:00:00+00:00,0.00005189
2003-11-13 00:00:00+00:00,0.01858194
2003-11-14 00:00:00+00:00,0.00318416
2003-11-17 00:00:00+00:00,-0.00116883
2003-11-18 00:00:00+00:00,0.01515342
2003-11-19 00:00:00+00:00,-0.00671332
2003-11-20 00:00:00+00:00,0.00163845
2003-11-21 00:00:00+00:00,0.00397686
2003-11-24 00:00:00+00:00,-0.01341419
2003-11-25 00:00:00+00:00,-0.00010221
2003-11-26 00:00:00+00:00,0.00592138
2003-11-28 00:00:00+00:00,0.00247558
2003-12-01 00:00:00+00:00,0.00269671
2003-12-02 00:00:00+00:00,0.06311404
2003-12-03 00:00:00+00:00,0.01341831
2003-12-04 00:00:00+00:00,0.00101351
2003-12-05 00:00:00+00:00,0.01347061
2003-12-08 00:00:00+00:00,0.01396925
2003-12-09 00:00:00+00:00,0.00260778
2003-12-10 00:00:00+00:00,-0.00820542
2003-12-11 00:00:00+00:00,-0.00486493
2003-12-12 00:00:00+00:00,0.01526728
2003-12-15 00:00:00+00:00,-0.00432941
2003-12-16 00:00:00+00:00,-0.00332201
2003-12-17 00:00:00+00:00,0.00504848
2003-12-18 00:00:00+00:00,-0.00192600
2003-12-19 00:00:00+00:00,-0.00346851
2003-12-22 00:00:00+00:00,-0.00120067
2003-12-23 00:00:00+00:00,0.00159521
2003-12-24 00:00:00+00:00,0.00159273
2003-12-26 00:00:00+00:00,-0.00200526
2003-12-29 00:00:00+00:00,0.00791773
2003-12-30 00:00:00+00:00,0.00238239
2003-12-31 00:00:00+00:00,0.00485100
2004-01-02 00:00:00+00:00,-0.00002528
2004-01-05 00:00:00+00:00,0.00743484
2004-01-06 00:00:00+00:00,0.00414452
2004-01-07 00:00:00+00:00,-0.00782800
2004-01-08 00:00:00+00:00,0.00812966
2004-01-09 00:00:00+00:00,0.00591684
2004-01-12 00:00:00+00:00,-0.00806359
2004-01-13 00:00:00+00:00,-0.00253457
2004-01-14 00:00:00+00:00,-0.01059411
2004-01-15 00:00:00+00:00,-0.00612840
2004-01-16 00:00:00+00:00,-0.01684195
2004-01-20 00:00:00+00:00,0.01775091
2004-01-21 00:00:00+00:00,0.01020601
2004-01-22 00:00:00+00:00,0.00597973
2004-01-23 00:00:00+00:00,-0.01160024
2004-01-26 00:00:00+00:00,-0.01413689
2004-01-27 00:00:00+00:00,0.01569108
2004-01-28 00:00:00+00:00,-0.00736233
2004-01-29 00:00:00+00:00,-0.01202702
2004-01-30 00:00:00+00:00,-0.00069162
2004-02-02 00:00:00+00:00,-0.00091455
2004-02-03 00:00:00+00:00,0.00895071
2004-02-04 00:00:00+00:00,0.00173916
2004-02-05 00:00:00+00:00,-0.00097968
2004-02-06 00:00:00+00:00,0.02003055
2004-02-09 00:00:00+00:00,0.00040657
2004-02-10 00:00:00+00:00,0.00227796
2004-02-11 00:00:00+00:00,0.00651067
2004-02-12 00:00:00+00:00,-0.00345015
2004-02-13 00:00:00+00:00,-0.00360512
2004-02-17 00:00:00+00:00,0.00270567
2004-02-18 00:00:00+00:00,-0.00912675
2004-02-19 00:00:00+00:00,-0.00118257
2004-02-20 00:00:00+00:00,-0.01552045
2004-02-23 00:00:00+00:00,0.00181281
2004-02-24 00:00:00+00:00,0.00973737
2004-02-25 00:00:00+00:00,-0.01696555
2004-02-26 00:00:00+00:00,-0.00438923
2004-02-27 00:00:00+00:00,0.00339094
2004-03-01 00:00:00+00:00,-0.00394942
2004-03-02 00:00:00+00:00,-0.05450009
2004-03-03 00:00:00+00:00,-0.00229743
2004-03-04 00:00:00+00:00,0.00467285
2004-03-05 00:00:00+00:00,0.03838612
2004-03-08 00:00:00+00:00,0.00761554
2004-03-09 00:00:00+00:00,-0.00741669
2004-03-10 00:00:00+00:00,-0.02242801
2004-03-11 00:00:00+00:00,0.00657581
2004-03-12 00:00:00+00:00,-0.02724310
2004-03-15 00:00:00+00:00,0.00164170
2004-03-16 00:00:00+00:00,0.00095756
2004-03-17 00:00:00+00:00,-0.00199123
2004-03-18 00:00:00+00:00,0.00989794
2004-03-19 00:00:00+00:00,-0.00580113
2004-03-22 00:00:00+00:00,0.00691522
2004-03-23 00:00:00+00:00,-0.00242324
2004-03-24 00:00:00+00:00,-0.02105447
2004-03-25 00:00:00+00:00,0.00143206
2004-03-26 00:00:00+00:00,-0.00063853
2004-03-29 00:00:00+00:00,0.00181409
2004-03-30 00:00:00+00:00,0.00303419
2004-03-31 00:00:00+00:00,0.00882251
2004-04-01 00:00:00+00:00,0.00965235
2004-04-02 00:00:00+00:00,-0.01747379
2004-04-05 00:00:00+00:00,-0.00002556
2004-04-06 00:00:00+00:00,-0.00147362
2004-04-07 00:00:00+00:00,0.01104146
2004-04-08 00:00:00+00:00,-0.00742346
2004-04-12 00:00:00+00:00,-0.00109028
2004-04-13 00:00:00+00:00,-0.00977065
2004-04-14 00:00:00+00:00,-0.00102557
2004-04-15 00:00:00+00:00,0.00020490
2004-04-16 00:00:00+00:00,0.00151312
2004-04-19 00:00:00+00:00,0.00128029
2004-04-20 00:00:00+00:00,-0.00585813
2004-04-21 00:00:00+00:00,-0.00488867
2004-04-22 00:00:00+00:00,0.00703089
2004-04-23 00:00:00+00:00,-0.00464689
2004-04-26 00:00:00+00:00,0.00662687
2004-04-27 00:00:00+00:00,0.00466131
2004-04-28 00:00:00+00:00,-0.00737032
2004-04-29 00:00:00+00:00,0.00814177
2004-04-30 00:00:00+00:00,-0.00040870
2004-05-03 00:00:00+00:00,-0.00346756
2004-05-04 00:00:00+00:00,-0.00639581
2004-05-05 00:00:00+00:00,0.02954835
2004-05-06 00:00:00+00:00,-0.00782742
2004-05-07 00:00:00+00:00,-0.01303077
2004-05-10 00:00:00+00:00,-0.01059779
2004-05-11 00:00:00+00:00,-0.00142219
2004-05-12 00:00:00+00:00,0.00671561
2004-05-13 00:00:00+00:00,-0.00572465
2004-05-14 00:00:00+00:00,0.00276087
2004-05-17 00:00:00+00:00,0.00916183
