Date,PLN
2004-09-09 00:00:00+00:00,-0.00451204
2004-09-10 00:00:00+00:00,0.01254559
2004-09-13 00:00:00+00:00,0.00014497
2004-09-14 00:00:00+00:00,0.00507357
2004-09-15 00:00:00+00:00,-0.00043378
2004-09-16 00:00:00+00:00,0.00000000
2004-09-17 00:00:00+00:00,0.00563747
2004-09-20 00:00:00+00:00,0.00115315
2004-09-21 00:00:00+00:00,0.03270187
2004-09-22 00:00:00+00:00,-0.01842665
2004-09-23 00:00:00+00:00,0.00257511
2004-09-24 00:00:00+00:00,-0.00900129
2004-09-27 00:00:00+00:00,0.00645856
2004-09-28 00:00:00+00:00,0.00759639
2004-09-29 00:00:00+00:00,-0.00571143
2004-09-30 00:00:00+00:00,0.02062003
2004-10-01 00:00:00+00:00,0.00609454
2004-10-04 00:00:00+00:00,-0.01088032
2004-10-05 00:00:00+00:00,0.01236059
2004-10-06 00:00:00+00:00,-0.01595594
2004-10-07 00:00:00+00:00,0.00597822
2004-10-08 00:00:00+00:00,0.01220464
2004-10-12 00:00:00+00:00,0.00183370
2004-10-13 00:00:00+00:00,0.00775085
2004-10-14 00:00:00+00:00,0.00575560
2004-10-15 00:00:00+00:00,0.01301792
2004-10-18 00:00:00+00:00,0.00931785
2004-10-19 00:00:00+00:00,0.01135105
2004-10-20 00:00:00+00:00,-0.00289057
2004-10-21 00:00:00+00:00,0.00799504
2004-10-22 00:00:00+00:00,0.01043454
2004-10-25 00:00:00+00:00,-0.01516083
2004-10-26 00:00:00+00:00,0.00247729
2004-10-27 00:00:00+00:00,0.00261168
2004-10-28 00:00:00+00:00,0.00713844
2004-10-29 00:00:00+00:00,0.01094316
2004-11-01 00:00:00+00:00,-0.00013605
2004-11-02 00:00:00+00:00,-0.00312925
2004-11-03 00:00:00+00:00,0.02125775
2004-11-04 00:00:00+00:00,0.01186544
2004-11-05 00:00:00+00:00,0.02010589
2004-11-08 00:00:00+00:00,-0.00398116
2004-11-09 00:00:00+00:00,0.00638255
2004-11-10 00:00:00+00:00,-0.00835045
