Date,EU-REALESTATE
2015-12-02 00:00:00+00:00,-0.00618238
2015-12-03 00:00:00+00:00,-0.03576983
2015-12-04 00:00:00+00:00,-0.01505376
2015-12-07 00:00:00+00:00,0.02127321
2015-12-08 00:00:00+00:00,-0.00908605
2015-12-09 00:00:00+00:00,-0.00431499
2015-12-10 00:00:00+00:00,-0.00433369
2015-12-11 00:00:00+00:00,-0.02502720
2015-12-14 00:00:00+00:00,-0.01831299
2015-12-15 00:00:00+00:00,0.01808932
2015-12-16 00:00:00+00:00,0.00610772
2015-12-17 00:00:00+00:00,0.01379691
2015-12-21 00:00:00+00:00,-0.02068590
2015-12-22 00:00:00+00:00,0.00389105
2015-12-23 00:00:00+00:00,0.00498339
2016-01-04 00:00:00+00:00,0.00000000
2016-01-05 00:00:00+00:00,0.00000000
2016-01-06 00:00:00+00:00,-0.00991736
2016-01-07 00:00:00+00:00,-0.02058987
2016-01-08 00:00:00+00:00,-0.01818182
2016-01-11 00:00:00+00:00,0.00173611
2016-01-12 00:00:00+00:00,0.00635471
2016-01-13 00:00:00+00:00,0.00114811
2016-01-14 00:00:00+00:00,-0.01662844
2016-01-15 00:00:00+00:00,-0.03381924
2016-01-19 00:00:00+00:00,0.01146651
2016-01-20 00:00:00+00:00,-0.02744630
2016-01-21 00:00:00+00:00,0.00122699
2016-01-22 00:00:00+00:00,0.03125000
2016-01-25 00:00:00+00:00,0.01841949
2016-01-26 00:00:00+00:00,0.00058343
2016-01-27 00:00:00+00:00,-0.00932945
2016-01-28 00:00:00+00:00,-0.00176574
2016-02-01 00:00:00+00:00,0.02535377
2016-02-02 00:00:00+00:00,-0.01035078
2016-02-03 00:00:00+00:00,0.00232423
2016-02-04 00:00:00+00:00,-0.00463768
2016-02-05 00:00:00+00:00,-0.03552708
2016-02-08 00:00:00+00:00,-0.03140097
2016-02-09 00:00:00+00:00,-0.01184539
2016-02-10 00:00:00+00:00,0.03659306
2016-02-11 00:00:00+00:00,-0.03956178
2016-02-15 00:00:00+00:00,0.03929024
2016-02-16 00:00:00+00:00,-0.00853659
2016-02-17 00:00:00+00:00,0.02275523
2016-02-22 00:00:00+00:00,0.01443175
2016-02-23 00:00:00+00:00,-0.01363367
2016-02-24 00:00:00+00:00,-0.03004808
2016-02-25 00:00:00+00:00,0.01858736
2016-02-26 00:00:00+00:00,0.01216545
2016-02-29 00:00:00+00:00,-0.00661058
2016-03-01 00:00:00+00:00,0.02419843
2016-03-02 00:00:00+00:00,0.00649734
2016-03-03 00:00:00+00:00,0.00234742
2016-03-04 00:00:00+00:00,0.00117096
2016-03-07 00:00:00+00:00,-0.00467836
2016-03-08 00:00:00+00:00,-0.01292597
2016-03-09 00:00:00+00:00,0.00355643
2016-03-10 00:00:00+00:00,0.02075919
2016-03-11 00:00:00+00:00,0.00813481
2016-03-14 00:00:00+00:00,0.00922190
2016-03-15 00:00:00+00:00,-0.05996573
2016-03-16 00:00:00+00:00,0.00116009
2016-03-17 00:00:00+00:00,0.01274623
2016-03-18 00:00:00+00:00,0.00171625
2016-03-21 00:00:00+00:00,-0.00171331
2016-03-22 00:00:00+00:00,-0.01201373
2016-03-23 00:00:00+00:00,0.00636943
2016-03-24 00:00:00+00:00,-0.00632911
2016-03-29 00:00:00+00:00,0.00579039
2016-03-30 00:00:00+00:00,0.01266552
2016-03-31 00:00:00+00:00,-0.00625355
2016-04-01 00:00:00+00:00,-0.01029748
