Date,JPY
2000-01-04 00:00:00+00:00,-0.03482537
2000-01-05 00:00:00+00:00,-0.02206108
2000-01-06 00:00:00+00:00,-0.02179077
2000-01-07 00:00:00+00:00,0.00375861
2000-01-10 00:00:00+00:00,0.00208420
2000-01-11 00:00:00+00:00,-0.01478243
2000-01-12 00:00:00+00:00,-0.00041951
2000-01-13 00:00:00+00:00,-0.00545474
2000-01-14 00:00:00+00:00,0.00841485
2000-01-18 00:00:00+00:00,0.00020949
2000-01-19 00:00:00+00:00,0.00607457
2000-01-20 00:00:00+00:00,0.00000000
2000-01-21 00:00:00+00:00,0.00908426
2000-01-24 00:00:00+00:00,-0.01580042
2000-01-25 00:00:00+00:00,-0.00576278
2000-01-26 00:00:00+00:00,0.00273195
2000-01-27 00:00:00+00:00,0.01374607
2000-01-28 00:00:00+00:00,-0.03970818
2000-01-31 00:00:00+00:00,-0.00786816
2000-02-01 00:00:00+00:00,-0.00704526
2000-02-02 00:00:00+00:00,-0.00771291
2000-02-03 00:00:00+00:00,0.00860308
2000-02-04 00:00:00+00:00,0.00770960
2000-02-07 00:00:00+00:00,-0.02837333
2000-02-08 00:00:00+00:00,-0.01071081
2000-02-09 00:00:00+00:00,0.00304546
2000-02-10 00:00:00+00:00,0.00369244
2000-02-11 00:00:00+00:00,0.00054201
2000-02-14 00:00:00+00:00,0.00108366
2000-02-15 00:00:00+00:00,-0.00628182
2000-02-16 00:00:00+00:00,-0.00575837
2000-02-17 00:00:00+00:00,-0.02233602
2000-02-18 00:00:00+00:00,-0.00705156
2000-02-22 00:00:00+00:00,0.00375940
2000-02-23 00:00:00+00:00,-0.01114667
2000-02-24 00:00:00+00:00,0.00366219
2000-02-25 00:00:00+00:00,0.01583961
2000-02-28 00:00:00+00:00,0.01626374
2000-02-29 00:00:00+00:00,-0.01602529
2000-03-01 00:00:00+00:00,0.05681319
2000-03-02 00:00:00+00:00,-0.01218469
2000-03-03 00:00:00+00:00,-0.00333333
2000-03-06 00:00:00+00:00,0.00538503
2000-03-07 00:00:00+00:00,0.02696026
2000-03-08 00:00:00+00:00,-0.01770193
2000-03-09 00:00:00+00:00,0.00834135
2000-03-10 00:00:00+00:00,0.00660277
2000-03-13 00:00:00+00:00,0.01677104
2000-03-14 00:00:00+00:00,0.01532487
2000-03-15 00:00:00+00:00,-0.01013129
2000-03-16 00:00:00+00:00,-0.00093516
2000-03-17 00:00:00+00:00,-0.02172557
2000-03-20 00:00:00+00:00,0.00735603
2000-03-21 00:00:00+00:00,-0.01423935
2000-03-22 00:00:00+00:00,0.00200359
2000-03-23 00:00:00+00:00,-0.00969135
2000-03-24 00:00:00+00:00,0.00698634
2000-03-27 00:00:00+00:00,0.00453586
2000-03-28 00:00:00+00:00,0.01641760
2000-03-29 00:00:00+00:00,0.00511536
2000-03-30 00:00:00+00:00,0.00072894
2000-03-31 00:00:00+00:00,0.06308557
2000-04-03 00:00:00+00:00,-0.04955591
2000-04-04 00:00:00+00:00,-0.00072441
2000-04-05 00:00:00+00:00,-0.00144913
2000-04-06 00:00:00+00:00,0.00176093
2000-04-07 00:00:00+00:00,-0.01304078
2000-04-10 00:00:00+00:00,-0.01989791
2000-04-11 00:00:00+00:00,-0.01231061
