Date,CAD
2000-01-04 00:00:00+00:00,-0.00461694
2000-01-05 00:00:00+00:00,0.00246413
2000-01-06 00:00:00+00:00,-0.00751880
2000-01-07 00:00:00+00:00,0.00218531
2000-01-10 00:00:00+00:00,0.00058148
2000-01-11 00:00:00+00:00,-0.00058114
2000-01-12 00:00:00+00:00,0.00159907
2000-01-13 00:00:00+00:00,0.00246734
2000-01-14 00:00:00+00:00,-0.00115825
2000-01-18 00:00:00+00:00,0.00057979
2000-01-19 00:00:00+00:00,-0.00130378
2000-01-20 00:00:00+00:00,0.00391645
2000-01-21 00:00:00+00:00,0.00549054
2000-01-24 00:00:00+00:00,-0.00273028
2000-01-25 00:00:00+00:00,0.00389049
2000-01-26 00:00:00+00:00,-0.00071767
2000-01-27 00:00:00+00:00,0.00373456
2000-01-28 00:00:00+00:00,-0.00815684
2000-01-31 00:00:00+00:00,-0.00245275
2000-02-01 00:00:00+00:00,0.00057854
2000-02-02 00:00:00+00:00,0.00592657
2000-02-03 00:00:00+00:00,-0.00143699
2000-02-04 00:00:00+00:00,-0.00086343
2000-02-07 00:00:00+00:00,-0.00360075
2000-02-08 00:00:00+00:00,-0.00057820
2000-02-09 00:00:00+00:00,0.00231415
2000-02-10 00:00:00+00:00,-0.00274170
2000-02-11 00:00:00+00:00,-0.00202576
2000-02-14 00:00:00+00:00,-0.00449471
2000-02-15 00:00:00+00:00,0.00043694
2000-02-16 00:00:00+00:00,0.00160140
2000-02-17 00:00:00+00:00,0.00159884
2000-02-18 00:00:00+00:00,0.00145117
2000-02-22 00:00:00+00:00,-0.00941892
2000-02-23 00:00:00+00:00,0.00102399
2000-02-24 00:00:00+00:00,0.00482245
2000-02-25 00:00:00+00:00,0.00378127
2000-02-28 00:00:00+00:00,-0.00057954
2000-02-29 00:00:00+00:00,-0.00028994
2000-03-01 00:00:00+00:00,0.00159513
2000-03-02 00:00:00+00:00,0.00912118
2000-03-03 00:00:00+00:00,0.00436872
2000-03-06 00:00:00+00:00,0.00087184
2000-03-07 00:00:00+00:00,-0.00203341
2000-03-08 00:00:00+00:00,-0.00407095
2000-03-09 00:00:00+00:00,-0.00160256
2000-03-10 00:00:00+00:00,-0.00058318
2000-03-13 00:00:00+00:00,-0.00437509
2000-03-14 00:00:00+00:00,-0.00014616
2000-03-15 00:00:00+00:00,-0.00204648
2000-03-16 00:00:00+00:00,-0.00483375
2000-03-17 00:00:00+00:00,0.00220783
2000-03-20 00:00:00+00:00,0.00088119
2000-03-21 00:00:00+00:00,0.00132062
2000-03-22 00:00:00+00:00,-0.00087925
2000-03-23 00:00:00+00:00,0.00088002
2000-03-24 00:00:00+00:00,0.00322392
2000-03-27 00:00:00+00:00,0.00204499
2000-03-28 00:00:00+00:00,0.00539359
2000-03-29 00:00:00+00:00,-0.00304480
2000-03-30 00:00:00+00:00,0.00189063
2000-03-31 00:00:00+00:00,0.00319350
2000-04-03 00:00:00+00:00,-0.00086818
2000-04-04 00:00:00+00:00,-0.00159305
2000-04-05 00:00:00+00:00,0.00217581
2000-04-06 00:00:00+00:00,-0.00130265
2000-04-07 00:00:00+00:00,-0.00347826
2000-04-10 00:00:00+00:00,-0.00334497
2000-04-11 00:00:00+00:00,-0.00116737
2000-04-12 00:00:00+00:00,0.00058437
2000-04-13 00:00:00+00:00,-0.00686232
2000-04-14 00:00:00+00:00,-0.00308733
2000-04-17 00:00:00+00:00,-0.00648872
2000-04-18 00:00:00+00:00,0.00267181
2000-04-19 00:00:00+00:00,0.00636566
2000-04-20 00:00:00+00:00,-0.00058841
2000-04-24 00:00:00+00:00,-0.00220783
2000-04-25 00:00:00+00:00,0.00427792
2000-04-26 00:00:00+00:00,-0.00235018
2000-04-27 00:00:00+00:00,-0.00161955
2000-04-28 00:00:00+00:00,-0.00353930
2000-05-01 00:00:00+00:00,0.00177594
2000-05-02 00:00:00+00:00,-0.00502290
2000-05-03 00:00:00+00:00,-0.00475130
2000-05-04 00:00:00+00:00,-0.00283455
2000-05-05 00:00:00+00:00,0.00448833
2000-05-08 00:00:00+00:00,-0.00059577
2000-05-09 00:00:00+00:00,0.00029806
2000-05-10 00:00:00+00:00,-0.00148987
2000-05-11 00:00:00+00:00,0.00387944
2000-05-12 00:00:00+00:00,-0.00014863
2000-05-15 00:00:00+00:00,0.00089193
2000-05-16 00:00:00+00:00,-0.00059409
2000-05-17 00:00:00+00:00,-0.00698469
2000-05-18 00:00:00+00:00,-0.00014966
2000-05-19 00:00:00+00:00,0.00134710
2000-05-22 00:00:00+00:00,-0.00134529
2000-05-23 00:00:00+00:00,-0.00598713
2000-05-24 00:00:00+00:00,-0.00271044
2000-05-25 00:00:00+00:00,0.00377472
2000-05-26 00:00:00+00:00,0.00150421
2000-05-30 00:00:00+00:00,-0.00300391
