Date,FTSEVIET
2022-09-23 00:00:00+00:00,0.00095511
2022-09-26 00:00:00+00:00,-0.06297710
2022-09-27 00:00:00+00:00,-0.00457186
2022-09-28 00:00:00+00:00,-0.03414151
2022-09-29 00:00:00+00:00,0.00563525
2022-09-30 00:00:00+00:00,-0.02496179
2022-10-03 00:00:00+00:00,-0.10971787
2022-10-10 00:00:00+00:00,-0.02586121
2022-10-17 00:00:00+00:00,-0.01264431
2022-10-21 00:00:00+00:00,-0.04867257
2022-10-24 00:00:00+00:00,-0.11627907
2022-10-25 00:00:00+00:00,0.01746988
2022-10-26 00:00:00+00:00,-0.00947306
2022-10-27 00:00:00+00:00,0.02450687
2022-10-28 00:00:00+00:00,0.02275379
2022-10-31 00:00:00+00:00,0.00114090
2022-11-01 00:00:00+00:00,0.00642899
2022-11-02 00:00:00+00:00,-0.01393728
2022-11-03 00:00:00+00:00,-0.00471143
2022-11-04 00:00:00+00:00,-0.04674556
2022-11-07 00:00:00+00:00,-0.07138423
2022-11-08 00:00:00+00:00,-0.00249221
2022-11-09 00:00:00+00:00,-0.00562149
2022-11-10 00:00:00+00:00,-0.04082915
2022-11-11 00:00:00+00:00,0.00130976
2022-11-14 00:00:00+00:00,-0.04643558
2022-11-15 00:00:00+00:00,-0.01632920
2022-11-16 00:00:00+00:00,-0.00132802
2022-11-17 00:00:00+00:00,0.04720745
2022-11-18 00:00:00+00:00,-0.00571429
2022-11-21 00:00:00+00:00,0.04980843
2022-11-22 00:00:00+00:00,-0.01700252
2022-11-23 00:00:00+00:00,-0.00768738
2022-11-24 00:00:00+00:00,-0.00129116
2022-11-25 00:00:00+00:00,0.03425986
2022-11-28 00:00:00+00:00,0.09125000
2022-11-30 00:00:00+00:00,0.02524038
2022-12-01 00:00:00+00:00,0.01992966
2022-12-02 00:00:00+00:00,-0.00574713
2022-12-05 00:00:00+00:00,0.17514451
2022-12-06 00:00:00+00:00,-0.04387866
2022-12-07 00:00:00+00:00,0.00169972
2022-12-08 00:00:00+00:00,0.00169683
2022-12-09 00:00:00+00:00,0.00056465
2022-12-12 00:00:00+00:00,-0.11568849
2022-12-13 00:00:00+00:00,0.01523140
2022-12-14 00:00:00+00:00,-0.00115407
2022-12-15 00:00:00+00:00,-0.00173310
2022-12-16 00:00:00+00:00,0.00115741
2022-12-19 00:00:00+00:00,-0.03063584
2022-12-20 00:00:00+00:00,-0.01891253
2022-12-21 00:00:00+00:00,-0.00481928
2022-12-22 00:00:00+00:00,0.00423729
2022-12-23 00:00:00+00:00,-0.01326100
2022-12-26 00:00:00+00:00,-0.07880269
2022-12-27 00:00:00+00:00,0.00187500
2022-12-28 00:00:00+00:00,0.02417855
2022-12-29 00:00:00+00:00,-0.00369004
2022-12-30 00:00:00+00:00,0.00925926
2023-01-03 00:00:00+00:00,0.07706422
2023-01-04 00:00:00+00:00,-0.00592066
2023-01-05 00:00:00+00:00,0.01191185
2023-01-06 00:00:00+00:00,-0.00529723
2023-01-09 00:00:00+00:00,0.02071006
2023-01-10 00:00:00+00:00,-0.00058617
2023-01-11 00:00:00+00:00,0.00938416
2023-01-12 00:00:00+00:00,-0.00987798
2023-01-13 00:00:00+00:00,0.00821596
2023-01-16 00:00:00+00:00,0.00116414
2023-01-18 00:00:00+00:00,0.04903678
2023-01-19 00:00:00+00:00,0.00055648
2023-01-20 00:00:00+00:00,0.03893215
2023-01-23 00:00:00+00:00,0.00496689
2023-01-25 00:00:00+00:00,-0.00439319
2023-01-26 00:00:00+00:00,-0.00220629
2023-01-30 00:00:00+00:00,-0.02542841
2023-01-31 00:00:00+00:00,-0.00949190
2023-02-01 00:00:00+00:00,-0.06148686
