Date,KR3
2014-09-17 00:00:00+00:00,-0.00093127
2014-09-18 00:00:00+00:00,0.00018643
2014-09-19 00:00:00+00:00,0.00009320
2014-09-22 00:00:00+00:00,0.00037275
2014-09-23 00:00:00+00:00,0.00009315
2014-09-24 00:00:00+00:00,0.00046572
2014-09-25 00:00:00+00:00,0.00046551
2014-09-26 00:00:00+00:00,0.00055835
2014-09-29 00:00:00+00:00,0.00000000
2014-09-30 00:00:00+00:00,0.00093006
2014-10-01 00:00:00+00:00,0.00241591
2014-10-02 00:00:00+00:00,-0.00064887
2014-10-06 00:00:00+00:00,-0.00069567
2014-10-07 00:00:00+00:00,-0.00060333
2014-10-08 00:00:00+00:00,-0.00027863
2014-10-10 00:00:00+00:00,0.00102192
2014-10-13 00:00:00+00:00,0.00009281
2014-10-14 00:00:00+00:00,0.00287676
2014-10-15 00:00:00+00:00,-0.00064983
2014-10-16 00:00:00+00:00,0.00102183
2014-10-17 00:00:00+00:00,0.00000000
2014-10-20 00:00:00+00:00,-0.00037120
2014-10-21 00:00:00+00:00,0.00027850
2014-10-22 00:00:00+00:00,0.00027842
2014-10-23 00:00:00+00:00,0.00157729
2014-12-22 00:00:00+00:00,0.00000000
2014-12-23 00:00:00+00:00,0.00148354
2014-12-24 00:00:00+00:00,0.00037034
2014-12-29 00:00:00+00:00,0.00023137
2014-12-30 00:00:00+00:00,0.00115660
2015-01-02 00:00:00+00:00,-0.00078558
2015-01-05 00:00:00+00:00,-0.00027748
2015-01-06 00:00:00+00:00,0.00212795
2015-01-07 00:00:00+00:00,0.00055394
2015-01-08 00:00:00+00:00,-0.00055363
2015-01-09 00:00:00+00:00,0.00064626
2015-01-12 00:00:00+00:00,0.00793468
2015-01-13 00:00:00+00:00,-0.00027636
2015-01-14 00:00:00+00:00,0.00092145
2015-01-15 00:00:00+00:00,-0.00128884
2015-01-16 00:00:00+00:00,0.00175139
2015-01-19 00:00:00+00:00,-0.00151829
2015-01-20 00:00:00+00:00,0.00032255
2015-01-21 00:00:00+00:00,-0.00046064
2015-01-22 00:00:00+00:00,-0.00110604
2015-01-23 00:00:00+00:00,0.00156863
2015-01-26 00:00:00+00:00,0.00110553
2015-01-27 00:00:00+00:00,-0.00110431
2015-01-28 00:00:00+00:00,0.00082915
2015-01-29 00:00:00+00:00,0.00000000
2015-01-30 00:00:00+00:00,0.00059833
2015-02-02 00:00:00+00:00,0.00004600
2015-02-03 00:00:00+00:00,0.00165586
2015-02-04 00:00:00+00:00,-0.00119392
2015-02-05 00:00:00+00:00,0.00331019
2015-02-06 00:00:00+00:00,-0.00045971
2015-02-09 00:00:00+00:00,-0.00009198
2015-02-10 00:00:00+00:00,-0.00220781
2015-02-11 00:00:00+00:00,0.00009220
2015-02-12 00:00:00+00:00,-0.00479373
2015-02-13 00:00:00+00:00,0.00018449
2015-02-16 00:00:00+00:00,-0.00092230
2015-02-17 00:00:00+00:00,0.00013834
2015-02-23 00:00:00+00:00,-0.00009222
2015-02-24 00:00:00+00:00,-0.00018445
2015-02-25 00:00:00+00:00,0.00092242
2015-02-26 00:00:00+00:00,-0.00009216
2015-02-27 00:00:00+00:00,0.00041475
2015-03-02 00:00:00+00:00,0.00105947
2015-03-03 00:00:00+00:00,0.00009203
2015-03-04 00:00:00+00:00,0.00018404
2015-03-05 00:00:00+00:00,0.00027601
2015-03-06 00:00:00+00:00,0.00561074
2015-03-09 00:00:00+00:00,0.00018377
2015-03-10 00:00:00+00:00,-0.00055122
2015-03-11 00:00:00+00:00,0.00110254
2015-03-12 00:00:00+00:00,0.00174456
2015-03-13 00:00:00+00:00,0.00137703
2015-03-16 00:00:00+00:00,0.00045859
2015-03-17 00:00:00+00:00,-0.00091701
2015-03-18 00:00:00+00:00,0.00064250
2015-03-19 00:00:00+00:00,0.00146762
2015-03-20 00:00:00+00:00,0.00082470
2015-03-23 00:00:00+00:00,0.00000000
2015-03-24 00:00:00+00:00,0.00027467
2015-03-25 00:00:00+00:00,0.00027460
2015-03-26 00:00:00+00:00,0.00000000
2015-03-27 00:00:00+00:00,0.00045754
2015-03-30 00:00:00+00:00,0.00064026
2015-03-31 00:00:00+00:00,0.00073126
2015-04-01 00:00:00+00:00,-0.00009134
2015-04-02 00:00:00+00:00,0.00009135
2015-04-03 00:00:00+00:00,0.00036536
2015-04-06 00:00:00+00:00,0.00000000
2015-04-07 00:00:00+00:00,-0.00027392
2015-04-08 00:00:00+00:00,-0.00027400
2015-04-09 00:00:00+00:00,0.00063950
2015-04-10 00:00:00+00:00,-0.00009130
2015-04-13 00:00:00+00:00,-0.00054785
2015-04-14 00:00:00+00:00,0.00000000
2015-04-15 00:00:00+00:00,0.00027407
2015-04-16 00:00:00+00:00,-0.00009133
2015-04-17 00:00:00+00:00,0.00557179
2015-04-20 00:00:00+00:00,-0.00009126
2015-04-21 00:00:00+00:00,-0.00054760
2015-04-22 00:00:00+00:00,-0.00009132
2015-04-23 00:00:00+00:00,-0.00118721
2015-04-24 00:00:00+00:00,-0.00082289
2015-04-27 00:00:00+00:00,-0.00027452
2015-04-28 00:00:00+00:00,-0.00137300
2015-04-29 00:00:00+00:00,-0.00073327
2015-04-30 00:00:00+00:00,0.00000000
2015-05-04 00:00:00+00:00,-0.00082554
2015-05-06 00:00:00+00:00,-0.00348848
2015-05-07 00:00:00+00:00,-0.00009212
2015-05-08 00:00:00+00:00,0.00239543
2015-05-11 00:00:00+00:00,0.00036765
2015-05-12 00:00:00+00:00,-0.00183756
2015-05-13 00:00:00+00:00,0.00138071
2015-05-14 00:00:00+00:00,0.00064344
2015-05-15 00:00:00+00:00,-0.00045931
2015-05-18 00:00:00+00:00,0.00009190
2015-05-19 00:00:00+00:00,-0.00073516
2015-05-20 00:00:00+00:00,0.00101159
2015-05-21 00:00:00+00:00,0.00009187
2015-05-22 00:00:00+00:00,0.00018372
2015-05-26 00:00:00+00:00,0.00091844
2015-05-27 00:00:00+00:00,0.00119288
2015-05-28 00:00:00+00:00,0.00027495
2015-05-29 00:00:00+00:00,0.00201576
2015-06-01 00:00:00+00:00,0.00009144
2015-06-02 00:00:00+00:00,0.00064003
2015-06-03 00:00:00+00:00,-0.00182749
2015-06-04 00:00:00+00:00,-0.00045771
2015-06-05 00:00:00+00:00,0.00073267
2015-06-08 00:00:00+00:00,0.00045758
2015-06-09 00:00:00+00:00,0.00009147
2015-06-10 00:00:00+00:00,-0.00384208
2015-06-11 00:00:00+00:00,-0.00356914
2015-06-12 00:00:00+00:00,0.00265787
2015-06-15 00:00:00+00:00,0.00100696
2015-06-16 00:00:00+00:00,-0.00137250
2015-06-17 00:00:00+00:00,-0.00137438
2015-06-18 00:00:00+00:00,0.00082576
2015-06-19 00:00:00+00:00,0.00045838
2015-06-22 00:00:00+00:00,-0.00082470
2015-06-23 00:00:00+00:00,-0.00027513
2015-06-24 00:00:00+00:00,-0.00027520
2015-06-25 00:00:00+00:00,0.00036704
2015-06-26 00:00:00+00:00,-0.00027518
2015-06-29 00:00:00+00:00,0.00100927
2015-06-30 00:00:00+00:00,-0.00009166
2015-07-01 00:00:00+00:00,-0.00055000
2015-07-02 00:00:00+00:00,-0.00100890
2015-07-03 00:00:00+00:00,0.00000000
2015-07-06 00:00:00+00:00,0.00082629
2015-07-07 00:00:00+00:00,0.00009173
2015-07-08 00:00:00+00:00,0.00064208
2015-07-09 00:00:00+00:00,-0.00027500
2015-07-10 00:00:00+00:00,-0.00045846
2015-07-13 00:00:00+00:00,0.00009173
2015-07-14 00:00:00+00:00,0.00027518
2015-07-15 00:00:00+00:00,0.00045851
2015-07-16 00:00:00+00:00,-0.00009166
2015-07-17 00:00:00+00:00,0.00027500
2015-07-20 00:00:00+00:00,0.00036657
2015-07-21 00:00:00+00:00,0.00027483
2015-07-22 00:00:00+00:00,0.00054950
2015-07-23 00:00:00+00:00,0.00128146
2015-07-24 00:00:00+00:00,0.00018283
2015-07-27 00:00:00+00:00,0.00009140
2015-07-28 00:00:00+00:00,-0.00073113
2015-07-29 00:00:00+00:00,0.00018292
2015-07-30 00:00:00+00:00,-0.00027432
2015-07-31 00:00:00+00:00,-0.00118906
2015-08-03 00:00:00+00:00,0.00054945
2015-08-04 00:00:00+00:00,-0.00018305
2015-08-05 00:00:00+00:00,-0.00109850
2015-08-06 00:00:00+00:00,0.00018328
2015-08-07 00:00:00+00:00,0.00027488
2015-08-10 00:00:00+00:00,0.00100760
2015-08-11 00:00:00+00:00,0.00073206
2015-08-12 00:00:00+00:00,0.00100585
2015-08-13 00:00:00+00:00,-0.00091349
2015-08-17 00:00:00+00:00,0.00036573
2015-08-18 00:00:00+00:00,0.00018280
2015-08-19 00:00:00+00:00,-0.00054830
2015-08-20 00:00:00+00:00,0.00082289
2015-08-21 00:00:00+00:00,0.00027407
2015-08-24 00:00:00+00:00,0.00063933
2015-08-25 00:00:00+00:00,-0.00063892
2015-08-26 00:00:00+00:00,-0.00045666
2015-08-27 00:00:00+00:00,0.00036550
2015-08-28 00:00:00+00:00,-0.00018268
2015-08-31 00:00:00+00:00,-0.00036543
2015-09-01 00:00:00+00:00,0.00027417
2015-09-02 00:00:00+00:00,0.00073093
2015-09-03 00:00:00+00:00,0.00036520
2015-09-04 00:00:00+00:00,0.00109519
2015-09-07 00:00:00+00:00,-0.00027350
2015-09-08 00:00:00+00:00,-0.00054715
2015-09-09 00:00:00+00:00,0.00282797
2015-09-10 00:00:00+00:00,0.00109509
2015-09-11 00:00:00+00:00,-0.00054720
2015-09-14 00:00:00+00:00,-0.00045612
2015-09-15 00:00:00+00:00,-0.00018252
2015-09-16 00:00:00+00:00,-0.00054765
2015-09-17 00:00:00+00:00,-0.00054795
2015-09-18 00:00:00+00:00,0.00201023
2015-09-21 00:00:00+00:00,0.00086631
2015-09-22 00:00:00+00:00,-0.00031889
2015-09-23 00:00:00+00:00,0.00018228
2015-09-24 00:00:00+00:00,-0.00036450
2015-09-25 00:00:00+00:00,0.00045579
2015-09-30 00:00:00+00:00,0.00164009
2015-10-01 00:00:00+00:00,-0.00100064
2015-10-02 00:00:00+00:00,0.00009106
2015-10-05 00:00:00+00:00,0.00072840
2015-10-06 00:00:00+00:00,-0.00054590
2015-10-07 00:00:00+00:00,-0.00063723
2015-10-08 00:00:00+00:00,-0.00027327
2015-10-12 00:00:00+00:00,-0.00091116
2015-10-13 00:00:00+00:00,0.00009120
2015-10-14 00:00:00+00:00,-0.00054715
2015-10-15 00:00:00+00:00,0.00118613
2015-10-16 00:00:00+00:00,0.00000000
2015-10-19 00:00:00+00:00,0.00000000
2015-10-20 00:00:00+00:00,-0.00063793
2015-10-21 00:00:00+00:00,-0.00018238
2015-10-22 00:00:00+00:00,-0.00018242
2015-10-23 00:00:00+00:00,0.00000000
2015-10-26 00:00:00+00:00,0.00036490
2015-10-27 00:00:00+00:00,0.00045595
2015-10-28 00:00:00+00:00,0.00009115
2015-10-29 00:00:00+00:00,-0.00050128
2015-11-02 00:00:00+00:00,-0.00050153
2015-11-03 00:00:00+00:00,-0.00036493
2015-11-04 00:00:00+00:00,-0.00054760
2015-11-05 00:00:00+00:00,-0.00036526
2015-11-06 00:00:00+00:00,-0.00118754
2015-11-09 00:00:00+00:00,-0.00201207
2015-11-10 00:00:00+00:00,0.00027493
2015-11-11 00:00:00+00:00,-0.00091617
2015-11-12 00:00:00+00:00,0.00091701
2015-11-13 00:00:00+00:00,-0.00022904
2015-11-16 00:00:00+00:00,0.00142039
2015-11-17 00:00:00+00:00,-0.00036603
2015-11-18 00:00:00+00:00,0.00009154
2015-11-19 00:00:00+00:00,0.00073227
2015-11-20 00:00:00+00:00,-0.00054880
2015-11-23 00:00:00+00:00,-0.00018303
2015-11-24 00:00:00+00:00,-0.00027460
2015-11-25 00:00:00+00:00,0.00018312
2015-11-26 00:00:00+00:00,-0.00009154
2015-11-27 00:00:00+00:00,-0.00054930
2015-11-30 00:00:00+00:00,0.00064120
2015-12-01 00:00:00+00:00,-0.00018308
2015-12-02 00:00:00+00:00,0.00000000
2015-12-03 00:00:00+00:00,0.00036623
2015-12-04 00:00:00+00:00,-0.00512539
2015-12-07 00:00:00+00:00,-0.00009159
2015-12-08 00:00:00+00:00,0.00247321
2015-12-09 00:00:00+00:00,0.00082285
2015-12-10 00:00:00+00:00,0.00137199
2015-12-11 00:00:00+00:00,-0.00073126
2015-12-14 00:00:00+00:00,0.00091449
2015-12-15 00:00:00+00:00,-0.00027422
2015-12-16 00:00:00+00:00,-0.00064003
2015-12-17 00:00:00+00:00,0.00082342
2015-12-18 00:00:00+00:00,0.00137124
2015-12-21 00:00:00+00:00,0.00082162
2015-12-22 00:00:00+00:00,-0.00072973
2015-12-23 00:00:00+00:00,0.00027385
2015-12-24 00:00:00+00:00,0.00018252
2015-12-28 00:00:00+00:00,-0.00018248
2015-12-29 00:00:00+00:00,0.00054755
2015-12-30 00:00:00+00:00,-0.00027362
2016-01-04 00:00:00+00:00,0.00118602
2016-01-05 00:00:00+00:00,-0.00045562
2016-01-06 00:00:00+00:00,0.00009117
2016-01-07 00:00:00+00:00,0.00000000
2016-01-08 00:00:00+00:00,-0.00072926
2016-01-11 00:00:00+00:00,0.00109469
2016-01-12 00:00:00+00:00,-0.00018225
2016-01-13 00:00:00+00:00,-0.00009114
2016-01-14 00:00:00+00:00,-0.00063805
2016-01-15 00:00:00+00:00,0.00000000
2016-01-18 00:00:00+00:00,0.00018242
