Date,COAL-GEORDIE
2008-12-17 00:00:00+00:00,0.02032520
2008-12-18 00:00:00+00:00,-0.02883970
2008-12-19 00:00:00+00:00,-0.00544218
2008-12-22 00:00:00+00:00,-0.00272851
2008-12-23 00:00:00+00:00,0.00478469
2008-12-24 00:00:00+00:00,-0.00272851
2008-12-29 00:00:00+00:00,0.05327869
2008-12-30 00:00:00+00:00,-0.00332668
2008-12-31 00:00:00+00:00,0.01000000
2009-01-02 00:00:00+00:00,-0.02992021
2009-01-05 00:00:00+00:00,0.06801347
2009-01-06 00:00:00+00:00,0.10789474
2009-01-07 00:00:00+00:00,-0.06451613
2009-01-08 00:00:00+00:00,-0.00100083
2009-01-09 00:00:00+00:00,-0.04260813
2009-01-12 00:00:00+00:00,0.02617801
2009-01-13 00:00:00+00:00,0.01176471
2009-01-14 00:00:00+00:00,0.00459921
2009-01-15 00:00:00+00:00,-0.01767016
2009-01-16 00:00:00+00:00,0.03331113
2009-01-19 00:00:00+00:00,-0.05975049
2009-01-20 00:00:00+00:00,-0.02301963
2009-01-21 00:00:00+00:00,-0.00545703
2009-01-22 00:00:00+00:00,0.01732502
2009-01-23 00:00:00+00:00,0.02264928
2009-01-26 00:00:00+00:00,-0.03265306
2009-01-27 00:00:00+00:00,0.01638225
2009-01-28 00:00:00+00:00,-0.00271924
2009-01-29 00:00:00+00:00,0.02522154
2009-01-30 00:00:00+00:00,-0.00404313
2009-02-02 00:00:00+00:00,-0.01081812
2009-02-03 00:00:00+00:00,-0.03050847
2009-02-04 00:00:00+00:00,0.01924399
2009-02-05 00:00:00+00:00,0.02208094
2009-02-06 00:00:00+00:00,0.00809171
2009-02-09 00:00:00+00:00,0.09194631
2009-02-10 00:00:00+00:00,-0.03343849
2009-02-11 00:00:00+00:00,-0.03525641
2009-02-12 00:00:00+00:00,-0.04680290
2009-02-13 00:00:00+00:00,0.01590595
2009-02-16 00:00:00+00:00,-0.03559206
2009-02-17 00:00:00+00:00,-0.02797203
2009-02-18 00:00:00+00:00,-0.01768034
2009-02-19 00:00:00+00:00,0.01208244
2009-02-20 00:00:00+00:00,-0.04237288
2009-02-23 00:00:00+00:00,-0.10476879
2009-02-24 00:00:00+00:00,-0.08950617
2009-02-25 00:00:00+00:00,0.02800000
2009-02-26 00:00:00+00:00,0.01327088
2009-02-27 00:00:00+00:00,-0.05800464
2009-03-02 00:00:00+00:00,-0.05631537
2009-03-03 00:00:00+00:00,-0.01670844
2009-03-04 00:00:00+00:00,0.03823774
2009-03-05 00:00:00+00:00,-0.03338762
2009-03-06 00:00:00+00:00,0.00997506
2009-03-09 00:00:00+00:00,0.00935394
2009-03-10 00:00:00+00:00,0.01715686
2009-03-11 00:00:00+00:00,0.00161551
2009-03-12 00:00:00+00:00,-0.04726976
2009-03-13 00:00:00+00:00,0.00168492
2009-03-16 00:00:00+00:00,-0.02784810
2009-03-17 00:00:00+00:00,0.01041667
