Date,FTSE100
2000-01-05 00:00:00+00:00,-0.04114797
2000-01-06 00:00:00+00:00,-0.02465941
2000-01-07 00:00:00+00:00,0.01356350
2000-01-10 00:00:00+00:00,0.03398653
2000-01-11 00:00:00+00:00,-0.03010688
2000-01-12 00:00:00+00:00,0.00764175
2000-01-13 00:00:00+00:00,-0.00334957
2000-01-14 00:00:00+00:00,0.04087858
2000-01-17 00:00:00+00:00,0.00448430
2000-01-18 00:00:00+00:00,-0.05741984
2000-01-19 00:00:00+00:00,-0.01474315
2000-01-20 00:00:00+00:00,-0.03140470
2000-01-21 00:00:00+00:00,-0.00062863
2000-01-24 00:00:00+00:00,0.01194593
2000-01-25 00:00:00+00:00,-0.03781250
2000-01-26 00:00:00+00:00,0.04188565
2000-01-27 00:00:00+00:00,0.01060842
2000-01-28 00:00:00+00:00,-0.01769088
2000-01-31 00:00:00+00:00,-0.03240705
2000-02-01 00:00:00+00:00,0.00859189
2000-02-02 00:00:00+00:00,-0.00570433
2000-02-03 00:00:00+00:00,0.01366598
2000-02-04 00:00:00+00:00,-0.05207511
2000-02-07 00:00:00+00:00,-0.01782242
2000-02-08 00:00:00+00:00,0.06146302
2000-02-09 00:00:00+00:00,0.00999207
2000-02-10 00:00:00+00:00,-0.01625760
2000-02-11 00:00:00+00:00,-0.02280140
2000-02-14 00:00:00+00:00,-0.05552873
2000-02-15 00:00:00+00:00,-0.01431882
2000-02-16 00:00:00+00:00,0.05542129
2000-02-17 00:00:00+00:00,0.01760078
2000-02-18 00:00:00+00:00,-0.00144718
2000-02-21 00:00:00+00:00,-0.02874396
2000-02-22 00:00:00+00:00,-0.01502900
2000-02-23 00:00:00+00:00,0.04641593
2000-02-24 00:00:00+00:00,-0.02549666
2000-02-25 00:00:00+00:00,0.04595079
2000-02-28 00:00:00+00:00,-0.04205161
2000-02-29 00:00:00+00:00,0.05401887
2000-03-01 00:00:00+00:00,0.03200761
2000-03-02 00:00:00+00:00,0.02752651
2000-03-03 00:00:00+00:00,0.01146154
2000-03-06 00:00:00+00:00,0.02998317
2000-03-07 00:00:00+00:00,-0.03428787
2000-03-08 00:00:00+00:00,-0.01802009
2000-03-09 00:00:00+00:00,0.04325956
2000-03-10 00:00:00+00:00,0.01598122
2000-03-13 00:00:00+00:00,-0.03667243
2000-03-14 00:00:00+00:00,0.00734675
2000-03-15 00:00:00+00:00,-0.01166692
2000-03-16 00:00:00+00:00,0.03667050
2000-03-17 00:00:00+00:00,-0.00715685
2000-03-20 00:00:00+00:00,0.01844851
2000-03-21 00:00:00+00:00,0.00179802
2000-03-22 00:00:00+00:00,-0.00314371
2000-03-23 00:00:00+00:00,-0.00135014
2000-03-24 00:00:00+00:00,0.04758688
2000-03-27 00:00:00+00:00,-0.02360704
2000-03-28 00:00:00+00:00,-0.00474707
2000-03-29 00:00:00+00:00,-0.02081784
2000-03-30 00:00:00+00:00,-0.04943651
2000-03-31 00:00:00+00:00,0.03358238
2000-04-03 00:00:00+00:00,-0.02530111
2000-04-04 00:00:00+00:00,-0.00782569
2000-04-05 00:00:00+00:00,-0.03973510
2000-04-06 00:00:00+00:00,0.04697565
2000-04-07 00:00:00+00:00,0.02670965
2000-04-10 00:00:00+00:00,-0.00151515
2000-04-11 00:00:00+00:00,-0.05269143
2000-04-12 00:00:00+00:00,0.00031143
2000-04-13 00:00:00+00:00,0.00085630
2000-04-14 00:00:00+00:00,-0.06689484
2000-04-17 00:00:00+00:00,-0.05778207
2000-04-18 00:00:00+00:00,0.02975056
2000-04-19 00:00:00+00:00,0.03176029
2000-04-20 00:00:00+00:00,0.01848280
2000-04-25 00:00:00+00:00,0.00987418
2000-04-26 00:00:00+00:00,-0.00950872
2000-04-27 00:00:00+00:00,-0.02285032
2000-04-28 00:00:00+00:00,0.05686211
2000-05-02 00:00:00+00:00,0.01448821
2000-05-03 00:00:00+00:00,-0.06688443
2000-05-04 00:00:00+00:00,0.00241390
2000-05-05 00:00:00+00:00,0.01510525
2000-05-08 00:00:00+00:00,-0.01036683
2000-05-09 00:00:00+00:00,-0.02933633
2000-05-10 00:00:00+00:00,-0.00146425
2000-05-11 00:00:00+00:00,0.04086617
2000-05-12 00:00:00+00:00,0.01499801
2000-05-15 00:00:00+00:00,-0.01635996
2000-05-16 00:00:00+00:00,0.02826573
2000-05-17 00:00:00+00:00,-0.04424848
2000-05-18 00:00:00+00:00,0.01577973
2000-05-19 00:00:00+00:00,-0.06421725
2000-05-22 00:00:00+00:00,0.01105611
2000-05-23 00:00:00+00:00,0.01077199
2000-05-24 00:00:00+00:00,0.01225649
2000-05-25 00:00:00+00:00,0.03669947
2000-05-26 00:00:00+00:00,-0.00633613
2000-05-30 00:00:00+00:00,0.04370282
2000-05-31 00:00:00+00:00,0.00046656
2000-06-01 00:00:00+00:00,0.03740571
2000-06-02 00:00:00+00:00,0.05016416
2000-06-05 00:00:00+00:00,-0.02399404
