Date,EUA
2022-12-30 00:00:00+00:00,-0.01054502
2023-01-02 00:00:00+00:00,0.05525783
2023-01-03 00:00:00+00:00,-0.06281873
2023-01-04 00:00:00+00:00,-0.13796817
2023-01-05 00:00:00+00:00,0.02725636
2023-01-06 00:00:00+00:00,-0.03666117
2023-01-09 00:00:00+00:00,0.10479390
2023-01-10 00:00:00+00:00,-0.02271332
2023-01-11 00:00:00+00:00,-0.03824187
2023-01-12 00:00:00+00:00,0.03139241
2023-01-13 00:00:00+00:00,-0.00934696
2023-01-16 00:00:00+00:00,-0.05747558
2023-01-17 00:00:00+00:00,0.05130850
2023-01-18 00:00:00+00:00,0.09301156
2023-01-19 00:00:00+00:00,0.01501321
2023-01-20 00:00:00+00:00,0.02812872
2023-01-23 00:00:00+00:00,0.00246827
2023-01-24 00:00:00+00:00,-0.08240404
2023-01-25 00:00:00+00:00,0.06318109
2023-01-26 00:00:00+00:00,0.12069784
2023-01-27 00:00:00+00:00,-0.00346911
2023-01-30 00:00:00+00:00,0.00862938
2023-01-31 00:00:00+00:00,0.07554960
2023-02-01 00:00:00+00:00,0.05203742
2023-02-02 00:00:00+00:00,-0.05091671
2023-02-03 00:00:00+00:00,0.00580583
2023-02-06 00:00:00+00:00,-0.05155965
2023-02-07 00:00:00+00:00,-0.01276408
2023-02-08 00:00:00+00:00,-0.00022151
2023-02-09 00:00:00+00:00,0.01517501
2023-02-10 00:00:00+00:00,0.04551451
2023-02-13 00:00:00+00:00,-0.01741374
2023-02-14 00:00:00+00:00,-0.00368684
2023-02-15 00:00:00+00:00,0.04986420
2023-02-16 00:00:00+00:00,0.06697044
2023-02-17 00:00:00+00:00,-0.02645069
2023-02-20 00:00:00+00:00,0.04322078
2023-02-21 00:00:00+00:00,0.04026436
2023-02-22 00:00:00+00:00,-0.07105840
2023-02-23 00:00:00+00:00,0.01663739
2023-02-24 00:00:00+00:00,-0.00409920
2023-02-27 00:00:00+00:00,0.05791149
2023-02-28 00:00:00+00:00,-0.00887958
2023-03-01 00:00:00+00:00,-0.05771543
2023-03-02 00:00:00+00:00,-0.07294676
2023-03-03 00:00:00+00:00,-0.02559435
2023-03-06 00:00:00+00:00,0.01757431
2023-03-07 00:00:00+00:00,0.05796946
2023-03-08 00:00:00+00:00,0.04472777
2023-03-09 00:00:00+00:00,0.01205927
2023-03-10 00:00:00+00:00,0.02804308
2023-03-13 00:00:00+00:00,-0.05310621
2023-03-14 00:00:00+00:00,-0.09111710
2023-03-15 00:00:00+00:00,-0.07283125
2023-03-16 00:00:00+00:00,-0.04742152
2023-03-17 00:00:00+00:00,0.00482371
2023-03-20 00:00:00+00:00,0.01145607
2023-03-21 00:00:00+00:00,0.06854150
2023-03-22 00:00:00+00:00,-0.00074587
2023-03-23 00:00:00+00:00,0.06351913
2023-03-24 00:00:00+00:00,-0.10638298
2023-03-27 00:00:00+00:00,-0.00534701
2023-03-28 00:00:00+00:00,0.04452467
2023-03-29 00:00:00+00:00,0.02129253
2023-03-30 00:00:00+00:00,0.01429025
2023-03-31 00:00:00+00:00,0.02081144
