Date,COCOA
2000-01-04 00:00:00+00:00,0.01285047
2000-01-05 00:00:00+00:00,-0.01161440
2000-01-06 00:00:00+00:00,0.02219626
2000-01-07 00:00:00+00:00,0.03121387
2000-01-10 00:00:00+00:00,-0.03181818
2000-01-11 00:00:00+00:00,0.01616628
2000-01-12 00:00:00+00:00,0.01832761
2000-01-13 00:00:00+00:00,0.03859251
2000-01-14 00:00:00+00:00,-0.04560623
2000-01-18 00:00:00+00:00,-0.04897494
2000-01-19 00:00:00+00:00,0.03733956
2000-01-20 00:00:00+00:00,0.02061856
2000-01-21 00:00:00+00:00,0.01700680
2000-01-24 00:00:00+00:00,-0.03487064
2000-01-25 00:00:00+00:00,-0.01485714
2000-01-26 00:00:00+00:00,0.01728111
2000-01-27 00:00:00+00:00,-0.04908676
2000-01-28 00:00:00+00:00,-0.02923977
2000-01-31 00:00:00+00:00,-0.03562945
2000-02-01 00:00:00+00:00,-0.07729469
2000-02-02 00:00:00+00:00,0.00502513
2000-02-03 00:00:00+00:00,0.02007528
2000-02-04 00:00:00+00:00,-0.01987578
2000-02-07 00:00:00+00:00,0.04260652
2000-02-08 00:00:00+00:00,-0.04176904
2000-02-09 00:00:00+00:00,0.03894472
2000-02-10 00:00:00+00:00,-0.01604938
2000-02-11 00:00:00+00:00,-0.03478261
2000-02-14 00:00:00+00:00,-0.04785894
2000-02-15 00:00:00+00:00,0.02322581
2000-02-16 00:00:00+00:00,0.03949045
2000-02-17 00:00:00+00:00,0.03250000
2000-02-18 00:00:00+00:00,0.00618047
2000-02-22 00:00:00+00:00,-0.04907975
2000-02-23 00:00:00+00:00,0.02515723
2000-02-24 00:00:00+00:00,-0.02109181
2000-02-25 00:00:00+00:00,-0.08217446
2000-02-28 00:00:00+00:00,0.01581028
2000-02-29 00:00:00+00:00,0.03398693
2000-03-01 00:00:00+00:00,0.02056555
2000-03-02 00:00:00+00:00,0.08248731
2000-03-03 00:00:00+00:00,0.04628502
2000-03-06 00:00:00+00:00,-0.00710059
2000-03-07 00:00:00+00:00,0.04038005
2000-03-08 00:00:00+00:00,0.01513388
2000-03-09 00:00:00+00:00,-0.02320186
2000-03-10 00:00:00+00:00,0.02108152
2000-03-13 00:00:00+00:00,0.04711425
2000-03-14 00:00:00+00:00,0.03912543
2000-03-15 00:00:00+00:00,-0.02151755
2000-03-16 00:00:00+00:00,0.07683742
2000-03-17 00:00:00+00:00,-0.01283422
2000-03-20 00:00:00+00:00,-0.07800650
2000-03-21 00:00:00+00:00,0.01576577
2000-03-22 00:00:00+00:00,0.01005587
2000-03-23 00:00:00+00:00,0.00998890
2000-03-24 00:00:00+00:00,-0.07734807
2000-03-27 00:00:00+00:00,-0.09873708
2000-03-28 00:00:00+00:00,0.04347826
2000-03-29 00:00:00+00:00,-0.04609929
2000-03-30 00:00:00+00:00,-0.00484262
2000-03-31 00:00:00+00:00,0.01577670
2000-04-03 00:00:00+00:00,-0.03850782
2000-04-04 00:00:00+00:00,0.05889571
2000-04-05 00:00:00+00:00,0.00596659
2000-04-06 00:00:00+00:00,0.03329370
2000-04-07 00:00:00+00:00,-0.03391813
2000-04-10 00:00:00+00:00,-0.00237812
2000-04-11 00:00:00+00:00,-0.01187648
2000-04-12 00:00:00+00:00,-0.00119617
2000-04-13 00:00:00+00:00,0.03349282
2000-04-14 00:00:00+00:00,-0.01527615
2000-04-17 00:00:00+00:00,0.04373522
2000-04-18 00:00:00+00:00,0.02655889
2000-04-19 00:00:00+00:00,-0.06164384
2000-04-20 00:00:00+00:00,-0.02127660
2000-04-24 00:00:00+00:00,-0.08591885
2000-04-25 00:00:00+00:00,0.00496894
2000-04-26 00:00:00+00:00,-0.00995025
2000-04-27 00:00:00+00:00,-0.03500000
2000-04-28 00:00:00+00:00,-0.02046036
2000-05-01 00:00:00+00:00,0.04392765
