Date,COPPER
2000-01-05 00:00:00+00:00,0.02004717
2000-01-06 00:00:00+00:00,-0.00817280
2000-01-07 00:00:00+00:00,0.00234467
2000-01-10 00:00:00+00:00,-0.01697892
2000-01-11 00:00:00+00:00,-0.00649734
2000-01-12 00:00:00+00:00,0.05275637
2000-01-13 00:00:00+00:00,-0.02193995
2000-01-14 00:00:00+00:00,0.01401051
2000-01-18 00:00:00+00:00,0.00869565
2000-01-19 00:00:00+00:00,0.03810624
2000-01-20 00:00:00+00:00,-0.02152975
2000-01-21 00:00:00+00:00,0.00000000
2000-01-24 00:00:00+00:00,-0.03780069
2000-01-25 00:00:00+00:00,-0.03210741
2000-01-26 00:00:00+00:00,-0.00237389
2000-01-27 00:00:00+00:00,0.00713012
2000-01-28 00:00:00+00:00,-0.02249852
2000-01-31 00:00:00+00:00,0.03473054
2000-02-01 00:00:00+00:00,-0.01530312
2000-02-02 00:00:00+00:00,-0.04863582
2000-02-03 00:00:00+00:00,0.00790274
2000-02-04 00:00:00+00:00,0.00423729
2000-02-07 00:00:00+00:00,-0.00060423
2000-02-08 00:00:00+00:00,-0.01692866
2000-02-09 00:00:00+00:00,0.00487805
2000-02-10 00:00:00+00:00,0.06630170
2000-02-11 00:00:00+00:00,-0.01059447
2000-02-14 00:00:00+00:00,-0.00236686
2000-02-15 00:00:00+00:00,-0.04028436
2000-02-16 00:00:00+00:00,0.00241838
2000-02-17 00:00:00+00:00,0.01992754
2000-02-18 00:00:00+00:00,-0.01016746
2000-02-22 00:00:00+00:00,-0.01021635
2000-02-23 00:00:00+00:00,0.02839879
2000-02-24 00:00:00+00:00,-0.01132305
2000-02-25 00:00:00+00:00,-0.04556355
2000-02-28 00:00:00+00:00,-0.08282209
2000-02-29 00:00:00+00:00,0.01344430
2000-03-01 00:00:00+00:00,0.01207116
2000-03-02 00:00:00+00:00,0.01831965
2000-03-03 00:00:00+00:00,0.01116625
2000-03-06 00:00:00+00:00,0.00616523
2000-03-07 00:00:00+00:00,-0.02335587
2000-03-08 00:00:00+00:00,-0.01244555
2000-03-09 00:00:00+00:00,0.02379461
2000-03-10 00:00:00+00:00,-0.01856436
2000-03-13 00:00:00+00:00,-0.00437227
2000-03-14 00:00:00+00:00,0.03128911
2000-03-15 00:00:00+00:00,0.01786815
2000-03-16 00:00:00+00:00,0.01892552
2000-03-17 00:00:00+00:00,-0.01148730
2000-03-20 00:00:00+00:00,-0.01581509
2000-03-21 00:00:00+00:00,0.02697731
2000-03-22 00:00:00+00:00,-0.00725953
2000-03-23 00:00:00+00:00,0.00303582
2000-03-24 00:00:00+00:00,-0.01696970
2000-03-27 00:00:00+00:00,-0.01772616
2000-03-28 00:00:00+00:00,0.00246761
2000-03-29 00:00:00+00:00,0.00739372
2000-03-30 00:00:00+00:00,-0.00122775
2000-03-31 00:00:00+00:00,-0.00614251
2000-04-03 00:00:00+00:00,-0.00616143
2000-04-04 00:00:00+00:00,-0.02224969
2000-04-05 00:00:00+00:00,-0.00312500
2000-04-06 00:00:00+00:00,-0.06700063
2000-04-07 00:00:00+00:00,0.01165803
2000-04-10 00:00:00+00:00,0.02060528
2000-04-11 00:00:00+00:00,0.01019758
