Date,REDWHEAT
2000-01-04 00:00:00+00:00,-0.00091158
2000-01-05 00:00:00+00:00,0.00821168
2000-01-06 00:00:00+00:00,-0.00452489
2000-01-07 00:00:00+00:00,0.01000000
2000-01-10 00:00:00+00:00,0.00720072
2000-01-11 00:00:00+00:00,0.00089366
2000-01-12 00:00:00+00:00,0.02053571
2000-01-13 00:00:00+00:00,0.01487314
2000-01-14 00:00:00+00:00,0.01034483
2000-01-18 00:00:00+00:00,-0.00341297
2000-01-19 00:00:00+00:00,0.00513699
2000-01-20 00:00:00+00:00,-0.00255537
2000-01-21 00:00:00+00:00,0.00085397
2000-01-24 00:00:00+00:00,0.00511945
2000-01-25 00:00:00+00:00,-0.00339559
2000-01-26 00:00:00+00:00,-0.01790356
2000-01-27 00:00:00+00:00,0.00867303
2000-01-28 00:00:00+00:00,-0.01031814
2000-01-31 00:00:00+00:00,-0.01476977
2000-02-01 00:00:00+00:00,0.00529101
2000-02-02 00:00:00+00:00,0.03859649
2000-02-03 00:00:00+00:00,-0.02533784
2000-02-04 00:00:00+00:00,0.02309666
2000-02-07 00:00:00+00:00,0.01353638
2000-02-08 00:00:00+00:00,0.00504202
2000-02-09 00:00:00+00:00,0.03852596
2000-02-10 00:00:00+00:00,0.05263158
2000-02-11 00:00:00+00:00,-0.01602564
2000-02-14 00:00:00+00:00,0.00161421
2000-02-15 00:00:00+00:00,-0.01534733
2000-02-16 00:00:00+00:00,-0.00406504
2000-02-17 00:00:00+00:00,-0.01628664
2000-02-18 00:00:00+00:00,0.00903120
2000-02-22 00:00:00+00:00,-0.00735895
2000-02-23 00:00:00+00:00,-0.04590164
2000-02-24 00:00:00+00:00,-0.00251678
2000-02-25 00:00:00+00:00,-0.05882353
2000-02-28 00:00:00+00:00,-0.02162630
2000-02-29 00:00:00+00:00,0.01572052
2000-03-01 00:00:00+00:00,-0.00086806
2000-03-02 00:00:00+00:00,-0.01042572
2000-03-03 00:00:00+00:00,0.00524476
2000-03-06 00:00:00+00:00,0.01133391
2000-03-07 00:00:00+00:00,-0.00086730
2000-03-08 00:00:00+00:00,0.01476977
2000-03-09 00:00:00+00:00,0.02497847
2000-03-10 00:00:00+00:00,-0.01706485
2000-03-13 00:00:00+00:00,0.00692042
2000-03-14 00:00:00+00:00,0.05231561
