Date,CHFJPY
2021-12-15 00:00:00+00:00,0.00182489
2021-12-16 00:00:00+00:00,0.00591524
2021-12-17 00:00:00+00:00,-0.00787751
2021-12-20 00:00:00+00:00,0.00296074
2021-12-21 00:00:00+00:00,0.00400907
2021-12-22 00:00:00+00:00,0.01006386
2021-12-23 00:00:00+00:00,0.00868621
2021-12-27 00:00:00+00:00,0.00868869
2021-12-28 00:00:00+00:00,-0.00159471
2021-12-29 00:00:00+00:00,0.00913661
2021-12-30 00:00:00+00:00,0.00305823
2021-12-31 00:00:00+00:00,0.00460007
2022-01-03 00:00:00+00:00,-0.01028684
2022-01-04 00:00:00+00:00,0.01829244
2022-01-05 00:00:00+00:00,-0.00149754
2022-01-06 00:00:00+00:00,-0.01439558
2022-01-07 00:00:00+00:00,0.00170825
2022-01-10 00:00:00+00:00,-0.02508633
2022-01-11 00:00:00+00:00,0.01016963
2022-01-12 00:00:00+00:00,0.00559888
2022-01-13 00:00:00+00:00,0.00039882
2022-01-14 00:00:00+00:00,-0.00574163
2022-01-17 00:00:00+00:00,0.00315899
2022-01-18 00:00:00+00:00,-0.00203293
2022-01-19 00:00:00+00:00,-0.00247792
2022-01-20 00:00:00+00:00,-0.00584234
2022-01-21 00:00:00+00:00,0.00337106
2022-01-24 00:00:00+00:00,-0.00376618
2022-01-25 00:00:00+00:00,-0.00642261
2022-01-26 00:00:00+00:00,-0.00036244
2022-01-27 00:00:00+00:00,-0.00451104
2022-01-28 00:00:00+00:00,-0.00012110
2022-01-31 00:00:00+00:00,0.00835655
2022-02-01 00:00:00+00:00,0.00229155
2022-02-02 00:00:00+00:00,0.00144561
2022-02-03 00:00:00+00:00,0.00553772
2022-02-04 00:00:00+00:00,-0.00532234
2022-02-07 00:00:00+00:00,0.00144439
2022-02-08 00:00:00+00:00,0.00328776
2022-02-09 00:00:00+00:00,0.00288196
2022-02-10 00:00:00+00:00,0.00275790
2022-02-11 00:00:00+00:00,-0.01041791
2022-02-14 00:00:00+00:00,0.00633953
2022-02-15 00:00:00+00:00,-0.00035999
2022-02-16 00:00:00+00:00,0.00596072
2022-02-17 00:00:00+00:00,-0.00717932
2022-02-18 00:00:00+00:00,0.00156119
2022-02-21 00:00:00+00:00,0.00027999
2022-02-22 00:00:00+00:00,-0.00115963
2022-02-23 00:00:00+00:00,0.00484194
2022-02-24 00:00:00+00:00,-0.00494990
2022-02-25 00:00:00+00:00,-0.00216086
2022-02-28 00:00:00+00:00,0.00837273
2022-03-01 00:00:00+00:00,-0.00522641
2022-03-02 00:00:00+00:00,0.00895964
2022-03-03 00:00:00+00:00,0.00095572
2022-03-04 00:00:00+00:00,-0.01030846
2022-03-07 00:00:00+00:00,-0.00668134
2022-03-08 00:00:00+00:00,0.00019852
2022-03-09 00:00:00+00:00,0.00790720
2022-03-10 00:00:00+00:00,-0.00395810
2022-03-11 00:00:00+00:00,0.01133678
2022-03-14 00:00:00+00:00,0.00876354
2022-03-15 00:00:00+00:00,-0.00332739
2022-03-16 00:00:00+00:00,0.00528596
2022-03-17 00:00:00+00:00,0.01078210
2022-03-18 00:00:00+00:00,0.01947719
2022-03-21 00:00:00+00:00,0.00164005
2022-03-22 00:00:00+00:00,0.02294097
2022-03-23 00:00:00+00:00,0.01064651
2022-03-24 00:00:00+00:00,0.01933850
2022-03-25 00:00:00+00:00,-0.00281230
2022-03-28 00:00:00+00:00,0.01430909
2022-03-29 00:00:00+00:00,-0.00185164
2022-03-30 00:00:00+00:00,-0.00109678
2022-03-31 00:00:00+00:00,-0.00249735
2022-04-01 00:00:00+00:00,0.01015382
2022-04-04 00:00:00+00:00,0.00147020
2022-04-05 00:00:00+00:00,0.00662975
2022-04-06 00:00:00+00:00,-0.00548172
2022-04-07 00:00:00+00:00,0.00105414
2022-04-08 00:00:00+00:00,0.00669802
2022-04-11 00:00:00+00:00,0.02310058
2022-04-12 00:00:00+00:00,-0.00481928
2022-04-13 00:00:00+00:00,0.00052027
2022-04-14 00:00:00+00:00,-0.01199985
2022-04-18 00:00:00+00:00,0.01203558
2022-04-19 00:00:00+00:00,0.01307821
2022-04-20 00:00:00+00:00,-0.00985604
2022-04-21 00:00:00+00:00,-0.00174345
2022-04-22 00:00:00+00:00,-0.00271033
2022-04-25 00:00:00+00:00,-0.01368030
2022-04-26 00:00:00+00:00,-0.01355095
2022-04-27 00:00:00+00:00,-0.00094219
2022-04-28 00:00:00+00:00,0.03310584
2022-04-29 00:00:00+00:00,-0.02058605
2022-05-02 00:00:00+00:00,-0.00550954
2022-05-03 00:00:00+00:00,0.00086434
2022-05-04 00:00:00+00:00,-0.01333534
2022-05-05 00:00:00+00:00,-0.00204213
2022-05-06 00:00:00+00:00,0.00249849
2022-05-09 00:00:00+00:00,-0.01406534
2022-05-10 00:00:00+00:00,-0.00342687
2022-05-11 00:00:00+00:00,-0.00537819
2022-05-12 00:00:00+00:00,-0.04849319
2022-05-13 00:00:00+00:00,0.02296778
2022-05-16 00:00:00+00:00,-0.00085248
2022-05-17 00:00:00+00:00,0.02004187
2022-05-18 00:00:00+00:00,-0.00744579
2022-05-19 00:00:00+00:00,0.02927806
2022-05-20 00:00:00+00:00,-0.01047955
2022-05-23 00:00:00+00:00,0.02309337
2022-05-24 00:00:00+00:00,-0.00762207
2022-05-25 00:00:00+00:00,0.00579524
