Date,FTSETAIWAN
2021-04-27 00:00:00+00:00,0.00630252
2021-04-28 00:00:00+00:00,-0.00096634
2021-04-29 00:00:00+00:00,0.01257659
2021-04-30 00:00:00+00:00,-0.01572165
2021-05-03 00:00:00+00:00,-0.02989174
2021-05-04 00:00:00+00:00,-0.03607740
2021-05-05 00:00:00+00:00,-0.01903808
2021-05-06 00:00:00+00:00,0.02344013
2021-05-07 00:00:00+00:00,0.01233333
2021-05-10 00:00:00+00:00,-0.01251235
2021-05-11 00:00:00+00:00,-0.08494784
2021-05-12 00:00:00+00:00,-0.09858181
2021-05-13 00:00:00+00:00,-0.01019294
2021-05-14 00:00:00+00:00,0.02469362
2021-05-17 00:00:00+00:00,-0.05526458
2021-05-18 00:00:00+00:00,0.11528449
2021-05-19 00:00:00+00:00,-0.01089631
2021-05-20 00:00:00+00:00,-0.00618265
2021-05-21 00:00:00+00:00,0.03101737
2021-05-24 00:00:00+00:00,0.00610181
2021-05-25 00:00:00+00:00,0.03755869
2021-05-26 00:00:00+00:00,-0.00187617
2021-05-27 00:00:00+00:00,-0.00153636
2021-05-28 00:00:00+00:00,0.04373928
2021-05-31 00:00:00+00:00,0.01902357
2021-06-01 00:00:00+00:00,0.01383780
2021-06-02 00:00:00+00:00,-0.00861783
2021-06-03 00:00:00+00:00,0.01214844
2021-06-04 00:00:00+00:00,-0.01471804
2021-06-07 00:00:00+00:00,0.00149950
2021-06-08 00:00:00+00:00,-0.00948893
2021-06-09 00:00:00+00:00,-0.01226891
2021-06-10 00:00:00+00:00,0.02030113
2021-06-11 00:00:00+00:00,0.00401875
2021-06-14 00:00:00+00:00,-0.00050134
2021-06-15 00:00:00+00:00,0.01253342
2021-06-16 00:00:00+00:00,-0.00481888
2021-06-17 00:00:00+00:00,0.00349709
2021-06-18 00:00:00+00:00,-0.00648703
2021-06-21 00:00:00+00:00,-0.03837171
2021-06-22 00:00:00+00:00,0.00612245
2021-06-23 00:00:00+00:00,0.02801834
