Date,MXP
2000-06-23 00:00:00+00:00,-0.00571545
2000-06-26 00:00:00+00:00,-0.02456499
2000-06-27 00:00:00+00:00,0.00165803
2000-06-28 00:00:00+00:00,0.02422862
2000-06-29 00:00:00+00:00,0.01718670
2000-06-30 00:00:00+00:00,0.02180970
2000-07-03 00:00:00+00:00,0.06805179
2000-07-05 00:00:00+00:00,0.00680074
2000-07-06 00:00:00+00:00,-0.00445391
2000-07-07 00:00:00+00:00,0.00873362
2000-07-10 00:00:00+00:00,0.01159420
2000-07-11 00:00:00+00:00,-0.00096061
2000-07-12 00:00:00+00:00,0.00096108
2000-07-13 00:00:00+00:00,0.00288184
2000-07-14 00:00:00+00:00,0.01640288
2000-07-17 00:00:00+00:00,0.01046324
2000-07-18 00:00:00+00:00,-0.00718812
2000-07-19 00:00:00+00:00,-0.01613669
2000-07-20 00:00:00+00:00,0.01971292
2000-07-21 00:00:00+00:00,-0.00341135
2000-07-24 00:00:00+00:00,-0.00227812
2000-07-25 00:00:00+00:00,0.00418132
2000-07-26 00:00:00+00:00,0.00056899
2000-07-27 00:00:00+00:00,0.00132727
2000-07-28 00:00:00+00:00,-0.00416864
2000-07-31 00:00:00+00:00,0.00569638
2000-08-01 00:00:00+00:00,0.00037868
2000-08-02 00:00:00+00:00,-0.00492191
2000-08-03 00:00:00+00:00,-0.00616231
2000-08-04 00:00:00+00:00,0.01540656
2000-08-07 00:00:00+00:00,0.00000000
2000-08-08 00:00:00+00:00,0.00000000
2000-08-09 00:00:00+00:00,0.00377537
2000-08-10 00:00:00+00:00,0.00047103
2000-08-11 00:00:00+00:00,0.01365992
2000-08-14 00:00:00+00:00,-0.00187178
2000-08-15 00:00:00+00:00,0.01086651
2000-08-16 00:00:00+00:00,0.00838535
2000-08-17 00:00:00+00:00,0.01039154
2000-08-18 00:00:00+00:00,-0.03073941
2000-08-21 00:00:00+00:00,0.00824356
2000-08-22 00:00:00+00:00,0.00326553
2000-08-23 00:00:00+00:00,-0.00232926
2000-08-24 00:00:00+00:00,0.01511194
2000-08-25 00:00:00+00:00,-0.00592593
2000-08-28 00:00:00+00:00,0.00371471
2000-08-29 00:00:00+00:00,-0.00092696
2000-08-30 00:00:00+00:00,0.00593527
2000-08-31 00:00:00+00:00,0.00138632
2000-09-01 00:00:00+00:00,-0.00323326
2000-09-05 00:00:00+00:00,-0.01110083
2000-09-06 00:00:00+00:00,-0.01627907
2000-09-08 00:00:00+00:00,0.01200188
2000-09-11 00:00:00+00:00,0.01193139
2000-09-12 00:00:00+00:00,0.00046348
2000-09-13 00:00:00+00:00,-0.01389790
2000-09-14 00:00:00+00:00,0.00559545
2000-09-15 00:00:00+00:00,-0.03952385
2000-09-18 00:00:00+00:00,-0.00338885
2000-09-19 00:00:00+00:00,0.00678952
2000-09-20 00:00:00+00:00,-0.00966651
2000-09-21 00:00:00+00:00,0.00679942
2000-09-22 00:00:00+00:00,0.00145208
2000-09-25 00:00:00+00:00,0.00435287
2000-09-26 00:00:00+00:00,-0.00048263
2000-09-27 00:00:00+00:00,0.00067581
2000-09-28 00:00:00+00:00,-0.00231660
2000-09-29 00:00:00+00:00,-0.00057982
2000-10-02 00:00:00+00:00,0.00773320
2000-10-03 00:00:00+00:00,0.00731825
2000-10-04 00:00:00+00:00,-0.01592632
2000-10-05 00:00:00+00:00,0.00193424
2000-10-06 00:00:00+00:00,0.00057971
2000-10-10 00:00:00+00:00,0.00135227
2000-10-11 00:00:00+00:00,0.00000000
2000-10-12 00:00:00+00:00,-0.02355212
2000-10-13 00:00:00+00:00,0.00683727
2000-10-16 00:00:00+00:00,0.00292028
2000-10-17 00:00:00+00:00,-0.01020607
2000-10-18 00:00:00+00:00,0.00527447
2000-10-19 00:00:00+00:00,0.00448125
2000-10-20 00:00:00+00:00,-0.00388802
2000-10-23 00:00:00+00:00,-0.00564862
2000-10-24 00:00:00+00:00,-0.00244141
2000-10-25 00:00:00+00:00,-0.01026594
2000-10-26 00:00:00+00:00,-0.00638319
2000-10-27 00:00:00+00:00,0.01527094
2000-10-30 00:00:00+00:00,0.00439969
2000-10-31 00:00:00+00:00,0.01053659
2000-11-01 00:00:00+00:00,-0.00786179
2000-11-02 00:00:00+00:00,0.00740019
2000-11-03 00:00:00+00:00,-0.01804424
2000-11-06 00:00:00+00:00,0.00391581
2000-11-07 00:00:00+00:00,0.00840665
2000-11-08 00:00:00+00:00,-0.01168111
2000-11-09 00:00:00+00:00,0.00244786
2000-11-10 00:00:00+00:00,0.02198769
2000-11-13 00:00:00+00:00,0.01150537
2000-11-14 00:00:00+00:00,0.00336538
2000-11-15 00:00:00+00:00,0.00912146
2000-11-16 00:00:00+00:00,-0.00191205
2000-11-17 00:00:00+00:00,0.00535885
2000-11-20 00:00:00+00:00,0.00992556
2000-11-21 00:00:00+00:00,0.00474834
2000-11-22 00:00:00+00:00,0.00341071
2000-11-24 00:00:00+00:00,-0.00189161
2000-11-27 00:00:00+00:00,0.00710026
2000-11-28 00:00:00+00:00,-0.01131755
2000-11-29 00:00:00+00:00,0.00796737
2000-11-30 00:00:00+00:00,-0.00727101
2000-12-01 00:00:00+00:00,0.00805458
2000-12-04 00:00:00+00:00,-0.00122699
2000-12-05 00:00:00+00:00,0.00188947
2000-12-06 00:00:00+00:00,-0.00415486
2000-12-07 00:00:00+00:00,0.00321726
2000-12-08 00:00:00+00:00,0.00340104
2000-12-11 00:00:00+00:00,-0.00575580
2000-12-12 00:00:00+00:00,-0.00842404
2000-12-13 00:00:00+00:00,0.02232143
2000-12-14 00:00:00+00:00,-0.00610730
2000-12-15 00:00:00+00:00,-0.02572317
2000-12-18 00:00:00+00:00,0.01121857
2000-12-19 00:00:00+00:00,-0.00586651
2000-12-20 00:00:00+00:00,-0.03413693
2000-12-21 00:00:00+00:00,-0.01795350
2000-12-22 00:00:00+00:00,0.00792079
2000-12-26 00:00:00+00:00,0.00493097
2000-12-27 00:00:00+00:00,-0.00147565
2000-12-28 00:00:00+00:00,0.00344556
2000-12-29 00:00:00+00:00,-0.00933661
2001-01-02 00:00:00+00:00,-0.03702607
2001-01-03 00:00:00+00:00,0.02917505
2001-01-04 00:00:00+00:00,-0.01487357
2001-01-05 00:00:00+00:00,0.00299700
2001-01-08 00:00:00+00:00,0.00299252
2001-01-09 00:00:00+00:00,-0.00747012
2001-01-10 00:00:00+00:00,-0.00999700
2001-01-11 00:00:00+00:00,-0.00351653
2001-01-12 00:00:00+00:00,-0.01409160
2001-01-16 00:00:00+00:00,-0.01469843
2001-01-17 00:00:00+00:00,0.01868682
2001-01-18 00:00:00+00:00,0.01667846
2001-01-19 00:00:00+00:00,0.00340750
2001-01-22 00:00:00+00:00,0.00100050
2001-01-23 00:00:00+00:00,0.00299850
2001-01-24 00:00:00+00:00,0.02794411
2001-01-25 00:00:00+00:00,-0.00295276
2001-01-26 00:00:00+00:00,-0.00019714
2001-01-29 00:00:00+00:00,0.01281419
2001-01-30 00:00:00+00:00,-0.01028404
2001-01-31 00:00:00+00:00,0.00098445
2001-02-01 00:00:00+00:00,-0.02017121
2001-02-02 00:00:00+00:00,0.00646123
2001-02-05 00:00:00+00:00,0.00029724
2001-02-06 00:00:00+00:00,0.01277481
2001-02-07 00:00:00+00:00,0.00059026
2001-02-08 00:00:00+00:00,0.00629426
2001-02-09 00:00:00+00:00,-0.01313725
2001-02-12 00:00:00+00:00,0.01381624
2001-02-13 00:00:00+00:00,-0.00539057
2001-02-14 00:00:00+00:00,0.00147377
2001-02-15 00:00:00+00:00,0.00982029
2001-02-16 00:00:00+00:00,-0.00684061
2001-02-20 00:00:00+00:00,0.00725632
2001-02-21 00:00:00+00:00,-0.01113825
2001-02-22 00:00:00+00:00,0.00393005
2001-02-23 00:00:00+00:00,0.00882526
2001-02-26 00:00:00+00:00,0.00507664
2001-02-27 00:00:00+00:00,0.00000000
2001-02-28 00:00:00+00:00,-0.00194875
2001-03-01 00:00:00+00:00,0.00243831
2001-03-02 00:00:00+00:00,0.00876766
2001-03-05 00:00:00+00:00,0.00630456
2001-03-06 00:00:00+00:00,-0.00628627
2001-03-07 00:00:00+00:00,0.00485060
2001-03-08 00:00:00+00:00,-0.00116133
2001-03-09 00:00:00+00:00,0.00232378
2001-03-12 00:00:00+00:00,-0.00048356
2001-03-13 00:00:00+00:00,0.01838413
2001-03-14 00:00:00+00:00,-0.00191755
2001-03-15 00:00:00+00:00,-0.02994242
2001-03-16 00:00:00+00:00,0.00692521
2001-03-19 00:00:00+00:00,0.00739426
2001-03-20 00:00:00+00:00,0.00589507
2001-03-21 00:00:00+00:00,-0.00342868
2001-03-22 00:00:00+00:00,-0.01913641
2001-03-23 00:00:00+00:00,0.01089864
2001-03-26 00:00:00+00:00,0.01083957
2001-03-27 00:00:00+00:00,0.00147016
2001-03-28 00:00:00+00:00,0.00244858
2001-03-29 00:00:00+00:00,0.00146728
2001-03-30 00:00:00+00:00,0.01710655
2001-04-02 00:00:00+00:00,0.00872262
2001-04-03 00:00:00+00:00,-0.00048249
2001-04-04 00:00:00+00:00,0.00000000
2001-04-05 00:00:00+00:00,-0.00048263
2001-04-06 00:00:00+00:00,0.00724078
2001-04-09 00:00:00+00:00,0.01491101
2001-04-10 00:00:00+00:00,0.01241287
2001-04-11 00:00:00+00:00,-0.00047447
2001-04-12 00:00:00+00:00,-0.00332226
2001-04-16 00:00:00+00:00,0.00237688
2001-04-17 00:00:00+00:00,0.01519468
2001-04-18 00:00:00+00:00,0.00235627
2001-04-19 00:00:00+00:00,-0.01506166
2001-04-20 00:00:00+00:00,-0.01375320
2001-04-23 00:00:00+00:00,-0.00019102
2001-04-24 00:00:00+00:00,0.02291607
2001-04-25 00:00:00+00:00,-0.00481450
2001-04-26 00:00:00+00:00,0.00908661
2001-04-27 00:00:00+00:00,-0.00188448
2001-04-30 00:00:00+00:00,0.00990286
2001-05-01 00:00:00+00:00,-0.00244063
2001-05-02 00:00:00+00:00,-0.00507519
2001-05-03 00:00:00+00:00,0.00565344
2001-05-04 00:00:00+00:00,0.00000000
2001-05-07 00:00:00+00:00,0.01409377
2001-05-08 00:00:00+00:00,0.00205262
2001-05-09 00:00:00+00:00,0.00000000
2001-05-10 00:00:00+00:00,0.00214252
2001-05-11 00:00:00+00:00,0.00000000
2001-05-14 00:00:00+00:00,0.01275249
2001-05-15 00:00:00+00:00,-0.00249699
2001-05-16 00:00:00+00:00,0.00222263
2001-05-17 00:00:00+00:00,0.04127719
2001-05-18 00:00:00+00:00,-0.00779833
2001-05-21 00:00:00+00:00,0.01602185
2001-05-22 00:00:00+00:00,-0.00135587
2001-05-23 00:00:00+00:00,-0.01628517
2001-05-24 00:00:00+00:00,0.00018243
2001-05-25 00:00:00+00:00,-0.00063851
2001-05-29 00:00:00+00:00,-0.00365030
2001-05-30 00:00:00+00:00,-0.01883342
2001-05-31 00:00:00+00:00,0.00396679
2001-06-01 00:00:00+00:00,0.00184111
2001-06-04 00:00:00+00:00,0.00091971
2001-06-05 00:00:00+00:00,0.00478029
2001-06-06 00:00:00+00:00,0.00944954
2001-06-07 00:00:00+00:00,-0.00073073
2001-06-08 00:00:00+00:00,0.01553931
2001-06-11 00:00:00+00:00,0.00344671
2001-06-12 00:00:00+00:00,-0.01240942
2001-06-13 00:00:00+00:00,0.01732312
2001-06-14 00:00:00+00:00,-0.01355871
2001-06-15 00:00:00+00:00,-0.01210411
2001-06-18 00:00:00+00:00,-0.00267158
2001-06-19 00:00:00+00:00,-0.00793504
2001-06-20 00:00:00+00:00,-0.00185271
2001-06-21 00:00:00+00:00,0.00241076
2001-06-22 00:00:00+00:00,0.00000000
2001-06-25 00:00:00+00:00,0.00370439
2001-06-26 00:00:00+00:00,0.00637826
2001-06-27 00:00:00+00:00,-0.00589590
2001-06-28 00:00:00+00:00,0.00129354
2001-06-29 00:00:00+00:00,0.01015697
2001-07-02 00:00:00+00:00,0.00045935
2001-07-03 00:00:00+00:00,0.00000000
2001-07-05 00:00:00+00:00,-0.00643087
2001-07-06 00:00:00+00:00,-0.01751152
2001-07-09 00:00:00+00:00,0.00975836
2001-07-10 00:00:00+00:00,-0.01423948
2001-07-11 00:00:00+00:00,-0.02235053
2001-07-12 00:00:00+00:00,-0.02637031
2001-07-13 00:00:00+00:00,0.00705568
2001-07-16 00:00:00+00:00,0.01624703
2001-07-17 00:00:00+00:00,0.02772800
2001-07-18 00:00:00+00:00,-0.01023256
2001-07-19 00:00:00+00:00,-0.00345956
2001-07-20 00:00:00+00:00,0.02153961
2001-07-23 00:00:00+00:00,0.01343463
2001-07-24 00:00:00+00:00,-0.00506539
2001-07-25 00:00:00+00:00,-0.00489472
2001-07-26 00:00:00+00:00,0.00055581
2001-07-27 00:00:00+00:00,-0.00092610
2001-07-30 00:00:00+00:00,0.00370611
2001-07-31 00:00:00+00:00,0.00092481
2001-08-01 00:00:00+00:00,-0.01442708
2001-08-02 00:00:00+00:00,0.01676758
2001-08-03 00:00:00+00:00,0.00258661
2001-08-06 00:00:00+00:00,0.00507474
2001-08-07 00:00:00+00:00,0.00441786
2001-08-08 00:00:00+00:00,0.00753123
2001-08-09 00:00:00+00:00,-0.00338518
2001-08-10 00:00:00+00:00,0.00641437
2001-08-13 00:00:00+00:00,-0.00274023
2001-08-14 00:00:00+00:00,-0.00640263
2001-08-15 00:00:00+00:00,0.00917600
2001-08-16 00:00:00+00:00,0.00356229
2001-08-17 00:00:00+00:00,-0.00456204
2001-08-20 00:00:00+00:00,-0.00182899
2001-08-21 00:00:00+00:00,-0.00686499
2001-08-22 00:00:00+00:00,0.00652274
2001-08-23 00:00:00+00:00,0.00091592
2001-08-24 00:00:00+00:00,0.00494370
2001-08-27 00:00:00+00:00,-0.00493151
2001-08-28 00:00:00+00:00,-0.00549300
2001-08-29 00:00:00+00:00,-0.00045901
2001-08-30 00:00:00+00:00,-0.01707519
2001-08-31 00:00:00+00:00,0.00416089
2001-09-04 00:00:00+00:00,0.00046104
2001-09-05 00:00:00+00:00,-0.00728446
2001-09-06 00:00:00+00:00,-0.01157086
2001-09-07 00:00:00+00:00,-0.01313094
2001-09-10 00:00:00+00:00,-0.00562588
2001-09-11 00:00:00+00:00,-0.05174036
2001-09-13 00:00:00+00:00,0.03132530
2001-09-14 00:00:00+00:00,-0.01034646
2001-09-17 00:00:00+00:00,-0.01430206
2001-09-18 00:00:00+00:00,0.00773844
2001-09-19 00:00:00+00:00,-0.01021391
2001-09-20 00:00:00+00:00,0.00000000
2001-09-21 00:00:00+00:00,0.00193705
2001-09-24 00:00:00+00:00,0.00290276
2001-09-25 00:00:00+00:00,-0.01449275
2001-09-26 00:00:00+00:00,-0.00136253
2001-09-27 00:00:00+00:00,0.00136346
2001-09-28 00:00:00+00:00,0.00583942
2001-10-01 00:00:00+00:00,0.00446385
2001-10-02 00:00:00+00:00,-0.00542215
2001-10-03 00:00:00+00:00,0.00194175
2001-10-04 00:00:00+00:00,-0.01163919
2001-10-05 00:00:00+00:00,-0.00039024
2001-10-09 00:00:00+00:00,0.02585870
2001-10-10 00:00:00+00:00,0.02120891
2001-10-11 00:00:00+00:00,0.00496041
2001-10-12 00:00:00+00:00,0.01046622
2001-10-15 00:00:00+00:00,0.00738287
2001-10-16 00:00:00+00:00,0.01735358
2001-10-17 00:00:00+00:00,0.00243104
2001-10-18 00:00:00+00:00,0.00410908
2001-10-19 00:00:00+00:00,-0.00139795
2001-10-22 00:00:00+00:00,0.00242537
2001-10-23 00:00:00+00:00,0.00046585
2001-10-24 00:00:00+00:00,-0.00149073
2001-10-25 00:00:00+00:00,-0.00391608
2001-10-26 00:00:00+00:00,0.00186863
2001-10-29 00:00:00+00:00,-0.00466723
2001-10-30 00:00:00+00:00,0.00000000
2001-10-31 00:00:00+00:00,-0.00046781
2001-11-01 00:00:00+00:00,-0.00233973
2001-11-02 00:00:00+00:00,0.00093650
2001-11-05 00:00:00+00:00,0.01497707
2001-11-06 00:00:00+00:00,-0.00065038
2001-11-07 00:00:00+00:00,0.00185908
2001-11-08 00:00:00+00:00,-0.00046434
2001-11-09 00:00:00+00:00,0.00000000
2001-11-13 00:00:00+00:00,-0.00557465
2001-11-14 00:00:00+00:00,0.01583900
2001-11-15 00:00:00+00:00,-0.00425217
2001-11-16 00:00:00+00:00,0.00278035
2001-11-19 00:00:00+00:00,0.01480796
2001-11-20 00:00:00+00:00,-0.00275735
2001-11-21 00:00:00+00:00,0.00414174
2001-11-23 00:00:00+00:00,-0.00220487
2001-11-26 00:00:00+00:00,-0.00257519
2001-11-27 00:00:00+00:00,-0.01658222
2001-11-28 00:00:00+00:00,-0.00325128
2001-11-29 00:00:00+00:00,-0.00790845
2001-11-30 00:00:00+00:00,0.01695705
2001-12-03 00:00:00+00:00,0.00323625
2001-12-04 00:00:00+00:00,0.00240185
2001-12-05 00:00:00+00:00,-0.00323087
2001-12-06 00:00:00+00:00,-0.00231203
2001-12-07 00:00:00+00:00,0.01157086
2001-12-10 00:00:00+00:00,0.00220933
2001-12-11 00:00:00+00:00,0.01177553
2001-12-12 00:00:00+00:00,0.00109790
2001-12-13 00:00:00+00:00,0.00786465
2001-12-14 00:00:00+00:00,0.00127528
2001-12-17 00:00:00+00:00,-0.01656805
2001-12-18 00:00:00+00:00,-0.00212904
2001-12-19 00:00:00+00:00,0.00166821
2001-12-20 00:00:00+00:00,-0.01555844
2001-12-21 00:00:00+00:00,0.01586561
2001-12-24 00:00:00+00:00,0.00787037
2001-12-26 00:00:00+00:00,-0.01051661
2001-12-27 00:00:00+00:00,0.00000000
2001-12-28 00:00:00+00:00,-0.00649170
2001-12-31 00:00:00+00:00,0.00530331
2002-01-02 00:00:00+00:00,0.01233423
2002-01-03 00:00:00+00:00,0.00341234
2002-01-04 00:00:00+00:00,-0.01503274
2002-01-07 00:00:00+00:00,0.00399628
2002-01-08 00:00:00+00:00,-0.00398776
2002-01-09 00:00:00+00:00,-0.00343866
2002-01-10 00:00:00+00:00,-0.01508661
2002-01-11 00:00:00+00:00,0.01660724
2002-01-14 00:00:00+00:00,-0.00465333
2002-01-15 00:00:00+00:00,0.00326340
2002-01-16 00:00:00+00:00,0.00344571
2002-01-17 00:00:00+00:00,0.02137546
