Date,EURCHF
2000-03-15 00:00:00+00:00,0.00000000
2000-03-16 00:00:00+00:00,-0.00024893
2000-03-17 00:00:00+00:00,-0.00080911
2000-03-20 00:00:00+00:00,0.00118306
2000-03-21 00:00:00+00:00,0.00024891
2000-03-22 00:00:00+00:00,-0.00348432
2000-03-23 00:00:00+00:00,-0.00991025
2000-03-24 00:00:00+00:00,-0.01597644
2000-03-27 00:00:00+00:00,0.00195794
2000-03-28 00:00:00+00:00,0.00309187
2000-03-29 00:00:00+00:00,0.00403226
2000-03-30 00:00:00+00:00,-0.00069165
2000-03-31 00:00:00+00:00,-0.00415120
2000-04-03 00:00:00+00:00,-0.01090382
2000-04-04 00:00:00+00:00,-0.00722479
2000-04-05 00:00:00+00:00,-0.00076326
2000-04-06 00:00:00+00:00,-0.00496278
2000-04-07 00:00:00+00:00,-0.00025513
2000-04-10 00:00:00+00:00,0.00357234
2000-04-11 00:00:00+00:00,-0.00050942
2000-04-12 00:00:00+00:00,0.00363057
2000-04-13 00:00:00+00:00,-0.00394176
2000-04-14 00:00:00+00:00,-0.00127413
2000-04-17 00:00:00+00:00,-0.00210325
2000-04-18 00:00:00+00:00,0.00561439
2000-04-19 00:00:00+00:00,-0.00648979
2000-04-20 00:00:00+00:00,0.00089371
2000-04-24 00:00:00+00:00,0.00210111
2000-04-25 00:00:00+00:00,0.00038243
2000-04-26 00:00:00+00:00,0.00063723
2000-04-27 00:00:00+00:00,0.00203848
2000-04-28 00:00:00+00:00,-0.00782791
2000-05-01 00:00:00+00:00,-0.00402427
2000-05-02 00:00:00+00:00,-0.00582661
2000-05-03 00:00:00+00:00,-0.02061260
2000-05-04 00:00:00+00:00,0.00499578
2000-05-05 00:00:00+00:00,0.00783019
2000-05-08 00:00:00+00:00,-0.00560820
2000-05-09 00:00:00+00:00,0.01001874
2000-05-10 00:00:00+00:00,0.00437327
2000-05-11 00:00:00+00:00,-0.00397895
2000-05-12 00:00:00+00:00,-0.00392258
2000-05-15 00:00:00+00:00,0.00418787
2000-05-16 00:00:00+00:00,-0.00610775
2000-05-17 00:00:00+00:00,-0.00083828
2000-05-18 00:00:00+00:00,0.00451555
2000-05-19 00:00:00+00:00,-0.00315376
2000-05-22 00:00:00+00:00,0.00264294
2000-05-23 00:00:00+00:00,0.00965686
2000-05-24 00:00:00+00:00,-0.00140944
2000-05-25 00:00:00+00:00,0.00326986
2000-05-26 00:00:00+00:00,0.00204839
2000-05-30 00:00:00+00:00,0.00895198
2000-05-31 00:00:00+00:00,0.00496531
2000-06-01 00:00:00+00:00,-0.00615951
2000-06-02 00:00:00+00:00,0.00299363
2000-06-05 00:00:00+00:00,0.00216257
2000-06-06 00:00:00+00:00,-0.00527319
2000-06-07 00:00:00+00:00,-0.00337602
2000-06-08 00:00:00+00:00,-0.00178640
2000-06-09 00:00:00+00:00,-0.00057479
2000-06-13 00:00:00+00:00,-0.00389702
2000-06-14 00:00:00+00:00,-0.00147228
2000-06-15 00:00:00+00:00,-0.00442336
2000-06-16 00:00:00+00:00,-0.00115666
2000-06-19 00:00:00+00:00,0.00147881
2000-06-20 00:00:00+00:00,-0.00764487
2000-06-21 00:00:00+00:00,-0.00760947
2000-06-22 00:00:00+00:00,0.00038840
2000-06-23 00:00:00+00:00,0.00310639
2000-06-26 00:00:00+00:00,-0.00413544
2000-06-27 00:00:00+00:00,-0.00343175
2000-06-28 00:00:00+00:00,0.00629176
2000-06-30 00:00:00+00:00,0.01066856
2000-07-03 00:00:00+00:00,-0.00475915
2000-07-05 00:00:00+00:00,-0.00902527
2000-07-06 00:00:00+00:00,-0.00233115
2000-07-07 00:00:00+00:00,-0.00408428
2000-07-10 00:00:00+00:00,0.00993958
2000-07-11 00:00:00+00:00,0.00025856
2000-07-12 00:00:00+00:00,0.00659213
2000-07-13 00:00:00+00:00,-0.00727858
