Date,EU-HOUSE
2020-12-16 00:00:00+00:00,0.00954995
2020-12-17 00:00:00+00:00,-0.00076112
2020-12-18 00:00:00+00:00,-0.00794342
2020-12-21 00:00:00+00:00,-0.01985302
2020-12-22 00:00:00+00:00,0.01365264
2020-12-23 00:00:00+00:00,0.00441599
2020-12-28 00:00:00+00:00,0.01264014
2020-12-29 00:00:00+00:00,0.01530446
2020-12-30 00:00:00+00:00,-0.00171050
2021-01-04 00:00:00+00:00,0.00000000
2021-01-05 00:00:00+00:00,-0.01006640
2021-01-06 00:00:00+00:00,0.00551709
2021-01-07 00:00:00+00:00,0.00258203
2021-01-08 00:00:00+00:00,0.00450692
2021-01-11 00:00:00+00:00,-0.00512766
2021-01-12 00:00:00+00:00,-0.00944916
2021-01-13 00:00:00+00:00,0.00000000
2021-01-14 00:00:00+00:00,0.00487805
2021-01-15 00:00:00+00:00,-0.01218986
2021-01-18 00:00:00+00:00,0.00720760
2021-01-19 00:00:00+00:00,-0.00867397
2021-01-20 00:00:00+00:00,0.00809362
2021-01-21 00:00:00+00:00,0.00520777
2021-01-22 00:00:00+00:00,-0.00550459
2021-01-25 00:00:00+00:00,0.00000000
2021-01-26 00:00:00+00:00,0.00607771
2021-01-27 00:00:00+00:00,-0.00593312
2021-01-28 00:00:00+00:00,-0.00195334
2021-01-29 00:00:00+00:00,-0.02065891
2021-02-01 00:00:00+00:00,0.00954813
2021-02-02 00:00:00+00:00,0.01561641
2021-02-03 00:00:00+00:00,0.00010828
2021-02-04 00:00:00+00:00,-0.00638805
2021-02-05 00:00:00+00:00,0.00283317
2021-02-08 00:00:00+00:00,0.00358579
2021-02-09 00:00:00+00:00,0.00920312
2021-02-10 00:00:00+00:00,-0.01137217
2021-02-11 00:00:00+00:00,0.00542594
2021-02-12 00:00:00+00:00,0.00388559
2021-02-15 00:00:00+00:00,0.01451457
2021-02-16 00:00:00+00:00,-0.00328529
2021-02-17 00:00:00+00:00,-0.00829346
2021-02-18 00:00:00+00:00,-0.00471749
2021-02-19 00:00:00+00:00,0.00527847
2021-02-22 00:00:00+00:00,-0.01168024
2021-02-23 00:00:00+00:00,0.00271061
2021-02-24 00:00:00+00:00,-0.00659602
2021-02-25 00:00:00+00:00,-0.00315663
2021-02-26 00:00:00+00:00,-0.01845381
