Date,US-TECH
2012-06-01 00:00:00+00:00,-0.01932713
2012-06-04 00:00:00+00:00,-0.00912409
2012-06-05 00:00:00+00:00,0.01285634
2012-06-06 00:00:00+00:00,0.01854545
2012-06-07 00:00:00+00:00,0.00571225
2012-06-08 00:00:00+00:00,-0.00035499
2012-06-11 00:00:00+00:00,-0.02592330
2012-06-12 00:00:00+00:00,-0.01060820
2012-06-13 00:00:00+00:00,0.00428878
2012-06-14 00:00:00+00:00,-0.00177936
2012-06-15 00:00:00+00:00,0.00998217
2012-06-18 00:00:00+00:00,0.00741264
2012-06-19 00:00:00+00:00,0.00911002
2012-06-20 00:00:00+00:00,-0.00277778
2012-06-21 00:00:00+00:00,-0.00591922
2012-06-22 00:00:00+00:00,-0.00910683
2012-06-25 00:00:00+00:00,-0.01449275
2012-06-26 00:00:00+00:00,0.00358680
2012-06-27 00:00:00+00:00,0.00285919
2012-06-28 00:00:00+00:00,-0.01385435
2012-06-29 00:00:00+00:00,0.02989914
2012-07-02 00:00:00+00:00,0.00594614
2012-07-03 00:00:00+00:00,0.00904033
2012-07-05 00:00:00+00:00,0.00482426
2012-07-06 00:00:00+00:00,-0.02263374
2012-07-09 00:00:00+00:00,0.00350877
2012-07-10 00:00:00+00:00,-0.00979021
2012-07-11 00:00:00+00:00,-0.01271186
2012-07-12 00:00:00+00:00,-0.00250358
2012-07-13 00:00:00+00:00,0.01219075
2012-07-16 00:00:00+00:00,0.00283386
2012-07-17 00:00:00+00:00,-0.00141293
2012-07-18 00:00:00+00:00,0.01874779
2012-07-19 00:00:00+00:00,0.01006944
2012-07-20 00:00:00+00:00,-0.00618769
2012-07-23 00:00:00+00:00,-0.01660325
2012-07-24 00:00:00+00:00,-0.00633134
2012-07-25 00:00:00+00:00,-0.00743363
2012-07-26 00:00:00+00:00,0.01141227
2012-07-27 00:00:00+00:00,0.02327221
2012-07-30 00:00:00+00:00,0.00310131
2012-07-31 00:00:00+00:00,0.00961869
2012-08-01 00:00:00+00:00,-0.00782579
2012-08-02 00:00:00+00:00,-0.01200274
2012-08-03 00:00:00+00:00,0.02568553
2012-08-06 00:00:00+00:00,0.00575296
2012-08-07 00:00:00+00:00,0.00672948
2012-08-08 00:00:00+00:00,0.00066845
2012-08-09 00:00:00+00:00,0.00233801
2012-08-10 00:00:00+00:00,0.00033322
2012-08-13 00:00:00+00:00,-0.00033311
2012-08-14 00:00:00+00:00,0.00933022
2012-08-15 00:00:00+00:00,-0.00363156
2012-08-16 00:00:00+00:00,0.00861498
2012-08-17 00:00:00+00:00,0.00657030
2012-08-20 00:00:00+00:00,0.00293734
2012-08-21 00:00:00+00:00,0.00260332
2012-08-22 00:00:00+00:00,-0.00908796
2012-08-23 00:00:00+00:00,-0.00458565
2012-08-24 00:00:00+00:00,0.00098717
2012-08-27 00:00:00+00:00,0.00821828
2012-08-28 00:00:00+00:00,-0.00423867
2012-08-29 00:00:00+00:00,0.00130976
2012-08-31 00:00:00+00:00,-0.00228908
2012-09-04 00:00:00+00:00,-0.00131105
2012-09-06 00:00:00+00:00,0.01640958
2012-09-07 00:00:00+00:00,0.00129157
2012-09-10 00:00:00+00:00,0.09287327
2012-09-11 00:00:00+00:00,-0.00290323
2012-09-13 00:00:00+00:00,0.01711155
2012-09-14 00:00:00+00:00,0.01705277
2012-09-17 00:00:00+00:00,-0.00126542
2012-09-18 00:00:00+00:00,0.00696864
2012-09-19 00:00:00+00:00,-0.00347551
2012-09-20 00:00:00+00:00,-0.00317058
2012-09-21 00:00:00+00:00,0.00667939
2012-09-24 00:00:00+00:00,-0.01042654
2012-09-25 00:00:00+00:00,-0.01532567
2012-09-26 00:00:00+00:00,-0.00551232
2012-09-27 00:00:00+00:00,0.01010760
2012-09-28 00:00:00+00:00,-0.00581020
2012-10-01 00:00:00+00:00,-0.00097403
2012-10-02 00:00:00+00:00,-0.00454989
2012-10-03 00:00:00+00:00,0.01077375
2012-10-04 00:00:00+00:00,0.00096899
2012-10-05 00:00:00+00:00,0.00258148
2012-10-08 00:00:00+00:00,-0.01577084
2012-10-09 00:00:00+00:00,-0.01209941
2012-10-10 00:00:00+00:00,-0.00695134
2012-10-11 00:00:00+00:00,-0.00133333
2012-10-12 00:00:00+00:00,0.00233645
2012-10-15 00:00:00+00:00,-0.00199800
2012-10-16 00:00:00+00:00,0.01001001
2012-10-17 00:00:00+00:00,0.00165180
2012-10-18 00:00:00+00:00,-0.01352243
2012-10-19 00:00:00+00:00,-0.02039452
2012-10-22 00:00:00+00:00,0.00273038
2012-10-23 00:00:00+00:00,-0.00884956
2012-10-24 00:00:00+00:00,-0.00309066
2012-10-25 00:00:00+00:00,-0.00551154
2012-10-26 00:00:00+00:00,0.00311742
2012-10-31 00:00:00+00:00,-0.00345304
2012-11-01 00:00:00+00:00,0.01489951
2012-11-02 00:00:00+00:00,-0.01297371
2012-11-05 00:00:00+00:00,0.00691802
2012-11-06 00:00:00+00:00,0.00309172
2012-11-07 00:00:00+00:00,-0.01952055
2012-11-08 00:00:00+00:00,-0.12469438
2012-11-09 00:00:00+00:00,-0.00177054
2012-11-12 00:00:00+00:00,-0.00212841
2012-11-13 00:00:00+00:00,0.00035549
2012-11-14 00:00:00+00:00,-0.01457001
2012-11-15 00:00:00+00:00,-0.00649116
2012-11-16 00:00:00+00:00,-0.00108893
2012-11-19 00:00:00+00:00,0.02906977
2012-11-20 00:00:00+00:00,-0.00459040
2012-11-21 00:00:00+00:00,0.00567577
2012-11-23 00:00:00+00:00,0.01587302
2012-11-26 00:00:00+00:00,0.00347222
2012-11-27 00:00:00+00:00,-0.00484429
2012-11-28 00:00:00+00:00,0.00695410
2012-11-29 00:00:00+00:00,0.00587017
2012-11-30 00:00:00+00:00,-0.00377618
2012-12-03 00:00:00+00:00,0.00379049
2012-12-04 00:00:00+00:00,-0.00583591
2012-12-05 00:00:00+00:00,-0.00932320
2012-12-06 00:00:00+00:00,0.00522830
2012-12-07 00:00:00+00:00,-0.00589459
2012-12-10 00:00:00+00:00,0.00415056
2012-12-11 00:00:00+00:00,0.01042028
2012-12-12 00:00:00+00:00,-0.00103128
2012-12-13 00:00:00+00:00,0.00275292
2012-12-14 00:00:00+00:00,-0.01166781
2012-12-17 00:00:00+00:00,0.00667369
2012-12-18 00:00:00+00:00,0.02337753
2012-12-19 00:00:00+00:00,-0.00409137
2012-12-20 00:00:00+00:00,0.00000000
2012-12-21 00:00:00+00:00,-0.01266689
2012-12-24 00:00:00+00:00,0.00138696
2012-12-27 00:00:00+00:00,-0.01731302
2012-12-28 00:00:00+00:00,0.00000000
2012-12-31 00:00:00+00:00,0.01937984
2013-01-02 00:00:00+00:00,0.02143104
2013-01-03 00:00:00+00:00,0.00812183
2013-01-04 00:00:00+00:00,-0.00906344
2013-01-07 00:00:00+00:00,-0.00169377
2013-01-08 00:00:00+00:00,-0.00678656
2013-01-09 00:00:00+00:00,0.00239153
2013-01-10 00:00:00+00:00,0.00579414
2013-01-11 00:00:00+00:00,0.00338868
2013-01-14 00:00:00+00:00,-0.00844309
2013-01-15 00:00:00+00:00,-0.00647139
2013-01-16 00:00:00+00:00,0.00651354
2013-01-17 00:00:00+00:00,0.00306540
2013-01-18 00:00:00+00:00,-0.00339559
2013-01-22 00:00:00+00:00,-0.00272572
2013-01-23 00:00:00+00:00,0.01571575
2013-01-24 00:00:00+00:00,-0.00706357
2013-01-25 00:00:00+00:00,-0.00813008
2013-01-28 00:00:00+00:00,0.00443989
2013-01-29 00:00:00+00:00,0.00102006
2013-01-30 00:00:00+00:00,-0.00407609
2013-01-31 00:00:00+00:00,0.00238745
2013-02-01 00:00:00+00:00,0.00646478
2013-02-04 00:00:00+00:00,-0.00878972
2013-02-05 00:00:00+00:00,0.01466576
2013-02-06 00:00:00+00:00,-0.00504202
2013-02-07 00:00:00+00:00,0.00135135
2013-02-08 00:00:00+00:00,0.01045884
2013-02-11 00:00:00+00:00,0.00000000
2013-02-13 00:00:00+00:00,-0.00133556
2013-02-14 00:00:00+00:00,-0.00702106
2013-02-15 00:00:00+00:00,0.00471380
2013-02-19 00:00:00+00:00,0.00335121
2013-02-20 00:00:00+00:00,-0.00367401
2013-02-21 00:00:00+00:00,-0.01542072
2013-02-22 00:00:00+00:00,0.00238338
2013-02-25 00:00:00+00:00,0.01052989
2013-02-26 00:00:00+00:00,-0.01680672
2013-02-27 00:00:00+00:00,0.01401709
2013-02-28 00:00:00+00:00,0.00370870
2013-03-01 00:00:00+00:00,-0.00705408
2013-03-04 00:00:00+00:00,0.00575101
2013-03-05 00:00:00+00:00,0.01345442
2013-03-06 00:00:00+00:00,0.00033190
2013-03-07 00:00:00+00:00,0.05305060
2013-03-08 00:00:00+00:00,0.00099239
2013-03-11 00:00:00+00:00,-0.00264026
2013-03-12 00:00:00+00:00,0.00066269
2013-03-13 00:00:00+00:00,-0.00264901
2013-03-14 00:00:00+00:00,0.00365085
2013-03-15 00:00:00+00:00,-0.00099206
2013-03-18 00:00:00+00:00,-0.00099305
2013-03-20 00:00:00+00:00,0.00397614
2013-03-21 00:00:00+00:00,-0.01122112
2013-03-22 00:00:00+00:00,0.00700935
2013-03-25 00:00:00+00:00,-0.00397746
2013-03-26 00:00:00+00:00,0.00665557
2013-03-27 00:00:00+00:00,-0.00793388
2013-03-28 00:00:00+00:00,0.00633122
2013-04-01 00:00:00+00:00,-0.00629139
2013-04-02 00:00:00+00:00,0.00533156
2013-04-03 00:00:00+00:00,-0.00828638
2013-04-04 00:00:00+00:00,-0.00133690
2013-04-05 00:00:00+00:00,-0.01104418
2013-04-08 00:00:00+00:00,0.00406091
2013-04-09 00:00:00+00:00,0.01213347
2013-04-10 00:00:00+00:00,0.01631702
2013-04-11 00:00:00+00:00,-0.00163827
2013-04-12 00:00:00+00:00,-0.00426649
2013-04-15 00:00:00+00:00,-0.01351351
2013-04-16 00:00:00+00:00,0.00835282
2013-04-17 00:00:00+00:00,-0.01954937
2013-04-18 00:00:00+00:00,-0.00980061
2013-04-19 00:00:00+00:00,0.00102389
2013-04-22 00:00:00+00:00,0.00818275
2013-04-23 00:00:00+00:00,0.00946906
2013-04-24 00:00:00+00:00,0.00435511
2013-04-25 00:00:00+00:00,-0.00033356
2013-04-26 00:00:00+00:00,0.00400400
2013-04-29 00:00:00+00:00,0.01096710
2013-04-30 00:00:00+00:00,0.00986193
2013-05-01 00:00:00+00:00,-0.00748698
2013-05-02 00:00:00+00:00,0.01279108
2013-05-03 00:00:00+00:00,0.00971503
2013-05-06 00:00:00+00:00,0.00384862
2013-05-07 00:00:00+00:00,-0.00223642
2013-05-08 00:00:00+00:00,0.00992635
2013-05-09 00:00:00+00:00,-0.00253646
2013-05-10 00:00:00+00:00,0.00063573
2013-05-13 00:00:00+00:00,-0.00158831
2013-05-14 00:00:00+00:00,0.00413618
2013-05-15 00:00:00+00:00,0.00158428
2013-05-16 00:00:00+00:00,0.00759253
2013-05-17 00:00:00+00:00,0.00690738
2013-05-20 00:00:00+00:00,0.00155909
2013-05-21 00:00:00+00:00,-0.00280199
2013-05-22 00:00:00+00:00,-0.00780518
2013-05-23 00:00:00+00:00,-0.00157332
2013-05-24 00:00:00+00:00,-0.00346675
2013-05-28 00:00:00+00:00,0.00537634
2013-05-29 00:00:00+00:00,-0.00251651
2013-05-30 00:00:00+00:00,0.00693787
2013-05-31 00:00:00+00:00,0.00156593
2013-06-03 00:00:00+00:00,-0.00594121
