Date,GASOILINE
2000-01-05 00:00:00+00:00,-0.02437956
2000-01-06 00:00:00+00:00,0.00723247
2000-01-07 00:00:00+00:00,-0.04725453
2000-01-10 00:00:00+00:00,0.02345494
2000-01-11 00:00:00+00:00,0.05133180
2000-01-12 00:00:00+00:00,0.07184311
2000-01-13 00:00:00+00:00,0.00518934
2000-01-14 00:00:00+00:00,0.09278652
2000-01-18 00:00:00+00:00,0.05634741
2000-01-19 00:00:00+00:00,-0.01790681
2000-01-20 00:00:00+00:00,0.00609924
2000-01-21 00:00:00+00:00,-0.00671822
2000-01-24 00:00:00+00:00,-0.02614796
2000-01-25 00:00:00+00:00,0.03191763
2000-01-26 00:00:00+00:00,-0.01987342
2000-01-27 00:00:00+00:00,-0.02090770
2000-01-28 00:00:00+00:00,0.00115890
2000-01-31 00:00:00+00:00,0.02806385
2000-02-01 00:00:00+00:00,0.04579475
2000-02-02 00:00:00+00:00,-0.02062637
2000-02-03 00:00:00+00:00,0.04285178
2000-02-04 00:00:00+00:00,0.02937935
2000-02-07 00:00:00+00:00,-0.02461501
2000-02-08 00:00:00+00:00,-0.02302511
2000-02-09 00:00:00+00:00,0.05487576
2000-02-10 00:00:00+00:00,0.05025851
2000-02-11 00:00:00+00:00,-0.01278442
2000-02-14 00:00:00+00:00,0.05609900
2000-02-15 00:00:00+00:00,0.00607311
2000-02-16 00:00:00+00:00,-0.02218411
2000-02-17 00:00:00+00:00,-0.03730558
2000-02-18 00:00:00+00:00,-0.03706806
2000-02-22 00:00:00+00:00,0.04030606
2000-02-23 00:00:00+00:00,0.01879386
2000-02-24 00:00:00+00:00,0.01749190
2000-02-25 00:00:00+00:00,0.03990623
2000-02-28 00:00:00+00:00,0.04836284
2000-02-29 00:00:00+00:00,0.01269266
2000-03-01 00:00:00+00:00,0.10584916
2000-03-02 00:00:00+00:00,-0.01312805
2000-03-03 00:00:00+00:00,-0.02166847
2000-03-06 00:00:00+00:00,0.02055094
2000-03-07 00:00:00+00:00,0.08574202
2000-03-08 00:00:00+00:00,-0.13544995
2000-03-09 00:00:00+00:00,0.07240618
2000-03-10 00:00:00+00:00,-0.00277969
2000-03-13 00:00:00+00:00,-0.00874153
2000-03-14 00:00:00+00:00,-0.04589844
2000-03-15 00:00:00+00:00,-0.07268698
2000-03-16 00:00:00+00:00,0.01720183
2000-03-17 00:00:00+00:00,-0.04818182
