Date,RUR
2003-09-05 00:00:00+00:00,0.00061501
2003-09-08 00:00:00+00:00,0.00092194
2003-09-09 00:00:00+00:00,0.00092109
2003-09-10 00:00:00+00:00,0.00061350
2003-09-11 00:00:00+00:00,0.00000000
2003-09-12 00:00:00+00:00,-0.00459841
2003-09-15 00:00:00+00:00,-0.01900674
2003-09-16 00:00:00+00:00,0.00000000
2003-09-17 00:00:00+00:00,0.00406250
2003-09-18 00:00:00+00:00,0.00248988
2003-09-19 00:00:00+00:00,0.00031046
2003-09-22 00:00:00+00:00,0.00186220
2003-09-23 00:00:00+00:00,0.00495663
2003-09-24 00:00:00+00:00,0.00154131
2003-09-25 00:00:00+00:00,-0.00153894
2003-09-26 00:00:00+00:00,-0.00339088
2003-09-29 00:00:00+00:00,-0.00371172
2003-09-30 00:00:00+00:00,0.00217324
2003-10-01 00:00:00+00:00,0.00154895
2003-10-02 00:00:00+00:00,0.00494896
2003-10-03 00:00:00+00:00,0.00184672
2003-10-06 00:00:00+00:00,-0.00184332
2003-10-07 00:00:00+00:00,0.00523238
2003-10-08 00:00:00+00:00,0.00214329
2003-10-09 00:00:00+00:00,0.00488848
2003-10-10 00:00:00+00:00,0.00425661
2003-10-14 00:00:00+00:00,0.00060551
2003-10-15 00:00:00+00:00,0.00090772
2003-10-16 00:00:00+00:00,0.00090689
2003-10-17 00:00:00+00:00,0.00000000
2003-10-20 00:00:00+00:00,0.00332226
2003-10-21 00:00:00+00:00,0.00180614
2003-10-22 00:00:00+00:00,0.00000000
2003-10-23 00:00:00+00:00,0.00120192
2003-10-24 00:00:00+00:00,0.00000000
2003-10-27 00:00:00+00:00,-0.00930372
2003-10-28 00:00:00+00:00,0.00484702
2003-10-29 00:00:00+00:00,0.00331625
2003-10-30 00:00:00+00:00,-0.00090144
2003-10-31 00:00:00+00:00,-0.00751880
2003-11-03 00:00:00+00:00,0.00666667
2003-11-04 00:00:00+00:00,0.00331126
2003-11-05 00:00:00+00:00,0.00000000
2003-11-06 00:00:00+00:00,0.00210021
2003-11-07 00:00:00+00:00,0.00000000
2003-11-10 00:00:00+00:00,-0.00059880
2003-11-12 00:00:00+00:00,0.00000000
2003-11-13 00:00:00+00:00,0.00000000
2003-11-14 00:00:00+00:00,-0.00089874
2003-11-17 00:00:00+00:00,0.00269865
2003-11-18 00:00:00+00:00,0.00179426
2003-11-19 00:00:00+00:00,0.00000000
2003-11-20 00:00:00+00:00,0.00000000
2003-11-21 00:00:00+00:00,0.00000000
2003-11-24 00:00:00+00:00,0.00149254
2003-11-25 00:00:00+00:00,0.00029806
2003-11-26 00:00:00+00:00,0.00000000
2003-11-28 00:00:00+00:00,0.00059595
2003-12-01 00:00:00+00:00,0.00178678
2003-12-02 00:00:00+00:00,0.03953627
2003-12-03 00:00:00+00:00,0.00386445
2003-12-04 00:00:00+00:00,0.00000000
2003-12-05 00:00:00+00:00,0.00504901
2003-12-08 00:00:00+00:00,0.00533333
2003-12-09 00:00:00+00:00,0.00295683
2003-12-10 00:00:00+00:00,0.00177200
2003-12-11 00:00:00+00:00,0.00886001
2003-12-12 00:00:00+00:00,0.00000000
2003-12-15 00:00:00+00:00,-0.00205822
2003-12-16 00:00:00+00:00,0.00559811
2003-12-17 00:00:00+00:00,-0.00146499
2003-12-18 00:00:00+00:00,0.00000000
2003-12-19 00:00:00+00:00,-0.00088028
2003-12-22 00:00:00+00:00,0.00293686
2003-12-23 00:00:00+00:00,0.00117130
2003-12-24 00:00:00+00:00,0.00029248
2003-12-26 00:00:00+00:00,-0.00350877
2003-12-29 00:00:00+00:00,-0.00176056
2003-12-30 00:00:00+00:00,0.00499706
2003-12-31 00:00:00+00:00,0.00000000
2004-01-02 00:00:00+00:00,0.00000000
2004-01-05 00:00:00+00:00,0.00116993
2004-01-06 00:00:00+00:00,0.00175285
2004-01-07 00:00:00+00:00,0.00000000
2004-01-08 00:00:00+00:00,0.00699913
2004-01-09 00:00:00+00:00,0.00521286
2004-01-12 00:00:00+00:00,0.00345722
2004-01-13 00:00:00+00:00,-0.00143554
2004-01-14 00:00:00+00:00,-0.00345026
2004-01-15 00:00:00+00:00,0.00028852
2004-01-16 00:00:00+00:00,0.00173060
2004-01-20 00:00:00+00:00,0.00633458
2004-01-21 00:00:00+00:00,0.00028612
2004-01-22 00:00:00+00:00,0.00800915
2004-01-23 00:00:00+00:00,-0.00198638
2004-01-26 00:00:00+00:00,0.00000000
2004-01-27 00:00:00+00:00,0.00426500
2004-01-28 00:00:00+00:00,0.00028313
2004-01-29 00:00:00+00:00,-0.00509482
2004-01-30 00:00:00+00:00,-0.00113798
2004-02-02 00:00:00+00:00,-0.00341783
2004-02-03 00:00:00+00:00,0.00285796
2004-02-04 00:00:00+00:00,0.00370476
2004-02-05 00:00:00+00:00,-0.00141965
2004-02-06 00:00:00+00:00,-0.00085300
2004-02-09 00:00:00+00:00,0.00199203
2004-02-10 00:00:00+00:00,0.00085203
2004-02-11 00:00:00+00:00,-0.00141884
2004-02-12 00:00:00+00:00,0.00227337
2004-02-13 00:00:00+00:00,0.00056705
2004-02-17 00:00:00+00:00,-0.00085010
2004-02-18 00:00:00+00:00,-0.00085082
2004-02-19 00:00:00+00:00,-0.00227079
2004-02-20 00:00:00+00:00,-0.00170697
2004-02-23 00:00:00+00:00,0.00000000
2004-02-24 00:00:00+00:00,-0.00056996
2004-02-25 00:00:00+00:00,0.00142572
2004-02-26 00:00:00+00:00,-0.00170843
2004-02-27 00:00:00+00:00,0.00000000
2004-03-01 00:00:00+00:00,0.00000000
2004-03-02 00:00:00+00:00,0.02937821
2004-03-03 00:00:00+00:00,-0.00742645
2004-03-04 00:00:00+00:00,0.00229358
2004-03-05 00:00:00+00:00,0.00228964
2004-03-08 00:00:00+00:00,-0.00000000
2004-03-09 00:00:00+00:00,0.00171527
2004-03-10 00:00:00+00:00,-0.00285633
2004-03-11 00:00:00+00:00,0.00228833
2004-03-12 00:00:00+00:00,0.00342857
2004-03-15 00:00:00+00:00,0.00057045
2004-03-16 00:00:00+00:00,-0.00228050
2004-03-17 00:00:00+00:00,0.00057143
2004-03-18 00:00:00+00:00,0.00171331
2004-03-19 00:00:00+00:00,0.00000000
2004-03-22 00:00:00+00:00,0.00057013
2004-03-23 00:00:00+00:00,-0.00056980
2004-03-24 00:00:00+00:00,0.00142531
2004-03-25 00:00:00+00:00,-0.00056931
2004-03-26 00:00:00+00:00,0.00000000
2004-03-29 00:00:00+00:00,0.00000000
2004-03-30 00:00:00+00:00,-0.00085446
2004-03-31 00:00:00+00:00,0.00057013
2004-04-01 00:00:00+00:00,-0.00113960
2004-04-02 00:00:00+00:00,-0.00028523
2004-04-05 00:00:00+00:00,-0.00313837
2004-04-06 00:00:00+00:00,0.00057241
2004-04-07 00:00:00+00:00,0.00400458
2004-04-08 00:00:00+00:00,-0.00170940
2004-04-12 00:00:00+00:00,-0.00742009
2004-04-13 00:00:00+00:00,-0.00086256
2004-04-14 00:00:00+00:00,-0.00086331
2004-04-15 00:00:00+00:00,0.00259217
2004-04-16 00:00:00+00:00,-0.00258546
2004-04-19 00:00:00+00:00,-0.00345622
2004-04-20 00:00:00+00:00,-0.00606936
2004-04-21 00:00:00+00:00,0.00203548
2004-04-22 00:00:00+00:00,-0.00667441
2004-04-23 00:00:00+00:00,0.00146071
2004-04-26 00:00:00+00:00,0.00058343
2004-04-27 00:00:00+00:00,0.00087464
2004-04-28 00:00:00+00:00,-0.00233032
2004-04-29 00:00:00+00:00,0.00058394
2004-04-30 00:00:00+00:00,-0.00204260
2004-05-03 00:00:00+00:00,-0.00087719
2004-05-04 00:00:00+00:00,0.00000000
2004-05-05 00:00:00+00:00,0.00673105
2004-05-06 00:00:00+00:00,-0.00232558
2004-05-07 00:00:00+00:00,-0.00203963
2004-05-10 00:00:00+00:00,0.00000000
2004-05-11 00:00:00+00:00,-0.00029197
2004-05-12 00:00:00+00:00,-0.00233645
2004-05-13 00:00:00+00:00,0.00000000
2004-05-14 00:00:00+00:00,0.00058548
2004-05-17 00:00:00+00:00,0.00351083
2004-05-18 00:00:00+00:00,-0.00058309
2004-05-19 00:00:00+00:00,0.00204201
2004-05-20 00:00:00+00:00,-0.00058224
2004-05-21 00:00:00+00:00,0.00000000
