Date,US-INDUSTRY
2013-12-03 00:00:00+00:00,-0.01135232
2013-12-04 00:00:00+00:00,-0.00282031
2013-12-05 00:00:00+00:00,-0.00060606
2013-12-06 00:00:00+00:00,0.00947071
2013-12-09 00:00:00+00:00,0.00640769
2013-12-10 00:00:00+00:00,0.00179069
2013-12-11 00:00:00+00:00,-0.01886792
2013-12-12 00:00:00+00:00,-0.00182186
2013-12-13 00:00:00+00:00,0.00243358
2013-12-16 00:00:00+00:00,0.01234068
2013-12-17 00:00:00+00:00,-0.00279776
2013-12-18 00:00:00+00:00,0.01643287
2013-12-19 00:00:00+00:00,0.00039432
2013-12-20 00:00:00+00:00,0.00847458
2013-12-23 00:00:00+00:00,0.00351769
2013-12-24 00:00:00+00:00,0.00155794
2013-12-26 00:00:00+00:00,0.00991639
2013-12-27 00:00:00+00:00,-0.00096265
2013-12-30 00:00:00+00:00,-0.00057815
2013-12-31 00:00:00+00:00,0.00347088
2014-01-02 00:00:00+00:00,-0.01133743
2014-01-03 00:00:00+00:00,0.00466472
2014-01-06 00:00:00+00:00,-0.00135423
2014-01-07 00:00:00+00:00,-0.00135606
2014-01-08 00:00:00+00:00,-0.00096993
2014-01-09 00:00:00+00:00,0.00213592
2014-01-10 00:00:00+00:00,0.00271265
2014-01-13 00:00:00+00:00,-0.00908213
2014-01-14 00:00:00+00:00,0.00819033
2014-01-15 00:00:00+00:00,0.00676983
2014-01-16 00:00:00+00:00,-0.00345821
2014-01-17 00:00:00+00:00,-0.00404858
2014-01-21 00:00:00+00:00,0.00116144
2014-01-22 00:00:00+00:00,0.00367363
2014-01-23 00:00:00+00:00,-0.01252167
2014-01-24 00:00:00+00:00,-0.03140851
2014-01-27 00:00:00+00:00,0.00382679
2014-01-28 00:00:00+00:00,0.00762440
2014-01-29 00:00:00+00:00,-0.01075269
2014-01-30 00:00:00+00:00,0.00986312
2014-01-31 00:00:00+00:00,-0.00518238
2014-02-03 00:00:00+00:00,-0.02925265
2014-02-04 00:00:00+00:00,0.00743034
2014-02-05 00:00:00+00:00,-0.00901455
2014-02-06 00:00:00+00:00,0.02274137
2014-02-07 00:00:00+00:00,0.01576713
2014-02-10 00:00:00+00:00,-0.00457711
2014-02-11 00:00:00+00:00,0.00699720
2014-02-12 00:00:00+00:00,0.00794123
2014-02-13 00:00:00+00:00,0.00177270
2014-02-14 00:00:00+00:00,0.00471884
2014-02-18 00:00:00+00:00,-0.00058708
2014-02-19 00:00:00+00:00,-0.00332876
2014-02-20 00:00:00+00:00,0.00844794
2014-02-21 00:00:00+00:00,-0.00116891
2014-02-24 00:00:00+00:00,0.00916715
2014-02-25 00:00:00+00:00,-0.00715114
2014-02-26 00:00:00+00:00,0.00136266
2014-02-27 00:00:00+00:00,0.00388802
2014-02-28 00:00:00+00:00,0.00542215
2014-03-03 00:00:00+00:00,-0.00751156
2014-03-04 00:00:00+00:00,0.01727149
2014-03-05 00:00:00+00:00,-0.00038153
2014-03-06 00:00:00+00:00,0.00572519
2014-03-07 00:00:00+00:00,0.00091877
2014-03-10 00:00:00+00:00,-0.00341232
2014-03-11 00:00:00+00:00,-0.00418490
2014-03-12 00:00:00+00:00,-0.00477555
2014-03-13 00:00:00+00:00,0.00499040
2014-03-14 00:00:00+00:00,-0.02081742
2014-03-17 00:00:00+00:00,0.00682660
2014-03-18 00:00:00+00:00,0.00678032
2014-03-19 00:00:00+00:00,-0.00769675
2014-03-20 00:00:00+00:00,-0.00445996
2014-03-21 00:00:00+00:00,0.00331126
2014-03-24 00:00:00+00:00,-0.00271792
2014-03-25 00:00:00+00:00,0.00895464
2014-03-26 00:00:00+00:00,-0.00385877
2014-03-27 00:00:00+00:00,-0.00832849
2014-03-28 00:00:00+00:00,0.00917969
2014-03-31 00:00:00+00:00,0.00967680
2014-04-01 00:00:00+00:00,0.00747556
2014-04-02 00:00:00+00:00,0.00665906
2014-04-03 00:00:00+00:00,0.00170100
2014-04-04 00:00:00+00:00,-0.00830189
2014-04-07 00:00:00+00:00,-0.01788432
2014-04-08 00:00:00+00:00,0.00058117
2014-04-09 00:00:00+00:00,0.01316554
2014-04-10 00:00:00+00:00,-0.01910950
2014-04-11 00:00:00+00:00,-0.01129944
2014-04-14 00:00:00+00:00,0.00630542
2014-04-15 00:00:00+00:00,0.00548267
2014-04-16 00:00:00+00:00,0.01557936
2014-04-17 00:00:00+00:00,0.00843720
2014-04-21 00:00:00+00:00,0.00304240
2014-04-22 00:00:00+00:00,0.00170616
2014-04-23 00:00:00+00:00,0.00264951
2014-04-24 00:00:00+00:00,-0.00264251
2014-04-25 00:00:00+00:00,-0.00908403
2014-04-28 00:00:00+00:00,0.00152788
2014-04-29 00:00:00+00:00,0.00171625
2014-04-30 00:00:00+00:00,0.00590139
2014-05-01 00:00:00+00:00,-0.00227101
2014-05-02 00:00:00+00:00,-0.00037936
2014-05-05 00:00:00+00:00,-0.00398482
2014-05-06 00:00:00+00:00,-0.00247666
2014-05-07 00:00:00+00:00,0.00840336
2014-05-08 00:00:00+00:00,-0.00056818
2014-05-09 00:00:00+00:00,0.00075801
2014-05-12 00:00:00+00:00,0.01590608
2014-05-13 00:00:00+00:00,0.00205033
2014-05-14 00:00:00+00:00,-0.00781250
2014-05-15 00:00:00+00:00,-0.01312336
2014-05-16 00:00:00+00:00,0.00360942
2014-05-19 00:00:00+00:00,0.00492145
2014-05-20 00:00:00+00:00,-0.01167828
2014-05-21 00:00:00+00:00,0.00838574
2014-05-22 00:00:00+00:00,0.00283500
2014-05-23 00:00:00+00:00,0.00527704
2014-05-27 00:00:00+00:00,0.00618673
2014-05-28 00:00:00+00:00,0.00223589
2014-05-29 00:00:00+00:00,0.00223090
2014-05-30 00:00:00+00:00,-0.00018549
2014-06-02 00:00:00+00:00,0.00333952
2014-06-03 00:00:00+00:00,-0.00092456
2014-06-04 00:00:00+00:00,-0.00021508
2014-06-05 00:00:00+00:00,0.01166235
2014-06-06 00:00:00+00:00,0.00731930
2014-06-09 00:00:00+00:00,0.03433243
2014-06-10 00:00:00+00:00,-0.00631655
2014-06-13 00:00:00+00:00,-0.02173126
2014-06-16 00:00:00+00:00,0.00074047
2014-06-17 00:00:00+00:00,-0.00129486
2014-06-18 00:00:00+00:00,0.00537137
2014-06-19 00:00:00+00:00,0.00460575
2014-06-20 00:00:00+00:00,0.00513479
2014-06-23 00:00:00+00:00,-0.00218938
2014-06-24 00:00:00+00:00,-0.01188517
2014-06-25 00:00:00+00:00,-0.00277572
