Date,EU-DJ-UTIL
2015-09-15 00:00:00+00:00,-0.00398883
2015-09-16 00:00:00+00:00,0.00841009
2015-09-17 00:00:00+00:00,0.01270850
2015-09-18 00:00:00+00:00,-0.02039216
2015-09-21 00:00:00+00:00,-0.00200160
2015-09-22 00:00:00+00:00,-0.03128761
2015-09-23 00:00:00+00:00,0.00786749
2015-09-24 00:00:00+00:00,-0.01930978
2015-09-25 00:00:00+00:00,0.02848764
2015-09-28 00:00:00+00:00,-0.01832994
2015-09-29 00:00:00+00:00,-0.00373444
2015-09-30 00:00:00+00:00,0.02748855
2015-10-01 00:00:00+00:00,-0.01094447
2015-10-02 00:00:00+00:00,0.01639344
2015-10-05 00:00:00+00:00,0.02419355
2015-10-06 00:00:00+00:00,0.00748031
2015-10-07 00:00:00+00:00,0.00742478
2015-10-08 00:00:00+00:00,-0.00116369
2015-10-09 00:00:00+00:00,0.01087379
2015-10-12 00:00:00+00:00,0.00499424
2015-10-13 00:00:00+00:00,-0.01681957
2015-10-14 00:00:00+00:00,0.01244168
2015-10-15 00:00:00+00:00,0.00691244
2015-10-16 00:00:00+00:00,0.00686499
2015-10-19 00:00:00+00:00,-0.00113636
2015-10-20 00:00:00+00:00,0.00492984
2015-10-21 00:00:00+00:00,0.00301887
2015-10-22 00:00:00+00:00,-0.00037622
2015-10-23 00:00:00+00:00,0.02747460
2015-10-26 00:00:00+00:00,0.00109890
2015-10-27 00:00:00+00:00,-0.01244054
2015-10-28 00:00:00+00:00,0.00741015
2015-10-29 00:00:00+00:00,-0.01140125
2015-10-30 00:00:00+00:00,0.01078869
2015-11-02 00:00:00+00:00,0.00846522
2015-11-03 00:00:00+00:00,-0.00036496
2015-11-04 00:00:00+00:00,0.00255568
2015-11-05 00:00:00+00:00,-0.00109250
2015-11-06 00:00:00+00:00,-0.00218739
2015-11-09 00:00:00+00:00,-0.01863354
2015-11-10 00:00:00+00:00,0.00148920
2015-11-11 00:00:00+00:00,-0.00631970
2015-11-12 00:00:00+00:00,-0.00860456
2015-11-13 00:00:00+00:00,-0.00452830
2015-11-16 00:00:00+00:00,0.00758150
2015-11-17 00:00:00+00:00,0.01693002
2015-11-18 00:00:00+00:00,-0.00665927
2015-11-19 00:00:00+00:00,0.00670391
2015-11-20 00:00:00+00:00,-0.00110988
2015-11-23 00:00:00+00:00,-0.00111111
2015-11-24 00:00:00+00:00,-0.01668521
2015-11-25 00:00:00+00:00,0.01432881
2015-11-26 00:00:00+00:00,0.01078067
2015-11-27 00:00:00+00:00,-0.00036778
2015-11-30 00:00:00+00:00,-0.00036792
2015-12-01 00:00:00+00:00,0.00294442
2015-12-02 00:00:00+00:00,-0.00330275
2015-12-03 00:00:00+00:00,-0.01030928
2015-12-04 00:00:00+00:00,-0.00595238
2015-12-07 00:00:00+00:00,0.00374251
2015-12-08 00:00:00+00:00,-0.02015823
2015-12-09 00:00:00+00:00,0.00342466
2015-12-10 00:00:00+00:00,0.00265453
2015-12-11 00:00:00+00:00,-0.01626324
2015-12-14 00:00:00+00:00,-0.02460592
2015-12-15 00:00:00+00:00,0.01852582
2015-12-16 00:00:00+00:00,0.00464396
2015-12-17 00:00:00+00:00,0.01617874
2015-12-18 00:00:00+00:00,-0.01630023
2015-12-21 00:00:00+00:00,-0.00770713
2015-12-22 00:00:00+00:00,-0.00970874
2015-12-23 00:00:00+00:00,0.02980392
2015-12-28 00:00:00+00:00,-0.00609292
2015-12-29 00:00:00+00:00,0.01340996
2015-12-30 00:00:00+00:00,0.00113422
2016-01-04 00:00:00+00:00,-0.03398792
2016-01-05 00:00:00+00:00,0.00820954
2016-01-06 00:00:00+00:00,-0.00659170
2016-01-07 00:00:00+00:00,-0.00234192
2016-01-08 00:00:00+00:00,-0.00743349
2016-01-11 00:00:00+00:00,0.00867166
2016-01-12 00:00:00+00:00,-0.00351700
2016-01-13 00:00:00+00:00,0.00862745
2016-01-14 00:00:00+00:00,-0.01244168
2016-01-15 00:00:00+00:00,-0.03110236
2016-01-18 00:00:00+00:00,-0.00081268
2016-01-19 00:00:00+00:00,0.02074014
2016-01-20 00:00:00+00:00,-0.03147410
2016-01-21 00:00:00+00:00,0.02097902
2016-01-22 00:00:00+00:00,0.02215955
2016-01-25 00:00:00+00:00,-0.00157667
2016-01-26 00:00:00+00:00,0.01381761
2016-01-27 00:00:00+00:00,0.01401869
2016-01-28 00:00:00+00:00,0.00422427
2016-01-29 00:00:00+00:00,-0.00382409
2016-02-01 00:00:00+00:00,0.00882917
2016-02-02 00:00:00+00:00,-0.01750381
2016-02-03 00:00:00+00:00,-0.01742835
2016-02-04 00:00:00+00:00,0.00000000
2016-02-05 00:00:00+00:00,-0.00945999
2016-02-08 00:00:00+00:00,-0.02586550
2016-02-09 00:00:00+00:00,-0.01143791
2016-02-10 00:00:00+00:00,-0.00413223
2016-02-11 00:00:00+00:00,-0.03609959
2016-02-12 00:00:00+00:00,0.01894102
2016-02-15 00:00:00+00:00,0.03422053
2016-02-16 00:00:00+00:00,-0.00653595
2016-02-17 00:00:00+00:00,-0.00082237
2016-02-18 00:00:00+00:00,0.00987654
2016-02-19 00:00:00+00:00,-0.01181744
2016-02-22 00:00:00+00:00,0.02845361
2016-02-23 00:00:00+00:00,-0.02445870
2016-02-24 00:00:00+00:00,-0.01931771
2016-02-25 00:00:00+00:00,0.01760268
2016-02-26 00:00:00+00:00,0.00535420
2016-02-29 00:00:00+00:00,-0.00163867
2016-03-01 00:00:00+00:00,0.01313090
2016-03-02 00:00:00+00:00,-0.00567031
