Date,EURAUD
2022-06-01 00:00:00+00:00,-0.01877338
2022-06-02 00:00:00+00:00,-0.00276504
2022-06-03 00:00:00+00:00,0.00803674
2022-06-06 00:00:00+00:00,0.00013454
2022-06-07 00:00:00+00:00,-0.00719668
2022-06-08 00:00:00+00:00,0.01222065
2022-06-09 00:00:00+00:00,0.00778523
2022-06-10 00:00:00+00:00,-0.00521530
2022-06-13 00:00:00+00:00,0.01414588
2022-06-14 00:00:00+00:00,0.01773688
2022-06-15 00:00:00+00:00,-0.02994169
2022-06-16 00:00:00+00:00,0.00465704
2022-06-17 00:00:00+00:00,0.02050703
2022-06-20 00:00:00+00:00,-0.00236531
2022-06-21 00:00:00+00:00,-0.00276607
2022-06-22 00:00:00+00:00,0.01903194
2022-06-23 00:00:00+00:00,0.00280477
2022-06-24 00:00:00+00:00,-0.00872794
2022-06-27 00:00:00+00:00,0.01099045
2022-06-28 00:00:00+00:00,-0.00917372
2022-06-29 00:00:00+00:00,-0.00457516
2022-06-30 00:00:00+00:00,-0.00229283
2022-07-01 00:00:00+00:00,0.01547744
2022-07-04 00:00:00+00:00,0.00000000
2022-07-05 00:00:00+00:00,-0.02381882
2022-07-06 00:00:00+00:00,-0.01580611
2022-07-07 00:00:00+00:00,-0.01991503
2022-07-08 00:00:00+00:00,0.00006704
2022-07-11 00:00:00+00:00,0.00985519
2022-07-12 00:00:00+00:00,-0.01114076
2022-07-13 00:00:00+00:00,0.00261605
2022-07-14 00:00:00+00:00,-0.00301467
2022-07-15 00:00:00+00:00,0.00040263
2022-07-18 00:00:00+00:00,0.00697752
2022-07-19 00:00:00+00:00,-0.00829043
2022-07-20 00:00:00+00:00,-0.00785446
2022-07-21 00:00:00+00:00,-0.00276336
2022-07-22 00:00:00+00:00,-0.00276709
2022-07-25 00:00:00+00:00,-0.00662252
2022-07-26 00:00:00+00:00,-0.01301960
2022-07-27 00:00:00+00:00,-0.00409556
2022-07-28 00:00:00+00:00,0.00095726
2022-07-29 00:00:00+00:00,0.00218669
2022-08-01 00:00:00+00:00,-0.00095570
2022-08-02 00:00:00+00:00,0.01154214
2022-08-03 00:00:00+00:00,-0.01018399
2022-08-04 00:00:00+00:00,0.00839361
2022-08-05 00:00:00+00:00,0.00720304
2022-08-08 00:00:00+00:00,-0.01896120
2022-08-09 00:00:00+00:00,0.01046011
2022-08-10 00:00:00+00:00,-0.01781707
2022-08-11 00:00:00+00:00,-0.00219569
2022-08-12 00:00:00+00:00,-0.01731245
2022-08-15 00:00:00+00:00,0.00893971
2022-08-16 00:00:00+00:00,0.00158675
2022-08-17 00:00:00+00:00,0.02543424
2022-08-18 00:00:00+00:00,-0.01157014
2022-08-19 00:00:00+00:00,0.00328565
2022-08-22 00:00:00+00:00,-0.02084472
2022-08-23 00:00:00+00:00,-0.00842600
2022-08-24 00:00:00+00:00,0.00450825
2022-08-25 00:00:00+00:00,-0.02027541
2022-08-26 00:00:00+00:00,0.02369801
2022-08-29 00:00:00+00:00,0.00248670
2022-08-30 00:00:00+00:00,0.01897206
2022-08-31 00:00:00+00:00,0.00717556
2022-09-01 00:00:00+00:00,-0.00149803
2022-09-02 00:00:00+00:00,-0.00572402
2022-09-05 00:00:00+00:00,0.00000000
2022-09-06 00:00:00+00:00,0.01332513
2022-09-07 00:00:00+00:00,0.00855395
2022-09-08 00:00:00+00:00,0.00270398
2022-09-09 00:00:00+00:00,-0.01734494
2022-09-12 00:00:00+00:00,0.00313181
2022-09-13 00:00:00+00:00,0.01488783
2022-09-14 00:00:00+00:00,0.00458901
2022-09-15 00:00:00+00:00,0.01262932
2022-09-16 00:00:00+00:00,0.00086777
2022-09-19 00:00:00+00:00,0.00020016
2022-09-20 00:00:00+00:00,-0.00233489
2022-09-21 00:00:00+00:00,-0.01402618
2022-09-22 00:00:00+00:00,0.00221983
2022-09-23 00:00:00+00:00,0.00517404
2022-09-26 00:00:00+00:00,0.00542895
2022-09-27 00:00:00+00:00,0.00394411
2022-09-28 00:00:00+00:00,0.00153456
2022-09-29 00:00:00+00:00,0.02526667
