Date,EU-CONSTRUCTION
2021-06-09 00:00:00+00:00,-0.00183517
2021-06-10 00:00:00+00:00,-0.00284138
2021-06-11 00:00:00+00:00,0.11213543
2021-06-14 00:00:00+00:00,-0.00016664
2021-06-15 00:00:00+00:00,0.00066667
2021-06-16 00:00:00+00:00,-0.00016656
2021-06-17 00:00:00+00:00,-0.00483092
2021-06-18 00:00:00+00:00,-0.01807834
2021-06-21 00:00:00+00:00,0.01073986
2021-06-22 00:00:00+00:00,0.00775848
2021-06-23 00:00:00+00:00,-0.00836820
2021-06-24 00:00:00+00:00,0.01063291
2021-06-25 00:00:00+00:00,0.00200401
2021-06-28 00:00:00+00:00,-0.01616667
2021-06-29 00:00:00+00:00,0.00694562
2021-06-30 00:00:00+00:00,-0.01110363
2021-07-01 00:00:00+00:00,0.00782579
2021-07-02 00:00:00+00:00,0.00202566
2021-07-05 00:00:00+00:00,0.00219003
2021-07-06 00:00:00+00:00,-0.00470667
2021-07-07 00:00:00+00:00,0.01283567
2021-07-08 00:00:00+00:00,-0.01434050
2021-07-09 00:00:00+00:00,0.01319574
2021-07-12 00:00:00+00:00,0.00717983
2021-07-13 00:00:00+00:00,0.00116048
2021-07-14 00:00:00+00:00,-0.00463653
2021-07-15 00:00:00+00:00,-0.00765264
2021-07-16 00:00:00+00:00,-0.00502934
2021-07-19 00:00:00+00:00,-0.02695872
2021-07-20 00:00:00+00:00,0.01367965
2021-07-21 00:00:00+00:00,0.01691151
2021-07-22 00:00:00+00:00,0.00688728
2021-07-23 00:00:00+00:00,0.01301301
2021-07-26 00:00:00+00:00,-0.00197628
2021-07-27 00:00:00+00:00,-0.00676568
2021-07-28 00:00:00+00:00,0.00913773
2021-07-29 00:00:00+00:00,0.00675008
2021-07-30 00:00:00+00:00,-0.00147179
2021-08-02 00:00:00+00:00,0.00180151
2021-08-03 00:00:00+00:00,0.00179827
2021-08-04 00:00:00+00:00,0.00962794
2021-08-05 00:00:00+00:00,0.00274770
2021-08-06 00:00:00+00:00,-0.00209542
2021-08-09 00:00:00+00:00,-0.00323050
2021-08-10 00:00:00+00:00,0.00648193
2021-08-11 00:00:00+00:00,0.00966028
2021-08-12 00:00:00+00:00,0.00542178
2021-08-13 00:00:00+00:00,0.00269627
2021-08-16 00:00:00+00:00,-0.00695982
2021-08-17 00:00:00+00:00,-0.00159286
2021-08-18 00:00:00+00:00,0.00015954
2021-08-19 00:00:00+00:00,-0.01276121
2021-08-20 00:00:00+00:00,0.00387785
2021-08-23 00:00:00+00:00,0.00965717
2021-08-24 00:00:00+00:00,-0.00223179
2021-08-25 00:00:00+00:00,-0.00095862
2021-08-26 00:00:00+00:00,0.00591716
2021-08-27 00:00:00+00:00,0.00302067
2021-08-30 00:00:00+00:00,-0.00158504
2021-08-31 00:00:00+00:00,-0.00730275
2021-09-01 00:00:00+00:00,0.00911562
2021-09-02 00:00:00+00:00,0.00364501
2021-09-03 00:00:00+00:00,-0.00947418
2021-09-06 00:00:00+00:00,-0.00191296
2021-09-07 00:00:00+00:00,-0.00495129
2021-09-08 00:00:00+00:00,-0.01011236
2021-09-09 00:00:00+00:00,0.00530806
2021-09-10 00:00:00+00:00,0.01096774
2021-09-13 00:00:00+00:00,0.01010430
2021-09-14 00:00:00+00:00,0.00177477
2021-09-15 00:00:00+00:00,-0.01707199
2021-09-16 00:00:00+00:00,0.00228758
2021-09-17 00:00:00+00:00,-0.01972612
2021-09-20 00:00:00+00:00,-0.01330451
2021-09-21 00:00:00+00:00,0.01146132
2021-09-22 00:00:00+00:00,0.00966506
2021-09-23 00:00:00+00:00,0.00346592
2021-09-24 00:00:00+00:00,-0.00756579
2021-09-27 00:00:00+00:00,-0.00331455
2021-09-28 00:00:00+00:00,-0.02593947
2021-09-29 00:00:00+00:00,0.00068283
2021-09-30 00:00:00+00:00,-0.00375299
2021-10-01 00:00:00+00:00,-0.01010274
2021-10-04 00:00:00+00:00,-0.00034596
2021-10-05 00:00:00+00:00,0.00138432
2021-10-06 00:00:00+00:00,-0.00898566
2021-10-07 00:00:00+00:00,0.02458588
2021-10-08 00:00:00+00:00,-0.00442478
2021-10-11 00:00:00+00:00,-0.00615385
2021-10-12 00:00:00+00:00,-0.00103199
2021-10-13 00:00:00+00:00,0.00895317
2021-10-14 00:00:00+00:00,0.00887372
2021-10-15 00:00:00+00:00,0.01082544
2021-10-18 00:00:00+00:00,-0.00351406
2021-10-19 00:00:00+00:00,0.00806045
2021-10-20 00:00:00+00:00,0.00782942
2021-10-21 00:00:00+00:00,-0.00561983
2021-10-22 00:00:00+00:00,0.00664894
2021-10-25 00:00:00+00:00,-0.00198151
2021-10-26 00:00:00+00:00,0.00529451
2021-10-27 00:00:00+00:00,-0.00411455
2021-10-28 00:00:00+00:00,0.00264419
2021-10-29 00:00:00+00:00,0.00131861
2021-11-01 00:00:00+00:00,0.01497942
2021-11-02 00:00:00+00:00,0.00275705
2021-11-03 00:00:00+00:00,0.00274947
2021-11-04 00:00:00+00:00,0.00225806
2021-11-05 00:00:00+00:00,0.00144834
2021-11-08 00:00:00+00:00,0.00674916
2021-11-09 00:00:00+00:00,-0.00542698
2021-11-10 00:00:00+00:00,0.00385171
2021-11-11 00:00:00+00:00,0.01358913
2021-11-12 00:00:00+00:00,0.00394322
2021-11-15 00:00:00+00:00,-0.00078555
2021-11-16 00:00:00+00:00,-0.00361635
2021-11-17 00:00:00+00:00,0.00142023
2021-11-18 00:00:00+00:00,-0.00614560
2021-11-19 00:00:00+00:00,-0.00586650
2021-11-22 00:00:00+00:00,-0.00382775
2021-11-23 00:00:00+00:00,-0.00384246
2021-11-24 00:00:00+00:00,0.00369656
2021-11-25 00:00:00+00:00,0.00480384
2021-11-26 00:00:00+00:00,-0.04446215
2021-11-29 00:00:00+00:00,0.00850567
2021-11-30 00:00:00+00:00,-0.00248057
2021-12-01 00:00:00+00:00,0.01492042
2021-12-02 00:00:00+00:00,-0.00604378
2021-12-03 00:00:00+00:00,-0.00986031
2021-12-06 00:00:00+00:00,0.02340249
2021-12-07 00:00:00+00:00,0.02270516
2021-12-08 00:00:00+00:00,-0.00872185
2021-12-09 00:00:00+00:00,-0.00207967
2021-12-10 00:00:00+00:00,-0.00785508
2021-12-13 00:00:00+00:00,-0.00888673
2021-12-14 00:00:00+00:00,-0.00391262
2021-12-15 00:00:00+00:00,0.00576511
2021-12-16 00:00:00+00:00,0.01310187
2021-12-17 00:00:00+00:00,-0.00969932
2021-12-20 00:00:00+00:00,-0.01224290
2021-12-21 00:00:00+00:00,0.01503884
2021-12-22 00:00:00+00:00,0.00960599
2021-12-23 00:00:00+00:00,0.01902919
2021-12-27 00:00:00+00:00,0.00680487
2021-12-28 00:00:00+00:00,0.00943100
2021-12-29 00:00:00+00:00,0.00186858
2021-12-30 00:00:00+00:00,0.00202052
2022-01-03 00:00:00+00:00,0.00248177
2022-01-04 00:00:00+00:00,0.00727216
2022-01-05 00:00:00+00:00,0.00030722
2022-01-06 00:00:00+00:00,-0.01535627
2022-01-07 00:00:00+00:00,-0.01044916
2022-01-10 00:00:00+00:00,-0.02159180
2022-01-11 00:00:00+00:00,0.01691366
2022-01-12 00:00:00+00:00,0.00744495
2022-01-13 00:00:00+00:00,-0.00062893
2022-01-14 00:00:00+00:00,-0.01699182
2022-01-17 00:00:00+00:00,0.00176056
2022-01-18 00:00:00+00:00,-0.01469883
2022-01-19 00:00:00+00:00,0.00081077
2022-01-20 00:00:00+00:00,0.00712897
2022-01-21 00:00:00+00:00,-0.02220077
2022-01-24 00:00:00+00:00,-0.04590326
2022-01-25 00:00:00+00:00,-0.00068977
2022-01-26 00:00:00+00:00,0.01604832
2022-01-27 00:00:00+00:00,-0.00254755
2022-01-28 00:00:00+00:00,-0.00136217
2022-01-31 00:00:00+00:00,0.01312873
2022-02-01 00:00:00+00:00,0.01430495
2022-02-02 00:00:00+00:00,0.00829600
2022-02-03 00:00:00+00:00,-0.01546816
2022-02-04 00:00:00+00:00,-0.01086411
2022-02-07 00:00:00+00:00,0.00642109
2022-02-08 00:00:00+00:00,-0.00100739
2022-02-09 00:00:00+00:00,0.02638655
2022-02-10 00:00:00+00:00,-0.00294744
2022-02-11 00:00:00+00:00,-0.01067499
2022-02-14 00:00:00+00:00,-0.02008632
2022-02-15 00:00:00+00:00,0.02337794
2022-02-16 00:00:00+00:00,0.00463499
2022-02-17 00:00:00+00:00,-0.00675564
2022-02-18 00:00:00+00:00,-0.01426676
2022-02-21 00:00:00+00:00,-0.01464153
2022-02-22 00:00:00+00:00,-0.00529462
2022-02-23 00:00:00+00:00,-0.00412088
2022-02-24 00:00:00+00:00,-0.04741379
2022-02-25 00:00:00+00:00,0.03819005
2022-02-28 00:00:00+00:00,-0.00052301
2022-03-01 00:00:00+00:00,-0.01901273
2022-03-02 00:00:00+00:00,0.01031294
2022-03-03 00:00:00+00:00,-0.01091165
2022-03-04 00:00:00+00:00,-0.05035587
2022-03-07 00:00:00+00:00,-0.01648866
2022-03-08 00:00:00+00:00,0.00057154
2022-03-09 00:00:00+00:00,0.04855293
2022-03-10 00:00:00+00:00,-0.01071364
2022-03-11 00:00:00+00:00,-0.07381476
2022-03-14 00:00:00+00:00,0.03134006
2022-03-15 00:00:00+00:00,-0.00806596
2022-03-16 00:00:00+00:00,0.03342971
2022-03-17 00:00:00+00:00,0.00856793
2022-03-18 00:00:00+00:00,0.00416089
2022-03-21 00:00:00+00:00,-0.00535221
2022-03-22 00:00:00+00:00,0.00086790
2022-03-23 00:00:00+00:00,-0.01630246
2022-03-24 00:00:00+00:00,-0.00881523
2022-03-25 00:00:00+00:00,-0.00978300
2022-03-28 00:00:00+00:00,0.00431112
2022-03-29 00:00:00+00:00,0.03004829
2022-03-30 00:00:00+00:00,-0.01962146
2022-03-31 00:00:00+00:00,-0.00708466
2022-04-01 00:00:00+00:00,0.00481627
2022-04-04 00:00:00+00:00,0.00639091
2022-04-05 00:00:00+00:00,-0.01763980
2022-04-06 00:00:00+00:00,-0.03052613
2022-04-07 00:00:00+00:00,0.00333395
2022-04-08 00:00:00+00:00,0.01402991
2022-04-11 00:00:00+00:00,-0.00036410
2022-04-12 00:00:00+00:00,0.00600983
2022-04-13 00:00:00+00:00,0.00199131
2022-04-14 00:00:00+00:00,0.00975610
2022-04-19 00:00:00+00:00,-0.01109322
2022-04-20 00:00:00+00:00,0.02261625
2022-04-21 00:00:00+00:00,0.01716207
2022-04-22 00:00:00+00:00,-0.01130631
2022-04-25 00:00:00+00:00,-0.01002815
2022-04-26 00:00:00+00:00,-0.00568687
2022-04-27 00:00:00+00:00,0.00285970
2022-04-28 00:00:00+00:00,0.00213866
2022-04-29 00:00:00+00:00,0.00889205
2022-05-02 00:00:00+00:00,-0.01815618
2022-05-03 00:00:00+00:00,0.00125673
2022-05-04 00:00:00+00:00,-0.01470325
2022-05-05 00:00:00+00:00,-0.01037307
2022-05-06 00:00:00+00:00,-0.02077970
2022-05-09 00:00:00+00:00,-0.02384977
2022-05-10 00:00:00+00:00,-0.00423240
2022-05-11 00:00:00+00:00,0.01738794
2022-05-12 00:00:00+00:00,-0.00626662
2022-05-13 00:00:00+00:00,0.03191286
2022-05-16 00:00:00+00:00,-0.01407407
2022-05-17 00:00:00+00:00,0.01314801
2022-05-18 00:00:00+00:00,-0.00871339
2022-05-19 00:00:00+00:00,-0.01664485
2022-05-20 00:00:00+00:00,0.00399391
2022-05-23 00:00:00+00:00,0.00511461
2022-05-24 00:00:00+00:00,-0.00998869
2022-05-25 00:00:00+00:00,0.01180278
2022-05-26 00:00:00+00:00,0.01373471
2022-05-27 00:00:00+00:00,0.01763177
2022-05-30 00:00:00+00:00,0.00328287
2022-05-31 00:00:00+00:00,-0.01345210
2022-06-01 00:00:00+00:00,-0.01363553
2022-06-02 00:00:00+00:00,0.02503269
2022-06-03 00:00:00+00:00,-0.00473847
2022-06-06 00:00:00+00:00,0.00714155
2022-06-07 00:00:00+00:00,-0.00709091
2022-06-08 00:00:00+00:00,-0.00604285
2022-06-09 00:00:00+00:00,-0.04992631
2022-06-10 00:00:00+00:00,-0.03739535
2022-06-14 00:00:00+00:00,-0.05488983
2022-06-15 00:00:00+00:00,0.01574642
2022-06-16 00:00:00+00:00,-0.02677673
2022-06-17 00:00:00+00:00,0.00475796
2022-06-20 00:00:00+00:00,-0.02614783
2022-06-21 00:00:00+00:00,0.01501057
2022-06-22 00:00:00+00:00,-0.00978963
2022-06-23 00:00:00+00:00,-0.00610013
2022-06-24 00:00:00+00:00,0.03343915
2022-06-27 00:00:00+00:00,-0.00634856
2022-06-28 00:00:00+00:00,-0.00247321
2022-06-29 00:00:00+00:00,-0.00991736
2022-06-30 00:00:00+00:00,-0.00980801
2022-07-01 00:00:00+00:00,-0.00042150
2022-07-04 00:00:00+00:00,0.00632511
2022-07-05 00:00:00+00:00,-0.02514142
2022-07-06 00:00:00+00:00,0.02020202
2022-07-07 00:00:00+00:00,0.02401517
2022-07-08 00:00:00+00:00,0.01563464
2022-07-11 00:00:00+00:00,-0.01357099
2022-07-12 00:00:00+00:00,0.01437372
2022-07-13 00:00:00+00:00,-0.01862348
2022-07-14 00:00:00+00:00,-0.01320132
2022-07-15 00:00:00+00:00,0.02299331
2022-07-18 00:00:00+00:00,0.00756028
2022-07-19 00:00:00+00:00,0.01967147
2022-07-20 00:00:00+00:00,-0.00099443
2022-07-21 00:00:00+00:00,0.00895879
2022-07-22 00:00:00+00:00,0.00177585
2022-07-25 00:00:00+00:00,-0.00472720
2022-07-26 00:00:00+00:00,-0.00831189
2022-07-27 00:00:00+00:00,0.00658551
2022-07-28 00:00:00+00:00,0.01823949
2022-07-29 00:00:00+00:00,0.02901090
2022-08-01 00:00:00+00:00,-0.00586566
2022-08-02 00:00:00+00:00,-0.01199086
2022-08-03 00:00:00+00:00,0.01098054
2022-08-04 00:00:00+00:00,0.01124238
2022-08-05 00:00:00+00:00,-0.01319013
2022-08-08 00:00:00+00:00,0.01260264
2022-08-09 00:00:00+00:00,-0.01527437
2022-08-10 00:00:00+00:00,0.01857526
2022-08-11 00:00:00+00:00,0.01015228
2022-08-12 00:00:00+00:00,-0.00241950
2022-08-15 00:00:00+00:00,0.00615672
2022-08-16 00:00:00+00:00,0.00111255
2022-08-17 00:00:00+00:00,-0.01722541
2022-08-18 00:00:00+00:00,0.00320392
2022-08-19 00:00:00+00:00,-0.00920534
2022-08-22 00:00:00+00:00,-0.02085703
2022-08-23 00:00:00+00:00,-0.00542215
2022-08-24 00:00:00+00:00,-0.00486760
2022-08-25 00:00:00+00:00,0.00880454
2022-08-26 00:00:00+00:00,-0.07738557
2022-08-29 00:00:00+00:00,-0.00770446
2022-08-30 00:00:00+00:00,0.00278718
2022-08-31 00:00:00+00:00,-0.01530511
2022-09-01 00:00:00+00:00,-0.04343475
2022-09-02 00:00:00+00:00,0.06830266
2022-09-05 00:00:00+00:00,-0.03801980
2022-09-06 00:00:00+00:00,0.01170063
2022-09-07 00:00:00+00:00,0.01626179
2022-09-08 00:00:00+00:00,0.01254730
2022-09-09 00:00:00+00:00,0.03225168
2022-09-12 00:00:00+00:00,0.05433301
2022-09-13 00:00:00+00:00,-0.05230244
2022-09-14 00:00:00+00:00,-0.02939459
2022-09-15 00:00:00+00:00,-0.00612406
2022-09-16 00:00:00+00:00,-0.04298732
2022-09-19 00:00:00+00:00,0.00060741
2022-09-20 00:00:00+00:00,-0.04858300
2022-09-21 00:00:00+00:00,0.01970954
2022-09-22 00:00:00+00:00,-0.06409203
2022-09-23 00:00:00+00:00,-0.04626486
2022-09-26 00:00:00+00:00,0.00108625
2022-09-27 00:00:00+00:00,0.00217108
2022-09-28 00:00:00+00:00,0.01149425
2022-09-29 00:00:00+00:00,-0.05671771
2022-09-30 00:00:00+00:00,0.05347238
2022-10-03 00:00:00+00:00,0.00561919
2022-10-04 00:00:00+00:00,0.07780172
2022-10-05 00:00:00+00:00,-0.03609959
2022-10-06 00:00:00+00:00,-0.02133502
2022-10-07 00:00:00+00:00,-0.04868674
2022-10-10 00:00:00+00:00,0.02385642
