Date,SARONA
2022-07-22 00:00:00+00:00,0.00267258
2022-07-25 00:00:00+00:00,-0.00025171
2022-07-26 00:00:00+00:00,0.00075521
2022-07-27 00:00:00+00:00,-0.00025160
2022-07-28 00:00:00+00:00,-0.00015097
2022-07-29 00:00:00+00:00,-0.00065406
2022-08-01 00:00:00+00:00,0.00000000
2022-08-02 00:00:00+00:00,-0.00065445
2022-08-03 00:00:00+00:00,-0.00020147
2022-08-04 00:00:00+00:00,0.00085642
2022-08-05 00:00:00+00:00,-0.00055391
2022-08-08 00:00:00+00:00,0.00035268
2022-08-09 00:00:00+00:00,-0.00000000
2022-08-10 00:00:00+00:00,0.00060453
2022-08-11 00:00:00+00:00,-0.00045326
2022-08-12 00:00:00+00:00,0.00025186
2022-08-15 00:00:00+00:00,0.00045331
2022-08-16 00:00:00+00:00,0.00015081
2022-08-17 00:00:00+00:00,-0.00070486
2022-08-18 00:00:00+00:00,0.00030218
2022-08-19 00:00:00+00:00,-0.00025178
2022-08-22 00:00:00+00:00,-0.00327357
2022-08-23 00:00:00+00:00,-0.00015158
2022-08-24 00:00:00+00:00,-0.00065703
2022-08-25 00:00:00+00:00,0.00045510
2022-08-26 00:00:00+00:00,-0.00146623
2022-08-29 00:00:00+00:00,-0.00273169
2022-08-30 00:00:00+00:00,-0.00091176
2022-08-31 00:00:00+00:00,-0.00025341
2022-09-01 00:00:00+00:00,-0.00050695
2022-09-02 00:00:00+00:00,-0.00035490
2022-09-05 00:00:00+00:00,-0.00116651
2022-09-06 00:00:00+00:00,-0.00005075
2022-09-07 00:00:00+00:00,0.00020301
2022-09-08 00:00:00+00:00,-0.00233420
2022-09-09 00:00:00+00:00,-0.00157440
2022-09-12 00:00:00+00:00,-0.00127071
2022-09-13 00:00:00+00:00,-0.00254285
2022-09-14 00:00:00+00:00,-0.00157857
2022-09-15 00:00:00+00:00,-0.00061162
2022-09-16 00:00:00+00:00,0.00005099
2022-09-19 00:00:00+00:00,0.00025497
2022-09-20 00:00:00+00:00,-0.00214155
2022-09-21 00:00:00+00:00,-0.00056151
2022-09-22 00:00:00+00:00,0.00393198
2022-09-23 00:00:00+00:00,0.00122355
2022-09-26 00:00:00+00:00,0.00005097
2022-09-27 00:00:00+00:00,0.00056057
2022-09-28 00:00:00+00:00,0.00387182
2022-09-29 00:00:00+00:00,-0.00091487
2022-09-30 00:00:00+00:00,0.00091524
2022-10-03 00:00:00+00:00,0.00345581
2022-10-04 00:00:00+00:00,0.00136959
2022-10-05 00:00:00+00:00,-0.00197669
2022-10-06 00:00:00+00:00,-0.00162395
2022-10-07 00:00:00+00:00,-0.00116840
2022-10-10 00:00:00+00:00,0.00010168
2022-10-11 00:00:00+00:00,0.00198302
2022-10-12 00:00:00+00:00,0.00076185
2022-10-13 00:00:00+00:00,0.00076150
2022-10-14 00:00:00+00:00,0.00065970
2022-10-17 00:00:00+00:00,0.00055798
2022-10-18 00:00:00+00:00,0.00040568
2022-10-19 00:00:00+00:00,-0.00106458
2022-10-20 00:00:00+00:00,-0.00010145
2022-10-21 00:00:00+00:00,0.00055798
2022-10-24 00:00:00+00:00,0.00136924
2022-10-25 00:00:00+00:00,0.00060815
2022-10-26 00:00:00+00:00,-0.00000000
2022-10-27 00:00:00+00:00,0.00187427
