Date,ALUMINIUM_LME
2023-06-02 00:00:00+00:00,-0.01796670
2023-06-05 00:00:00+00:00,-0.02112598
2023-06-06 00:00:00+00:00,-0.03099127
2023-06-07 00:00:00+00:00,0.00772991
2023-06-08 00:00:00+00:00,0.03124646
2023-06-09 00:00:00+00:00,0.01259193
2023-06-12 00:00:00+00:00,-0.03764810
2023-06-13 00:00:00+00:00,0.00406321
2023-06-14 00:00:00+00:00,0.02004956
2023-06-15 00:00:00+00:00,-0.00289920
2023-06-16 00:00:00+00:00,0.01898593
2023-06-19 00:00:00+00:00,-0.02788536
2023-06-20 00:00:00+00:00,-0.00897666
2023-06-21 00:00:00+00:00,-0.00518251
2023-06-22 00:00:00+00:00,-0.01987578
2023-06-23 00:00:00+00:00,-0.02395619
2023-06-26 00:00:00+00:00,-0.02470732
2023-06-27 00:00:00+00:00,0.04393037
2023-06-28 00:00:00+00:00,-0.02240512
2023-06-29 00:00:00+00:00,-0.01457658
2023-06-30 00:00:00+00:00,0.00023318
2023-07-03 00:00:00+00:00,0.00454016
2023-07-04 00:00:00+00:00,0.01010805
2023-07-05 00:00:00+00:00,-0.02381228
2023-07-06 00:00:00+00:00,-0.01345187
2023-07-07 00:00:00+00:00,0.01519435
2023-07-10 00:00:00+00:00,-0.00280603
2023-07-11 00:00:00+00:00,0.02060407
2023-07-12 00:00:00+00:00,0.06371640
2023-07-13 00:00:00+00:00,0.03715298
2023-07-14 00:00:00+00:00,-0.00176347
2023-07-17 00:00:00+00:00,-0.01975281
2023-07-18 00:00:00+00:00,-0.04625502
2023-07-19 00:00:00+00:00,-0.01152573
2023-07-20 00:00:00+00:00,0.01097896
2023-07-21 00:00:00+00:00,0.00318073
2023-07-24 00:00:00+00:00,0.00181447
2023-07-25 00:00:00+00:00,0.02764873
2023-07-26 00:00:00+00:00,-0.02413947
2023-07-27 00:00:00+00:00,-0.00791945
2023-07-28 00:00:00+00:00,0.01647353
2023-07-31 00:00:00+00:00,0.05305249
2023-08-01 00:00:00+00:00,-0.02490674
2023-08-02 00:00:00+00:00,-0.04189820
2023-08-03 00:00:00+00:00,0.01884864
2023-08-04 00:00:00+00:00,0.00258718
2023-08-07 00:00:00+00:00,-0.00494326
2023-08-08 00:00:00+00:00,-0.02883532
2023-08-09 00:00:00+00:00,-0.00605507
2023-08-10 00:00:00+00:00,0.00824837
2023-08-11 00:00:00+00:00,-0.02019395
2023-08-14 00:00:00+00:00,-0.02735003
2023-08-15 00:00:00+00:00,-0.00291307
2023-08-16 00:00:00+00:00,0.00011669
2023-08-17 00:00:00+00:00,0.00233318
2023-08-18 00:00:00+00:00,-0.00838965
2023-08-21 00:00:00+00:00,0.00479813
2023-08-22 00:00:00+00:00,0.03105663
2023-08-23 00:00:00+00:00,0.00172453
2023-08-24 00:00:00+00:00,-0.02022059
2023-08-25 00:00:00+00:00,-0.00649803
2023-08-29 00:00:00+00:00,0.01350407
2023-08-30 00:00:00+00:00,0.03075145
2023-08-31 00:00:00+00:00,0.00591985
2023-09-01 00:00:00+00:00,0.02519864
2023-09-04 00:00:00+00:00,-0.02353732
2023-09-05 00:00:00+00:00,-0.01814470
