Date,SOFR
2000-07-18 00:00:00+00:00,-0.00032324
2000-07-19 00:00:00+00:00,-0.00021553
2000-07-20 00:00:00+00:00,0.00366439
2000-07-21 00:00:00+00:00,-0.00005379
2000-07-24 00:00:00+00:00,-0.00053789
2000-07-25 00:00:00+00:00,0.00032282
2000-07-26 00:00:00+00:00,0.00010759
2000-07-27 00:00:00+00:00,0.00032275
2000-07-28 00:00:00+00:00,-0.00086054
2000-07-31 00:00:00+00:00,0.00016142
2000-08-01 00:00:00+00:00,0.00048421
2000-08-02 00:00:00+00:00,0.00086063
2000-08-03 00:00:00+00:00,0.00032260
2000-08-04 00:00:00+00:00,0.00155897
2000-08-07 00:00:00+00:00,-0.00069832
2000-08-08 00:00:00+00:00,0.00096727
2000-08-09 00:00:00+00:00,-0.00010742
2000-08-10 00:00:00+00:00,0.00102057
2000-08-11 00:00:00+00:00,-0.00144951
2000-08-14 00:00:00+00:00,0.00032234
2000-08-15 00:00:00+00:00,0.00000000
2000-08-16 00:00:00+00:00,-0.00042971
2000-08-17 00:00:00+00:00,0.00016118
2000-08-18 00:00:00+00:00,0.00059092
2000-08-21 00:00:00+00:00,-0.00053706
2000-08-22 00:00:00+00:00,0.00048348
2000-08-23 00:00:00+00:00,0.00150376
2000-08-24 00:00:00+00:00,0.00042932
2000-08-25 00:00:00+00:00,0.00005365
2000-08-28 00:00:00+00:00,-0.00096572
2000-08-29 00:00:00+00:00,-0.00107354
2000-08-30 00:00:00+00:00,-0.00021482
2000-08-31 00:00:00+00:00,0.00171877
2000-09-01 00:00:00+00:00,0.00220028
2000-09-05 00:00:00+00:00,-0.00010722
2000-09-06 00:00:00+00:00,-0.00112582
2000-09-07 00:00:00+00:00,-0.00080463
2000-09-08 00:00:00+00:00,0.00010733
2000-09-11 00:00:00+00:00,-0.00010732
2000-09-12 00:00:00+00:00,0.00005367
2000-09-13 00:00:00+00:00,0.00139530
2000-09-14 00:00:00+00:00,-0.00058991
2000-09-15 00:00:00+00:00,0.00037552
2000-09-18 00:00:00+00:00,0.00069728
2000-09-19 00:00:00+00:00,-0.00128686
2000-09-20 00:00:00+00:00,-0.00112746
2000-09-21 00:00:00+00:00,0.00059092
2000-09-22 00:00:00+00:00,0.00085924
2000-09-25 00:00:00+00:00,0.00005368
2000-09-26 00:00:00+00:00,0.00053677
2000-09-27 00:00:00+00:00,0.00021465
2000-09-28 00:00:00+00:00,0.00010731
2000-09-29 00:00:00+00:00,0.00107308
2000-10-02 00:00:00+00:00,0.00016088
2000-10-03 00:00:00+00:00,-0.00080433
2000-10-04 00:00:00+00:00,-0.00096556
2000-10-05 00:00:00+00:00,-0.00005367
2000-10-06 00:00:00+00:00,0.00005367
2000-10-10 00:00:00+00:00,-0.00016100
2000-10-11 00:00:00+00:00,0.00075144
2000-10-12 00:00:00+00:00,0.00134135
2000-10-13 00:00:00+00:00,0.00010724
2000-10-16 00:00:00+00:00,-0.00037531
2000-10-17 00:00:00+00:00,0.00171600
2000-10-18 00:00:00+00:00,0.00000000
2000-10-19 00:00:00+00:00,0.00058937
2000-10-20 00:00:00+00:00,0.00085699
2000-10-23 00:00:00+00:00,0.00085662
2000-10-24 00:00:00+00:00,-0.00074922
