Date,EU-HEALTH
2016-12-13 00:00:00+00:00,0.01892931
2016-12-14 00:00:00+00:00,-0.01088534
2016-12-15 00:00:00+00:00,0.01687454
2016-12-16 00:00:00+00:00,0.00519481
2016-12-19 00:00:00+00:00,0.00287109
2016-12-20 00:00:00+00:00,0.00214715
2016-12-21 00:00:00+00:00,-0.00057135
2016-12-22 00:00:00+00:00,-0.00314420
2016-12-23 00:00:00+00:00,0.00129032
2016-12-27 00:00:00+00:00,0.00286369
2016-12-28 00:00:00+00:00,0.00428327
2016-12-29 00:00:00+00:00,-0.00056867
2016-12-30 00:00:00+00:00,-0.00056899
2017-01-02 00:00:00+00:00,0.00939368
2017-01-03 00:00:00+00:00,0.00211506
2017-01-04 00:00:00+00:00,0.00295483
2017-01-05 00:00:00+00:00,0.00925926
2017-01-06 00:00:00+00:00,-0.00333611
2017-01-09 00:00:00+00:00,-0.00083682
2017-01-10 00:00:00+00:00,0.00027917
2017-01-11 00:00:00+00:00,-0.01367569
2017-01-12 00:00:00+00:00,-0.01131862
2017-01-13 00:00:00+00:00,0.01187750
2017-01-16 00:00:00+00:00,-0.01004101
2017-01-17 00:00:00+00:00,-0.00300000
2017-01-18 00:00:00+00:00,0.00544491
2017-01-19 00:00:00+00:00,-0.01097335
2017-01-20 00:00:00+00:00,-0.00561960
2017-01-23 00:00:00+00:00,-0.00768005
2017-01-24 00:00:00+00:00,-0.00657126
2017-01-25 00:00:00+00:00,0.01293547
2017-01-26 00:00:00+00:00,0.01741402
2017-01-27 00:00:00+00:00,-0.00071317
2017-01-30 00:00:00+00:00,-0.00299743
2017-01-31 00:00:00+00:00,-0.00214746
2017-02-01 00:00:00+00:00,0.01004304
2017-02-02 00:00:00+00:00,-0.01150568
2017-02-03 00:00:00+00:00,0.00819083
2017-02-06 00:00:00+00:00,0.00285063
2017-02-07 00:00:00+00:00,0.00952246
2017-02-08 00:00:00+00:00,0.00126707
2017-02-09 00:00:00+00:00,0.01490439
2017-02-10 00:00:00+00:00,0.00457190
2017-02-13 00:00:00+00:00,0.00441318
2017-02-14 00:00:00+00:00,-0.00384457
2017-02-15 00:00:00+00:00,0.00509993
2017-02-16 00:00:00+00:00,0.00630828
2017-02-17 00:00:00+00:00,0.00667757
2017-02-20 00:00:00+00:00,-0.00189522
2017-02-21 00:00:00+00:00,0.00786654
2017-02-22 00:00:00+00:00,0.00188400
2017-02-23 00:00:00+00:00,0.00040296
2017-02-24 00:00:00+00:00,-0.00174544
2017-02-27 00:00:00+00:00,-0.00443847
2017-02-28 00:00:00+00:00,0.00594434
2017-03-01 00:00:00+00:00,0.00792372
2017-03-02 00:00:00+00:00,0.01092605
2017-03-03 00:00:00+00:00,0.00003780
2017-03-06 00:00:00+00:00,-0.00764365
2017-03-07 00:00:00+00:00,-0.00876494
2017-03-08 00:00:00+00:00,0.00026795
2017-03-09 00:00:00+00:00,-0.01527945
2017-03-13 00:00:00+00:00,0.00827007
2017-03-14 00:00:00+00:00,0.00134463
2017-03-15 00:00:00+00:00,-0.00161139
2017-03-16 00:00:00+00:00,0.00228648
2017-03-17 00:00:00+00:00,0.00147611
2017-03-20 00:00:00+00:00,0.00093796
2017-03-21 00:00:00+00:00,-0.01311914
2017-03-22 00:00:00+00:00,-0.00054259
2017-03-23 00:00:00+00:00,0.00909338
2017-03-24 00:00:00+00:00,-0.00161399
2017-03-27 00:00:00+00:00,0.00215546
