Date,ALUMINIUM
2020-07-13 00:00:00+00:00,0.02469880
2020-07-14 00:00:00+00:00,-0.01543210
2020-07-15 00:00:00+00:00,0.00492611
2020-07-16 00:00:00+00:00,0.00406565
2020-07-17 00:00:00+00:00,-0.00677609
2020-07-20 00:00:00+00:00,0.00798073
2020-07-21 00:00:00+00:00,0.00314136
2020-07-22 00:00:00+00:00,0.01480927
2020-07-23 00:00:00+00:00,0.00104712
2020-07-24 00:00:00+00:00,-0.00658190
2020-07-27 00:00:00+00:00,0.00956709
2020-07-28 00:00:00+00:00,0.00299177
2020-07-29 00:00:00+00:00,0.00972326
2020-07-30 00:00:00+00:00,0.00074794
2020-07-31 00:00:00+00:00,0.03201197
2020-08-03 00:00:00+00:00,0.02282248
2020-08-04 00:00:00+00:00,0.05394718
2020-08-05 00:00:00+00:00,-0.00737956
2020-08-06 00:00:00+00:00,0.00923335
2020-08-07 00:00:00+00:00,-0.01086351
2020-08-10 00:00:00+00:00,-0.00577302
2020-08-11 00:00:00+00:00,0.01600340
2020-08-12 00:00:00+00:00,0.00919989
2020-08-13 00:00:00+00:00,-0.03528268
2020-08-14 00:00:00+00:00,-0.01694915
2020-08-17 00:00:00+00:00,0.01120690
2020-08-18 00:00:00+00:00,0.01118030
2020-08-19 00:00:00+00:00,0.01583076
2020-08-20 00:00:00+00:00,-0.00042029
2020-08-21 00:00:00+00:00,-0.02045391
2020-08-24 00:00:00+00:00,-0.00692090
2020-08-25 00:00:00+00:00,-0.00197740
2020-08-26 00:00:00+00:00,0.01637797
2020-08-27 00:00:00+00:00,0.00028090
2020-08-28 00:00:00+00:00,0.01516854
2020-09-01 00:00:00+00:00,0.02807263
2020-09-02 00:00:00+00:00,-0.01099203
2020-09-03 00:00:00+00:00,-0.00402890
2020-09-04 00:00:00+00:00,0.00209234
2020-09-08 00:00:00+00:00,0.00709911
2020-09-09 00:00:00+00:00,-0.00787837
2020-09-10 00:00:00+00:00,-0.00334355
2020-09-11 00:00:00+00:00,0.00167738
2020-09-14 00:00:00+00:00,0.00837287
2020-09-15 00:00:00+00:00,-0.00207584
2020-09-16 00:00:00+00:00,-0.00955679
2020-09-17 00:00:00+00:00,-0.01011080
2020-09-18 00:00:00+00:00,0.00906555
