Date,DX
2000-06-23 00:00:00+00:00,0.00595903
2000-06-26 00:00:00+00:00,0.00092833
2000-06-27 00:00:00+00:00,-0.01466085
2000-06-28 00:00:00+00:00,0.00392597
2000-06-29 00:00:00+00:00,-0.01175483
2000-06-30 00:00:00+00:00,-0.00365991
2000-07-03 00:00:00+00:00,0.00553575
2000-07-05 00:00:00+00:00,0.00262516
2000-07-06 00:00:00+00:00,0.00636704
2000-07-07 00:00:00+00:00,0.00373343
2000-07-10 00:00:00+00:00,-0.01285634
2000-07-11 00:00:00+00:00,0.00281294
2000-07-12 00:00:00+00:00,0.01910112
2000-07-13 00:00:00+00:00,0.00834725
2000-07-14 00:00:00+00:00,-0.00166251
2000-07-17 00:00:00+00:00,0.00517656
2000-07-18 00:00:00+00:00,0.01124942
2000-07-19 00:00:00+00:00,0.00458463
2000-07-20 00:00:00+00:00,-0.01774769
2000-07-21 00:00:00+00:00,-0.00221525
2000-07-24 00:00:00+00:00,0.00406579
2000-07-25 00:00:00+00:00,-0.00645518
2000-07-26 00:00:00+00:00,-0.00370062
2000-07-27 00:00:00+00:00,0.00704421
2000-07-28 00:00:00+00:00,0.01951220
2000-07-31 00:00:00+00:00,0.00082177
2000-08-01 00:00:00+00:00,0.00932614
2000-08-02 00:00:00+00:00,0.01092100
2000-08-03 00:00:00+00:00,0.00588342
2000-08-04 00:00:00+00:00,-0.00144404
2000-08-07 00:00:00+00:00,-0.00189668
2000-08-08 00:00:00+00:00,0.01012567
2000-08-09 00:00:00+00:00,0.00233849
2000-08-10 00:00:00+00:00,-0.00979335
2000-08-11 00:00:00+00:00,0.00577930
2000-08-14 00:00:00+00:00,-0.00081037
2000-08-15 00:00:00+00:00,-0.01189082
2000-08-16 00:00:00+00:00,-0.00489352
2000-08-17 00:00:00+00:00,-0.00145706
2000-08-18 00:00:00+00:00,0.01676843
2000-08-21 00:00:00+00:00,0.00406688
2000-08-22 00:00:00+00:00,0.00972097
2000-08-23 00:00:00+00:00,-0.00574506
2000-08-24 00:00:00+00:00,-0.00342096
2000-08-25 00:00:00+00:00,0.00180359
2000-08-28 00:00:00+00:00,0.00144157
2000-08-29 00:00:00+00:00,0.01493477
2000-08-30 00:00:00+00:00,-0.00125112
2000-08-31 00:00:00+00:00,0.00876330
2000-09-01 00:00:00+00:00,-0.02207977
2000-09-05 00:00:00+00:00,0.01926539
2000-09-06 00:00:00+00:00,0.01560410
2000-09-07 00:00:00+00:00,0.00763828
2000-09-08 00:00:00+00:00,0.01216395
2000-09-11 00:00:00+00:00,0.01831085
2000-09-12 00:00:00+00:00,-0.00442785
2000-09-13 00:00:00+00:00,0.00365472
2000-09-14 00:00:00+00:00,-0.00338748
2000-09-15 00:00:00+00:00,0.01374272
2000-09-18 00:00:00+00:00,0.00103663
2000-09-19 00:00:00+00:00,0.00034536
2000-09-20 00:00:00+00:00,0.00517956
2000-09-21 00:00:00+00:00,-0.01945927
2000-09-22 00:00:00+00:00,-0.02886957
2000-09-25 00:00:00+00:00,0.00891124
2000-09-26 00:00:00+00:00,-0.01423050
2000-09-27 00:00:00+00:00,-0.00247766
2000-09-28 00:00:00+00:00,0.00531585
2000-09-29 00:00:00+00:00,-0.00300433
2000-10-02 00:00:00+00:00,0.00973451
2000-10-03 00:00:00+00:00,0.00827829
2000-10-04 00:00:00+00:00,-0.00245571
2000-10-05 00:00:00+00:00,0.01159115
2000-10-06 00:00:00+00:00,0.00104767
2000-10-09 00:00:00+00:00,-0.00104712
2000-10-10 00:00:00+00:00,-0.00881942
2000-10-11 00:00:00+00:00,0.00315651
2000-10-12 00:00:00+00:00,0.00910444
2000-10-13 00:00:00+00:00,0.01708359
2000-10-16 00:00:00+00:00,0.00985222
2000-10-17 00:00:00+00:00,-0.00963275
2000-10-18 00:00:00+00:00,0.02679112
2000-10-19 00:00:00+00:00,-0.00690773
2000-10-20 00:00:00+00:00,0.00359435
2000-10-23 00:00:00+00:00,0.00649240
2000-10-24 00:00:00+00:00,-0.00170300
2000-10-25 00:00:00+00:00,0.01900460
2000-10-26 00:00:00+00:00,-0.00084424
2000-10-27 00:00:00+00:00,-0.01849350
2000-10-30 00:00:00+00:00,-0.00187537
2000-10-31 00:00:00+00:00,-0.00494881
2000-11-01 00:00:00+00:00,-0.02400960
2000-11-02 00:00:00+00:00,0.00077922
2000-11-03 00:00:00+00:00,-0.01176980
2000-11-06 00:00:00+00:00,0.01305824
2000-11-07 00:00:00+00:00,-0.00276769
2000-11-08 00:00:00+00:00,0.01247158
2000-11-09 00:00:00+00:00,-0.01704252
2000-11-10 00:00:00+00:00,0.00972307
2000-11-13 00:00:00+00:00,-0.00345572
2000-11-14 00:00:00+00:00,0.01003894
2000-11-15 00:00:00+00:00,-0.00025833
2000-11-16 00:00:00+00:00,0.00826873
2000-11-17 00:00:00+00:00,0.00686048
2000-11-20 00:00:00+00:00,-0.00025637
2000-11-21 00:00:00+00:00,0.01076923
2000-11-22 00:00:00+00:00,-0.00127508
2000-11-24 00:00:00+00:00,0.01131145
2000-11-27 00:00:00+00:00,-0.02453054
2000-11-28 00:00:00+00:00,-0.00787874
