Date,MSCIASIA
2021-08-30 00:00:00+00:00,0.00257802
2021-08-31 00:00:00+00:00,-0.04628502
2021-09-01 00:00:00+00:00,0.01570611
2021-09-02 00:00:00+00:00,0.01755995
2021-09-03 00:00:00+00:00,0.00091635
2021-09-06 00:00:00+00:00,0.00951348
2021-09-07 00:00:00+00:00,0.00621842
2021-09-08 00:00:00+00:00,-0.01466771
2021-09-09 00:00:00+00:00,-0.00118561
2021-09-10 00:00:00+00:00,-0.01318913
2021-09-13 00:00:00+00:00,-0.00368761
2021-09-14 00:00:00+00:00,-0.00740251
2021-09-15 00:00:00+00:00,-0.00998801
2021-09-16 00:00:00+00:00,-0.00672585
2021-09-17 00:00:00+00:00,0.00176056
2021-09-20 00:00:00+00:00,-0.02392862
2021-09-21 00:00:00+00:00,-0.00096953
2021-09-22 00:00:00+00:00,0.01940940
2021-09-23 00:00:00+00:00,0.00081599
2021-09-24 00:00:00+00:00,-0.00842506
2021-09-27 00:00:00+00:00,0.00465945
2021-09-28 00:00:00+00:00,-0.01268585
2021-09-29 00:00:00+00:00,-0.00442111
2021-09-30 00:00:00+00:00,0.00902026
2021-10-01 00:00:00+00:00,-0.01416586
2021-10-04 00:00:00+00:00,-0.01688058
2021-10-05 00:00:00+00:00,0.01234568
2021-10-06 00:00:00+00:00,-0.01289599
2021-10-07 00:00:00+00:00,0.03223516
2021-10-08 00:00:00+00:00,-0.00137571
2021-10-11 00:00:00+00:00,0.00661248
2021-10-12 00:00:00+00:00,-0.01026413
2021-10-13 00:00:00+00:00,0.01106195
2021-10-14 00:00:00+00:00,0.00232495
2021-10-15 00:00:00+00:00,0.01391731
2021-10-18 00:00:00+00:00,0.00040371
2021-10-19 00:00:00+00:00,0.01546946
2021-10-20 00:00:00+00:00,-0.00026494
2021-10-21 00:00:00+00:00,-0.00609514
2021-10-22 00:00:00+00:00,-0.00079989
2021-10-25 00:00:00+00:00,0.00453636
2021-10-26 00:00:00+00:00,0.00345331
2021-10-27 00:00:00+00:00,-0.01389808
2021-10-28 00:00:00+00:00,-0.00375839
2021-10-29 00:00:00+00:00,-0.01522501
2021-11-01 00:00:00+00:00,0.01067177
2021-11-02 00:00:00+00:00,-0.00879924
2021-11-03 00:00:00+00:00,-0.00232177
2021-11-04 00:00:00+00:00,0.00369610
2021-11-05 00:00:00+00:00,-0.00436443
2021-11-08 00:00:00+00:00,0.01136986
2021-11-09 00:00:00+00:00,-0.00528241
2021-11-10 00:00:00+00:00,-0.00381264
2021-11-11 00:00:00+00:00,0.01954620
2021-11-12 00:00:00+00:00,0.00630111
2021-11-15 00:00:00+00:00,-0.00213163
2021-11-16 00:00:00+00:00,0.00347130
2021-11-17 00:00:00+00:00,-0.00745077
2021-11-18 00:00:00+00:00,-0.01045576
2021-11-19 00:00:00+00:00,0.00203197
2021-11-22 00:00:00+00:00,-0.00365013
2021-11-23 00:00:00+00:00,-0.00719132
2021-11-24 00:00:00+00:00,-0.00068334
2021-11-25 00:00:00+00:00,0.00205142
2021-11-26 00:00:00+00:00,-0.03766890
2021-11-29 00:00:00+00:00,0.00751666
2021-11-30 00:00:00+00:00,-0.00140766
2021-12-01 00:00:00+00:00,0.00930364
2021-12-02 00:00:00+00:00,0.00167598
2021-12-03 00:00:00+00:00,-0.01952036
2021-12-06 00:00:00+00:00,-0.06001138
2021-12-07 00:00:00+00:00,0.01673934
2021-12-08 00:00:00+00:00,0.03417266
2021-12-09 00:00:00+00:00,-0.00233806
2021-12-10 00:00:00+00:00,-0.00282603
2021-12-13 00:00:00+00:00,-0.01458492
2021-12-14 00:00:00+00:00,-0.00519080
2021-12-15 00:00:00+00:00,-0.01099986
2021-12-16 00:00:00+00:00,0.01440183
2021-12-17 00:00:00+00:00,-0.00632556
2021-12-20 00:00:00+00:00,-0.02008771
2021-12-21 00:00:00+00:00,0.02006641
2021-12-22 00:00:00+00:00,0.00353807
2021-12-23 00:00:00+00:00,0.00662812
2021-12-27 00:00:00+00:00,0.00392267
2021-12-28 00:00:00+00:00,-0.00167457
2021-12-29 00:00:00+00:00,-0.00447302
2021-12-30 00:00:00+00:00,0.00870542
2022-01-03 00:00:00+00:00,0.00473274
2022-01-04 00:00:00+00:00,-0.00346356
2022-01-05 00:00:00+00:00,-0.01279021
2022-01-06 00:00:00+00:00,0.00323898
2022-01-07 00:00:00+00:00,0.00393038
2022-01-10 00:00:00+00:00,0.00097875
2022-01-11 00:00:00+00:00,0.02193044
2022-01-12 00:00:00+00:00,0.01708584
2022-01-13 00:00:00+00:00,-0.00981051
2022-01-14 00:00:00+00:00,-0.00610749
2022-01-17 00:00:00+00:00,0.00000000
2022-01-18 00:00:00+00:00,-0.01283627
2022-01-19 00:00:00+00:00,0.00179831
2022-01-20 00:00:00+00:00,0.00234742
2022-01-21 00:00:00+00:00,-0.01143408
2022-01-24 00:00:00+00:00,-0.02020624
2022-01-25 00:00:00+00:00,-0.00256009
2022-01-26 00:00:00+00:00,0.00099815
2022-01-27 00:00:00+00:00,-0.03219373
2022-01-28 00:00:00+00:00,0.00191345
2022-01-31 00:00:00+00:00,0.03408256
2022-02-01 00:00:00+00:00,0.00184685
2022-02-02 00:00:00+00:00,0.00609756
2022-02-03 00:00:00+00:00,-0.00817477
2022-02-04 00:00:00+00:00,0.00270001
2022-02-07 00:00:00+00:00,-0.00467687
2022-02-08 00:00:00+00:00,0.00541079
2022-02-09 00:00:00+00:00,0.01855261
2022-02-10 00:00:00+00:00,0.00139043
2022-02-11 00:00:00+00:00,-0.00458206
2022-02-14 00:00:00+00:00,-0.03012973
2022-02-15 00:00:00+00:00,0.01984755
2022-02-16 00:00:00+00:00,0.00366662
2022-02-17 00:00:00+00:00,0.00337221
2022-02-18 00:00:00+00:00,-0.01512393
2022-02-21 00:00:00+00:00,-0.00710934
2022-02-22 00:00:00+00:00,-0.00515538
2022-02-23 00:00:00+00:00,-0.01367497
2022-02-24 00:00:00+00:00,-0.03867484
2022-02-25 00:00:00+00:00,0.03476545
2022-02-28 00:00:00+00:00,-0.00044014
2022-03-01 00:00:00+00:00,-0.00939381
2022-03-02 00:00:00+00:00,0.00266706
