Date,PLAT
2000-01-05 00:00:00+00:00,-0.05704617
2000-01-06 00:00:00+00:00,-0.03931326
2000-01-07 00:00:00+00:00,0.01015228
2000-01-10 00:00:00+00:00,0.01262626
2000-01-11 00:00:00+00:00,0.00000000
2000-01-12 00:00:00+00:00,0.02211055
2000-01-13 00:00:00+00:00,0.01242545
2000-01-14 00:00:00+00:00,0.02469746
2000-01-18 00:00:00+00:00,0.02582846
2000-01-19 00:00:00+00:00,0.05893673
2000-01-20 00:00:00+00:00,-0.02195236
2000-01-21 00:00:00+00:00,0.01652893
2000-01-24 00:00:00+00:00,0.03981265
2000-01-25 00:00:00+00:00,0.02591743
2000-01-26 00:00:00+00:00,-0.04254356
2000-01-27 00:00:00+00:00,0.05826590
2000-01-28 00:00:00+00:00,0.03231598
2000-01-31 00:00:00+00:00,0.00528867
2000-02-01 00:00:00+00:00,-0.00923077
2000-02-02 00:00:00+00:00,0.05873261
2000-02-03 00:00:00+00:00,0.03689404
2000-02-04 00:00:00+00:00,0.01979781
2000-02-07 00:00:00+00:00,-0.02168926
2000-02-08 00:00:00+00:00,0.10204512
2000-02-09 00:00:00+00:00,0.11253761
2000-02-10 00:00:00+00:00,-0.02888973
2000-02-11 00:00:00+00:00,0.03089399
2000-02-14 00:00:00+00:00,-0.03305471
2000-02-15 00:00:00+00:00,0.04137664
2000-02-16 00:00:00+00:00,0.04925175
2000-02-17 00:00:00+00:00,-0.04609145
2000-02-18 00:00:00+00:00,-0.09142425
2000-02-22 00:00:00+00:00,0.02424483
2000-02-23 00:00:00+00:00,-0.12252111
2000-02-24 00:00:00+00:00,-0.04280568
2000-02-25 00:00:00+00:00,-0.07222222
2000-02-28 00:00:00+00:00,0.05750940
2000-02-29 00:00:00+00:00,0.02838099
2000-03-01 00:00:00+00:00,-0.01483994
2000-03-02 00:00:00+00:00,-0.05864726
2000-03-03 00:00:00+00:00,0.04861878
2000-03-06 00:00:00+00:00,0.00043150
2000-03-07 00:00:00+00:00,0.02327085
2000-03-08 00:00:00+00:00,-0.00447761
2000-03-09 00:00:00+00:00,0.00234942
2000-03-10 00:00:00+00:00,0.00939168
2000-03-13 00:00:00+00:00,0.02634374
2000-03-14 00:00:00+00:00,0.00398323
2000-03-15 00:00:00+00:00,0.00083665
2000-03-16 00:00:00+00:00,0.01317165
2000-03-17 00:00:00+00:00,0.01079510
2000-03-20 00:00:00+00:00,0.01051980
2000-03-21 00:00:00+00:00,0.01436782
2000-03-22 00:00:00+00:00,0.00589910
2000-03-23 00:00:00+00:00,-0.05751316
2000-03-24 00:00:00+00:00,0.00081277
2000-03-27 00:00:00+00:00,-0.00960936
2000-03-28 00:00:00+00:00,0.01388013
2000-03-29 00:00:00+00:00,-0.01710828
2000-03-30 00:00:00+00:00,-0.00568780
2000-03-31 00:00:00+00:00,0.06525424
2000-04-03 00:00:00+00:00,0.00737856
2000-04-04 00:00:00+00:00,0.07228916
2000-04-05 00:00:00+00:00,-0.02165781
2000-04-06 00:00:00+00:00,-0.03941083
2000-04-07 00:00:00+00:00,-0.11086294
2000-04-10 00:00:00+00:00,0.04061352
2000-04-11 00:00:00+00:00,0.00633446
2000-04-12 00:00:00+00:00,0.00926121
2000-04-13 00:00:00+00:00,0.01466583
2000-04-14 00:00:00+00:00,0.01996672
2000-04-17 00:00:00+00:00,-0.05127153
2000-04-18 00:00:00+00:00,0.01347085
2000-04-19 00:00:00+00:00,-0.02717959
2000-04-20 00:00:00+00:00,-0.03815176
2000-04-24 00:00:00+00:00,-0.09723423
