Date,US-REALESTATE
2014-06-17 00:00:00+00:00,0.00256410
2014-06-18 00:00:00+00:00,0.00694191
2014-06-19 00:00:00+00:00,0.00653120
2014-06-20 00:00:00+00:00,-0.00108147
2014-06-23 00:00:00+00:00,0.00360881
2014-06-24 00:00:00+00:00,0.00071917
2014-06-25 00:00:00+00:00,-0.00143730
2014-06-26 00:00:00+00:00,0.00000000
2014-06-27 00:00:00+00:00,0.00647715
2014-06-30 00:00:00+00:00,-0.00178763
2014-07-01 00:00:00+00:00,0.00286533
2014-07-02 00:00:00+00:00,-0.00428571
2014-07-03 00:00:00+00:00,-0.00286944
2014-07-07 00:00:00+00:00,0.00107914
2014-07-08 00:00:00+00:00,0.00359324
2014-07-09 00:00:00+00:00,-0.00143215
2014-07-10 00:00:00+00:00,0.00681248
2014-07-11 00:00:00+00:00,-0.00356125
2014-07-14 00:00:00+00:00,0.00643317
2014-07-15 00:00:00+00:00,0.00177557
2014-07-16 00:00:00+00:00,0.00177242
2014-07-17 00:00:00+00:00,-0.00212314
2014-07-18 00:00:00+00:00,0.00602837
2014-07-21 00:00:00+00:00,-0.00070497
2014-07-22 00:00:00+00:00,0.00282187
2014-07-23 00:00:00+00:00,0.00070348
2014-07-24 00:00:00+00:00,-0.00351494
2014-07-25 00:00:00+00:00,-0.00458554
2014-07-28 00:00:00+00:00,0.00744153
2014-07-29 00:00:00+00:00,-0.00281393
2014-07-30 00:00:00+00:00,-0.00317460
2014-07-31 00:00:00+00:00,-0.01450814
2014-08-01 00:00:00+00:00,-0.00215440
2014-08-04 00:00:00+00:00,0.00575747
2014-08-05 00:00:00+00:00,-0.00715564
2014-08-06 00:00:00+00:00,0.00072072
2014-08-07 00:00:00+00:00,0.00216060
2014-08-08 00:00:00+00:00,0.00682716
2014-08-11 00:00:00+00:00,0.00392577
2014-08-12 00:00:00+00:00,-0.00035549
2014-08-13 00:00:00+00:00,0.01280228
2014-08-14 00:00:00+00:00,-0.00035112
2014-08-15 00:00:00+00:00,0.00000000
2014-08-18 00:00:00+00:00,0.00983491
2014-08-19 00:00:00+00:00,0.00104348
2014-08-20 00:00:00+00:00,0.00451703
2014-08-21 00:00:00+00:00,-0.00103770
2014-08-22 00:00:00+00:00,-0.00692521
2014-08-25 00:00:00+00:00,-0.00278940
2014-08-26 00:00:00+00:00,0.00209790
2014-08-27 00:00:00+00:00,0.00174459
2014-08-28 00:00:00+00:00,-0.00069662
2014-08-29 00:00:00+00:00,0.00627396
2014-09-02 00:00:00+00:00,-0.00207828
2014-09-03 00:00:00+00:00,0.00104131
2014-09-04 00:00:00+00:00,-0.00138696
2014-09-05 00:00:00+00:00,0.00833333
2014-09-08 00:00:00+00:00,-0.00034435
2014-09-09 00:00:00+00:00,-0.00654495
2014-09-10 00:00:00+00:00,-0.01353288
2014-09-11 00:00:00+00:00,-0.01581722
2014-09-12 00:00:00+00:00,-0.06103122
2014-09-15 00:00:00+00:00,-0.00542692
2014-09-16 00:00:00+00:00,0.00253991
2014-09-17 00:00:00+00:00,-0.00181225
2014-09-18 00:00:00+00:00,-0.00798838
2014-09-19 00:00:00+00:00,-0.00073206
2014-09-22 00:00:00+00:00,-0.00695971
2014-09-23 00:00:00+00:00,-0.00663962
2014-09-24 00:00:00+00:00,-0.00148533
2014-09-25 00:00:00+00:00,-0.00409074
2014-09-26 00:00:00+00:00,0.01120239
2014-09-29 00:00:00+00:00,-0.00036928
2014-09-30 00:00:00+00:00,-0.00701884
2014-10-01 00:00:00+00:00,0.00111607
2014-10-02 00:00:00+00:00,-0.00185805
