Date,CNH
2013-05-08 00:00:00+00:00,-0.00569004
2013-05-09 00:00:00+00:00,0.00156085
2013-05-10 00:00:00+00:00,0.00360665
2013-05-13 00:00:00+00:00,-0.00265979
2013-05-14 00:00:00+00:00,-0.00108821
2013-05-15 00:00:00+00:00,0.00079620
2013-05-16 00:00:00+00:00,0.00025989
2013-05-17 00:00:00+00:00,0.00081210
2013-05-20 00:00:00+00:00,-0.00423729
2013-05-21 00:00:00+00:00,-0.00110639
2013-05-22 00:00:00+00:00,0.00042325
2013-05-23 00:00:00+00:00,-0.00187162
2013-05-24 00:00:00+00:00,-0.00195497
2013-05-28 00:00:00+00:00,-0.00078285
2013-05-29 00:00:00+00:00,0.00360544
2013-05-30 00:00:00+00:00,0.00052103
2013-05-31 00:00:00+00:00,0.00372823
2013-06-03 00:00:00+00:00,-0.00677641
2013-06-04 00:00:00+00:00,0.00060312
2013-06-05 00:00:00+00:00,0.00017947
2013-06-06 00:00:00+00:00,-0.00122249
2013-06-07 00:00:00+00:00,0.00420826
2013-06-10 00:00:00+00:00,0.00363837
2013-06-11 00:00:00+00:00,0.00009729
2013-06-12 00:00:00+00:00,-0.00129710
2013-06-13 00:00:00+00:00,-0.00184963
2013-06-14 00:00:00+00:00,-0.00183516
2013-06-17 00:00:00+00:00,-0.00230838
2013-06-18 00:00:00+00:00,0.00288044
2013-06-19 00:00:00+00:00,-0.00125181
2013-06-20 00:00:00+00:00,0.00336662
2013-06-21 00:00:00+00:00,-0.00030860
2013-06-24 00:00:00+00:00,0.00196556
2013-06-25 00:00:00+00:00,-0.00201237
2013-06-26 00:00:00+00:00,0.00228970
2013-06-27 00:00:00+00:00,-0.00267705
2013-06-28 00:00:00+00:00,-0.00357391
2013-07-01 00:00:00+00:00,-0.00097614
2013-07-02 00:00:00+00:00,-0.00050482
2013-07-03 00:00:00+00:00,-0.00061869
2013-07-05 00:00:00+00:00,0.00034191
2013-07-08 00:00:00+00:00,0.00192142
2013-07-09 00:00:00+00:00,-0.00040614
2013-07-10 00:00:00+00:00,0.00022755
2013-07-11 00:00:00+00:00,-0.00094264
2013-07-12 00:00:00+00:00,0.00134951
2013-07-15 00:00:00+00:00,0.00001609
2013-07-16 00:00:00+00:00,-0.00211208
2013-07-17 00:00:00+00:00,0.00034137
2013-07-18 00:00:00+00:00,0.00224407
2013-07-19 00:00:00+00:00,-0.00230652
2013-07-22 00:00:00+00:00,-0.00029257
2013-07-23 00:00:00+00:00,-0.00069966
2013-07-24 00:00:00+00:00,0.00040709
2013-07-25 00:00:00+00:00,-0.00039058
2013-07-26 00:00:00+00:00,-0.00074829
2013-07-29 00:00:00+00:00,0.00011394
2013-07-30 00:00:00+00:00,-0.00003255
2013-07-31 00:00:00+00:00,-0.00144870
2013-08-01 00:00:00+00:00,-0.00019547
2013-08-02 00:00:00+00:00,-0.00208517
2013-08-05 00:00:00+00:00,-0.00177756
2013-08-06 00:00:00+00:00,-0.00096295
2013-08-07 00:00:00+00:00,0.00189425
2013-08-08 00:00:00+00:00,-0.00278710
2013-08-09 00:00:00+00:00,0.00187691
2013-08-12 00:00:00+00:00,-0.00037504
2013-08-13 00:00:00+00:00,0.00009786
2013-08-14 00:00:00+00:00,-0.00229953
2013-08-15 00:00:00+00:00,-0.00171429
2013-08-16 00:00:00+00:00,-0.00050652
2013-08-19 00:00:00+00:00,0.00235340
2013-08-20 00:00:00+00:00,-0.00044076
2013-08-21 00:00:00+00:00,0.00088173
2013-08-22 00:00:00+00:00,-0.00156686
