Date,EU-UTILS
2014-09-08 00:00:00+00:00,-0.00763359
2014-09-09 00:00:00+00:00,-0.01018285
2014-09-10 00:00:00+00:00,0.00031085
2014-09-11 00:00:00+00:00,-0.00932256
2014-09-12 00:00:00+00:00,-0.00216920
2014-09-15 00:00:00+00:00,-0.00745342
2014-09-16 00:00:00+00:00,-0.01494861
2014-09-17 00:00:00+00:00,0.00663927
2014-09-18 00:00:00+00:00,0.00596734
2014-09-19 00:00:00+00:00,0.00655635
2014-09-22 00:00:00+00:00,-0.00093052
2014-09-23 00:00:00+00:00,-0.01738590
2014-09-24 00:00:00+00:00,0.01105845
2014-09-25 00:00:00+00:00,-0.00687500
2014-09-26 00:00:00+00:00,0.00723726
2014-09-29 00:00:00+00:00,-0.00437363
2014-09-30 00:00:00+00:00,0.01474741
2014-10-01 00:00:00+00:00,-0.00803958
2014-10-02 00:00:00+00:00,-0.02649626
2014-10-03 00:00:00+00:00,0.00256164
2014-10-06 00:00:00+00:00,0.00479080
2014-10-07 00:00:00+00:00,-0.01462174
2014-10-08 00:00:00+00:00,-0.00258065
2014-10-09 00:00:00+00:00,-0.00420440
2014-10-10 00:00:00+00:00,-0.01266645
2014-10-13 00:00:00+00:00,-0.00131579
2014-10-14 00:00:00+00:00,0.00065876
2014-10-15 00:00:00+00:00,-0.03061224
2014-10-16 00:00:00+00:00,-0.01222411
2014-10-17 00:00:00+00:00,0.02578206
2014-10-20 00:00:00+00:00,-0.00268097
2014-10-21 00:00:00+00:00,0.01243280
2014-10-22 00:00:00+00:00,0.00929306
2014-10-23 00:00:00+00:00,0.00854982
2014-10-24 00:00:00+00:00,-0.00260841
2014-10-27 00:00:00+00:00,-0.00490356
2014-10-28 00:00:00+00:00,0.01839685
2014-10-29 00:00:00+00:00,-0.00483871
2014-10-30 00:00:00+00:00,0.01134522
2014-10-31 00:00:00+00:00,0.02083333
2014-11-03 00:00:00+00:00,-0.02386185
2014-11-04 00:00:00+00:00,-0.00128659
2014-11-05 00:00:00+00:00,0.01062802
2014-11-06 00:00:00+00:00,-0.00446144
2014-11-07 00:00:00+00:00,-0.00608195
2014-11-10 00:00:00+00:00,0.00998390
2014-11-11 00:00:00+00:00,0.00829082
2014-11-12 00:00:00+00:00,-0.02498419
2014-11-13 00:00:00+00:00,-0.00291923
2014-11-14 00:00:00+00:00,-0.00553025
2014-11-17 00:00:00+00:00,0.00817795
2014-11-18 00:00:00+00:00,0.00778715
2014-11-19 00:00:00+00:00,0.00354153
2014-11-20 00:00:00+00:00,-0.00962464
2014-11-21 00:00:00+00:00,0.02235180
2014-11-24 00:00:00+00:00,0.00000000
2014-11-25 00:00:00+00:00,0.00728771
2014-11-26 00:00:00+00:00,0.00723498
2014-11-27 00:00:00+00:00,0.00811993
2014-11-28 00:00:00+00:00,-0.00061958
2014-12-01 00:00:00+00:00,0.00371978
2014-12-02 00:00:00+00:00,-0.00061767
2014-12-03 00:00:00+00:00,0.00957973
2014-12-04 00:00:00+00:00,-0.01254974
2014-12-05 00:00:00+00:00,0.02045877
2014-12-08 00:00:00+00:00,-0.00455650
