Date,EU-BANKS
2005-06-13 00:00:00+00:00,0.00195631
2005-06-14 00:00:00+00:00,0.00357956
2005-06-15 00:00:00+00:00,0.00226978
2005-06-16 00:00:00+00:00,0.00905856
2005-06-17 00:00:00+00:00,0.01090093
2005-06-20 00:00:00+00:00,-0.01490644
2005-06-21 00:00:00+00:00,-0.00032196
2005-06-22 00:00:00+00:00,0.00611916
2005-06-23 00:00:00+00:00,-0.00608195
2005-06-24 00:00:00+00:00,-0.00901771
2005-06-27 00:00:00+00:00,-0.00844979
2005-06-28 00:00:00+00:00,0.01147165
2005-06-29 00:00:00+00:00,0.00097213
2005-06-30 00:00:00+00:00,0.00679832
2005-07-01 00:00:00+00:00,0.00482315
2005-07-04 00:00:00+00:00,-0.00288000
2005-07-05 00:00:00+00:00,0.00320924
2005-07-06 00:00:00+00:00,-0.00063980
2005-07-07 00:00:00+00:00,-0.01088348
2005-07-08 00:00:00+00:00,0.01229773
2005-07-11 00:00:00+00:00,0.00351662
2005-07-12 00:00:00+00:00,0.00509716
2005-07-13 00:00:00+00:00,0.00475436
2005-07-14 00:00:00+00:00,0.01104101
2005-07-15 00:00:00+00:00,-0.00249610
2005-07-18 00:00:00+00:00,0.00156397
2005-07-19 00:00:00+00:00,0.01155528
2005-07-20 00:00:00+00:00,0.00648348
2005-07-21 00:00:00+00:00,0.00306748
2005-07-22 00:00:00+00:00,-0.00489297
2005-07-25 00:00:00+00:00,-0.00338045
2005-07-26 00:00:00+00:00,0.00246685
2005-07-27 00:00:00+00:00,0.00061520
2005-07-28 00:00:00+00:00,0.00368890
2005-07-29 00:00:00+00:00,-0.00643185
2005-08-01 00:00:00+00:00,-0.00061652
2005-08-02 00:00:00+00:00,0.00339297
2005-08-03 00:00:00+00:00,0.00368890
2005-08-04 00:00:00+00:00,-0.00643185
2005-08-05 00:00:00+00:00,-0.00524044
2005-08-08 00:00:00+00:00,0.00092966
2005-08-09 00:00:00+00:00,0.00928793
2005-08-10 00:00:00+00:00,0.00644172
2005-08-11 00:00:00+00:00,-0.00213350
2005-08-12 00:00:00+00:00,-0.00702505
2005-08-15 00:00:00+00:00,0.00830514
2005-08-16 00:00:00+00:00,-0.01128737
2005-08-17 00:00:00+00:00,0.00123419
2005-08-18 00:00:00+00:00,-0.00400616
2005-08-19 00:00:00+00:00,0.00247525
2005-08-22 00:00:00+00:00,0.00154321
2005-08-23 00:00:00+00:00,-0.00647149
2005-08-24 00:00:00+00:00,-0.00341191
2005-08-25 00:00:00+00:00,-0.00684718
2005-08-26 00:00:00+00:00,-0.00156691
2005-08-29 00:00:00+00:00,0.00188324
2005-08-30 00:00:00+00:00,-0.00313283
2005-08-31 00:00:00+00:00,0.00722816
2005-09-01 00:00:00+00:00,0.00156006
2005-09-02 00:00:00+00:00,0.00560748
2005-09-05 00:00:00+00:00,0.00681247
2005-09-06 00:00:00+00:00,0.03087373
2005-09-07 00:00:00+00:00,0.01276984
2005-09-08 00:00:00+00:00,-0.00060423
2005-09-09 00:00:00+00:00,0.01027501
2005-09-12 00:00:00+00:00,-0.00390860
2005-09-13 00:00:00+00:00,-0.00905524
2005-09-14 00:00:00+00:00,0.00213220
2005-09-15 00:00:00+00:00,-0.00060790
2005-09-16 00:00:00+00:00,0.00608273
2005-09-19 00:00:00+00:00,-0.00423216
2005-09-20 00:00:00+00:00,0.00333940
2005-09-21 00:00:00+00:00,-0.01422088
2005-09-22 00:00:00+00:00,0.00644567
2005-09-23 00:00:00+00:00,0.00701433
2005-09-26 00:00:00+00:00,0.01362810
2005-09-27 00:00:00+00:00,-0.00089633
2005-09-28 00:00:00+00:00,0.01465311
2005-09-29 00:00:00+00:00,-0.00029472
2005-09-30 00:00:00+00:00,0.00471698
2005-10-03 00:00:00+00:00,0.00352113
2005-10-04 00:00:00+00:00,0.00380117
2005-10-05 00:00:00+00:00,-0.00611710
2005-10-06 00:00:00+00:00,-0.01553341
2005-10-07 00:00:00+00:00,0.00238166
2005-10-10 00:00:00+00:00,0.00326700
2005-10-11 00:00:00+00:00,-0.00059207
2005-10-12 00:00:00+00:00,-0.00473934
2005-10-13 00:00:00+00:00,-0.01041667
2005-10-14 00:00:00+00:00,0.01203008
2005-10-17 00:00:00+00:00,-0.00386330
2005-10-18 00:00:00+00:00,-0.00626492
2005-10-19 00:00:00+00:00,-0.01050736
2005-10-20 00:00:00+00:00,-0.00576456
2005-10-21 00:00:00+00:00,0.00579799
2005-10-24 00:00:00+00:00,0.00849515
2005-10-25 00:00:00+00:00,-0.01233454
2005-10-26 00:00:00+00:00,0.00487359
2005-10-27 00:00:00+00:00,-0.01242801
2005-10-28 00:00:00+00:00,0.01197053
2005-10-31 00:00:00+00:00,0.01516530
2005-11-01 00:00:00+00:00,0.00448163
2005-11-02 00:00:00+00:00,0.00862582
2005-11-03 00:00:00+00:00,0.00884695
2005-11-04 00:00:00+00:00,-0.00380006
2005-11-07 00:00:00+00:00,0.00234742
2005-11-08 00:00:00+00:00,0.00000000
2005-11-09 00:00:00+00:00,0.00439110
2005-11-10 00:00:00+00:00,0.01282425
2005-11-11 00:00:00+00:00,0.01525180
2005-11-14 00:00:00+00:00,-0.01133787
2005-11-15 00:00:00+00:00,-0.00086009
2005-11-16 00:00:00+00:00,-0.00172166
2005-11-17 00:00:00+00:00,0.00258695
2005-11-18 00:00:00+00:00,0.00946101
2005-11-21 00:00:00+00:00,0.00255609
2005-11-22 00:00:00+00:00,-0.00028329
2005-11-23 00:00:00+00:00,0.00850099
2005-11-24 00:00:00+00:00,-0.00337173
