Date,CAC
2009-10-02 00:00:00+00:00,-0.06169935
2009-10-05 00:00:00+00:00,0.00520905
2009-10-06 00:00:00+00:00,0.05217630
2009-10-07 00:00:00+00:00,-0.00132979
2009-10-08 00:00:00+00:00,0.02203930
2009-10-09 00:00:00+00:00,0.00144889
2009-10-12 00:00:00+00:00,0.01415345
2009-10-13 00:00:00+00:00,-0.00691725
2009-10-14 00:00:00+00:00,0.01375606
2009-10-15 00:00:00+00:00,0.03157895
2009-10-16 00:00:00+00:00,-0.01972841
2009-10-19 00:00:00+00:00,0.02523536
2009-10-20 00:00:00+00:00,-0.00813638
2009-10-21 00:00:00+00:00,-0.02335539
2009-10-22 00:00:00+00:00,0.01403831
2009-10-23 00:00:00+00:00,-0.02281022
2009-10-26 00:00:00+00:00,-0.03546006
2009-10-27 00:00:00+00:00,-0.00536769
2009-10-28 00:00:00+00:00,-0.04688131
2009-10-29 00:00:00+00:00,0.04780273
2009-10-30 00:00:00+00:00,-0.07738896
2009-11-02 00:00:00+00:00,0.01512817
2009-11-03 00:00:00+00:00,-0.00250104
2009-11-04 00:00:00+00:00,0.00945758
2009-11-05 00:00:00+00:00,0.02486802
2009-11-06 00:00:00+00:00,0.02824311
2009-11-09 00:00:00+00:00,0.04221173
2009-11-10 00:00:00+00:00,-0.00044035
2009-11-11 00:00:00+00:00,0.00330338
2009-11-12 00:00:00+00:00,-0.00582396
2009-11-13 00:00:00+00:00,0.01441799
2009-11-16 00:00:00+00:00,0.01826544
2009-11-17 00:00:00+00:00,0.00130174
2009-11-18 00:00:00+00:00,-0.00338014
2009-11-19 00:00:00+00:00,-0.03482912
2009-11-20 00:00:00+00:00,-0.01588773
2009-11-23 00:00:00+00:00,0.02686447
2009-11-24 00:00:00+00:00,-0.00158520
2009-11-25 00:00:00+00:00,0.01108765
2009-11-26 00:00:00+00:00,-0.07137224
2009-11-27 00:00:00+00:00,0.01991271
2009-11-30 00:00:00+00:00,-0.00649439
2009-12-01 00:00:00+00:00,0.04181326
2009-12-02 00:00:00+00:00,0.00915484
2009-12-03 00:00:00+00:00,0.00554163
2009-12-04 00:00:00+00:00,0.01617570
2009-12-07 00:00:00+00:00,0.00508806
2009-12-08 00:00:00+00:00,-0.03171496
2009-12-09 00:00:00+00:00,-0.01071570
2009-12-10 00:00:00+00:00,0.00726983
2009-12-11 00:00:00+00:00,0.01550901
2009-12-14 00:00:00+00:00,0.01301775
2009-12-15 00:00:00+00:00,0.00039200
2009-12-16 00:00:00+00:00,0.01228276
2009-12-17 00:00:00+00:00,-0.02119959
2009-12-18 00:00:00+00:00,-0.00392106
2009-12-21 00:00:00+00:00,0.02752654
2009-12-22 00:00:00+00:00,0.01949393
2009-12-23 00:00:00+00:00,0.00600485
2009-12-24 00:00:00+00:00,-0.00318390
2009-12-28 00:00:00+00:00,0.01571483
2009-12-29 00:00:00+00:00,0.01163673
2009-12-30 00:00:00+00:00,-0.01350328
2009-12-31 00:00:00+00:00,0.00215326
2010-01-04 00:00:00+00:00,0.03107560
2010-01-05 00:00:00+00:00,0.00761929
2010-01-06 00:00:00+00:00,-0.00298507
2010-01-07 00:00:00+00:00,0.00846192
2010-01-08 00:00:00+00:00,0.01201983
2010-01-11 00:00:00+00:00,0.00081881
2010-01-12 00:00:00+00:00,-0.02979929
2010-01-13 00:00:00+00:00,0.01111805
2010-01-14 00:00:00+00:00,0.00273462
2010-01-15 00:00:00+00:00,-0.01738051
2010-01-18 00:00:00+00:00,0.01084900
2010-01-19 00:00:00+00:00,0.02410849
2010-01-20 00:00:00+00:00,-0.03513782
2010-01-21 00:00:00+00:00,-0.06178143
2010-01-22 00:00:00+00:00,-0.03910833
2010-01-25 00:00:00+00:00,0.01257357
2010-01-26 00:00:00+00:00,0.00647977
2010-01-27 00:00:00+00:00,0.00066050
2010-01-28 00:00:00+00:00,-0.04664032
2010-01-29 00:00:00+00:00,-0.00660555
2010-02-01 00:00:00+00:00,0.03074631
2010-02-02 00:00:00+00:00,0.03712575
2010-02-03 00:00:00+00:00,-0.00771645
2010-02-04 00:00:00+00:00,-0.06833114
2010-02-05 00:00:00+00:00,-0.04596917
2010-02-08 00:00:00+00:00,-0.02349833
2010-02-09 00:00:00+00:00,0.05392088
2010-02-10 00:00:00+00:00,-0.00594087
2010-02-11 00:00:00+00:00,0.00892857
2010-02-12 00:00:00+00:00,-0.01861484
2010-02-15 00:00:00+00:00,-0.00331538
2010-02-16 00:00:00+00:00,0.02614831
2010-02-17 00:00:00+00:00,0.02251153
2010-02-18 00:00:00+00:00,0.01058272
2010-02-19 00:00:00+00:00,0.00491368
2010-02-22 00:00:00+00:00,0.00146277
2010-02-23 00:00:00+00:00,-0.02754858
2010-02-24 00:00:00+00:00,0.00970350
2010-02-25 00:00:00+00:00,-0.02696539
2010-02-26 00:00:00+00:00,0.01439631
2010-03-01 00:00:00+00:00,0.03276257
2010-03-02 00:00:00+00:00,0.01752988
2010-03-03 00:00:00+00:00,0.01106428
2010-03-04 00:00:00+00:00,0.00615183
2010-03-05 00:00:00+00:00,0.04837027
2010-03-08 00:00:00+00:00,-0.00509684
2010-03-09 00:00:00+00:00,-0.00166198
2010-03-10 00:00:00+00:00,0.01210278
2010-03-11 00:00:00+00:00,0.00076239
2010-03-12 00:00:00+00:00,-0.00367834
2010-03-15 00:00:00+00:00,-0.00725560
2010-03-16 00:00:00+00:00,0.00881339
2010-03-17 00:00:00+00:00,0.01255071
2010-03-18 00:00:00+00:00,-0.00227330
2010-03-19 00:00:00+00:00,-0.00417722
2010-03-22 00:00:00+00:00,-0.00457608
2010-03-23 00:00:00+00:00,0.00851334
2010-03-24 00:00:00+00:00,-0.00188846
2010-03-25 00:00:00+00:00,0.01531258
2010-03-26 00:00:00+00:00,0.00213836
2010-03-29 00:00:00+00:00,0.00665244
2010-03-30 00:00:00+00:00,0.00150075
2010-03-31 00:00:00+00:00,-0.01613307
2010-04-01 00:00:00+00:00,0.02791399
2010-04-06 00:00:00+00:00,0.01912806
2010-04-07 00:00:00+00:00,-0.02106430
2010-04-08 00:00:00+00:00,-0.00534959
2010-04-09 00:00:00+00:00,0.02034194
2010-04-12 00:00:00+00:00,0.00390906
2010-04-13 00:00:00+00:00,-0.00554734
2010-04-14 00:00:00+00:00,0.01421684
2010-04-15 00:00:00+00:00,-0.00245580
2010-04-16 00:00:00+00:00,-0.04264471
2010-04-19 00:00:00+00:00,-0.00357143
2010-04-20 00:00:00+00:00,0.02145046
2010-04-21 00:00:00+00:00,-0.02299722
2010-04-22 00:00:00+00:00,-0.01649616
2010-04-23 00:00:00+00:00,0.01173134
2010-04-26 00:00:00+00:00,0.00269231
2010-04-27 00:00:00+00:00,-0.08788112
2010-04-28 00:00:00+00:00,-0.00923448
2010-04-29 00:00:00+00:00,0.02544426
2010-04-30 00:00:00+00:00,-0.02855246
2010-05-03 00:00:00+00:00,0.03525598
2010-05-04 00:00:00+00:00,-0.07139073
2010-05-05 00:00:00+00:00,-0.02925824
