Date,NIKKEI400
2015-12-04 00:00:00+00:00,-0.03783734
2015-12-07 00:00:00+00:00,0.02443343
2015-12-08 00:00:00+00:00,-0.02827225
2015-12-09 00:00:00+00:00,-0.01558074
2015-12-10 00:00:00+00:00,-0.02536620
2015-12-11 00:00:00+00:00,0.01014860
2015-12-14 00:00:00+00:00,-0.01471116
2015-12-15 00:00:00+00:00,-0.01565914
2015-12-16 00:00:00+00:00,0.02774695
2015-12-17 00:00:00+00:00,0.01367891
2015-12-18 00:00:00+00:00,-0.01917614
2015-12-21 00:00:00+00:00,-0.00506879
2015-12-22 00:00:00+00:00,0.00473071
2015-12-24 00:00:00+00:00,-0.00543281
2015-12-25 00:00:00+00:00,-0.00436999
2015-12-28 00:00:00+00:00,0.01097293
2015-12-29 00:00:00+00:00,0.00759768
2015-12-30 00:00:00+00:00,0.00179533
2016-01-04 00:00:00+00:00,-0.03010753
2016-01-05 00:00:00+00:00,0.00184775
2016-01-06 00:00:00+00:00,-0.01069716
2016-01-07 00:00:00+00:00,-0.02460850
2016-01-08 00:00:00+00:00,-0.00344037
2016-01-12 00:00:00+00:00,-0.03644035
2016-01-13 00:00:00+00:00,0.03383758
2016-01-14 00:00:00+00:00,-0.02040816
2016-01-15 00:00:00+00:00,-0.00746855
2016-01-18 00:00:00+00:00,-0.01623762
2016-01-19 00:00:00+00:00,0.00845411
2016-01-20 00:00:00+00:00,-0.04071856
2016-01-21 00:00:00+00:00,-0.02330420
2016-01-22 00:00:00+00:00,0.05070303
2016-01-25 00:00:00+00:00,0.02392539
2016-01-26 00:00:00+00:00,-0.03009901
2016-01-27 00:00:00+00:00,0.03062474
2016-01-28 00:00:00+00:00,-0.00594295
2016-01-29 00:00:00+00:00,0.03347947
2016-02-01 00:00:00+00:00,0.01774007
2016-02-02 00:00:00+00:00,-0.00530504
2016-02-03 00:00:00+00:00,-0.03619048
2016-02-04 00:00:00+00:00,-0.00790514
2016-02-05 00:00:00+00:00,-0.02231076
2016-02-08 00:00:00+00:00,0.01426243
2016-02-09 00:00:00+00:00,-0.05423865
2016-02-10 00:00:00+00:00,-0.03016143
2016-02-12 00:00:00+00:00,-0.06044678
2016-02-15 00:00:00+00:00,0.08251748
2016-02-16 00:00:00+00:00,0.00818260
2016-02-17 00:00:00+00:00,-0.01623238
2016-02-18 00:00:00+00:00,0.03343465
2016-02-19 00:00:00+00:00,-0.01512605
2016-02-22 00:00:00+00:00,0.00213311
2016-02-23 00:00:00+00:00,-0.00170285
2016-02-24 00:00:00+00:00,-0.01279318
2016-02-25 00:00:00+00:00,0.02203024
2016-02-26 00:00:00+00:00,0.00845309
2016-02-29 00:00:00+00:00,-0.02263202
2016-03-01 00:00:00+00:00,0.01114923
2016-03-02 00:00:00+00:00,-0.10771841
2016-03-03 00:00:00+00:00,0.02861815
2016-03-04 00:00:00+00:00,0.00523387
2016-03-07 00:00:00+00:00,-0.02129369
2016-03-08 00:00:00+00:00,-0.01257097
2016-03-09 00:00:00+00:00,-0.03805237
2016-03-10 00:00:00+00:00,0.03329172
2016-03-11 00:00:00+00:00,0.00411184
2016-03-14 00:00:00+00:00,0.01269451
