Date,BRENT_W
2000-01-05 00:00:00+00:00,-0.04769945
2000-01-06 00:00:00+00:00,-0.01119724
2000-01-07 00:00:00+00:00,-0.04117902
2000-01-10 00:00:00+00:00,0.05386213
2000-01-11 00:00:00+00:00,0.07161346
2000-01-12 00:00:00+00:00,0.01750000
2000-01-13 00:00:00+00:00,0.01939744
2000-01-14 00:00:00+00:00,0.04606604
2000-01-17 00:00:00+00:00,-0.01589193
2000-01-18 00:00:00+00:00,0.03593056
2000-01-19 00:00:00+00:00,-0.01623120
2000-01-20 00:00:00+00:00,0.01675978
2000-01-21 00:00:00+00:00,0.01625694
2000-01-24 00:00:00+00:00,-0.02088258
2000-01-25 00:00:00+00:00,0.03659507
2000-01-26 00:00:00+00:00,-0.03440188
2000-01-27 00:00:00+00:00,-0.03624054
2000-01-28 00:00:00+00:00,0.00121408
2000-01-31 00:00:00+00:00,0.02714749
2000-02-01 00:00:00+00:00,0.03232243
2000-02-02 00:00:00+00:00,-0.03575639
2000-02-03 00:00:00+00:00,0.04920000
2000-02-04 00:00:00+00:00,0.03450980
2000-02-07 00:00:00+00:00,-0.01655757
2000-02-08 00:00:00+00:00,-0.03342502
2000-02-09 00:00:00+00:00,0.04097715
2000-02-10 00:00:00+00:00,0.03749517
2000-02-11 00:00:00+00:00,0.01712329
2000-02-14 00:00:00+00:00,0.06366048
2000-02-15 00:00:00+00:00,-0.03612237
2000-02-16 00:00:00+00:00,0.01529637
2000-02-17 00:00:00+00:00,-0.05169137
2000-02-18 00:00:00+00:00,-0.03157895
2000-02-21 00:00:00+00:00,-0.02451562
2000-02-22 00:00:00+00:00,0.05608974
2000-02-23 00:00:00+00:00,0.02567095
2000-02-24 00:00:00+00:00,0.01660873
2000-02-25 00:00:00+00:00,0.00615148
2000-02-28 00:00:00+00:00,-0.00038373
2000-02-29 00:00:00+00:00,0.04555896
2000-03-01 00:00:00+00:00,0.07622982
2000-03-02 00:00:00+00:00,0.00866739
2000-03-03 00:00:00+00:00,-0.01368383
2000-03-06 00:00:00+00:00,0.04344678
2000-03-07 00:00:00+00:00,0.15436480
2000-03-08 00:00:00+00:00,-0.19464640
2000-03-09 00:00:00+00:00,0.02803058
2000-03-10 00:00:00+00:00,-0.02486586
2000-03-13 00:00:00+00:00,-0.00072966
2000-03-14 00:00:00+00:00,-0.02514577
2000-03-15 00:00:00+00:00,-0.06007326
2000-03-16 00:00:00+00:00,0.00717794
2000-03-17 00:00:00+00:00,-0.03174010
2000-03-20 00:00:00+00:00,-0.08291554
2000-03-21 00:00:00+00:00,0.03501791
2000-03-22 00:00:00+00:00,-0.02509804
2000-03-23 00:00:00+00:00,0.00714853
2000-03-24 00:00:00+00:00,0.03006329
2000-03-27 00:00:00+00:00,-0.01483795
2000-03-28 00:00:00+00:00,-0.01021210
2000-03-29 00:00:00+00:00,-0.07173827
2000-03-30 00:00:00+00:00,0.00973236
2000-03-31 00:00:00+00:00,0.01053912
2000-04-03 00:00:00+00:00,-0.01895926
2000-04-04 00:00:00+00:00,-0.06590724
2000-04-05 00:00:00+00:00,0.00713686
2000-04-06 00:00:00+00:00,-0.02762662
2000-04-07 00:00:00+00:00,-0.06629934
2000-04-10 00:00:00+00:00,-0.11120841
2000-04-11 00:00:00+00:00,0.02873031
2000-04-12 00:00:00+00:00,0.12551535
2000-04-13 00:00:00+00:00,-0.03416955
2000-04-14 00:00:00+00:00,-0.01535761
2000-04-17 00:00:00+00:00,0.02673797
2000-04-18 00:00:00+00:00,0.02818142
2000-04-19 00:00:00+00:00,0.05902778
2000-04-20 00:00:00+00:00,0.00548986
2000-04-25 00:00:00+00:00,-0.03705263
2000-04-26 00:00:00+00:00,-0.03209243
2000-04-27 00:00:00+00:00,0.06138441
2000-04-28 00:00:00+00:00,0.00974576
2000-05-02 00:00:00+00:00,0.09282700
2000-05-03 00:00:00+00:00,-0.01416431
2000-05-04 00:00:00+00:00,0.01513912
2000-05-05 00:00:00+00:00,0.01540957
2000-05-08 00:00:00+00:00,0.06666667
2000-05-09 00:00:00+00:00,0.05432674
2000-05-10 00:00:00+00:00,-0.02118904
2000-05-11 00:00:00+00:00,0.07460982
2000-05-12 00:00:00+00:00,0.03713235
2000-05-15 00:00:00+00:00,0.02028251
2000-05-16 00:00:00+00:00,0.02366440
2000-05-17 00:00:00+00:00,-0.03024911
2000-05-18 00:00:00+00:00,0.06458716
2000-05-19 00:00:00+00:00,-0.01608292
2000-05-22 00:00:00+00:00,-0.07788945
2000-05-23 00:00:00+00:00,0.00297952
2000-05-24 00:00:00+00:00,0.07446016
