Date,GASOILINE_ICE
2022-08-01 00:00:00+00:00,-0.07622382
2022-08-02 00:00:00+00:00,0.03275408
2022-08-03 00:00:00+00:00,-0.08594236
2022-08-04 00:00:00+00:00,-0.07554426
2022-08-05 00:00:00+00:00,0.03644174
2022-08-08 00:00:00+00:00,0.02713966
2022-08-09 00:00:00+00:00,0.04566558
2022-08-10 00:00:00+00:00,0.06658334
2022-08-11 00:00:00+00:00,0.00436439
2022-08-12 00:00:00+00:00,-0.01644148
2022-08-15 00:00:00+00:00,-0.05446487
2022-08-16 00:00:00+00:00,-0.03414981
2022-08-17 00:00:00+00:00,0.02937222
2022-08-18 00:00:00+00:00,0.05735219
2022-08-19 00:00:00+00:00,-0.00267671
2022-08-22 00:00:00+00:00,-0.07721624
2022-08-23 00:00:00+00:00,0.03662839
2022-08-24 00:00:00+00:00,-0.07896357
2022-08-25 00:00:00+00:00,0.00599850
2022-08-26 00:00:00+00:00,0.02282991
2022-08-29 00:00:00+00:00,0.02279662
2022-08-30 00:00:00+00:00,-0.12823186
2022-08-31 00:00:00+00:00,-0.09783254
2022-09-01 00:00:00+00:00,-0.03936975
2022-09-02 00:00:00+00:00,0.06141785
2022-09-05 00:00:00+00:00,0.03149862
2022-09-06 00:00:00+00:00,-0.06522521
2022-09-07 00:00:00+00:00,-0.08659299
2022-09-08 00:00:00+00:00,0.03427655
2022-09-09 00:00:00+00:00,0.07378202
2022-09-12 00:00:00+00:00,0.01134355
2022-09-13 00:00:00+00:00,0.02572808
2022-09-14 00:00:00+00:00,0.03442993
2022-09-15 00:00:00+00:00,-0.07498515
2022-09-16 00:00:00+00:00,-0.00926422
2022-09-19 00:00:00+00:00,0.03651116
2022-09-20 00:00:00+00:00,-0.01578670
2022-09-21 00:00:00+00:00,0.02393986
2022-09-22 00:00:00+00:00,0.01946511
2022-09-23 00:00:00+00:00,-0.10184050
2022-09-26 00:00:00+00:00,-0.00759547
2022-09-27 00:00:00+00:00,0.08086570
2022-09-28 00:00:00+00:00,0.06971241
2022-09-29 00:00:00+00:00,-0.05015710
2022-09-30 00:00:00+00:00,-0.05495294
2022-10-03 00:00:00+00:00,0.10861676
2022-10-04 00:00:00+00:00,0.11628000
2022-10-05 00:00:00+00:00,-0.00320537
2022-10-06 00:00:00+00:00,0.00978078
2022-10-07 00:00:00+00:00,0.04094876
2022-10-10 00:00:00+00:00,-0.07748848
2022-10-11 00:00:00+00:00,-0.00224950
2022-10-12 00:00:00+00:00,-0.00235984
2022-10-13 00:00:00+00:00,0.05090674
2022-10-14 00:00:00+00:00,-0.05570763
2022-10-17 00:00:00+00:00,-0.02181763
2022-10-18 00:00:00+00:00,-0.02680190
2022-10-19 00:00:00+00:00,0.06857210
2022-10-20 00:00:00+00:00,-0.00716386
2022-10-21 00:00:00+00:00,0.00864869
2022-10-24 00:00:00+00:00,0.03448530
2022-10-25 00:00:00+00:00,0.08940737
2022-10-26 00:00:00+00:00,0.00147462
2022-10-27 00:00:00+00:00,0.06073670
2022-10-28 00:00:00+00:00,-0.06096427
2022-10-31 00:00:00+00:00,-0.13104658
2022-11-01 00:00:00+00:00,0.05337134
2022-11-02 00:00:00+00:00,0.07161303
2022-11-03 00:00:00+00:00,-0.01056651
2022-11-04 00:00:00+00:00,0.03971937
2022-11-07 00:00:00+00:00,-0.05057043
2022-11-08 00:00:00+00:00,-0.01665976
2022-11-09 00:00:00+00:00,-0.06830508
2022-11-10 00:00:00+00:00,0.02114281
2022-11-11 00:00:00+00:00,0.03518684
2022-11-14 00:00:00+00:00,-0.06315144
2022-11-15 00:00:00+00:00,-0.00399446
2022-11-16 00:00:00+00:00,-0.00898215
2022-11-17 00:00:00+00:00,-0.04605263
2022-11-18 00:00:00+00:00,-0.03275349
2022-11-21 00:00:00+00:00,0.01235129
2022-11-22 00:00:00+00:00,0.07492512
2022-11-23 00:00:00+00:00,-0.04601462
2022-11-24 00:00:00+00:00,-0.01846912
2022-11-25 00:00:00+00:00,-0.09005920
2022-11-28 00:00:00+00:00,0.00077313
2022-11-29 00:00:00+00:00,0.00729426
2022-11-30 00:00:00+00:00,0.02255478
2022-12-01 00:00:00+00:00,-0.03493102
2022-12-02 00:00:00+00:00,-0.04970111
2022-12-05 00:00:00+00:00,-0.06726890
2022-12-06 00:00:00+00:00,-0.04741360
2022-12-07 00:00:00+00:00,-0.06695826
2022-12-08 00:00:00+00:00,-0.02671866
2022-12-09 00:00:00+00:00,0.00634425
2022-12-12 00:00:00+00:00,0.02572832
2022-12-13 00:00:00+00:00,0.07722249
2022-12-14 00:00:00+00:00,0.07455227
2022-12-15 00:00:00+00:00,-0.06736767
2022-12-16 00:00:00+00:00,-0.03165959
2022-12-19 00:00:00+00:00,0.04220794
2022-12-20 00:00:00+00:00,0.03976855
2022-12-21 00:00:00+00:00,0.02955732
2022-12-22 00:00:00+00:00,-0.00531962
2022-12-23 00:00:00+00:00,0.11855206
2022-12-27 00:00:00+00:00,-0.01955026
