Date,NOK
2002-06-17 00:00:00+00:00,-0.00023876
2002-06-18 00:00:00+00:00,0.00891578
2002-06-19 00:00:00+00:00,0.01222976
2002-06-20 00:00:00+00:00,0.01839582
2002-06-21 00:00:00+00:00,-0.00765404
2002-06-24 00:00:00+00:00,0.00300810
2002-06-25 00:00:00+00:00,0.00992002
2002-06-26 00:00:00+00:00,0.00411178
2002-06-27 00:00:00+00:00,-0.00075832
2002-06-28 00:00:00+00:00,0.00060712
2002-07-01 00:00:00+00:00,-0.00204778
2002-07-02 00:00:00+00:00,0.00448396
2002-07-03 00:00:00+00:00,0.00196716
2002-07-08 00:00:00+00:00,0.01034509
2002-07-09 00:00:00+00:00,0.00627803
2002-07-10 00:00:00+00:00,-0.00356506
2002-07-11 00:00:00+00:00,0.00245975
2002-07-12 00:00:00+00:00,-0.00237936
2002-07-15 00:00:00+00:00,0.00454647
2002-07-16 00:00:00+00:00,0.00504526
2002-07-17 00:00:00+00:00,0.00287908
2002-07-18 00:00:00+00:00,-0.00036805
2002-07-19 00:00:00+00:00,-0.00220913
2002-07-22 00:00:00+00:00,-0.02221402
2002-07-23 00:00:00+00:00,-0.02196392
2002-07-24 00:00:00+00:00,0.00324124
2002-07-25 00:00:00+00:00,0.00653846
2002-07-26 00:00:00+00:00,-0.01207489
2002-07-29 00:00:00+00:00,-0.00247544
2002-07-30 00:00:00+00:00,0.01620783
2002-07-31 00:00:00+00:00,-0.00839438
2002-08-01 00:00:00+00:00,0.00092350
2002-08-02 00:00:00+00:00,0.00046133
2002-08-05 00:00:00+00:00,-0.00438057
2002-08-06 00:00:00+00:00,-0.01883443
2002-08-07 00:00:00+00:00,0.01337424
2002-08-08 00:00:00+00:00,0.00108687
2002-08-09 00:00:00+00:00,0.00209383
2002-08-12 00:00:00+00:00,0.01013775
2002-08-13 00:00:00+00:00,0.00459664
2002-08-14 00:00:00+00:00,0.00213529
2002-08-15 00:00:00+00:00,0.00136976
2002-08-16 00:00:00+00:00,0.00638346
2002-08-19 00:00:00+00:00,-0.00453070
2002-08-20 00:00:00+00:00,0.00675112
2002-08-21 00:00:00+00:00,-0.00602773
2002-08-22 00:00:00+00:00,-0.01046089
2002-08-23 00:00:00+00:00,0.00122568
2002-08-26 00:00:00+00:00,0.00397858
2002-08-27 00:00:00+00:00,0.01044048
2002-08-28 00:00:00+00:00,-0.00165925
2002-08-29 00:00:00+00:00,0.00302183
2002-08-30 00:00:00+00:00,-0.00256082
2002-09-03 00:00:00+00:00,0.00853281
2002-09-04 00:00:00+00:00,0.00359389
2002-09-05 00:00:00+00:00,0.00747384
2002-09-06 00:00:00+00:00,-0.01593448
