Date,SWISSLEAD
2022-09-01 00:00:00+00:00,-0.04269027
2022-09-02 00:00:00+00:00,0.05075986
2022-09-05 00:00:00+00:00,-0.02218680
2022-09-06 00:00:00+00:00,0.00527433
2022-09-07 00:00:00+00:00,-0.00616761
2022-09-08 00:00:00+00:00,-0.00115242
2022-09-09 00:00:00+00:00,0.04704097
2022-09-12 00:00:00+00:00,-0.00124644
2022-09-13 00:00:00+00:00,-0.02656445
2022-09-14 00:00:00+00:00,-0.02276697
2022-09-15 00:00:00+00:00,-0.01133248
2022-09-16 00:00:00+00:00,-0.02555304
2022-09-19 00:00:00+00:00,0.00142627
2022-09-20 00:00:00+00:00,-0.02657499
2022-09-21 00:00:00+00:00,-0.00389423
2022-09-22 00:00:00+00:00,-0.03662681
2022-09-23 00:00:00+00:00,-0.04511085
2022-09-26 00:00:00+00:00,-0.01087954
2022-09-27 00:00:00+00:00,-0.00369028
2022-09-28 00:00:00+00:00,0.02178505
2022-09-29 00:00:00+00:00,-0.02566279
2022-09-30 00:00:00+00:00,0.03373462
2022-10-03 00:00:00+00:00,0.00930323
2022-10-04 00:00:00+00:00,0.06501327
2022-10-05 00:00:00+00:00,-0.01968899
2022-10-06 00:00:00+00:00,-0.01359615
2022-10-07 00:00:00+00:00,-0.02875725
2022-10-10 00:00:00+00:00,-0.00983310
2022-10-11 00:00:00+00:00,-0.01573165
2022-10-12 00:00:00+00:00,-0.00543799
2022-10-13 00:00:00+00:00,-0.00762055
2022-10-14 00:00:00+00:00,0.04134793
2022-10-17 00:00:00+00:00,0.03444265
2022-10-18 00:00:00+00:00,0.02560193
2022-10-19 00:00:00+00:00,-0.01655691
2022-10-20 00:00:00+00:00,0.00448998
2022-10-21 00:00:00+00:00,-0.01754165
2022-10-24 00:00:00+00:00,0.03437739
2022-10-25 00:00:00+00:00,0.04167970
2022-10-26 00:00:00+00:00,0.01097352
2022-10-27 00:00:00+00:00,-0.02286446
2022-10-28 00:00:00+00:00,0.00573578
2022-10-31 00:00:00+00:00,0.00467405
2022-11-01 00:00:00+00:00,-0.00687201
2022-11-02 00:00:00+00:00,-0.00049255
2022-11-03 00:00:00+00:00,-0.02617317
2022-11-04 00:00:00+00:00,0.03182130
2022-11-07 00:00:00+00:00,-0.00288662
2022-11-08 00:00:00+00:00,0.02607786
2022-11-09 00:00:00+00:00,0.00692084
2022-11-10 00:00:00+00:00,0.06001573
2022-11-11 00:00:00+00:00,0.02596335
2022-11-14 00:00:00+00:00,-0.02110757
2022-11-15 00:00:00+00:00,0.00451295
2022-11-16 00:00:00+00:00,-0.03058480
2022-11-17 00:00:00+00:00,-0.00498842
2022-11-18 00:00:00+00:00,0.01994404
2022-11-21 00:00:00+00:00,0.00300619
2022-11-22 00:00:00+00:00,-0.00529692
2022-11-23 00:00:00+00:00,0.00961879
2022-11-24 00:00:00+00:00,0.01673714
2022-11-25 00:00:00+00:00,-0.00361074
2022-11-28 00:00:00+00:00,-0.01172764
2022-11-29 00:00:00+00:00,-0.01367451
2022-11-30 00:00:00+00:00,0.01300006
2022-12-01 00:00:00+00:00,0.01737803
2022-12-02 00:00:00+00:00,-0.00058204
2022-12-05 00:00:00+00:00,-0.00622962
2022-12-06 00:00:00+00:00,-0.02277638
2022-12-07 00:00:00+00:00,-0.01736767
2022-12-08 00:00:00+00:00,-0.00137052
2022-12-09 00:00:00+00:00,0.01574146
2022-12-12 00:00:00+00:00,-0.00597527
2022-12-13 00:00:00+00:00,0.02231057
2022-12-14 00:00:00+00:00,-0.00222769
2022-12-15 00:00:00+00:00,-0.05229180
2022-12-16 00:00:00+00:00,-0.02374925
2022-12-19 00:00:00+00:00,-0.01041476
2022-12-20 00:00:00+00:00,-0.02289702
2022-12-21 00:00:00+00:00,0.03616771
2022-12-22 00:00:00+00:00,-0.01247110
2022-12-23 00:00:00+00:00,0.01077441
2022-12-27 00:00:00+00:00,0.01924131
2022-12-28 00:00:00+00:00,-0.01688782
2022-12-29 00:00:00+00:00,0.02439173
2022-12-30 00:00:00+00:00,-0.02385674
2023-01-03 00:00:00+00:00,0.04938572
2023-01-04 00:00:00+00:00,0.02077398
2023-01-05 00:00:00+00:00,0.00540445
2023-01-06 00:00:00+00:00,0.00158181
2023-01-09 00:00:00+00:00,0.03494907
2023-01-10 00:00:00+00:00,-0.01898734
2023-01-11 00:00:00+00:00,0.01945977
2023-01-12 00:00:00+00:00,0.00828396
2023-01-13 00:00:00+00:00,0.00435405
2023-01-16 00:00:00+00:00,0.01543475
2023-01-17 00:00:00+00:00,-0.00198559
2023-01-18 00:00:00+00:00,-0.00039750
2023-01-19 00:00:00+00:00,-0.01777702
2023-01-20 00:00:00+00:00,-0.00022923
2023-01-23 00:00:00+00:00,0.02240945
2023-01-24 00:00:00+00:00,0.00498781
2023-01-25 00:00:00+00:00,0.00718041
2023-01-26 00:00:00+00:00,0.00287308
2023-01-27 00:00:00+00:00,0.00337534
2023-01-30 00:00:00+00:00,-0.00511064
2023-01-31 00:00:00+00:00,-0.01976351
2023-02-01 00:00:00+00:00,0.00762013
2023-02-02 00:00:00+00:00,0.01654297
2023-02-03 00:00:00+00:00,0.01708057
2023-02-06 00:00:00+00:00,-0.00066856
2023-02-07 00:00:00+00:00,-0.01560497
2023-02-08 00:00:00+00:00,0.00325788
2023-02-09 00:00:00+00:00,-0.00958950
2023-02-10 00:00:00+00:00,-0.02062320
2023-02-13 00:00:00+00:00,0.00330221
2023-02-14 00:00:00+00:00,0.01028877
2023-02-15 00:00:00+00:00,0.00984052
2023-02-16 00:00:00+00:00,0.00388317
2023-02-17 00:00:00+00:00,-0.00539205
2023-02-20 00:00:00+00:00,0.00078847
2023-02-21 00:00:00+00:00,-0.00354670
2023-02-22 00:00:00+00:00,0.00389149
2023-02-23 00:00:00+00:00,0.00647304
2023-02-24 00:00:00+00:00,-0.01133303
2023-02-27 00:00:00+00:00,0.00400609
2023-02-28 00:00:00+00:00,-0.01069880
2023-03-01 00:00:00+00:00,-0.01822917
2023-03-02 00:00:00+00:00,0.01976804
2023-03-03 00:00:00+00:00,0.01855623
2023-03-06 00:00:00+00:00,-0.00801570
2023-03-07 00:00:00+00:00,-0.01992458
2023-03-08 00:00:00+00:00,0.00039795
2023-03-09 00:00:00+00:00,-0.00932189
2023-03-10 00:00:00+00:00,-0.04048652
2023-03-13 00:00:00+00:00,-0.03409290
2023-03-14 00:00:00+00:00,0.02077169
2023-03-15 00:00:00+00:00,-0.05113636
2023-03-16 00:00:00+00:00,0.03943237
2023-03-17 00:00:00+00:00,-0.06654867
2023-03-20 00:00:00+00:00,0.01493811
2023-03-21 00:00:00+00:00,0.03540519
2023-03-22 00:00:00+00:00,0.03955273
2023-03-23 00:00:00+00:00,-0.05082273
2023-03-24 00:00:00+00:00,0.01843428
2023-03-27 00:00:00+00:00,0.02336338
2023-03-28 00:00:00+00:00,-0.03218243
2023-03-29 00:00:00+00:00,0.02561964
2023-03-30 00:00:00+00:00,0.05765384
2023-03-31 00:00:00+00:00,0.01526936
2023-04-03 00:00:00+00:00,-0.00788921
2023-04-04 00:00:00+00:00,-0.03743376
2023-04-05 00:00:00+00:00,-0.00063868
2023-04-06 00:00:00+00:00,0.04652108
2023-04-11 00:00:00+00:00,-0.02122708
2023-04-12 00:00:00+00:00,-0.00154905
2023-04-13 00:00:00+00:00,0.00625861
2023-04-14 00:00:00+00:00,0.01940358
2023-04-17 00:00:00+00:00,0.00595272
2023-04-18 00:00:00+00:00,-0.00536966
2023-04-19 00:00:00+00:00,0.00362709
2023-04-20 00:00:00+00:00,0.00226296
2023-04-21 00:00:00+00:00,0.00672430
2023-04-24 00:00:00+00:00,0.01289705
2023-04-25 00:00:00+00:00,-0.00542809
2023-04-26 00:00:00+00:00,-0.02407137
2023-04-27 00:00:00+00:00,-0.00232849
2023-04-28 00:00:00+00:00,0.03178484
2023-05-02 00:00:00+00:00,-0.02065260
2023-05-03 00:00:00+00:00,0.01741786
2023-05-04 00:00:00+00:00,-0.01026015
2023-05-05 00:00:00+00:00,0.01848304
2023-05-08 00:00:00+00:00,0.01825796
2023-05-09 00:00:00+00:00,-0.01781663
2023-05-10 00:00:00+00:00,-0.01161168
2023-05-11 00:00:00+00:00,0.01774384
2023-05-12 00:00:00+00:00,0.00161407
2023-05-15 00:00:00+00:00,0.00405984
2023-05-16 00:00:00+00:00,-0.01343176
2023-05-17 00:00:00+00:00,-0.01894278
2023-05-19 00:00:00+00:00,0.03565183
2023-05-22 00:00:00+00:00,-0.00077592
2023-05-23 00:00:00+00:00,-0.01763140
2023-05-24 00:00:00+00:00,-0.03031829
2023-05-25 00:00:00+00:00,0.00068159
2023-05-26 00:00:00+00:00,0.02231433
2023-05-30 00:00:00+00:00,-0.01796945
2023-05-31 00:00:00+00:00,-0.01399433
2023-06-01 00:00:00+00:00,0.01318042
2023-06-02 00:00:00+00:00,0.02788799
2023-06-05 00:00:00+00:00,-0.00894504
2023-06-06 00:00:00+00:00,0.01280395
2023-06-07 00:00:00+00:00,-0.02059037
2023-06-08 00:00:00+00:00,-0.00580707
2023-06-09 00:00:00+00:00,-0.01125247
2023-06-12 00:00:00+00:00,0.01182826
2023-06-13 00:00:00+00:00,0.01458534
2023-06-14 00:00:00+00:00,-0.00559973
2023-06-15 00:00:00+00:00,-0.00297619
2023-06-16 00:00:00+00:00,0.01608549
2023-06-19 00:00:00+00:00,-0.02376834
2023-06-20 00:00:00+00:00,-0.01180058
2023-06-21 00:00:00+00:00,-0.01737945
2023-06-22 00:00:00+00:00,0.00252091
2023-06-23 00:00:00+00:00,0.00572082
2023-06-26 00:00:00+00:00,-0.00787177
2023-06-27 00:00:00+00:00,0.00005727
