Series,Ann. Return,Volatility,Sharpe,Skew,Kurtosis,Max DD,Obs,Start,End
BTOP50,0.02485309358114618,0.06561834077497555,0.40698853115711864,-0.5517487063491947,2.4589543916662135,-0.194434179207579,3714,2010-01-04,2024-03-29
NEIXCTA,0.029856132597415375,0.07743950840597973,0.4186964221978937,-0.5526081999975789,2.6162783332052175,-0.1788592301855314,3714,2010-01-04,2024-03-29
NEIXCTAT,0.03816002470505131,0.1093832780014294,0.39724769586266734,-0.6935284076284222,2.9677614984113267,-0.2479192204946633,3714,2010-01-04,2024-03-29
S&P 500 Future,0.2503594201231929,0.3086272624794322,0.8792782540534375,-0.35652913939863673,3.9026436838594134,-0.453599302360141,3633,2010-01-04,2024-03-28
US 5Y Note,-0.003923048114994332,0.06298121759884932,-0.03093726919394739,0.11473042328875904,3.0156232673520353,-0.3135202413384576,3601,2010-01-04,2024-03-28
FX: CAD,-0.011170628343931677,0.10186012308850904,-0.05935216438891689,-0.015959093346814803,5.0327843366986915,-0.33219053503356843,3685,2010-01-04,2024-03-28
Energy: GASOIL,-0.02775630930465056,0.5524010563375831,0.22535624477525862,0.12352528185025789,4.1895031954694355,-0.9188029314646141,3676,2010-01-04,2024-03-28
Metals: SILVER,-0.12407162557402218,0.46280623901192725,-0.05354501241521112,-0.09628330406070874,5.586174935000731,-0.9562269824855382,3671,2010-01-04,2024-03-28
Ags: WHEAT,-0.11160508615407672,0.5089006300841035,0.020139773235537742,0.4504545625252459,3.0248923278889914,-0.9285782659641454,3592,2010-01-04,2024-03-28
