Date,EU-BANKS
2005-12-20 00:00:00+00:00,0.00266231
2005-12-21 00:00:00+00:00,0.00928393
2005-12-22 00:00:00+00:00,0.00208077
2005-12-23 00:00:00+00:00,0.00098397
2005-12-27 00:00:00+00:00,0.00425651
2005-12-28 00:00:00+00:00,-0.00010708
2005-12-29 00:00:00+00:00,0.00125087
2005-12-30 00:00:00+00:00,-0.00743358
2006-01-02 00:00:00+00:00,0.00453425
2006-01-03 00:00:00+00:00,0.00369592
2006-01-04 00:00:00+00:00,0.01180728
2006-01-05 00:00:00+00:00,-0.00359476
2006-01-06 00:00:00+00:00,0.00230403
2006-01-09 00:00:00+00:00,0.00310199
2006-01-10 00:00:00+00:00,-0.00679580
2006-01-11 00:00:00+00:00,0.01467623
2006-01-12 00:00:00+00:00,0.00306369
2006-01-13 00:00:00+00:00,-0.00910033
2006-01-16 00:00:00+00:00,0.00228186
2006-01-17 00:00:00+00:00,-0.00623452
2006-01-18 00:00:00+00:00,-0.01323032
2006-01-19 00:00:00+00:00,0.00611811
2006-01-20 00:00:00+00:00,-0.00631640
2006-01-23 00:00:00+00:00,-0.00011806
2006-01-24 00:00:00+00:00,-0.00500014
2006-01-25 00:00:00+00:00,0.01350412
2006-01-26 00:00:00+00:00,0.02030997
2006-01-27 00:00:00+00:00,0.01094386
2006-01-30 00:00:00+00:00,-0.00194456
2006-01-31 00:00:00+00:00,0.00457740
2006-02-01 00:00:00+00:00,0.01598711
2006-02-02 00:00:00+00:00,-0.00753623
2006-02-03 00:00:00+00:00,-0.00501550
2006-02-06 00:00:00+00:00,0.01152842
2006-02-07 00:00:00+00:00,-0.00216889
2006-02-08 00:00:00+00:00,-0.00037849
2006-02-09 00:00:00+00:00,0.01629196
2006-02-10 00:00:00+00:00,-0.00845008
2006-02-13 00:00:00+00:00,0.00623813
2006-02-14 00:00:00+00:00,0.00392176
2006-02-15 00:00:00+00:00,-0.00490788
2006-02-16 00:00:00+00:00,0.01202269
2006-02-17 00:00:00+00:00,0.00612681
2006-02-20 00:00:00+00:00,0.00410041
2006-02-21 00:00:00+00:00,0.00680324
2006-02-22 00:00:00+00:00,0.01314406
2006-02-23 00:00:00+00:00,0.00205804
2006-02-24 00:00:00+00:00,0.00084324
2006-02-27 00:00:00+00:00,0.00640175
2006-02-28 00:00:00+00:00,-0.01501453
2006-03-01 00:00:00+00:00,0.00645771
2006-03-02 00:00:00+00:00,-0.01368719
2006-03-03 00:00:00+00:00,-0.01829329
2006-03-06 00:00:00+00:00,-0.00087065
2006-03-07 00:00:00+00:00,-0.02888701
2006-03-08 00:00:00+00:00,-0.01018757
2006-03-09 00:00:00+00:00,0.01934196
2006-03-10 00:00:00+00:00,-0.00212962
2006-03-13 00:00:00+00:00,0.01090865
2006-03-14 00:00:00+00:00,-0.00037288
2006-03-15 00:00:00+00:00,0.00607666
2006-03-16 00:00:00+00:00,-0.00037127
2006-03-17 00:00:00+00:00,0.00308036
2006-03-20 00:00:00+00:00,0.00282402
2006-03-21 00:00:00+00:00,-0.00576420
2006-03-22 00:00:00+00:00,0.00677471
2006-03-23 00:00:00+00:00,-0.00281903
2006-03-24 00:00:00+00:00,-0.00012556
2006-03-27 00:00:00+00:00,-0.00945314
2006-03-28 00:00:00+00:00,-0.00780671
2006-03-29 00:00:00+00:00,0.00362032
2006-03-30 00:00:00+00:00,0.01231295
2006-03-31 00:00:00+00:00,-0.00430190
2006-04-03 00:00:00+00:00,0.00653604
2006-04-04 00:00:00+00:00,-0.00257751
2006-04-05 00:00:00+00:00,0.00601598
2006-04-06 00:00:00+00:00,0.00133881
2006-04-07 00:00:00+00:00,-0.01305076
2006-04-10 00:00:00+00:00,0.00110823
2006-04-11 00:00:00+00:00,-0.02208640
2006-04-12 00:00:00+00:00,0.00138612
2006-04-13 00:00:00+00:00,0.00037642
2006-04-18 00:00:00+00:00,-0.00667332
2006-04-19 00:00:00+00:00,0.00342040
2006-04-20 00:00:00+00:00,0.01653861
2006-04-21 00:00:00+00:00,0.00558453
2006-04-24 00:00:00+00:00,-0.00852561
2006-04-25 00:00:00+00:00,0.00584842
2006-04-26 00:00:00+00:00,0.00506958
2006-04-27 00:00:00+00:00,-0.00062192
2006-04-28 00:00:00+00:00,-0.00308601
2006-05-02 00:00:00+00:00,0.00481288
2006-05-03 00:00:00+00:00,-0.00750895
2006-05-04 00:00:00+00:00,0.00234784
2006-05-05 00:00:00+00:00,0.00975603
2006-05-08 00:00:00+00:00,0.00721159
2006-05-09 00:00:00+00:00,0.00278309
2006-05-10 00:00:00+00:00,-0.00013181
2006-05-11 00:00:00+00:00,-0.00255304
2006-05-12 00:00:00+00:00,-0.02004355
2006-05-15 00:00:00+00:00,-0.01375777
2006-05-16 00:00:00+00:00,-0.00364837
2006-05-17 00:00:00+00:00,-0.03164051
2006-05-18 00:00:00+00:00,-0.00637730
2006-05-19 00:00:00+00:00,0.01532270
2006-05-22 00:00:00+00:00,-0.03030811
2006-05-23 00:00:00+00:00,0.01290094
2006-05-24 00:00:00+00:00,-0.00485634
2006-05-25 00:00:00+00:00,0.00831021
2006-05-26 00:00:00+00:00,0.02105630
2006-05-29 00:00:00+00:00,-0.00397346
2006-05-30 00:00:00+00:00,-0.02584369
2006-05-31 00:00:00+00:00,0.01438487
2006-06-01 00:00:00+00:00,0.00325134
2006-06-02 00:00:00+00:00,0.00868472
2006-06-05 00:00:00+00:00,-0.02763005
2006-06-06 00:00:00+00:00,-0.04758985
2006-06-07 00:00:00+00:00,0.01163713
2006-06-08 00:00:00+00:00,-0.04800663
2006-06-09 00:00:00+00:00,0.01893831
2006-06-12 00:00:00+00:00,-0.00904228
2006-06-13 00:00:00+00:00,-0.02409778
2006-06-14 00:00:00+00:00,0.00154188
2006-06-15 00:00:00+00:00,0.02883839
2006-06-16 00:00:00+00:00,-0.01312613
2006-06-19 00:00:00+00:00,0.01412970
2006-06-20 00:00:00+00:00,0.00500458
2006-06-21 00:00:00+00:00,0.00201866
2006-06-22 00:00:00+00:00,0.00845783
2006-06-23 00:00:00+00:00,0.00146271
2006-06-26 00:00:00+00:00,-0.00571524
2006-06-27 00:00:00+00:00,-0.01109351
2006-06-28 00:00:00+00:00,0.00067518
2006-06-29 00:00:00+00:00,0.02389280
2006-06-30 00:00:00+00:00,0.02095621
2006-07-03 00:00:00+00:00,0.00347894
2006-07-04 00:00:00+00:00,0.00449499
2006-07-05 00:00:00+00:00,-0.01370859
2006-07-06 00:00:00+00:00,0.01076759
2006-07-07 00:00:00+00:00,-0.00347389
2006-07-10 00:00:00+00:00,0.00682128
2006-07-11 00:00:00+00:00,-0.01088399
2006-07-12 00:00:00+00:00,-0.00013750
2006-07-13 00:00:00+00:00,-0.02031270
2006-07-14 00:00:00+00:00,-0.01544859
2006-07-17 00:00:00+00:00,-0.00791230
