Date,EU-TECH
2018-03-13 00:00:00+00:00,
2018-03-14 00:00:00+00:00,-0.00004872
2018-03-15 00:00:00+00:00,0.01092502
2018-03-16 00:00:00+00:00,-0.00270781
2018-03-19 00:00:00+00:00,-0.02714821
2018-03-20 00:00:00+00:00,0.00291804
2018-03-21 00:00:00+00:00,0.00564237
2018-03-22 00:00:00+00:00,-0.02675678
2018-03-23 00:00:00+00:00,-0.01400149
2018-03-26 00:00:00+00:00,-0.00971831
2018-03-27 00:00:00+00:00,0.02209882
2018-03-28 00:00:00+00:00,-0.01682362
2018-03-29 00:00:00+00:00,-0.01568745
2018-04-03 00:00:00+00:00,0.01198787
2018-04-04 00:00:00+00:00,-0.01812547
2018-04-05 00:00:00+00:00,0.03289815
2018-04-06 00:00:00+00:00,-0.00450369
2018-04-09 00:00:00+00:00,0.00725507
2018-04-10 00:00:00+00:00,0.01094336
2018-04-11 00:00:00+00:00,-0.00513723
2018-04-12 00:00:00+00:00,0.01645929
2018-04-13 00:00:00+00:00,-0.00462343
2018-04-16 00:00:00+00:00,-0.00349541
2018-04-17 00:00:00+00:00,0.01862673
2018-04-18 00:00:00+00:00,-0.00593538
2018-04-19 00:00:00+00:00,-0.01280118
2018-04-20 00:00:00+00:00,0.00110294
2018-04-23 00:00:00+00:00,0.00501726
2018-04-24 00:00:00+00:00,0.00567814
2018-04-25 00:00:00+00:00,-0.00438149
2018-04-26 00:00:00+00:00,0.00567136
2018-04-27 00:00:00+00:00,0.00928054
2018-04-30 00:00:00+00:00,-0.00230499
2018-05-02 00:00:00+00:00,0.01825445
2018-05-03 00:00:00+00:00,-0.00537709
2018-05-04 00:00:00+00:00,0.01512080
2018-05-07 00:00:00+00:00,0.01313584
2018-05-08 00:00:00+00:00,0.00276790
2018-05-09 00:00:00+00:00,0.00860003
2018-05-10 00:00:00+00:00,0.00852567
2018-05-11 00:00:00+00:00,-0.00430552
2018-05-14 00:00:00+00:00,0.00016079
2018-05-15 00:00:00+00:00,-0.00539051
2018-05-16 00:00:00+00:00,0.00574232
2018-05-17 00:00:00+00:00,0.00592227
2018-05-18 00:00:00+00:00,-0.00684104
2018-05-22 00:00:00+00:00,0.00784877
2018-05-23 00:00:00+00:00,-0.00980111
2018-05-24 00:00:00+00:00,0.00572496
2018-05-25 00:00:00+00:00,0.00718135
2018-05-28 00:00:00+00:00,-0.00343250
2018-05-29 00:00:00+00:00,-0.01170987
2018-05-30 00:00:00+00:00,0.00080440
2018-05-31 00:00:00+00:00,0.00380367
2018-06-01 00:00:00+00:00,0.00677725
2018-06-04 00:00:00+00:00,0.01075890
2018-06-05 00:00:00+00:00,0.01064220
2018-06-06 00:00:00+00:00,0.00160618
2018-06-07 00:00:00+00:00,0.00015356
2018-06-08 00:00:00+00:00,-0.00730285
2018-06-11 00:00:00+00:00,0.01213801
2018-06-12 00:00:00+00:00,0.00320441
2018-06-13 00:00:00+00:00,0.01559374
2018-06-14 00:00:00+00:00,0.02123167
2018-06-15 00:00:00+00:00,-0.01116922
2018-06-18 00:00:00+00:00,-0.00908604
2018-06-19 00:00:00+00:00,-0.01443518
2018-06-20 00:00:00+00:00,0.00179587
