Date,MXP
2000-01-04 00:00:00+00:00,
2000-01-05 00:00:00+00:00,0.00885705
2000-01-06 00:00:00+00:00,-0.00687098
2000-01-07 00:00:00+00:00,0.01296270
2000-01-10 00:00:00+00:00,0.01686952
2000-01-11 00:00:00+00:00,-0.01220039
2000-01-12 00:00:00+00:00,-0.00955985
2000-01-13 00:00:00+00:00,0.01759642
2000-01-14 00:00:00+00:00,0.00671407
2000-01-18 00:00:00+00:00,0.00822949
2000-01-19 00:00:00+00:00,-0.00110711
2000-01-20 00:00:00+00:00,-0.00331173
2000-01-21 00:00:00+00:00,-0.00821279
2000-01-24 00:00:00+00:00,-0.01036662
2000-01-25 00:00:00+00:00,-0.00208798
2000-01-26 00:00:00+00:00,0.00741519
2000-01-27 00:00:00+00:00,-0.00643196
2000-01-28 00:00:00+00:00,-0.00819876
2000-01-31 00:00:00+00:00,-0.00346261
2000-02-01 00:00:00+00:00,0.00179581
2000-02-02 00:00:00+00:00,0.00802825
2000-02-03 00:00:00+00:00,0.02099285
2000-02-04 00:00:00+00:00,0.01137128
2000-02-07 00:00:00+00:00,0.00605449
2000-02-08 00:00:00+00:00,0.00489525
2000-02-09 00:00:00+00:00,-0.00015250
2000-02-10 00:00:00+00:00,-0.00110308
2000-02-11 00:00:00+00:00,0.00270111
2000-02-14 00:00:00+00:00,0.00269760
2000-02-15 00:00:00+00:00,0.00714842
2000-02-16 00:00:00+00:00,0.00012889
2000-02-17 00:00:00+00:00,0.00116753
2000-02-18 00:00:00+00:00,0.00078884
2000-02-22 00:00:00+00:00,-0.01571425
2000-02-23 00:00:00+00:00,0.01371507
2000-02-24 00:00:00+00:00,-0.00204443
2000-02-25 00:00:00+00:00,0.00494641
2000-02-28 00:00:00+00:00,0.00078612
2000-02-29 00:00:00+00:00,0.00295270
2000-03-01 00:00:00+00:00,0.00426672
2000-03-02 00:00:00+00:00,0.01092426
2000-03-03 00:00:00+00:00,0.00003053
2000-03-06 00:00:00+00:00,0.00059044
2000-03-07 00:00:00+00:00,0.01460472
2000-03-08 00:00:00+00:00,0.00049197
2000-03-09 00:00:00+00:00,-0.00312568
2000-03-10 00:00:00+00:00,-0.00666210
2000-03-13 00:00:00+00:00,-0.00603110
2000-03-14 00:00:00+00:00,-0.00156706
2000-03-15 00:00:00+00:00,-0.01799843
2000-03-16 00:00:00+00:00,0.00127570
2000-03-17 00:00:00+00:00,0.00413993
2000-03-20 00:00:00+00:00,-0.00063609
2000-03-21 00:00:00+00:00,0.00556138
2000-03-22 00:00:00+00:00,0.01029882
2000-03-23 00:00:00+00:00,0.00901514
2000-03-24 00:00:00+00:00,0.00417201
2000-03-27 00:00:00+00:00,0.00453987
2000-03-28 00:00:00+00:00,-0.00606440
2000-03-29 00:00:00+00:00,-0.01003223
2000-03-30 00:00:00+00:00,-0.00630054
2000-03-31 00:00:00+00:00,0.01168945
2000-04-03 00:00:00+00:00,-0.00863822
2000-04-04 00:00:00+00:00,-0.01889331
