Date,excess_net_ret
2013-12-11,-0.012404254984735788
2013-12-12,-0.005797881452859311
2013-12-13,-0.0015564360744052277
2013-12-16,0.0007765408178714646
2013-12-17,0.0060269520193179365
2013-12-18,0.005217436244818276
2013-12-19,-0.0021173568376068523
2013-12-20,0.005008768789212218
2013-12-23,0.009202104711302827
2013-12-24,0.0015180039347015362
2013-12-25,-2.0416666666666665e-06
2013-12-26,-0.0017094281129449644
2013-12-27,0.00893013447675142
2013-12-30,0.0007514653366400355
2013-12-31,-2.0416666666666665e-06
2014-01-01,-2.0416666666666665e-06
2014-01-02,-0.02729344903067943
2014-01-03,-0.012192305254557827
2014-01-06,0.0023490866307541883
2014-01-07,0.004688839858967017
2014-01-08,-0.0009737706515161326
2014-01-09,-0.00506350251817242
2014-01-10,-0.008220305859969525
2014-01-13,0.008088920766464797
2014-01-14,-0.0019583163127161567
2014-01-15,0.003528906719727303
2014-01-16,0.001953283969014053
2014-01-17,-0.009168140392367252
2014-01-20,0.008266588757655456
2014-01-21,0.007027518379322129
2014-01-22,-0.0009703540831933579
2014-01-23,-0.011838892186859797
2014-01-24,-0.004714542393296607
2014-01-27,-0.012629733499956183
2014-01-28,0.004195234352517959
2014-01-29,0.01293412616086245
2014-01-31,-5.638888888888888e-07
2014-02-03,-0.014539788190351363
2014-02-04,-0.018940943939393922
2014-02-05,0.002030418406376262
2014-02-06,0.007501648975867025
2014-02-07,0.00845171183574883
2014-02-10,0.0011957047904191933
2014-02-11,0.003985340829345984
2014-02-12,0.003572856956579115
2014-02-13,-0.009300481367893392
2014-02-14,0.013780143121296967
2014-02-17,0.0003933776989755164
2014-02-18,0.0003923780709815058
2014-02-19,-0.007088164173228423
2014-02-20,-0.0035700046854347162
2014-02-21,0.014324379583941225
2014-02-24,-0.0017667370842596932
2014-02-25,0.007269316945045067
2014-02-26,0.0037052549464602147
2014-02-27,0.0017480044703594981
2014-02-28,-0.0007775045692665546
2014-03-03,-0.006409175323624664
2014-03-04,-1.4083333333333335e-06
2014-03-05,0.0048841252003128
2014-03-06,0.0019432907947620013
2014-03-07,-0.0015542728088337645
2014-03-10,-0.01263763087091761
2014-03-11,0.0035425963920063335
2014-03-12,-0.01628535534628217
2014-03-13,0.007976254211541087
2014-03-14,-1.4777777777777777e-06
2014-03-17,-0.005937300695818485
2014-03-18,0.002536268471337605
2014-03-19,0.004217370975965518
2014-03-20,-0.01245720490312378
2014-03-21,0.007806330030029876
2014-03-24,-1.338888888888889e-06
2014-03-25,0.005362119676201879
2014-03-26,0.01343467149278794
2014-03-27,0.004288207375273521
2014-03-28,0.0011636945868117017
2014-03-31,0.0021317564087646175
2014-04-01,0.005610327330581475
2014-04-02,0.0025008792513843406
2014-04-03,0.0007671904297290858
2014-04-04,0.0026843730788901144
2014-04-07,-0.003252565944061722
2014-04-08,0.006235962310496982
2014-04-09,-9.86111111111111e-07
2014-04-10,-9.166666666666666e-07
2014-04-11,-0.00505493178326603
2014-04-14,0.003449272658296521
2014-04-15,-0.004394491364215113
2014-04-16,0.0024933273855204554
2014-04-17,-0.001531944922913272
2014-04-18,0.007283035179860656
2014-04-21,-0.0013329091447300179
2014-04-22,-0.0005724907859077832
2014-04-23,-0.0011445105047135091
2014-04-24,-0.0026726879217831385
2014-04-25,-0.013206163849016442
2014-04-28,0.0022297778381172857
2014-04-29,-0.0011616669367844063
2014-04-30,-0.010365906691368748
2014-05-02,0.0011739947011224492
2014-05-07,-0.012711051718593843
2014-05-08,0.005544735937809481
2014-05-09,0.0005901251378767709
2014-05-12,0.006888919335083102
2014-05-13,0.013684464491691093
2014-05-14,0.014656963567448916
2014-05-15,-0.0007610145055861048
2014-05-16,0.00018965867150669204
2014-05-19,0.0001894836048772221
2014-05-20,-0.0005712951004625732
2014-05-21,0.0011405664003044556
2014-05-22,0.003799850072849432
2014-05-23,-0.0009475277988135573
2014-05-26,-0.002654008661802997
2014-05-27,-0.010356296770430717
2014-05-28,0.01199869934562105
2014-05-29,-0.0017084420018338533
2014-05-30,-0.004276926818066695
2014-06-02,-0.0018141362208544778
2014-06-03,0.0003812814000426197
2014-06-05,-0.006499457059123481
2014-06-09,0.0003837772594160636
2014-06-10,0.010383629273504325
2014-06-11,-0.0011430426130355873
2014-06-12,0.0028571039295393606
2014-06-13,-0.014061407923765434
2014-06-16,0.003564106371383878
2014-06-17,0.003935502082999918
2014-06-18,-0.005739034835926221
2014-06-19,0.002308016334273937
2014-06-20,-0.014779762300064012
2014-06-23,0.005454196891031965
2014-06-24,0.011624809498589942
2014-06-25,-0.00727900195418088
2014-06-26,0.0077166936609000345
2014-06-27,-0.0022983051550831608
2014-06-30,0.0013420455574744132
2014-07-01,0.00019051653038620737
2014-07-02,0.007472132029869432
2014-07-03,-0.00047574651219305526
2014-07-04,-0.0023787412158162618
2014-07-07,-0.005532101103058001
2014-07-08,-0.0009598733218258821
2014-07-09,-0.004224162174974816
2014-07-10,0.0017345431093760682
2014-07-11,-0.0082761605016681
2014-07-14,0.003298346319835249
2014-07-15,0.011217865887599404
2014-07-16,0.0015295191043953329
2014-07-17,0.0026733745692216386
2014-07-18,-0.0013337555555556308
2014-07-21,0.00018995549780660156
2014-07-22,0.006864213558352492
2014-07-23,-0.0015158542929292471
2014-07-24,0.0017064292404316008
2014-07-25,0.0021767734309578266
2014-07-28,0.008596296327349992
2014-07-29,0.010021494218600647
2014-07-30,0.016877433623656447
2014-07-31,-0.009029430547955714
2014-08-01,-0.0046022037394932115
2014-08-04,-0.0018496679815910263
2014-08-05,-0.005373193466716048
