Date,EPRA-EUROPE
2022-06-27 00:00:00+00:00,0.00211594
2022-06-28 00:00:00+00:00,0.00022032
2022-06-29 00:00:00+00:00,-0.03052345
2022-06-30 00:00:00+00:00,-0.02981078
2022-07-01 00:00:00+00:00,-0.00176768
2022-07-04 00:00:00+00:00,-0.01038639
2022-07-05 00:00:00+00:00,-0.00498134
2022-07-06 00:00:00+00:00,0.03027718
2022-07-07 00:00:00+00:00,0.01777776
2022-07-08 00:00:00+00:00,-0.00478200
2022-07-11 00:00:00+00:00,-0.00285133
2022-07-12 00:00:00+00:00,0.00694351
2022-07-13 00:00:00+00:00,0.00104697
2022-07-14 00:00:00+00:00,-0.02091155
2022-07-15 00:00:00+00:00,0.00731521
2022-07-18 00:00:00+00:00,0.02811112
2022-07-19 00:00:00+00:00,0.01335875
2022-07-20 00:00:00+00:00,0.00479827
2022-07-21 00:00:00+00:00,-0.00195202
2022-07-22 00:00:00+00:00,0.04145262
2022-07-25 00:00:00+00:00,-0.01404783
2022-07-26 00:00:00+00:00,-0.00505846
2022-07-27 00:00:00+00:00,-0.00983062
2022-07-28 00:00:00+00:00,0.01805256
2022-07-29 00:00:00+00:00,0.02976920
2022-08-01 00:00:00+00:00,-0.00794430
2022-08-02 00:00:00+00:00,-0.01031626
2022-08-03 00:00:00+00:00,0.00847129
2022-08-04 00:00:00+00:00,-0.01469450
2022-08-05 00:00:00+00:00,-0.01178903
2022-08-08 00:00:00+00:00,0.01732105
2022-08-09 00:00:00+00:00,-0.01172815
2022-08-10 00:00:00+00:00,0.03504317
2022-08-11 00:00:00+00:00,-0.00640017
2022-08-12 00:00:00+00:00,0.00910078
2022-08-15 00:00:00+00:00,0.00321011
2022-08-16 00:00:00+00:00,-0.00938443
2022-08-17 00:00:00+00:00,-0.02877542
2022-08-18 00:00:00+00:00,0.00410996
2022-08-19 00:00:00+00:00,-0.00918919
2022-08-22 00:00:00+00:00,-0.03161398
2022-08-23 00:00:00+00:00,-0.00821803
2022-08-24 00:00:00+00:00,0.00074357
2022-08-25 00:00:00+00:00,-0.00909910
2022-08-26 00:00:00+00:00,-0.01387194
2022-08-29 00:00:00+00:00,-0.00987038
2022-08-30 00:00:00+00:00,-0.00573150
2022-08-31 00:00:00+00:00,-0.00434278
2022-09-01 00:00:00+00:00,-0.03374825
2022-09-02 00:00:00+00:00,0.02176744
2022-09-05 00:00:00+00:00,-0.01134923
2022-09-06 00:00:00+00:00,0.01160754
2022-09-07 00:00:00+00:00,-0.00557280
2022-09-08 00:00:00+00:00,-0.01373503
2022-09-09 00:00:00+00:00,0.01404980
2022-09-12 00:00:00+00:00,0.02111098
2022-09-13 00:00:00+00:00,-0.03108296
2022-09-14 00:00:00+00:00,-0.14504227
2022-09-15 00:00:00+00:00,-0.01092459
2022-09-16 00:00:00+00:00,-0.00342941
2022-09-20 00:00:00+00:00,-0.04672512
2022-09-21 00:00:00+00:00,0.01461444
2022-09-22 00:00:00+00:00,-0.04482828
2022-09-23 00:00:00+00:00,-0.03208083
2022-09-26 00:00:00+00:00,-0.02564455
2022-09-27 00:00:00+00:00,-0.03785468
2022-09-28 00:00:00+00:00,0.02643244
2022-09-29 00:00:00+00:00,-0.02593276
2022-09-30 00:00:00+00:00,0.05586811
2022-10-03 00:00:00+00:00,0.01367432
2022-10-04 00:00:00+00:00,-0.00348874
2022-10-05 00:00:00+00:00,-0.04335035
2022-10-06 00:00:00+00:00,0.01307803
2022-10-07 00:00:00+00:00,-0.01906783
2022-10-10 00:00:00+00:00,-0.00403366
2022-10-11 00:00:00+00:00,-0.00764685
2022-10-12 00:00:00+00:00,-0.27836147
2022-10-13 00:00:00+00:00,-0.00872077
2022-10-14 00:00:00+00:00,0.04701306
2022-10-17 00:00:00+00:00,0.04021177
2022-10-18 00:00:00+00:00,-0.00633765
2022-10-19 00:00:00+00:00,-0.02483245
2022-10-20 00:00:00+00:00,0.07450507
