Date,COAL
2007-02-28 00:00:00+00:00,-0.00239536
2007-03-01 00:00:00+00:00,0.01073082
2007-03-02 00:00:00+00:00,0.01344387
2007-03-05 00:00:00+00:00,-0.01522450
2007-03-06 00:00:00+00:00,0.00410041
2007-03-07 00:00:00+00:00,0.00553905
2007-03-08 00:00:00+00:00,0.02276401
2007-03-09 00:00:00+00:00,0.03376997
2007-03-12 00:00:00+00:00,-0.02101494
2007-03-13 00:00:00+00:00,0.00959331
2007-03-14 00:00:00+00:00,-0.04458139
2007-03-15 00:00:00+00:00,0.00403825
2007-03-16 00:00:00+00:00,0.01396143
2007-03-19 00:00:00+00:00,0.01456548
2007-03-20 00:00:00+00:00,0.01166458
2007-03-21 00:00:00+00:00,0.03037453
2007-03-22 00:00:00+00:00,0.00936551
2007-03-23 00:00:00+00:00,0.00933265
2007-03-26 00:00:00+00:00,0.01064520
2007-03-27 00:00:00+00:00,-0.03269985
2007-03-28 00:00:00+00:00,0.02040879
2007-03-29 00:00:00+00:00,0.02157470
2007-03-30 00:00:00+00:00,-0.01439357
2007-04-02 00:00:00+00:00,0.00113176
2007-04-03 00:00:00+00:00,-0.02598624
2007-04-04 00:00:00+00:00,0.00321026
2007-04-05 00:00:00+00:00,-0.01118953
2007-04-10 00:00:00+00:00,-0.02226112
2007-04-11 00:00:00+00:00,-0.03573788
2007-04-12 00:00:00+00:00,-0.03840326
2007-04-13 00:00:00+00:00,0.00860097
2007-04-16 00:00:00+00:00,-0.02361409
2007-04-17 00:00:00+00:00,0.03586048
2007-04-18 00:00:00+00:00,0.04977814
2007-04-19 00:00:00+00:00,-0.00305458
2007-04-20 00:00:00+00:00,0.02102502
2007-04-23 00:00:00+00:00,0.01376457
2007-04-24 00:00:00+00:00,0.01848624
2007-04-25 00:00:00+00:00,-0.02294844
2007-04-26 00:00:00+00:00,-0.01832632
2007-04-27 00:00:00+00:00,-0.00583817
2007-04-30 00:00:00+00:00,0.01177061
2007-05-01 00:00:00+00:00,0.00048169
2007-05-02 00:00:00+00:00,0.00126834
2007-05-03 00:00:00+00:00,0.00476302
2007-05-04 00:00:00+00:00,0.02629899
2007-05-07 00:00:00+00:00,-0.00021867
