Date,JGB-SGX-mini
2000-06-27 00:00:00+00:00,-0.00196478
2000-06-28 00:00:00+00:00,0.00134842
2000-06-29 00:00:00+00:00,-0.00173915
2000-06-30 00:00:00+00:00,0.00006641
2000-07-03 00:00:00+00:00,-0.00309858
2000-07-04 00:00:00+00:00,0.00376025
2000-07-05 00:00:00+00:00,-0.00257140
2000-07-06 00:00:00+00:00,0.00307811
2000-07-07 00:00:00+00:00,-0.00279702
2000-07-10 00:00:00+00:00,-0.00099370
2000-07-11 00:00:00+00:00,-0.00114574
2000-07-12 00:00:00+00:00,-0.00318512
2000-07-13 00:00:00+00:00,0.01146463
2000-07-14 00:00:00+00:00,0.00028313
2000-07-17 00:00:00+00:00,0.00185992
2000-07-18 00:00:00+00:00,0.00088315
2000-07-19 00:00:00+00:00,-0.00136680
2000-07-21 00:00:00+00:00,0.00110866
2000-07-24 00:00:00+00:00,-0.00174085
2000-07-25 00:00:00+00:00,-0.00301851
2000-07-26 00:00:00+00:00,0.00253646
2000-07-27 00:00:00+00:00,0.00478209
2000-07-28 00:00:00+00:00,0.00237574
2000-07-31 00:00:00+00:00,-0.00121484
2000-08-01 00:00:00+00:00,-0.00054336
2000-08-02 00:00:00+00:00,0.00050334
2000-08-03 00:00:00+00:00,0.00072781
2000-08-04 00:00:00+00:00,0.00125066
2000-08-07 00:00:00+00:00,-0.00069188
2000-08-08 00:00:00+00:00,-0.00226085
2000-08-09 00:00:00+00:00,-0.00502761
2000-08-14 00:00:00+00:00,0.00095393
2000-08-15 00:00:00+00:00,-0.00294260
2000-08-16 00:00:00+00:00,-0.00227164
2000-08-17 00:00:00+00:00,0.00306049
2000-08-18 00:00:00+00:00,-0.00497173
2000-08-21 00:00:00+00:00,-0.00024534
2000-08-23 00:00:00+00:00,-0.00828919
2000-08-24 00:00:00+00:00,0.00096264
2000-08-25 00:00:00+00:00,-0.00575871
2000-08-28 00:00:00+00:00,-0.00570102
2000-08-29 00:00:00+00:00,-0.00413098
2000-08-30 00:00:00+00:00,0.00456019
2000-08-31 00:00:00+00:00,0.00043783
2000-09-01 00:00:00+00:00,-0.00884729
2000-09-04 00:00:00+00:00,-0.00017017
2000-09-05 00:00:00+00:00,-0.00215623
2000-09-06 00:00:00+00:00,-0.00062764
2000-09-07 00:00:00+00:00,-0.00139287
2000-09-08 00:00:00+00:00,0.01251557
2000-09-11 00:00:00+00:00,0.00355571
2000-09-12 00:00:00+00:00,0.00028948
2000-09-13 00:00:00+00:00,-0.00395246
2000-09-14 00:00:00+00:00,0.00036436
2000-09-18 00:00:00+00:00,0.00059287
2000-09-19 00:00:00+00:00,0.00347311
2000-09-20 00:00:00+00:00,-0.00213547
2000-09-21 00:00:00+00:00,-0.00183491
2000-09-22 00:00:00+00:00,0.00696138
2000-09-25 00:00:00+00:00,-0.00288786
2000-09-26 00:00:00+00:00,-0.00470796
2000-09-27 00:00:00+00:00,0.00362397
2000-09-28 00:00:00+00:00,0.00013319
2000-09-29 00:00:00+00:00,0.00376676
2000-10-02 00:00:00+00:00,0.00255094
2000-10-03 00:00:00+00:00,0.00149029
2000-10-04 00:00:00+00:00,0.00073510
2000-10-05 00:00:00+00:00,0.00163857
2000-10-06 00:00:00+00:00,-0.00016933
2000-10-10 00:00:00+00:00,-0.00061969
2000-10-11 00:00:00+00:00,0.00133674
2000-10-12 00:00:00+00:00,-0.00513334
2000-10-13 00:00:00+00:00,0.00601626
2000-10-16 00:00:00+00:00,-0.00227460
2000-10-17 00:00:00+00:00,0.00193648
2000-10-18 00:00:00+00:00,0.00403953
2000-10-19 00:00:00+00:00,-0.00062174
2000-10-20 00:00:00+00:00,-0.00017128
2000-10-23 00:00:00+00:00,-0.00317299
2000-10-24 00:00:00+00:00,-0.00272782
2000-10-25 00:00:00+00:00,0.00313804
2000-10-26 00:00:00+00:00,-0.00137477
2000-10-27 00:00:00+00:00,0.00027867
2000-10-30 00:00:00+00:00,0.00283344
2000-11-01 00:00:00+00:00,-0.00324959
2000-11-07 00:00:00+00:00,0.00200492
2000-11-08 00:00:00+00:00,-0.00137291
2000-11-09 00:00:00+00:00,0.00222620
2000-11-16 00:00:00+00:00,0.00349775
2000-11-17 00:00:00+00:00,-0.00076883
2000-11-20 00:00:00+00:00,-0.00427461
2000-11-22 00:00:00+00:00,0.00087702
2000-11-24 00:00:00+00:00,0.00521777
2000-11-27 00:00:00+00:00,-0.00196354
2000-11-28 00:00:00+00:00,-0.00196375
2000-11-29 00:00:00+00:00,0.00716161
2000-11-30 00:00:00+00:00,0.00728418
2000-12-01 00:00:00+00:00,-0.00076264
2000-12-04 00:00:00+00:00,-0.00180124
2000-12-14 00:00:00+00:00,0.00258598
2000-12-18 00:00:00+00:00,-0.00655418
2000-12-19 00:00:00+00:00,0.00685420
2000-12-20 00:00:00+00:00,0.00891332
2000-12-21 00:00:00+00:00,0.00799371
2000-12-26 00:00:00+00:00,-0.00575976
2001-01-04 00:00:00+00:00,0.00110538
2001-01-15 00:00:00+00:00,-0.00029221
2001-01-24 00:00:00+00:00,-0.00006956
2001-01-26 00:00:00+00:00,0.01627055
2001-01-29 00:00:00+00:00,-0.00435994
2001-01-30 00:00:00+00:00,-0.00947189
2001-02-02 00:00:00+00:00,-0.00673135
2001-02-05 00:00:00+00:00,0.01058469
2001-02-07 00:00:00+00:00,0.00395337
2001-02-08 00:00:00+00:00,-0.00057599
2001-02-12 00:00:00+00:00,0.00095698
2001-02-13 00:00:00+00:00,0.00861152
2001-02-14 00:00:00+00:00,-0.00405781
2001-02-15 00:00:00+00:00,0.00117036
2001-02-16 00:00:00+00:00,0.00008279
2001-02-21 00:00:00+00:00,0.00233374
2001-02-22 00:00:00+00:00,-0.00565096
2001-02-23 00:00:00+00:00,-0.00275421
2001-02-26 00:00:00+00:00,0.00424887
2001-02-27 00:00:00+00:00,0.00248781
2001-02-28 00:00:00+00:00,0.00255305
2001-03-02 00:00:00+00:00,0.00182370
2001-03-06 00:00:00+00:00,0.00996211
2001-03-07 00:00:00+00:00,0.00087593
2001-03-09 00:00:00+00:00,-0.00464282
2001-03-12 00:00:00+00:00,0.00253712
2001-03-13 00:00:00+00:00,-0.00457944
2001-03-14 00:00:00+00:00,0.01030024
2001-03-15 00:00:00+00:00,0.00009225
2001-03-16 00:00:00+00:00,0.00137891
2001-03-19 00:00:00+00:00,0.00101957
2001-03-20 00:00:00+00:00,-0.00012139
2001-03-21 00:00:00+00:00,0.00766210
2001-03-22 00:00:00+00:00,-0.00282368
2001-03-23 00:00:00+00:00,-0.00868214
2001-03-26 00:00:00+00:00,0.00181712
2001-03-27 00:00:00+00:00,-0.00204799
2001-03-29 00:00:00+00:00,-0.01151916
2001-04-02 00:00:00+00:00,-0.00401772
2001-04-04 00:00:00+00:00,0.00161985
2001-04-05 00:00:00+00:00,0.00356672
2001-04-06 00:00:00+00:00,0.00276828
2001-04-10 00:00:00+00:00,-0.00809057
2001-04-11 00:00:00+00:00,0.00046660
2001-04-16 00:00:00+00:00,-0.00681834
2001-04-20 00:00:00+00:00,0.00069274
2001-04-23 00:00:00+00:00,0.00962240
2001-04-25 00:00:00+00:00,0.00307228
2001-04-26 00:00:00+00:00,0.00407784
2001-04-27 00:00:00+00:00,0.00543589
2001-05-01 00:00:00+00:00,-0.00549062
2001-05-02 00:00:00+00:00,0.00104558
2001-05-07 00:00:00+00:00,0.00630012
2001-05-08 00:00:00+00:00,0.00219310
2001-05-09 00:00:00+00:00,0.00262053
2001-05-10 00:00:00+00:00,-0.00067387
2001-05-11 00:00:00+00:00,0.00297487
2001-05-14 00:00:00+00:00,0.00211245
2001-05-15 00:00:00+00:00,-0.00466767
2001-05-16 00:00:00+00:00,-0.00038389
2001-05-17 00:00:00+00:00,-0.00009822
