Date,GICS
2000-06-23 00:00:00+00:00,-0.00719818
2000-06-26 00:00:00+00:00,-0.01168794
2000-06-27 00:00:00+00:00,0.02248457
2000-06-28 00:00:00+00:00,-0.01924848
2000-06-29 00:00:00+00:00,0.03056861
2000-06-30 00:00:00+00:00,-0.01788394
2000-07-03 00:00:00+00:00,0.00403056
2000-07-05 00:00:00+00:00,-0.07373460
2000-07-06 00:00:00+00:00,-0.02951365
2000-07-07 00:00:00+00:00,-0.00940159
2000-07-10 00:00:00+00:00,-0.00106805
2000-07-11 00:00:00+00:00,0.00521160
2000-07-12 00:00:00+00:00,0.00563347
2000-07-13 00:00:00+00:00,0.03618183
2000-07-14 00:00:00+00:00,-0.00948165
2000-07-17 00:00:00+00:00,-0.02146105
2000-07-18 00:00:00+00:00,0.03547614
2000-07-19 00:00:00+00:00,-0.02203364
2000-07-20 00:00:00+00:00,-0.01226012
2000-07-21 00:00:00+00:00,-0.03923473
2000-07-24 00:00:00+00:00,-0.03144341
2000-07-25 00:00:00+00:00,-0.01047963
2000-07-26 00:00:00+00:00,0.00845056
2000-07-27 00:00:00+00:00,0.01212190
2000-07-28 00:00:00+00:00,0.00625826
2000-07-31 00:00:00+00:00,-0.02788602
2000-08-01 00:00:00+00:00,0.01124543
2000-08-02 00:00:00+00:00,0.03212354
2000-08-03 00:00:00+00:00,0.00983999
2000-08-04 00:00:00+00:00,0.04239217
2000-08-07 00:00:00+00:00,-0.02894845
2000-08-08 00:00:00+00:00,0.00135954
2000-08-09 00:00:00+00:00,0.04254325
2000-08-10 00:00:00+00:00,0.02680242
2000-08-11 00:00:00+00:00,-0.00327716
2000-08-14 00:00:00+00:00,0.01068710
2000-08-15 00:00:00+00:00,-0.00674435
2000-08-16 00:00:00+00:00,0.00850084
2000-08-17 00:00:00+00:00,0.01497900
2000-08-18 00:00:00+00:00,0.00882266
2000-08-21 00:00:00+00:00,0.02914876
2000-08-22 00:00:00+00:00,-0.02347634
2000-08-23 00:00:00+00:00,0.02809438
2000-08-24 00:00:00+00:00,-0.01055674
2000-08-25 00:00:00+00:00,0.01483524
2000-08-28 00:00:00+00:00,0.03315577
2000-08-29 00:00:00+00:00,-0.00208501
2000-08-30 00:00:00+00:00,0.02569330
2000-08-31 00:00:00+00:00,-0.00410700
2000-09-01 00:00:00+00:00,0.00161645
2000-09-05 00:00:00+00:00,0.03492047
2000-09-06 00:00:00+00:00,0.03151615
2000-09-07 00:00:00+00:00,-0.00595445
2000-09-08 00:00:00+00:00,-0.04250334
2000-09-11 00:00:00+00:00,0.04898572
2000-09-12 00:00:00+00:00,-0.02041847
2000-09-13 00:00:00+00:00,-0.02465955
2000-09-14 00:00:00+00:00,0.01074041
2000-09-15 00:00:00+00:00,0.03929430
2000-09-18 00:00:00+00:00,0.02743522
2000-09-19 00:00:00+00:00,-0.02244461
2000-09-20 00:00:00+00:00,-0.00061674
2000-09-21 00:00:00+00:00,-0.03138582
2000-09-22 00:00:00+00:00,-0.03835968
2000-09-25 00:00:00+00:00,-0.02381697
2000-09-26 00:00:00+00:00,-0.00001490
2000-09-27 00:00:00+00:00,0.00642130
2000-09-28 00:00:00+00:00,-0.05612523
2000-09-29 00:00:00+00:00,0.02237722
2000-10-02 00:00:00+00:00,0.04844907
2000-10-03 00:00:00+00:00,-0.00145510
2000-10-04 00:00:00+00:00,-0.01647613
2000-10-05 00:00:00+00:00,-0.03962735
2000-10-06 00:00:00+00:00,0.00866267
2000-10-09 00:00:00+00:00,0.01812236
2000-10-10 00:00:00+00:00,0.05346624
2000-10-11 00:00:00+00:00,0.02191765
2000-10-12 00:00:00+00:00,0.08267861
2000-10-13 00:00:00+00:00,-0.06097981
2000-10-16 00:00:00+00:00,-0.06196244
2000-10-17 00:00:00+00:00,-0.00471763
2000-10-18 00:00:00+00:00,-0.00838927
2000-10-19 00:00:00+00:00,-0.03301344
2000-10-20 00:00:00+00:00,0.02271907
2000-10-23 00:00:00+00:00,0.02713914
2000-10-24 00:00:00+00:00,-0.01663744
2000-10-25 00:00:00+00:00,-0.03004848
2000-10-26 00:00:00+00:00,0.02344343
2000-10-27 00:00:00+00:00,-0.05173130
2000-10-30 00:00:00+00:00,-0.00128191
2000-10-31 00:00:00+00:00,-0.00485952
2000-11-01 00:00:00+00:00,0.02106687
2000-11-02 00:00:00+00:00,-0.01608109
2000-11-03 00:00:00+00:00,0.01892967
2000-11-06 00:00:00+00:00,-0.00127209
2000-11-07 00:00:00+00:00,0.01292060
2000-11-08 00:00:00+00:00,0.01012801
2000-11-09 00:00:00+00:00,0.02478175
2000-11-10 00:00:00+00:00,-0.00022794
2000-11-13 00:00:00+00:00,0.01554237
2000-11-14 00:00:00+00:00,0.02460213
2000-11-15 00:00:00+00:00,0.04594412
2000-11-16 00:00:00+00:00,-0.02691985
2000-11-17 00:00:00+00:00,0.02374118
2000-11-20 00:00:00+00:00,0.01545178
2000-11-21 00:00:00+00:00,0.00303780
2000-11-22 00:00:00+00:00,0.02125296
2000-11-24 00:00:00+00:00,-0.00857998
2000-11-27 00:00:00+00:00,-0.00098904
2000-11-28 00:00:00+00:00,-0.05285675
2000-11-29 00:00:00+00:00,0.00920277
2000-11-30 00:00:00+00:00,0.00133900
2000-12-01 00:00:00+00:00,-0.04852957
2000-12-04 00:00:00+00:00,0.01941703
2000-12-05 00:00:00+00:00,-0.05075496
2000-12-06 00:00:00+00:00,0.06633767
2000-12-07 00:00:00+00:00,-0.02620511
2000-12-08 00:00:00+00:00,-0.01673652
2000-12-11 00:00:00+00:00,0.06235627
2000-12-12 00:00:00+00:00,-0.04338138
2000-12-13 00:00:00+00:00,-0.04601467
2000-12-14 00:00:00+00:00,-0.04907653
2000-12-15 00:00:00+00:00,0.06107514
2000-12-18 00:00:00+00:00,0.02704491
2000-12-19 00:00:00+00:00,-0.01527474
2000-12-20 00:00:00+00:00,-0.05889304
2000-12-21 00:00:00+00:00,0.01969378
2000-12-22 00:00:00+00:00,0.01905725
2000-12-26 00:00:00+00:00,-0.00641475
2000-12-27 00:00:00+00:00,0.01721430
2000-12-28 00:00:00+00:00,-0.02097858
2000-12-29 00:00:00+00:00,0.05579164
2001-01-02 00:00:00+00:00,-0.05500525
2001-01-03 00:00:00+00:00,0.01505999
2001-01-04 00:00:00+00:00,0.03627769
2001-01-05 00:00:00+00:00,-0.00222741
2001-01-08 00:00:00+00:00,-0.02257080
2001-01-09 00:00:00+00:00,0.00942970
2001-01-10 00:00:00+00:00,0.02418139
2001-01-11 00:00:00+00:00,-0.01124638
2001-01-12 00:00:00+00:00,0.00517035
2001-01-16 00:00:00+00:00,-0.01172727
2001-01-17 00:00:00+00:00,-0.07597105
2001-01-18 00:00:00+00:00,0.04469929
2001-01-19 00:00:00+00:00,0.05481563
2001-01-22 00:00:00+00:00,-0.00905817
2001-01-23 00:00:00+00:00,-0.03505188
2001-01-24 00:00:00+00:00,-0.00992366
2001-01-25 00:00:00+00:00,0.01023591
2001-01-26 00:00:00+00:00,0.00655968
2001-01-29 00:00:00+00:00,-0.04922609
2001-01-30 00:00:00+00:00,-0.00019336
2001-01-31 00:00:00+00:00,-0.02403162
2001-02-01 00:00:00+00:00,0.06885792
2001-02-02 00:00:00+00:00,0.07029538
2001-02-05 00:00:00+00:00,-0.07112449
2001-02-06 00:00:00+00:00,0.00984536
2001-02-07 00:00:00+00:00,0.02261197
2001-02-08 00:00:00+00:00,0.00590570
2001-02-09 00:00:00+00:00,-0.01265114
2001-02-12 00:00:00+00:00,-0.03503734
2001-02-13 00:00:00+00:00,0.01350652
2001-02-14 00:00:00+00:00,-0.03455867
2001-02-15 00:00:00+00:00,-0.01103022
2001-02-16 00:00:00+00:00,-0.00188702
2001-02-20 00:00:00+00:00,-0.02838295
2001-02-21 00:00:00+00:00,-0.01675910
2001-02-22 00:00:00+00:00,0.00494092
2001-02-23 00:00:00+00:00,0.00804301
2001-02-26 00:00:00+00:00,-0.02102003
2001-02-27 00:00:00+00:00,0.00876808
2001-02-28 00:00:00+00:00,-0.01667580
2001-03-01 00:00:00+00:00,0.00478197
2001-03-02 00:00:00+00:00,0.01462480
2001-03-05 00:00:00+00:00,0.03299077
2001-03-06 00:00:00+00:00,-0.00456058
2001-03-07 00:00:00+00:00,0.00596820
2001-03-08 00:00:00+00:00,-0.01890396
2001-03-09 00:00:00+00:00,-0.02465357
2001-03-12 00:00:00+00:00,0.00518766
2001-03-13 00:00:00+00:00,-0.02448493
2001-03-14 00:00:00+00:00,-0.04629103
2001-03-15 00:00:00+00:00,-0.00619605
