Date,BTP
2010-08-23 00:00:00+00:00,0.00134727
2010-08-24 00:00:00+00:00,0.00556919
2010-08-25 00:00:00+00:00,-0.00017344
2010-08-26 00:00:00+00:00,-0.00177324
2010-08-27 00:00:00+00:00,-0.00034201
2010-08-30 00:00:00+00:00,-0.00219649
2010-08-31 00:00:00+00:00,0.00590509
2010-09-01 00:00:00+00:00,0.00024815
2010-09-02 00:00:00+00:00,-0.00050945
2010-09-03 00:00:00+00:00,-0.00025689
2010-09-06 00:00:00+00:00,-0.01314778
2010-09-07 00:00:00+00:00,0.00281372
2010-09-08 00:00:00+00:00,0.00255595
2010-09-09 00:00:00+00:00,-0.00085694
2010-09-10 00:00:00+00:00,-0.00767912
2010-09-13 00:00:00+00:00,-0.00788002
2010-09-14 00:00:00+00:00,0.00480780
2010-09-15 00:00:00+00:00,-0.00343443
2010-09-16 00:00:00+00:00,-0.00687548
2010-09-17 00:00:00+00:00,-0.01077708
2010-09-20 00:00:00+00:00,-0.00708128
2010-09-21 00:00:00+00:00,0.00484461
2010-09-22 00:00:00+00:00,0.01018931
2010-09-23 00:00:00+00:00,0.00377703
2010-09-24 00:00:00+00:00,-0.00652496
2010-09-27 00:00:00+00:00,0.00515996
2010-09-28 00:00:00+00:00,-0.00429757
2010-09-29 00:00:00+00:00,0.00102731
2010-09-30 00:00:00+00:00,0.00670224
2010-10-01 00:00:00+00:00,0.00308037
2010-10-04 00:00:00+00:00,0.00666972
2010-10-05 00:00:00+00:00,0.00323700
2010-10-06 00:00:00+00:00,0.00782977
2010-10-07 00:00:00+00:00,-0.00322709
2010-10-08 00:00:00+00:00,0.00696225
2010-10-11 00:00:00+00:00,0.00270509
2010-10-12 00:00:00+00:00,0.00067234
2010-10-13 00:00:00+00:00,-0.00439930
2010-10-14 00:00:00+00:00,0.00558580
2010-10-15 00:00:00+00:00,-0.00405897
2010-10-18 00:00:00+00:00,0.00168819
2010-10-19 00:00:00+00:00,-0.00626250
2010-10-20 00:00:00+00:00,-0.00254948
2010-10-21 00:00:00+00:00,-0.00730906
2010-10-22 00:00:00+00:00,0.00170087
2010-10-25 00:00:00+00:00,0.00766208
2010-10-26 00:00:00+00:00,-0.00458653
2010-10-27 00:00:00+00:00,-0.01684403
2010-10-28 00:00:00+00:00,0.00085341
2010-10-29 00:00:00+00:00,-0.00103274
2010-11-01 00:00:00+00:00,0.00136865
2010-11-02 00:00:00+00:00,-0.00394738
2010-11-03 00:00:00+00:00,0.00171361
2010-11-04 00:00:00+00:00,-0.00154869
2010-11-05 00:00:00+00:00,-0.00069107
2010-11-08 00:00:00+00:00,-0.01117246
2010-11-09 00:00:00+00:00,-0.00104101
2010-11-10 00:00:00+00:00,-0.00709220
2010-11-11 00:00:00+00:00,-0.01735336
2010-11-12 00:00:00+00:00,0.00997994
2010-11-15 00:00:00+00:00,0.00400436
2010-11-16 00:00:00+00:00,-0.00226682
2010-11-17 00:00:00+00:00,0.00139525
2010-11-18 00:00:00+00:00,-0.01058329
2010-11-19 00:00:00+00:00,0.00957798
2010-11-22 00:00:00+00:00,0.00436939
2010-11-23 00:00:00+00:00,-0.00759509
2010-11-24 00:00:00+00:00,-0.01200116
2010-11-25 00:00:00+00:00,-0.00845642
2010-11-26 00:00:00+00:00,-0.00424723
2010-11-29 00:00:00+00:00,-0.02887257
2010-11-30 00:00:00+00:00,-0.00521547
2010-12-01 00:00:00+00:00,0.02223702
2010-12-02 00:00:00+00:00,0.01575650
2010-12-03 00:00:00+00:00,-0.00088815
2010-12-06 00:00:00+00:00,-0.01626877
2010-12-07 00:00:00+00:00,-0.00827077
2010-12-08 00:00:00+00:00,-0.00054594
2010-12-09 00:00:00+00:00,0.00107846
2010-12-10 00:00:00+00:00,-0.00090606
2010-12-13 00:00:00+00:00,-0.00577981
2010-12-14 00:00:00+00:00,-0.00326287
2010-12-15 00:00:00+00:00,0.00996718
2010-12-16 00:00:00+00:00,-0.01191121
2010-12-17 00:00:00+00:00,-0.00054812
2010-12-20 00:00:00+00:00,0.00344561
2010-12-21 00:00:00+00:00,-0.00526010
2010-12-22 00:00:00+00:00,-0.00163990
2010-12-23 00:00:00+00:00,-0.00218673
2010-12-27 00:00:00+00:00,-0.00801455
2010-12-28 00:00:00+00:00,-0.00311201
2010-12-29 00:00:00+00:00,-0.01098828
2010-12-30 00:00:00+00:00,0.00220505
2011-01-03 00:00:00+00:00,0.01305091
2011-01-04 00:00:00+00:00,0.01643679
2011-01-05 00:00:00+00:00,-0.00145411
2011-01-06 00:00:00+00:00,-0.01650517
2011-01-07 00:00:00+00:00,-0.00530670
2011-01-10 00:00:00+00:00,-0.00532080
2011-01-11 00:00:00+00:00,0.00514173
2011-01-12 00:00:00+00:00,0.00494524
2011-01-13 00:00:00+00:00,0.01115110
2011-01-14 00:00:00+00:00,0.00817920
2011-01-17 00:00:00+00:00,-0.00996682
2011-01-18 00:00:00+00:00,-0.01165498
2011-01-19 00:00:00+00:00,0.01244566
2011-01-20 00:00:00+00:00,-0.00673791
2011-01-21 00:00:00+00:00,0.01021958
2011-01-24 00:00:00+00:00,0.00399138
2011-01-25 00:00:00+00:00,-0.00780050
2011-01-26 00:00:00+00:00,-0.00801314
2011-01-27 00:00:00+00:00,-0.00439028
2011-01-28 00:00:00+00:00,0.00512302
2011-01-31 00:00:00+00:00,0.00748442
2011-02-01 00:00:00+00:00,0.00663741
