Date,ETHER-micro
2021-07-01 00:00:00+00:00,-0.00731648
2021-07-02 00:00:00+00:00,-0.12022646
2021-07-04 00:00:00+00:00,0.29429564
2021-07-05 00:00:00+00:00,-0.03938452
2021-07-06 00:00:00+00:00,0.03598185
2021-07-07 00:00:00+00:00,0.05258835
2021-07-08 00:00:00+00:00,-0.14604725
2021-07-09 00:00:00+00:00,-0.08587783
2021-07-11 00:00:00+00:00,0.03323337
2021-07-12 00:00:00+00:00,0.01113857
2021-07-13 00:00:00+00:00,-0.13637342
2021-07-14 00:00:00+00:00,-0.13018507
2021-07-15 00:00:00+00:00,0.05885215
2021-07-16 00:00:00+00:00,-0.02458740
2021-07-18 00:00:00+00:00,-0.02542755
2021-07-19 00:00:00+00:00,-0.02781040
2021-07-20 00:00:00+00:00,-0.12671070
2021-07-21 00:00:00+00:00,0.09315865
2021-07-22 00:00:00+00:00,0.16548274
2021-07-23 00:00:00+00:00,0.06586634
2021-07-25 00:00:00+00:00,0.14647177
2021-07-26 00:00:00+00:00,0.14563656
2021-07-27 00:00:00+00:00,-0.13442785
2021-07-28 00:00:00+00:00,0.08620965
2021-07-29 00:00:00+00:00,0.00054270
2021-07-30 00:00:00+00:00,0.10820134
2021-08-01 00:00:00+00:00,0.12041461
2021-08-02 00:00:00+00:00,0.04742517
2021-08-03 00:00:00+00:00,-0.12130401
2021-08-04 00:00:00+00:00,0.02166922
2021-08-05 00:00:00+00:00,0.15187094
2021-08-06 00:00:00+00:00,0.07592193
2021-08-08 00:00:00+00:00,0.16805083
2021-08-09 00:00:00+00:00,-0.06299870
2021-08-10 00:00:00+00:00,0.14108372
2021-08-11 00:00:00+00:00,0.04992863
2021-08-12 00:00:00+00:00,-0.04118272
2021-08-13 00:00:00+00:00,0.04074579
2021-08-15 00:00:00+00:00,0.03955888
2021-08-16 00:00:00+00:00,0.03392963
2021-08-17 00:00:00+00:00,-0.07662128
2021-08-18 00:00:00+00:00,-0.08801596
2021-08-19 00:00:00+00:00,0.00631737
2021-08-20 00:00:00+00:00,0.11694156
2021-08-22 00:00:00+00:00,0.00972078
2021-08-23 00:00:00+00:00,0.05872316
2021-08-24 00:00:00+00:00,-0.00651228
2021-08-25 00:00:00+00:00,-0.07602195
2021-08-26 00:00:00+00:00,-0.06145803
2021-08-27 00:00:00+00:00,-0.00129076
2021-08-29 00:00:00+00:00,0.08673763
2021-08-30 00:00:00+00:00,-0.02771212
2021-08-31 00:00:00+00:00,0.02609036
2021-09-01 00:00:00+00:00,0.18214720
2021-09-02 00:00:00+00:00,0.12945306
2021-09-03 00:00:00+00:00,0.02274051
2021-09-05 00:00:00+00:00,0.08368803
2021-09-06 00:00:00+00:00,-0.01099570
2021-09-07 00:00:00+00:00,-0.01708346
2021-09-08 00:00:00+00:00,-0.30978775
2021-09-09 00:00:00+00:00,0.10970963
2021-09-10 00:00:00+00:00,-0.00893535
2021-09-12 00:00:00+00:00,-0.00304160
2021-09-13 00:00:00+00:00,-0.11887637
2021-09-14 00:00:00+00:00,0.04052495
2021-09-15 00:00:00+00:00,0.08980159
2021-09-16 00:00:00+00:00,0.08434163
2021-09-17 00:00:00+00:00,-0.01249596
2021-09-19 00:00:00+00:00,-0.14650507
2021-09-20 00:00:00+00:00,-0.05165148
2021-09-21 00:00:00+00:00,-0.19188885
2021-09-22 00:00:00+00:00,-0.06414665
2021-09-23 00:00:00+00:00,0.21097203
2021-09-24 00:00:00+00:00,-0.08424430
2021-09-26 00:00:00+00:00,0.03558023
2021-09-27 00:00:00+00:00,0.02762704
2021-09-28 00:00:00+00:00,-0.11959659
2021-09-29 00:00:00+00:00,-0.04093067
2021-09-30 00:00:00+00:00,0.07812183
2021-10-01 00:00:00+00:00,0.03152063
2021-10-03 00:00:00+00:00,0.27089491
2021-10-04 00:00:00+00:00,-0.03750607
2021-10-05 00:00:00+00:00,0.01511259
2021-10-06 00:00:00+00:00,0.07774669
2021-10-07 00:00:00+00:00,0.01363251
2021-10-08 00:00:00+00:00,0.02436481
2021-10-10 00:00:00+00:00,-0.08854996
2021-10-11 00:00:00+00:00,0.01180861
2021-10-12 00:00:00+00:00,0.01464910
2021-10-13 00:00:00+00:00,-0.02557383
2021-10-14 00:00:00+00:00,0.09770140
2021-10-15 00:00:00+00:00,0.10322370
2021-10-17 00:00:00+00:00,-0.00471796
2021-10-18 00:00:00+00:00,-0.00310456
2021-10-19 00:00:00+00:00,0.02345027
2021-10-20 00:00:00+00:00,0.08512519
2021-10-21 00:00:00+00:00,0.08572825
2021-10-22 00:00:00+00:00,-0.03189712
2021-10-24 00:00:00+00:00,-0.01067553
2021-10-25 00:00:00+00:00,0.02520625
2021-10-26 00:00:00+00:00,0.03744099
2021-10-27 00:00:00+00:00,0.01675884
2021-10-28 00:00:00+00:00,-0.10156556
2021-10-29 00:00:00+00:00,0.16350465
2021-10-31 00:00:00+00:00,-0.03494127
2021-11-01 00:00:00+00:00,-0.03160930
2021-11-02 00:00:00+00:00,0.06490588
2021-11-03 00:00:00+00:00,0.09299782
2021-11-04 00:00:00+00:00,0.00260532
2021-11-05 00:00:00+00:00,-0.01634613
2021-11-07 00:00:00+00:00,0.03727515
2021-11-08 00:00:00+00:00,0.05868264
2021-11-09 00:00:00+00:00,0.02530008
2021-11-10 00:00:00+00:00,-0.03820105
2021-11-11 00:00:00+00:00,-0.03592919
2021-11-12 00:00:00+00:00,-0.01374296
2021-11-14 00:00:00+00:00,-0.01923604
2021-11-15 00:00:00+00:00,0.03766923
2021-11-16 00:00:00+00:00,-0.14741381
2021-11-17 00:00:00+00:00,-0.08804401
2021-11-18 00:00:00+00:00,-0.04014504
2021-11-19 00:00:00+00:00,0.01701660
2021-11-21 00:00:00+00:00,0.04928759
2021-11-22 00:00:00+00:00,-0.03060359
2021-11-23 00:00:00+00:00,0.01510820
2021-11-24 00:00:00+00:00,0.00369818
2021-11-25 00:00:00+00:00,0.08745004
2021-11-26 00:00:00+00:00,0.02564870
2021-11-28 00:00:00+00:00,-0.08872028
2021-11-29 00:00:00+00:00,0.02633170
2021-11-30 00:00:00+00:00,0.03336383
2021-12-01 00:00:00+00:00,0.14303535
2021-12-02 00:00:00+00:00,-0.09469771
2021-12-03 00:00:00+00:00,0.01932904
2021-12-05 00:00:00+00:00,-0.17398228
2021-12-06 00:00:00+00:00,-0.04431748
2021-12-07 00:00:00+00:00,0.12974623
2021-12-08 00:00:00+00:00,-0.00160845
2021-12-09 00:00:00+00:00,-0.04241836
2021-12-10 00:00:00+00:00,-0.09117362
2021-12-12 00:00:00+00:00,0.05951796
2021-12-13 00:00:00+00:00,-0.12814300
2021-12-14 00:00:00+00:00,-0.05962014
2021-12-15 00:00:00+00:00,0.11166855
2021-12-16 00:00:00+00:00,0.02731351
2021-12-17 00:00:00+00:00,-0.02565341
2021-12-20 00:00:00+00:00,0.01987839
2021-12-21 00:00:00+00:00,0.04298535
2021-12-22 00:00:00+00:00,-0.00628342
2021-12-23 00:00:00+00:00,0.02694744
2021-12-28 00:00:00+00:00,-0.11026056
2021-12-29 00:00:00+00:00,-0.08844639
2021-12-30 00:00:00+00:00,-0.00000593
2021-12-31 00:00:00+00:00,0.00364718
2022-01-02 00:00:00+00:00,0.02690547
2022-01-03 00:00:00+00:00,0.04838953
2022-01-04 00:00:00+00:00,0.00181112
2022-01-05 00:00:00+00:00,-0.14208186
2022-01-06 00:00:00+00:00,-0.08162307
2022-01-07 00:00:00+00:00,-0.00000768
2022-01-10 00:00:00+00:00,-0.23786259
2022-01-11 00:00:00+00:00,0.14354232
2022-01-12 00:00:00+00:00,0.04329463
2022-01-13 00:00:00+00:00,-0.03759945
2022-01-14 00:00:00+00:00,-0.01556434
2022-01-16 00:00:00+00:00,0.03707942
2022-01-17 00:00:00+00:00,-0.01967278
2022-01-18 00:00:00+00:00,-0.03830465
2022-01-19 00:00:00+00:00,-0.02764989
2022-01-20 00:00:00+00:00,-0.10348631
2022-01-21 00:00:00+00:00,0.00818899
2022-01-23 00:00:00+00:00,-0.30704594
2022-01-24 00:00:00+00:00,-0.05726565
2022-01-25 00:00:00+00:00,-0.01761013
2022-01-26 00:00:00+00:00,-0.00082395
2022-01-27 00:00:00+00:00,0.00019067
2022-01-28 00:00:00+00:00,-0.02833595
2022-01-30 00:00:00+00:00,0.08190349
2022-01-31 00:00:00+00:00,0.12880452
2022-02-01 00:00:00+00:00,0.08855693
2022-02-02 00:00:00+00:00,-0.05469399
2022-02-03 00:00:00+00:00,-0.02001213
2022-02-04 00:00:00+00:00,-0.01093902
2022-02-06 00:00:00+00:00,0.28250629
2022-02-07 00:00:00+00:00,-0.03787809
2022-02-08 00:00:00+00:00,0.07216144
2022-02-09 00:00:00+00:00,-0.00951792
2022-02-10 00:00:00+00:00,0.02765536
2022-02-11 00:00:00+00:00,-0.07041686
2022-02-13 00:00:00+00:00,-0.04707088
2022-02-14 00:00:00+00:00,-0.07235202
2022-02-15 00:00:00+00:00,0.02565908
2022-02-16 00:00:00+00:00,0.17079999
2022-02-17 00:00:00+00:00,-0.09058230
2022-02-18 00:00:00+00:00,-0.10594849
2022-02-20 00:00:00+00:00,-0.14233197
2022-02-21 00:00:00+00:00,-0.00801005
2022-02-22 00:00:00+00:00,-0.03389915
2022-02-23 00:00:00+00:00,0.05093514
2022-02-24 00:00:00+00:00,-0.04610843
2022-02-25 00:00:00+00:00,0.00505866
2022-02-27 00:00:00+00:00,0.01525786
2022-02-28 00:00:00+00:00,0.09064046
2022-03-01 00:00:00+00:00,0.16351198
2022-03-02 00:00:00+00:00,-0.00186341
2022-03-03 00:00:00+00:00,-0.04676415
2022-03-04 00:00:00+00:00,-0.15368512
2022-03-06 00:00:00+00:00,-0.08779282
2022-03-07 00:00:00+00:00,-0.03100859
2022-03-08 00:00:00+00:00,0.04114718
2022-03-09 00:00:00+00:00,0.14477676
2022-03-10 00:00:00+00:00,-0.03390400
2022-03-11 00:00:00+00:00,-0.08845934
2022-03-13 00:00:00+00:00,-0.02736161
2022-03-14 00:00:00+00:00,0.02167497
2022-03-15 00:00:00+00:00,0.02668554
2022-03-16 00:00:00+00:00,0.14143400
2022-03-17 00:00:00+00:00,0.01489949
2022-03-18 00:00:00+00:00,0.07230169
2022-03-20 00:00:00+00:00,0.01647135
2022-03-21 00:00:00+00:00,-0.00960725
2022-03-22 00:00:00+00:00,0.04187725
2022-03-23 00:00:00+00:00,0.01738173
2022-03-24 00:00:00+00:00,0.05997600
2022-03-25 00:00:00+00:00,0.03185412
2022-03-27 00:00:00+00:00,0.10917460
2022-03-28 00:00:00+00:00,0.01000920
2022-03-29 00:00:00+00:00,0.02516332
2022-03-30 00:00:00+00:00,0.03767032
2022-03-31 00:00:00+00:00,-0.00762439
2022-04-01 00:00:00+00:00,-0.01705370
2022-04-03 00:00:00+00:00,0.12215336
2022-04-04 00:00:00+00:00,-0.00452189
2022-04-05 00:00:00+00:00,-0.03731778
2022-04-06 00:00:00+00:00,-0.11478294
2022-04-07 00:00:00+00:00,-0.07568389
2022-04-08 00:00:00+00:00,0.04494929
