Date,MSCIWORLD
2022-06-27 00:00:00+00:00,0.01068116
2022-06-28 00:00:00+00:00,-0.01047401
2022-06-29 00:00:00+00:00,-0.01441387
2022-06-30 00:00:00+00:00,-0.00956918
2022-07-01 00:00:00+00:00,-0.00338280
2022-07-04 00:00:00+00:00,0.00959817
2022-07-05 00:00:00+00:00,-0.02071488
2022-07-06 00:00:00+00:00,0.01527712
2022-07-07 00:00:00+00:00,0.01798510
2022-07-08 00:00:00+00:00,0.00784224
2022-07-11 00:00:00+00:00,-0.01477156
2022-07-12 00:00:00+00:00,0.00013270
2022-07-13 00:00:00+00:00,-0.01325196
2022-07-14 00:00:00+00:00,-0.01539382
2022-07-15 00:00:00+00:00,0.02567850
2022-07-18 00:00:00+00:00,0.01044000
2022-07-19 00:00:00+00:00,0.00763161
2022-07-20 00:00:00+00:00,0.01082111
2022-07-21 00:00:00+00:00,-0.00006828
2022-07-22 00:00:00+00:00,0.00560201
2022-07-25 00:00:00+00:00,0.00913974
2022-07-26 00:00:00+00:00,-0.01969229
2022-07-27 00:00:00+00:00,0.02007801
2022-07-28 00:00:00+00:00,0.03532932
2022-07-29 00:00:00+00:00,0.02212317
2022-08-01 00:00:00+00:00,0.02142142
2022-08-02 00:00:00+00:00,-0.01776320
2022-08-03 00:00:00+00:00,0.00940768
2022-08-04 00:00:00+00:00,0.01100095
2022-08-05 00:00:00+00:00,-0.02126710
2022-08-08 00:00:00+00:00,0.02769490
2022-08-09 00:00:00+00:00,-0.01957830
2022-08-10 00:00:00+00:00,0.04069411
2022-08-11 00:00:00+00:00,0.01078792
2022-08-12 00:00:00+00:00,0.00167657
2022-08-15 00:00:00+00:00,0.00823706
2022-08-16 00:00:00+00:00,0.00872957
2022-08-17 00:00:00+00:00,-0.01909124
2022-08-18 00:00:00+00:00,0.00575192
2022-08-19 00:00:00+00:00,-0.02856224
2022-08-22 00:00:00+00:00,-0.03328166
2022-08-23 00:00:00+00:00,-0.00521216
2022-08-24 00:00:00+00:00,0.00556507
2022-08-25 00:00:00+00:00,0.00645741
2022-08-26 00:00:00+00:00,-0.02336695
2022-08-29 00:00:00+00:00,-0.03743119
2022-08-30 00:00:00+00:00,-0.01491242
2022-08-31 00:00:00+00:00,-0.00822961
2022-09-01 00:00:00+00:00,-0.04161199
2022-09-02 00:00:00+00:00,0.05080966
2022-09-05 00:00:00+00:00,-0.03466500
2022-09-06 00:00:00+00:00,-0.00760340
2022-09-07 00:00:00+00:00,0.00374380
2022-09-08 00:00:00+00:00,0.02953004
2022-09-09 00:00:00+00:00,0.03232139
2022-09-12 00:00:00+00:00,0.03068056
2022-09-13 00:00:00+00:00,-0.02621273
2022-09-14 00:00:00+00:00,-0.01159866
2022-09-15 00:00:00+00:00,-0.01454428
2022-09-16 00:00:00+00:00,-0.03323359
2022-09-19 00:00:00+00:00,0.00124576
2022-09-20 00:00:00+00:00,-0.00692172
2022-09-21 00:00:00+00:00,0.00143810
2022-09-22 00:00:00+00:00,-0.05543729
2022-09-23 00:00:00+00:00,-0.04317903
2022-09-26 00:00:00+00:00,-0.01383438
2022-09-27 00:00:00+00:00,-0.00651176
2022-09-28 00:00:00+00:00,0.01331263
2022-09-29 00:00:00+00:00,-0.02087163
2022-09-30 00:00:00+00:00,0.01648157
2022-10-03 00:00:00+00:00,0.00481804
2022-10-04 00:00:00+00:00,0.07194792
2022-10-05 00:00:00+00:00,-0.02747966
2022-10-06 00:00:00+00:00,0.01092861
2022-10-07 00:00:00+00:00,-0.04968513
2022-10-10 00:00:00+00:00,-0.03065740
2022-10-11 00:00:00+00:00,-0.00824203
2022-10-12 00:00:00+00:00,-0.00639963
2022-10-13 00:00:00+00:00,0.00112276
2022-10-14 00:00:00+00:00,0.01776658
2022-10-17 00:00:00+00:00,0.02747884
2022-10-18 00:00:00+00:00,0.00887145
2022-10-19 00:00:00+00:00,-0.00014254
2022-10-20 00:00:00+00:00,0.00679199
2022-10-21 00:00:00+00:00,-0.02128051
2022-10-24 00:00:00+00:00,0.04813148
2022-10-25 00:00:00+00:00,0.03837097
2022-10-26 00:00:00+00:00,0.02386813
2022-10-27 00:00:00+00:00,-0.01940343
2022-10-28 00:00:00+00:00,0.00457085
2022-10-31 00:00:00+00:00,0.00612696
2022-11-01 00:00:00+00:00,-0.00600609
2022-11-02 00:00:00+00:00,-0.01131274
2022-11-03 00:00:00+00:00,-0.04447128
2022-11-04 00:00:00+00:00,0.01496406
2022-11-07 00:00:00+00:00,0.02384577
2022-11-08 00:00:00+00:00,0.03403552
2022-11-09 00:00:00+00:00,-0.02521032
2022-11-10 00:00:00+00:00,0.06734664
2022-11-11 00:00:00+00:00,0.02650965
2022-11-14 00:00:00+00:00,0.00605522
2022-11-15 00:00:00+00:00,0.01895807
2022-11-16 00:00:00+00:00,-0.01944139
