Date,EU-RETAIL
2020-12-14 00:00:00+00:00,0.02421269
2020-12-15 00:00:00+00:00,-0.00234525
2020-12-16 00:00:00+00:00,-0.00156801
2020-12-17 00:00:00+00:00,0.02142992
2020-12-18 00:00:00+00:00,-0.01740259
2020-12-21 00:00:00+00:00,-0.02526289
2020-12-22 00:00:00+00:00,0.01656178
2020-12-23 00:00:00+00:00,0.00814479
2020-12-28 00:00:00+00:00,0.01355318
2020-12-29 00:00:00+00:00,0.01465783
2020-12-30 00:00:00+00:00,0.00025124
2021-01-04 00:00:00+00:00,-0.00633772
2021-01-05 00:00:00+00:00,0.00586352
2021-01-06 00:00:00+00:00,0.01622471
2021-01-07 00:00:00+00:00,0.00523713
2021-01-08 00:00:00+00:00,0.00545802
2021-01-11 00:00:00+00:00,-0.01012335
2021-01-12 00:00:00+00:00,0.00149387
2021-01-13 00:00:00+00:00,-0.00174542
2021-01-14 00:00:00+00:00,0.00598428
2021-01-15 00:00:00+00:00,-0.01537542
2021-01-18 00:00:00+00:00,0.01007078
2021-01-19 00:00:00+00:00,-0.01620791
2021-01-20 00:00:00+00:00,0.01114828
2021-01-21 00:00:00+00:00,0.00851905
2021-01-22 00:00:00+00:00,-0.01242764
2021-01-25 00:00:00+00:00,-0.01535188
2021-01-26 00:00:00+00:00,0.01200905
2021-01-27 00:00:00+00:00,-0.00378985
2021-01-28 00:00:00+00:00,0.01191206
2021-01-29 00:00:00+00:00,-0.02605372
2021-02-01 00:00:00+00:00,0.01363013
2021-02-02 00:00:00+00:00,0.00608827
2021-02-03 00:00:00+00:00,0.00479065
2021-02-04 00:00:00+00:00,0.00476802
2021-02-05 00:00:00+00:00,0.01049121
2021-02-08 00:00:00+00:00,-0.00197858
2021-02-09 00:00:00+00:00,-0.00371677
2021-02-10 00:00:00+00:00,-0.00696285
2021-02-11 00:00:00+00:00,0.00325374
2021-02-12 00:00:00+00:00,-0.00324546
2021-02-15 00:00:00+00:00,0.03279806
2021-02-16 00:00:00+00:00,-0.00266781
2021-02-17 00:00:00+00:00,-0.03087134
2021-02-18 00:00:00+00:00,0.00702177
2021-02-19 00:00:00+00:00,0.00149348
2021-02-22 00:00:00+00:00,-0.01243555
2021-02-23 00:00:00+00:00,0.00931664
2021-02-24 00:00:00+00:00,-0.00124842
2021-02-25 00:00:00+00:00,0.00274674
2021-02-26 00:00:00+00:00,-0.01146103
2021-03-01 00:00:00+00:00,0.02116838
2021-03-02 00:00:00+00:00,0.00320715
2021-03-03 00:00:00+00:00,-0.00000114
2021-03-04 00:00:00+00:00,-0.00984115
2021-03-05 00:00:00+00:00,-0.01068429
2021-03-08 00:00:00+00:00,0.02134492
2021-03-09 00:00:00+00:00,0.02458701
2021-03-10 00:00:00+00:00,0.01175792
2021-03-11 00:00:00+00:00,0.01138414
2021-03-12 00:00:00+00:00,0.00938003
2021-03-15 00:00:00+00:00,0.00487849
2021-03-16 00:00:00+00:00,0.15283187
2021-03-17 00:00:00+00:00,-0.01512443
2021-03-18 00:00:00+00:00,-0.00092785
2021-03-19 00:00:00+00:00,-0.01670949
2021-03-22 00:00:00+00:00,-0.01203710
2021-03-23 00:00:00+00:00,-0.00191155
2021-03-24 00:00:00+00:00,-0.00909582
2021-03-25 00:00:00+00:00,-0.00579766
2021-03-26 00:00:00+00:00,0.00971762
