Date,US-HEALTH
2012-06-13 00:00:00+00:00,
2012-06-14 00:00:00+00:00,0.01374478
2012-06-15 00:00:00+00:00,0.00406581
2012-06-18 00:00:00+00:00,0.00648030
2012-06-19 00:00:00+00:00,0.01019606
2012-06-20 00:00:00+00:00,-0.00265915
2012-06-21 00:00:00+00:00,-0.01385415
2012-06-22 00:00:00+00:00,0.00972222
2012-06-25 00:00:00+00:00,-0.01123863
2012-06-26 00:00:00+00:00,0.00243239
2012-06-27 00:00:00+00:00,0.01187345
2012-06-28 00:00:00+00:00,-0.00507041
2012-06-29 00:00:00+00:00,0.01930055
2012-07-02 00:00:00+00:00,0.00236436
2012-07-03 00:00:00+00:00,0.00052240
2012-07-05 00:00:00+00:00,-0.00577192
2012-07-06 00:00:00+00:00,-0.00817938
2012-07-09 00:00:00+00:00,0.00611449
2012-07-10 00:00:00+00:00,-0.00581803
2012-07-11 00:00:00+00:00,-0.00000267
2012-07-12 00:00:00+00:00,0.00265605
2012-07-13 00:00:00+00:00,0.01060459
2012-07-16 00:00:00+00:00,0.00130917
2012-07-17 00:00:00+00:00,0.01283785
2012-07-18 00:00:00+00:00,0.00361971
2012-07-19 00:00:00+00:00,-0.00129139
2012-07-20 00:00:00+00:00,-0.01368349
2012-07-23 00:00:00+00:00,-0.01073299
2012-07-24 00:00:00+00:00,-0.01111393
2012-07-25 00:00:00+00:00,0.00401002
2012-07-26 00:00:00+00:00,0.00985582
2012-07-27 00:00:00+00:00,0.02374374
2012-07-30 00:00:00+00:00,-0.00438454
2012-07-31 00:00:00+00:00,-0.00647461
2012-08-01 00:00:00+00:00,0.00077898
2012-08-02 00:00:00+00:00,-0.01119754
2012-08-03 00:00:00+00:00,0.01421576
2012-08-06 00:00:00+00:00,-0.00078163
2012-08-07 00:00:00+00:00,-0.00208142
2012-08-08 00:00:00+00:00,0.00312116
2012-08-09 00:00:00+00:00,-0.00078193
2012-08-10 00:00:00+00:00,0.00415296
2012-08-13 00:00:00+00:00,-0.00233110
2012-08-14 00:00:00+00:00,0.00258958
2012-08-15 00:00:00+00:00,0.00335938
2012-08-16 00:00:00+00:00,-0.00361051
2012-08-17 00:00:00+00:00,-0.00595170
2012-08-20 00:00:00+00:00,0.00285939
2012-08-21 00:00:00+00:00,-0.00155992
2012-08-22 00:00:00+00:00,-0.00052271
2012-08-23 00:00:00+00:00,-0.00208283
2012-08-24 00:00:00+00:00,0.00937714
2012-08-27 00:00:00+00:00,-0.00026109
2012-08-28 00:00:00+00:00,-0.00051935
2012-08-29 00:00:00+00:00,0.00335549
2012-08-30 00:00:00+00:00,-0.00334981
2012-08-31 00:00:00+00:00,0.00180578
2012-09-04 00:00:00+00:00,0.00309156
2012-09-05 00:00:00+00:00,0.00025411
2012-09-06 00:00:00+00:00,0.01541724
2012-09-07 00:00:00+00:00,-0.00000296
2012-09-10 00:00:00+00:00,-0.00278700
2012-09-11 00:00:00+00:00,-0.00051044
2012-09-12 00:00:00+00:00,0.00050505
2012-09-13 00:00:00+00:00,0.01040327
2012-09-14 00:00:00+00:00,-0.00377079
2012-09-17 00:00:00+00:00,0.07009286
2012-09-18 00:00:00+00:00,0.00949809
2012-09-19 00:00:00+00:00,0.00321690
2012-09-20 00:00:00+00:00,0.00596397
2012-09-21 00:00:00+00:00,0.00593868
2012-09-24 00:00:00+00:00,-0.00077770
2012-09-25 00:00:00+00:00,0.00024529
2012-09-26 00:00:00+00:00,-0.00149290
2012-09-27 00:00:00+00:00,-0.00049999
2012-09-28 00:00:00+00:00,-0.00000261
2012-10-01 00:00:00+00:00,0.00845742
2012-10-02 00:00:00+00:00,-0.00172965
2012-10-03 00:00:00+00:00,0.01062524
2012-10-04 00:00:00+00:00,0.00684475
2012-10-05 00:00:00+00:00,0.00072587
2012-10-08 00:00:00+00:00,-0.00145913
2012-10-09 00:00:00+00:00,-0.01069801
2012-10-10 00:00:00+00:00,-0.00516253
2012-10-11 00:00:00+00:00,-0.00197862
2012-10-12 00:00:00+00:00,-0.00198253
2012-10-15 00:00:00+00:00,0.01437825
2012-10-16 00:00:00+00:00,0.00928558
2012-10-17 00:00:00+00:00,0.00072354
2012-10-18 00:00:00+00:00,-0.00339115
2012-10-19 00:00:00+00:00,-0.01287300
2012-10-22 00:00:00+00:00,-0.00049496
2012-10-23 00:00:00+00:00,-0.01255526
2012-10-24 00:00:00+00:00,-0.00025235
2012-10-25 00:00:00+00:00,0.01021872
2012-10-26 00:00:00+00:00,-0.00469214
2012-10-31 00:00:00+00:00,-0.00868157
2012-11-01 00:00:00+00:00,0.01075263
2012-11-02 00:00:00+00:00,-0.00693165
2012-11-05 00:00:00+00:00,0.00049541
2012-11-06 00:00:00+00:00,0.00622368
2012-11-07 00:00:00+00:00,-0.02277503
2012-11-08 00:00:00+00:00,-0.03647671
2012-11-09 00:00:00+00:00,0.00303487
2012-11-12 00:00:00+00:00,0.00101675
2012-11-13 00:00:00+00:00,-0.00203962
2012-11-14 00:00:00+00:00,-0.01377847
2012-11-15 00:00:00+00:00,0.00051508
2012-11-16 00:00:00+00:00,0.00671957
2012-11-19 00:00:00+00:00,0.00847204
2012-11-20 00:00:00+00:00,0.00458112
2012-11-21 00:00:00+00:00,0.00202521
2012-11-23 00:00:00+00:00,0.01087521
2012-11-26 00:00:00+00:00,-0.00550832
2012-11-27 00:00:00+00:00,-0.00302244
2012-11-28 00:00:00+00:00,0.00681192
2012-11-29 00:00:00+00:00,0.00701677
2012-11-30 00:00:00+00:00,0.00049563
2012-12-03 00:00:00+00:00,0.00024614
2012-12-04 00:00:00+00:00,0.00049484
2012-12-05 00:00:00+00:00,0.00447264
2012-12-06 00:00:00+00:00,-0.00148782
2012-12-07 00:00:00+00:00,0.00222864
2012-12-10 00:00:00+00:00,0.00519163
2012-12-11 00:00:00+00:00,0.00934814
2012-12-12 00:00:00+00:00,-0.00146467
2012-12-13 00:00:00+00:00,0.02978333
2012-12-17 00:00:00+00:00,0.00218890
2012-12-18 00:00:00+00:00,0.00959727
2012-12-19 00:00:00+00:00,-0.00487722
2012-12-20 00:00:00+00:00,-0.00661595
2012-12-21 00:00:00+00:00,-0.00592024
2012-12-24 00:00:00+00:00,-0.00595541
2012-12-26 00:00:00+00:00,-0.00274759
2012-12-27 00:00:00+00:00,-0.00801012
2012-12-28 00:00:00+00:00,0.00428832
2012-12-31 00:00:00+00:00,0.00301305
2013-01-02 00:00:00+00:00,0.01402243
2013-01-03 00:00:00+00:00,0.00394962
2013-01-04 00:00:00+00:00,0.00688610
2013-01-07 00:00:00+00:00,0.00244130
2013-01-08 00:00:00+00:00,0.00024189
2013-01-09 00:00:00+00:00,0.01096322
2013-01-10 00:00:00+00:00,0.00578263
2013-01-11 00:00:00+00:00,0.00071694
2013-01-14 00:00:00+00:00,0.00095574
2013-01-15 00:00:00+00:00,-0.00072010
2013-01-16 00:00:00+00:00,-0.00215677
2013-01-17 00:00:00+00:00,0.01007452
2013-01-18 00:00:00+00:00,0.00213565
2013-01-22 00:00:00+00:00,0.00094598
2013-01-23 00:00:00+00:00,-0.00094931
2013-01-24 00:00:00+00:00,0.00995271
2013-01-25 00:00:00+00:00,0.00140601
2013-01-28 00:00:00+00:00,0.00304452
2013-01-29 00:00:00+00:00,0.00911018
2013-01-30 00:00:00+00:00,-0.00278039
2013-01-31 00:00:00+00:00,-0.00371707
2013-02-01 00:00:00+00:00,0.00885384
2013-02-04 00:00:00+00:00,-0.01178298
2013-02-05 00:00:00+00:00,0.01215303
2013-02-06 00:00:00+00:00,-0.00161860
2013-02-07 00:00:00+00:00,-0.00324046
2013-02-08 00:00:00+00:00,0.00765642
2013-02-11 00:00:00+00:00,-0.00184493
2013-02-12 00:00:00+00:00,-0.00184826
2013-02-13 00:00:00+00:00,-0.00138957
2013-02-14 00:00:00+00:00,0.00300644
2013-02-15 00:00:00+00:00,0.00161269
2013-02-19 00:00:00+00:00,0.00644830
2013-02-20 00:00:00+00:00,-0.00549789
2013-02-21 00:00:00+00:00,-0.00506791
2013-02-22 00:00:00+00:00,0.00416122
2013-02-25 00:00:00+00:00,-0.00968080
2013-02-26 00:00:00+00:00,0.00092728
2013-02-27 00:00:00+00:00,0.01185192
2013-02-28 00:00:00+00:00,0.00045649
