Date,BRENT-LAST
2021-02-19 00:00:00+00:00,-0.02597203
2021-02-22 00:00:00+00:00,0.07153225
2021-02-23 00:00:00+00:00,0.00423717
2021-02-24 00:00:00+00:00,0.05309939
2021-02-25 00:00:00+00:00,-0.00183362
2021-02-26 00:00:00+00:00,-0.05253746
2021-03-01 00:00:00+00:00,-0.02259750
2021-03-02 00:00:00+00:00,-0.02904074
2021-03-03 00:00:00+00:00,0.04438492
2021-03-04 00:00:00+00:00,0.08337040
2021-03-05 00:00:00+00:00,0.07703702
2021-03-08 00:00:00+00:00,-0.03057893
2021-03-09 00:00:00+00:00,-0.02023868
2021-03-10 00:00:00+00:00,0.01058677
2021-03-11 00:00:00+00:00,0.04971576
2021-03-12 00:00:00+00:00,-0.01058174
2021-03-15 00:00:00+00:00,-0.01004849
2021-03-16 00:00:00+00:00,-0.01390482
2021-03-17 00:00:00+00:00,-0.01016819
2021-03-18 00:00:00+00:00,-0.13704468
2021-03-19 00:00:00+00:00,0.04077276
2021-03-22 00:00:00+00:00,0.00403893
2021-03-23 00:00:00+00:00,-0.06137794
2021-03-24 00:00:00+00:00,0.10980790
2021-03-25 00:00:00+00:00,-0.07631012
2021-03-26 00:00:00+00:00,0.08436307
2021-03-29 00:00:00+00:00,0.01422825
2021-03-30 00:00:00+00:00,-0.02345997
2021-03-31 00:00:00+00:00,-0.04291962
2021-04-01 00:00:00+00:00,0.06852663
2021-04-05 00:00:00+00:00,-0.08284383
2021-04-06 00:00:00+00:00,0.01924456
2021-04-07 00:00:00+00:00,0.01281274
2021-04-08 00:00:00+00:00,-0.00095688
2021-04-09 00:00:00+00:00,-0.00685852
2021-04-12 00:00:00+00:00,0.01055323
2021-04-13 00:00:00+00:00,0.01288402
2021-04-14 00:00:00+00:00,0.09133832
2021-04-15 00:00:00+00:00,0.00997571
2021-04-16 00:00:00+00:00,-0.00496784
2021-04-19 00:00:00+00:00,0.00678660
2021-04-20 00:00:00+00:00,-0.01534947
2021-04-21 00:00:00+00:00,-0.02654917
2021-04-22 00:00:00+00:00,0.00218115
2021-04-23 00:00:00+00:00,0.02116885
2021-04-26 00:00:00+00:00,-0.01093647
2021-04-27 00:00:00+00:00,0.02631010
2021-04-28 00:00:00+00:00,0.02779729
2021-04-29 00:00:00+00:00,0.03720844
2021-04-30 00:00:00+00:00,-0.03832651
2021-05-03 00:00:00+00:00,0.02504365
2021-05-04 00:00:00+00:00,0.03917026
2021-05-05 00:00:00+00:00,0.00262796
2021-05-06 00:00:00+00:00,-0.02480103
2021-05-07 00:00:00+00:00,0.00693873
2021-05-10 00:00:00+00:00,0.00191029
2021-05-11 00:00:00+00:00,0.00748847
2021-05-12 00:00:00+00:00,0.02252288
2021-05-13 00:00:00+00:00,-0.06552080
2021-05-14 00:00:00+00:00,0.04724733
2021-05-17 00:00:00+00:00,0.02208100
2021-05-18 00:00:00+00:00,-0.01981648
2021-05-19 00:00:00+00:00,-0.05896251
2021-05-20 00:00:00+00:00,-0.04524417
2021-05-21 00:00:00+00:00,0.04010931
2021-05-24 00:00:00+00:00,0.02501736
2021-05-25 00:00:00+00:00,0.00279329
2021-05-26 00:00:00+00:00,0.00704905
2021-05-27 00:00:00+00:00,0.01405004
2021-05-28 00:00:00+00:00,-0.01380769
2021-06-01 00:00:00+00:00,0.04448185
2021-06-02 00:00:00+00:00,0.03149431
2021-06-03 00:00:00+00:00,-0.00141120
2021-06-04 00:00:00+00:00,0.01664375
