Date,EURIBOR-ICE
2000-07-18 00:00:00+00:00,-0.00058989
2000-07-19 00:00:00+00:00,0.00041593
2000-07-20 00:00:00+00:00,0.00046844
2000-07-21 00:00:00+00:00,0.00009912
2000-07-24 00:00:00+00:00,-0.00058975
2000-07-25 00:00:00+00:00,0.00057362
2000-07-26 00:00:00+00:00,0.00073265
2000-07-27 00:00:00+00:00,-0.00064404
2000-07-28 00:00:00+00:00,-0.00048488
2000-07-31 00:00:00+00:00,-0.00016775
2000-08-01 00:00:00+00:00,0.00073086
2000-08-02 00:00:00+00:00,-0.00075063
2000-08-03 00:00:00+00:00,-0.00011540
2000-08-04 00:00:00+00:00,0.00041386
2000-08-07 00:00:00+00:00,0.00057184
2000-08-08 00:00:00+00:00,-0.00069782
2000-08-09 00:00:00+00:00,-0.00038039
2000-08-10 00:00:00+00:00,0.00073023
2000-08-11 00:00:00+00:00,-0.00154447
2000-08-14 00:00:00+00:00,-0.00064551
2000-08-15 00:00:00+00:00,-0.00075174
2000-08-16 00:00:00+00:00,-0.00085747
2000-08-17 00:00:00+00:00,-0.00006352
2000-08-18 00:00:00+00:00,-0.00054002
2000-08-21 00:00:00+00:00,-0.00101665
2000-08-22 00:00:00+00:00,0.00051897
2000-08-23 00:00:00+00:00,0.00078327
2000-08-24 00:00:00+00:00,-0.00011704
2000-08-25 00:00:00+00:00,-0.00038200
2000-08-28 00:00:00+00:00,-0.00048842
2000-08-29 00:00:00+00:00,-0.00043525
2000-08-30 00:00:00+00:00,0.00019986
2000-08-31 00:00:00+00:00,0.00009419
2000-09-01 00:00:00+00:00,0.00173635
2000-09-04 00:00:00+00:00,-0.00032807
2000-09-05 00:00:00+00:00,-0.00080351
2000-09-06 00:00:00+00:00,-0.00090841
2000-09-07 00:00:00+00:00,-0.00006162
2000-09-08 00:00:00+00:00,-0.00006024
2000-09-11 00:00:00+00:00,-0.00016553
2000-09-12 00:00:00+00:00,0.00004724
2000-09-13 00:00:00+00:00,0.00057612
2000-09-14 00:00:00+00:00,0.00041577
2000-09-15 00:00:00+00:00,0.00004544
2000-09-18 00:00:00+00:00,-0.00027184
2000-09-19 00:00:00+00:00,0.00067977
2000-09-20 00:00:00+00:00,-0.00032495
2000-09-21 00:00:00+00:00,0.00015083
2000-09-22 00:00:00+00:00,0.00073193
2000-09-25 00:00:00+00:00,-0.00212152
2000-09-26 00:00:00+00:00,0.00067924
2000-09-27 00:00:00+00:00,0.00014970
2000-09-28 00:00:00+00:00,-0.00016886
2000-09-29 00:00:00+00:00,0.00067761
2000-10-02 00:00:00+00:00,0.00046623
2000-10-03 00:00:00+00:00,0.00020112
2000-10-04 00:00:00+00:00,-0.00053821
2000-10-05 00:00:00+00:00,-0.00074983
2000-10-06 00:00:00+00:00,0.00035971
2000-10-09 00:00:00+00:00,0.00035957
2000-10-10 00:00:00+00:00,-0.00027391
2000-10-11 00:00:00+00:00,0.00083492
2000-10-12 00:00:00+00:00,0.00014946
2000-10-13 00:00:00+00:00,-0.00027301
2000-10-16 00:00:00+00:00,-0.00064352
2000-10-17 00:00:00+00:00,-0.00148979
2000-10-18 00:00:00+00:00,-0.00006430
2000-10-19 00:00:00+00:00,-0.00085784
2000-10-20 00:00:00+00:00,-0.00022339
2000-10-23 00:00:00+00:00,-0.00059428
2000-10-24 00:00:00+00:00,0.00030425
2000-10-25 00:00:00+00:00,-0.00033106
2000-10-26 00:00:00+00:00,0.00019814
2000-10-27 00:00:00+00:00,0.00035693
2000-10-30 00:00:00+00:00,-0.00006651
2000-10-31 00:00:00+00:00,-0.00038356
2000-11-01 00:00:00+00:00,0.00051508
2000-11-02 00:00:00+00:00,-0.00027785
2000-11-03 00:00:00+00:00,-0.00017247
2000-11-06 00:00:00+00:00,-0.00049032
2000-11-07 00:00:00+00:00,-0.00022615
2000-11-08 00:00:00+00:00,-0.00048984
2000-11-09 00:00:00+00:00,0.00035576
2000-11-10 00:00:00+00:00,0.00062037
2000-11-13 00:00:00+00:00,0.00019753
2000-11-14 00:00:00+00:00,-0.00011911
2000-11-15 00:00:00+00:00,0.00003904
2000-11-16 00:00:00+00:00,-0.00006603
2000-11-17 00:00:00+00:00,-0.00022444
2000-11-20 00:00:00+00:00,-0.00017192
2000-11-21 00:00:00+00:00,-0.00038287
2000-11-22 00:00:00+00:00,0.00040896
2000-11-23 00:00:00+00:00,-0.00027750
2000-11-24 00:00:00+00:00,-0.00017192
2000-11-27 00:00:00+00:00,-0.00022335
2000-11-28 00:00:00+00:00,0.00115040
2000-11-29 00:00:00+00:00,0.00030681
2000-11-30 00:00:00+00:00,0.00167853
2000-12-01 00:00:00+00:00,-0.00048411
2000-12-04 00:00:00+00:00,0.00125672
2000-12-05 00:00:00+00:00,0.00073135
2000-12-06 00:00:00+00:00,0.00157288
2000-12-07 00:00:00+00:00,-0.00011250
2000-12-08 00:00:00+00:00,-0.00069051
2000-12-11 00:00:00+00:00,-0.00111164
