Date,US-FINANCE
2011-06-14 00:00:00+00:00,
2011-06-15 00:00:00+00:00,-0.01845174
2011-06-16 00:00:00+00:00,0.00273291
2011-06-17 00:00:00+00:00,0.01226916
2011-06-20 00:00:00+00:00,-0.00269424
2011-06-21 00:00:00+00:00,0.02797112
2011-06-22 00:00:00+00:00,-0.01198050
2011-06-23 00:00:00+00:00,-0.01909497
2011-06-24 00:00:00+00:00,-0.01252095
2011-06-27 00:00:00+00:00,0.01904154
2011-06-28 00:00:00+00:00,0.01109828
2011-06-29 00:00:00+00:00,0.04417886
2011-06-30 00:00:00+00:00,0.00391929
2011-07-01 00:00:00+00:00,0.03661275
2011-07-05 00:00:00+00:00,-0.01606866
2011-07-06 00:00:00+00:00,-0.01263772
2011-07-07 00:00:00+00:00,0.03322280
2011-07-08 00:00:00+00:00,-0.02469227
2011-07-11 00:00:00+00:00,-0.05778601
2011-07-12 00:00:00+00:00,-0.00669733
2011-07-13 00:00:00+00:00,0.00401201
2011-07-14 00:00:00+00:00,-0.01540719
2011-07-15 00:00:00+00:00,-0.00271037
2011-07-18 00:00:00+00:00,-0.03378465
2011-07-19 00:00:00+00:00,0.03021752
2011-07-20 00:00:00+00:00,0.02164551
2011-07-21 00:00:00+00:00,0.05020455
2011-07-22 00:00:00+00:00,-0.00785101
2011-07-25 00:00:00+00:00,-0.01312789
2011-07-26 00:00:00+00:00,-0.00265424
2011-07-27 00:00:00+00:00,-0.04694061
2011-07-28 00:00:00+00:00,-0.00001411
2011-07-29 00:00:00+00:00,-0.00474048
2011-08-01 00:00:00+00:00,-0.00815536
2011-08-02 00:00:00+00:00,-0.05415065
2011-08-03 00:00:00+00:00,0.00628754
2011-08-04 00:00:00+00:00,-0.09910504
2011-08-05 00:00:00+00:00,-0.03341898
2011-08-08 00:00:00+00:00,-0.19635461
2011-08-09 00:00:00+00:00,0.15809958
2011-08-10 00:00:00+00:00,-0.13043052
2011-08-11 00:00:00+00:00,0.10503483
2011-08-12 00:00:00+00:00,-0.01872567
2011-08-15 00:00:00+00:00,0.06846476
2011-08-16 00:00:00+00:00,-0.03958651
2011-08-17 00:00:00+00:00,0.00852801
2011-08-18 00:00:00+00:00,-0.09046448
2011-08-19 00:00:00+00:00,-0.04535635
2011-08-22 00:00:00+00:00,-0.01989607
2011-08-23 00:00:00+00:00,0.05270739
2011-08-24 00:00:00+00:00,0.05787602
2011-08-25 00:00:00+00:00,-0.00397410
2011-08-26 00:00:00+00:00,0.01666114
2011-08-29 00:00:00+00:00,0.08423974
2011-08-30 00:00:00+00:00,-0.01059043
2011-08-31 00:00:00+00:00,0.02353487
2011-09-01 00:00:00+00:00,-0.04205446
2011-09-02 00:00:00+00:00,-0.07900029
2011-09-06 00:00:00+00:00,-0.04232793
2011-09-07 00:00:00+00:00,0.08889446
2011-09-08 00:00:00+00:00,-0.03359305
2011-09-09 00:00:00+00:00,-0.06077479
2011-09-12 00:00:00+00:00,-0.00001228
2011-09-13 00:00:00+00:00,0.00655165
2011-09-14 00:00:00+00:00,0.01179807
2011-09-15 00:00:00+00:00,0.02895049
2011-09-16 00:00:00+00:00,0.05080104
2011-09-19 00:00:00+00:00,-0.06009806
2011-09-20 00:00:00+00:00,0.00803277
2011-09-21 00:00:00+00:00,-0.10097381
2011-09-22 00:00:00+00:00,-0.06161552
2011-09-23 00:00:00+00:00,0.01653118
2011-09-26 00:00:00+00:00,0.08979779
2011-09-27 00:00:00+00:00,0.01403717
2011-09-28 00:00:00+00:00,-0.05745996
2011-09-29 00:00:00+00:00,0.05490943
2011-09-30 00:00:00+00:00,-0.07073638
2011-10-03 00:00:00+00:00,-0.09165758
2011-10-04 00:00:00+00:00,0.07591453
2011-10-05 00:00:00+00:00,0.02838726
2011-10-06 00:00:00+00:00,0.06362808
2011-10-07 00:00:00+00:00,-0.06497938
2011-10-10 00:00:00+00:00,0.09603532
2011-10-11 00:00:00+00:00,0.00079882
2011-10-12 00:00:00+00:00,0.05025091
2011-10-13 00:00:00+00:00,-0.04153095
2011-10-14 00:00:00+00:00,0.02017315
2011-10-17 00:00:00+00:00,-0.05756666
2011-10-18 00:00:00+00:00,0.08969909
2011-10-19 00:00:00+00:00,-0.02522941
2011-10-20 00:00:00+00:00,0.02631379
2011-10-21 00:00:00+00:00,0.05274334
2011-10-24 00:00:00+00:00,0.04141464
2011-10-25 00:00:00+00:00,-0.05563075
2011-10-26 00:00:00+00:00,0.03477684
2011-10-27 00:00:00+00:00,0.12308788
2011-10-28 00:00:00+00:00,-0.00215974
2011-10-31 00:00:00+00:00,-0.07668674
2011-11-01 00:00:00+00:00,-0.09539218
2011-11-02 00:00:00+00:00,0.05867324
2011-11-03 00:00:00+00:00,0.03495548
2011-11-04 00:00:00+00:00,-0.02690785
2011-11-07 00:00:00+00:00,0.00907532
2011-11-08 00:00:00+00:00,0.03994249
2011-11-09 00:00:00+00:00,-0.10718153
2011-11-10 00:00:00+00:00,0.00857818
2011-11-11 00:00:00+00:00,0.04664409
2011-11-14 00:00:00+00:00,-0.03876608
2011-11-15 00:00:00+00:00,0.00851140
2011-11-16 00:00:00+00:00,-0.05016660
2011-11-17 00:00:00+00:00,-0.04433354
2011-11-18 00:00:00+00:00,0.01212862
2011-11-21 00:00:00+00:00,-0.04828260
2011-11-22 00:00:00+00:00,-0.01979836
2011-11-23 00:00:00+00:00,-0.05746469
2011-11-25 00:00:00+00:00,0.01027462
2011-11-28 00:00:00+00:00,0.05371850
2011-11-29 00:00:00+00:00,-0.00914878
2011-11-30 00:00:00+00:00,0.13098487
2011-12-01 00:00:00+00:00,-0.01567364
2011-12-02 00:00:00+00:00,0.02682297
2011-12-05 00:00:00+00:00,0.03737089
2011-12-06 00:00:00+00:00,0.00304582
2011-12-07 00:00:00+00:00,0.02365191
2011-12-08 00:00:00+00:00,-0.07092885
2011-12-09 00:00:00+00:00,0.03909612
2011-12-12 00:00:00+00:00,-0.05256311
2011-12-13 00:00:00+00:00,-0.01931882
2011-12-14 00:00:00+00:00,-0.00040184
2011-12-15 00:00:00+00:00,0.00080379
2011-12-16 00:00:00+00:00,-0.01606431
2011-12-19 00:00:00+00:00,-0.04091030
2011-12-20 00:00:00+00:00,0.07243969
2011-12-21 00:00:00+00:00,0.01105054
2011-12-22 00:00:00+00:00,0.04163808
2011-12-23 00:00:00+00:00,0.01461458
2011-12-27 00:00:00+00:00,-0.00689074
2011-12-28 00:00:00+00:00,-0.03222080
2011-12-29 00:00:00+00:00,0.02726753
2011-12-30 00:00:00+00:00,-0.00847085
2012-01-03 00:00:00+00:00,0.05442759
2012-01-04 00:00:00+00:00,-0.00677680
2012-01-05 00:00:00+00:00,0.02261201
2012-01-06 00:00:00+00:00,-0.01268953
2012-01-09 00:00:00+00:00,0.01124468
2012-01-10 00:00:00+00:00,0.03953981
2012-01-11 00:00:00+00:00,0.01974594
2012-01-12 00:00:00+00:00,0.00723360
2012-01-13 00:00:00+00:00,-0.01373119
2012-01-17 00:00:00+00:00,-0.01309900
2012-01-18 00:00:00+00:00,0.02852729
2012-01-19 00:00:00+00:00,0.01874589
2012-01-20 00:00:00+00:00,0.01356786
2012-01-23 00:00:00+00:00,0.00424672
2012-01-24 00:00:00+00:00,-0.00143006
2012-01-25 00:00:00+00:00,0.00494965
2012-01-26 00:00:00+00:00,-0.01840096
2012-01-27 00:00:00+00:00,0.00855169
2012-01-30 00:00:00+00:00,-0.02062478
2012-01-31 00:00:00+00:00,0.01075844
2012-02-01 00:00:00+00:00,0.03212916
2012-02-02 00:00:00+00:00,0.00701555
2012-02-03 00:00:00+00:00,0.05462679
2012-02-06 00:00:00+00:00,-0.00683336
2012-02-07 00:00:00+00:00,-0.00411963
2012-02-08 00:00:00+00:00,0.01575536
2012-02-09 00:00:00+00:00,-0.00477645
2012-02-10 00:00:00+00:00,-0.01978945
2012-02-13 00:00:00+00:00,0.01651409
2012-02-14 00:00:00+00:00,-0.02255623
2012-02-15 00:00:00+00:00,-0.00692357
2012-02-16 00:00:00+00:00,0.02771474
2012-02-17 00:00:00+00:00,0.01092591
2012-02-21 00:00:00+00:00,-0.00001454
2012-02-22 00:00:00+00:00,-0.02176371
2012-02-23 00:00:00+00:00,0.01304829
2012-02-24 00:00:00+00:00,-0.00274700
2012-02-27 00:00:00+00:00,0.01229665
2012-02-28 00:00:00+00:00,0.00542351
2012-02-29 00:00:00+00:00,-0.00814985
2012-03-01 00:00:00+00:00,0.02313095
2012-03-02 00:00:00+00:00,-0.00607036
2012-03-05 00:00:00+00:00,-0.00743917
2012-03-06 00:00:00+00:00,-0.04879461
2012-03-07 00:00:00+00:00,0.02290240
2012-03-08 00:00:00+00:00,0.01920991
2012-03-09 00:00:00+00:00,0.01494650
2012-03-12 00:00:00+00:00,0.00066059
2012-03-13 00:00:00+00:00,0.03170080
2012-03-14 00:00:00+00:00,0.00065141
2012-03-15 00:00:00+00:00,0.01927249
2012-03-16 00:00:00+00:00,0.05544632
2012-03-19 00:00:00+00:00,0.01469120
2012-03-20 00:00:00+00:00,0.00633237
2012-03-21 00:00:00+00:00,-0.00634165
2012-03-22 00:00:00+00:00,-0.02730704
2012-03-23 00:00:00+00:00,0.01414290
