Date,JPY
2000-06-23 00:00:00+00:00,-0.00591345
2000-06-26 00:00:00+00:00,-0.02015310
2000-06-27 00:00:00+00:00,0.00817150
2000-06-28 00:00:00+00:00,-0.00596306
2000-06-29 00:00:00+00:00,0.00795286
2000-06-30 00:00:00+00:00,-0.01652149
2000-07-03 00:00:00+00:00,0.00380812
2000-07-05 00:00:00+00:00,-0.02788155
2000-07-06 00:00:00+00:00,-0.00892980
2000-07-07 00:00:00+00:00,-0.00875631
2000-07-10 00:00:00+00:00,0.01326036
2000-07-11 00:00:00+00:00,0.00089359
2000-07-12 00:00:00+00:00,-0.02407161
2000-07-13 00:00:00+00:00,0.00036861
2000-07-14 00:00:00+00:00,0.00582676
2000-07-17 00:00:00+00:00,-0.00870218
2000-07-18 00:00:00+00:00,-0.00005895
2000-07-19 00:00:00+00:00,-0.00038098
2000-07-20 00:00:00+00:00,0.01162199
2000-07-21 00:00:00+00:00,-0.02317828
2000-07-24 00:00:00+00:00,0.00220483
2000-07-25 00:00:00+00:00,-0.01007034
2000-07-26 00:00:00+00:00,-0.00103209
2000-07-27 00:00:00+00:00,0.00026512
2000-07-28 00:00:00+00:00,-0.00774134
2000-07-31 00:00:00+00:00,0.00363396
2000-08-01 00:00:00+00:00,0.00633616
2000-08-02 00:00:00+00:00,-0.00146535
2000-08-03 00:00:00+00:00,0.01010444
2000-08-04 00:00:00+00:00,-0.00210458
2000-08-07 00:00:00+00:00,-0.01201412
2000-08-08 00:00:00+00:00,0.00784758
2000-08-09 00:00:00+00:00,0.01450395
2000-08-10 00:00:00+00:00,-0.01944675
2000-08-11 00:00:00+00:00,0.00156038
2000-08-14 00:00:00+00:00,-0.01518645
2000-08-15 00:00:00+00:00,0.00603497
2000-08-16 00:00:00+00:00,0.00894542
2000-08-17 00:00:00+00:00,0.00026289
2000-08-18 00:00:00+00:00,0.00080276
2000-08-21 00:00:00+00:00,-0.00427062
2000-08-22 00:00:00+00:00,0.00653616
2000-08-23 00:00:00+00:00,0.02311367
2000-08-24 00:00:00+00:00,0.00302687
2000-08-25 00:00:00+00:00,-0.00251095
2000-08-28 00:00:00+00:00,0.00749881
2000-08-29 00:00:00+00:00,0.00789424
2000-08-30 00:00:00+00:00,-0.00661740
2000-08-31 00:00:00+00:00,-0.00790989
2000-09-01 00:00:00+00:00,0.01739150
2000-09-05 00:00:00+00:00,-0.00217325
2000-09-06 00:00:00+00:00,-0.00090675
2000-09-07 00:00:00+00:00,0.01483542
